road_id,road_candidate_id,region_code,start_place_id,end_place_id,authoring_method,plan_status
NG-RD-000011,NG-RD-CAND-000011,NGR-01,NG-PLC-000007,NG-PLC-000005,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000012,NG-RD-CAND-000012,NGR-01,NG-PLC-000033,NG-PLC-000066,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000013,NG-RD-CAND-000013,NGR-01,NG-PLC-000009,NG-PLC-000001,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000014,NG-RD-CAND-000014,NGR-01,NG-PLC-000008,NG-PLC-000019,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000015,NG-RD-CAND-000015,NGR-01,NG-PLC-000084,NG-PLC-000020,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000016,NG-RD-CAND-000016,NGR-01,NG-PLC-000061,NG-PLC-000062,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000017,NG-RD-CAND-000017,NGR-01,NG-PLC-000007,NG-PLC-000011,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000018,NG-RD-CAND-000018,NGR-01,NG-PLC-000067,NG-PLC-000068,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000019,NG-RD-CAND-000019,NGR-01,NG-PLC-000072,NG-PLC-000036,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000020,NG-RD-CAND-000020,NGR-01,NG-PLC-000084,NG-PLC-000006,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000021,NG-RD-CAND-000021,NGR-01,NG-PLC-000021,NG-PLC-000024,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000022,NG-RD-CAND-000022,NGR-01,NG-PLC-000076,NG-PLC-000038,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000023,NG-RD-CAND-000023,NGR-01,NG-PLC-000023,NG-PLC-000013,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000024,NG-RD-CAND-000024,NGR-01,NG-PLC-000056,NG-PLC-000064,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000025,NG-RD-CAND-000025,NGR-01,NG-PLC-000030,NG-PLC-000060,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000026,NG-RD-CAND-000026,NGR-01,NG-PLC-000001,NG-PLC-000023,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000027,NG-RD-CAND-000027,NGR-01,NG-PLC-000073,NG-PLC-000071,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000028,NG-RD-CAND-000028,NGR-01,NG-PLC-000038,NG-PLC-000073,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000029,NG-RD-CAND-000029,NGR-01,NG-PLC-000001,NG-PLC-000019,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000030,NG-RD-CAND-000030,NGR-01,NG-PLC-000029,NG-PLC-000058,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000031,NG-RD-CAND-000031,NGR-01,NG-PLC-000035,NG-PLC-000070,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000032,NG-RD-CAND-000032,NGR-01,NG-PLC-000069,NG-PLC-000035,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000033,NG-RD-CAND-000033,NGR-01,NG-PLC-000032,NG-PLC-000056,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000034,NG-RD-CAND-000034,NGR-01,NG-PLC-000045,NG-PLC-000003,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000035,NG-RD-CAND-000035,NGR-01,NG-PLC-000059,NG-PLC-000062,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000036,NG-RD-CAND-000036,NGR-01,NG-PLC-000063,NG-PLC-000014,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000037,NG-RD-CAND-000037,NGR-01,NG-PLC-000040,NG-PLC-000002,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000038,NG-RD-CAND-000038,NGR-01,NG-PLC-000059,NG-PLC-000030,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000039,NG-RD-CAND-000039,NGR-01,NG-PLC-000085,NG-PLC-000065,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000040,NG-RD-CAND-000040,NGR-01,NG-PLC-000003,NG-PLC-000044,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000041,NG-RD-CAND-000041,NGR-01,NG-PLC-000041,NG-PLC-000029,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000042,NG-RD-CAND-000042,NGR-01,NG-PLC-000006,NG-PLC-000015,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000043,NG-RD-CAND-000043,NGR-01,NG-PLC-000055,NG-PLC-000028,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000044,NG-RD-CAND-000044,NGR-01,NG-PLC-000046,NG-PLC-000004,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000045,NG-RD-CAND-000045,NGR-01,NG-PLC-000064,NG-PLC-000003,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000046,NG-RD-CAND-000046,NGR-01,NG-PLC-000004,NG-PLC-000048,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000047,NG-RD-CAND-000047,NGR-01,NG-PLC-000080,NG-PLC-000055,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000048,NG-RD-CAND-000048,NGR-01,NG-PLC-000075,NG-PLC-000073,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000049,NG-RD-CAND-000049,NGR-01,NG-PLC-000002,NG-PLC-000041,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000050,NG-RD-CAND-000050,NGR-01,NG-PLC-000073,NG-PLC-000072,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000051,NG-RD-CAND-000051,NGR-01,NG-PLC-000022,NG-PLC-000016,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000052,NG-RD-CAND-000052,NGR-01,NG-PLC-000026,NG-PLC-000041,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000053,NG-RD-CAND-000053,NGR-01,NG-PLC-000032,NG-PLC-000045,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000054,NG-RD-CAND-000054,NGR-01,NG-PLC-000022,NG-PLC-000024,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000055,NG-RD-CAND-000055,NGR-01,NG-PLC-000054,NG-PLC-000026,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000056,NG-RD-CAND-000056,NGR-01,NG-PLC-000019,NG-PLC-000013,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000057,NG-RD-CAND-000057,NGR-01,NG-PLC-000085,NG-PLC-000030,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000058,NG-RD-CAND-000058,NGR-01,NG-PLC-000040,NG-PLC-000026,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000059,NG-RD-CAND-000059,NGR-01,NG-PLC-000013,NG-PLC-000055,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000060,NG-RD-CAND-000060,NGR-01,NG-PLC-000019,NG-PLC-000014,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000061,NG-RD-CAND-000061,NGR-01,NG-PLC-000065,NG-PLC-000060,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000062,NG-RD-CAND-000062,NGR-01,NG-PLC-000048,NG-PLC-000077,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000063,NG-RD-CAND-000063,NGR-01,NG-PLC-000041,NG-PLC-000052,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000064,NG-RD-CAND-000064,NGR-01,NG-PLC-000022,NG-PLC-000084,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000065,NG-RD-CAND-000065,NGR-01,NG-PLC-000004,NG-PLC-000077,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000066,NG-RD-CAND-000066,NGR-01,NG-PLC-000076,NG-PLC-000046,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000067,NG-RD-CAND-000067,NGR-01,NG-PLC-000002,NG-PLC-000029,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000068,NG-RD-CAND-000068,NGR-01,NG-PLC-000017,NG-PLC-000013,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000069,NG-RD-CAND-000069,NGR-01,NG-PLC-000015,NG-PLC-000063,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000070,NG-RD-CAND-000070,NGR-01,NG-PLC-000068,NG-PLC-000044,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000071,NG-RD-CAND-000071,NGR-01,NG-PLC-000045,NG-PLC-000068,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000072,NG-RD-CAND-000072,NGR-01,NG-PLC-000013,NG-PLC-000002,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000073,NG-RD-CAND-000073,NGR-01,NG-PLC-000015,NG-PLC-000032,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000074,NG-RD-CAND-000074,NGR-01,NG-PLC-000029,NG-PLC-000043,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000075,NG-RD-CAND-000075,NGR-01,NG-PLC-000077,NG-PLC-000036,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000076,NG-RD-CAND-000076,NGR-01,NG-PLC-000070,NG-PLC-000039,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000077,NG-RD-CAND-000077,NGR-01,NG-PLC-000035,NG-PLC-000039,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000078,NG-RD-CAND-000078,NGR-01,NG-PLC-000068,NG-PLC-000066,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000079,NG-RD-CAND-000079,NGR-01,NG-PLC-000047,NG-PLC-000075,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000080,NG-RD-CAND-000080,NGR-01,NG-PLC-000070,NG-PLC-000078,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000081,NG-RD-CAND-000081,NGR-01,NG-PLC-000047,NG-PLC-000069,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000082,NG-RD-CAND-000082,NGR-01,NG-PLC-000036,NG-PLC-000017,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000083,NG-RD-CAND-000083,NGR-01,NG-PLC-000015,NG-PLC-000034,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000084,NG-RD-CAND-000084,NGR-01,NG-PLC-000071,NG-PLC-000053,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000085,NG-RD-CAND-000085,NGR-01,NG-PLC-000075,NG-PLC-000053,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000086,NG-RD-CAND-000086,NGR-02,NG-PLC-000110,NG-PLC-000164,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000087,NG-RD-CAND-000087,NGR-02,NG-PLC-000108,NG-PLC-000098,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000088,NG-RD-CAND-000088,NGR-02,NG-PLC-000096,NG-PLC-000097,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000089,NG-RD-CAND-000089,NGR-02,NG-PLC-000093,NG-PLC-000095,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000090,NG-RD-CAND-000090,NGR-02,NG-PLC-000151,NG-PLC-000150,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000091,NG-RD-CAND-000091,NGR-02,NG-PLC-000168,NG-PLC-000122,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000092,NG-RD-CAND-000092,NGR-02,NG-PLC-000168,NG-PLC-000158,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000093,NG-RD-CAND-000093,NGR-02,NG-PLC-000163,NG-PLC-000103,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000094,NG-RD-CAND-000094,NGR-02,NG-PLC-000169,NG-PLC-000091,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000095,NG-RD-CAND-000095,NGR-02,NG-PLC-000102,NG-PLC-000100,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000096,NG-RD-CAND-000096,NGR-02,NG-PLC-000146,NG-PLC-000116,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000097,NG-RD-CAND-000097,NGR-02,NG-PLC-000116,NG-PLC-000166,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000098,NG-RD-CAND-000098,NGR-02,NG-PLC-000167,NG-PLC-000119,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000099,NG-RD-CAND-000099,NGR-02,NG-PLC-000148,NG-PLC-000119,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000100,NG-RD-CAND-000100,NGR-02,NG-PLC-000086,NG-PLC-000096,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000101,NG-RD-CAND-000101,NGR-02,NG-PLC-000097,NG-PLC-000092,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000102,NG-RD-CAND-000102,NGR-02,NG-PLC-000097,NG-PLC-000104,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000103,NG-RD-CAND-000103,NGR-02,NG-PLC-000146,NG-PLC-000166,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000104,NG-RD-CAND-000104,NGR-02,NG-PLC-000109,NG-PLC-000105,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000105,NG-RD-CAND-000105,NGR-02,NG-PLC-000094,NG-PLC-000096,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000106,NG-RD-CAND-000106,NGR-02,NG-PLC-000124,NG-PLC-000103,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000107,NG-RD-CAND-000107,NGR-02,NG-PLC-000169,NG-PLC-000101,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000108,NG-RD-CAND-000108,NGR-02,NG-PLC-000157,NG-PLC-000159,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000109,NG-RD-CAND-000109,NGR-02,NG-PLC-000172,NG-PLC-000114,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000110,NG-RD-CAND-000110,NGR-02,NG-PLC-000100,NG-PLC-000094,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000111,NG-RD-CAND-000111,NGR-02,NG-PLC-000153,NG-PLC-000119,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000112,NG-RD-CAND-000112,NGR-02,NG-PLC-000162,NG-PLC-000102,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000113,NG-RD-CAND-000113,NGR-02,NG-PLC-000112,NG-PLC-000138,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000114,NG-RD-CAND-000114,NGR-02,NG-PLC-000120,NG-PLC-000115,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000115,NG-RD-CAND-000115,NGR-02,NG-PLC-000099,NG-PLC-000124,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000116,NG-RD-CAND-000116,NGR-02,NG-PLC-000113,NG-PLC-000140,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000117,NG-RD-CAND-000117,NGR-02,NG-PLC-000137,NG-PLC-000111,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000118,NG-RD-CAND-000118,NGR-02,NG-PLC-000091,NG-PLC-000101,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000119,NG-RD-CAND-000119,NGR-02,NG-PLC-000135,NG-PLC-000110,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000120,NG-RD-CAND-000120,NGR-02,NG-PLC-000109,NG-PLC-000100,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000121,NG-RD-CAND-000121,NGR-02,NG-PLC-000139,NG-PLC-000134,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000122,NG-RD-CAND-000122,NGR-02,NG-PLC-000141,NG-PLC-000113,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000123,NG-RD-CAND-000123,NGR-02,NG-PLC-000172,NG-PLC-000138,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000124,NG-RD-CAND-000124,NGR-02,NG-PLC-000164,NG-PLC-000139,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000125,NG-RD-CAND-000125,NGR-02,NG-PLC-000110,NG-PLC-000139,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
