hash_record_id,file_path,sha256,byte_size,calculated_at
HASH-0026,02_controlled_codes/state_land_categories.csv,742b0affec3368b34fa660fa383973f137adfde21407f30408907001ab0b5f37,683,2026-08-13
HASH-0027,02_controlled_codes/survey_accuracy_classes.csv,a1d7b87f2b281c7f47a8fd6f18b2fa537789942eeb9a5583a0eee7a8fe68f064,1281,2026-08-13
HASH-0028,02_controlled_codes/tenure_types.csv,35f57c08b18fad2ef5952bf16d2a7262b0e24f115e8f31b2b4a9a8c926e53a87,556,2026-08-13
HASH-0029,02_controlled_codes/title_types.csv,8fa6acd94c3359018dd73029ffd406f6e131c74b616861482a772f227a7bcca9,577,2026-08-13
HASH-0030,03_authority_identifiers/README.md,25c1953e8a4652c71d3a593d7697b3c82ede1ca2cefd90a2f8b1e03eb313e262,332,2026-08-13
HASH-0031,03_authority_identifiers/novegeo_authority_record.csv,b31e07589aac19f77fd5d5b0be243d9a96a37456a9d20bf255614621e363e1d2,536,2026-08-13
HASH-0032,03_authority_identifiers/novegeo_authority_role_register.csv,76a976b7d755717716cac265e1136311a6b1f09c010928f01b756cec8b718ffd,1462,2026-08-13
HASH-0033,03_authority_identifiers/novegeo_controlled_vocabulary.csv,63c9273216280d293838c3ff5fdfa61bf3f238808689381fbe9456e6d1aaa98d,17693,2026-08-13
HASH-0034,03_authority_identifiers/novegeo_data_classification_register.csv,21ee41e454284ec0cc5217cf8bb82bde81beffdf58b9bc73181b148f279ba38c,431,2026-08-13
HASH-0035,03_authority_identifiers/novegeo_identifier_format_register.csv,8d94e33afe0cda6cc884cde4990c053dc72665286a54ab17fb5e68853721a417,3648,2026-08-13
HASH-0036,04_name_catalogues/README.md,b9e8f781e9bcf546f726d87d1c803b794fbb058bf2ee5c8b5a649a9b53ea34d1,508,2026-08-13
HASH-0037,04_name_catalogues/administrative_name_catalogue.csv,3c337c382828cd4a2d900511764f289294770798b5068fa402d733b58ad02fe2,98729,2026-08-13
HASH-0038,04_name_catalogues/bay_name_catalogue.csv,970758c6c70693a8a1c71919d2f679ba7415a1a81685dc04e1f1116a91c37364,41350,2026-08-13
HASH-0039,04_name_catalogues/bridge_name_catalogue.csv,76d254cb9e1021369ea762ae0e45ad1c5d44ace7b6901e8e6a2bfc7ba1877a14,76219,2026-08-13
HASH-0040,04_name_catalogues/cape_name_catalogue.csv,47afa6ae17ccc2eed28d54adf0a6efe7eeba95a85d8e03f059315b7569e430ae,41170,2026-08-13
HASH-0041,04_name_catalogues/forest_name_catalogue.csv,db2c00097f2ce5fab8812d6d36ba84a6f5c0a323a27d817d2c381dbc5d03928e,60559,2026-08-13
HASH-0042,04_name_catalogues/hill_name_catalogue.csv,7e908dcc42193f3b1cdf57bba56f782093226527ad535c91e4a99cd7916c5f22,64748,2026-08-13
HASH-0043,04_name_catalogues/island_name_catalogue.csv,6d38761e6dd52521178c972916181fd147820d71adf9203dbec25fb1abd664a3,41530,2026-08-13
HASH-0044,04_name_catalogues/lake_name_catalogue.csv,4eaa46d107964044f4f82b5473ba939f195c10c4a17b74df5c08f1c8287dec51,50447,2026-08-13
HASH-0045,04_name_catalogues/landmark_name_catalogue.csv,276d031aed2d62f8991298c5eea2456e7c7d0362cf82d3e3d4fb26e406b88eb7,71515,2026-08-13
HASH-0046,04_name_catalogues/mountain_name_catalogue.csv,ae610575a42b1110bb99ef61c13a20132a1acb8f6d6a18b3029f97d621a1b3d7,61340,2026-08-13
HASH-0047,04_name_catalogues/plain_name_catalogue.csv,ba9c49fe4132d31ab66e17ae7b2cce5a586eea2d51a7f7e2a56ec66b4e42d36b,41709,2026-08-13
HASH-0048,04_name_catalogues/plateau_name_catalogue.csv,3ac38f7dbe7b2810847676c604b8b777e69a770cfc06526680645c5c93c15101,43329,2026-08-13
HASH-0049,04_name_catalogues/river_name_catalogue.csv,f35c7845b2afe366c3e9737d1c96706b9a289954793bd982f8c5e208b37cc88e,73604,2026-08-13
HASH-0050,04_name_catalogues/road_name_catalogue.csv,dd74faae3b4f21e3ca9f023d8bccada92bc6712748fe42ce24a29b303f93624c,325467,2026-08-13
HASH-0051,04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,364158,2026-08-13
HASH-0052,04_name_catalogues/square_name_catalogue.csv,64f4b993c647868d6a5f5e109055dd98b7e10b908389a4eaa4af58c5f304cd3a,65926,2026-08-13
HASH-0053,04_name_catalogues/valley_name_catalogue.csv,cf2ad67309d8f169508b7c376e8ed2f0b590a5dd35c4fa546d74827d2c8ee4c7,56083,2026-08-13
HASH-0054,04_name_catalogues/wetland_name_catalogue.csv,64d769d8c08fd6fe1fee8cca05888a29d0527999e70eb6ab8747da6415a343e6,42610,2026-08-13
HASH-0055,05_geographic_candidates/README.md,022fd3e3cf27821bcdbb0ab01a21084939178fc7c108d9df70cf8c76d0a3124d,374,2026-08-13
HASH-0056,05_geographic_candidates/administrative_area_candidates.csv,61b83d76fa7324e8e062e7dc479c6958ceba15a8dfff170fab17fbffe6a48e00,37554,2026-08-13
HASH-0057,05_geographic_candidates/geographic_feature_candidates.csv,27ccd9919d42294f42b46449606af5ad88b4d7df1503eb8dd6c115d54c911c39,7694,2026-08-13
HASH-0058,05_geographic_candidates/geometry_version_candidates.csv,9942d01483e9f180739587f8b3b46cbea42785738ae7cd1145055788fee911bc,9557,2026-08-13
HASH-0059,05_geographic_candidates/survey_control_point_candidates.csv,778438ffd64ff21f6ef4aa9cc21ff4f33ff0e75036adcb31c8ab30bba6de1574,142,2026-08-13
HASH-0060,06_roads_addresses/README.md,ded8df382d2e1f298b5af41dcab5b03fd91a0ff9f19650b09df75636f8ebf7eb,485,2026-08-13
HASH-0061,06_roads_addresses/address_reference_candidates.csv,aa98d49ef377788e0b3ba4feb6084a60e171ce5bab7b8359a72c052666d6e341,251,2026-08-13
HASH-0062,06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,177450,2026-08-13
HASH-0063,07_land/README.md,b67b306fac6c6cf87322ed4400a306b091978800b4a410167b776c098ac991f7,313,2026-08-13
HASH-0064,07_land/parcel_bootstrap.csv,03f3937f52b84135b44a8aa6e343f0f57a76b3a3a3d8d09a7253b13d6009b3b3,181,2026-08-13
HASH-0065,07_land/state_land_bootstrap.csv,511ff5195b4a6db0cbd9ff56e2848ad97a763c9b7e59c8e9a956e96b5389d641,132,2026-08-13
HASH-0066,07_land/title_bootstrap.csv,a659637607c6e9533b3628757857672ad39cfc6fe571975aa8cfb178fb4af312,128,2026-08-13
HASH-0067,08_relationships/README.md,e384f647e99f28a83bfdaf6f8f214d1f7d418f149359a63dbee16486315e963d,275,2026-08-13
HASH-0068,08_relationships/feature_name_assignment_candidates.csv,de64f7da5414d7fcba8bdea1eeaa835d4ba34a11a9c46acd425b2c59cdb173e1,4435,2026-08-13
HASH-0069,09_quarantine/README.md,089a9cbbaab6b215e60a7739efb7c95d06a4eacab9b6eedf9e2c291949700c45,174,2026-08-13
HASH-0070,09_quarantine/invalid_geographic_feature_candidates.csv,004a4fdfd5bd5c2077a3ea5726afa319a1c0f745fb1ead21b13d62a6ff72b412,96,2026-08-13
HASH-0071,10_evidence/README.md,b45ff4a116636975a3301804dbee9a5729011a9f03844854e70cbdedb696bdeb,236,2026-08-13
HASH-0072,10_evidence/novegeo_immutable_audit_event.csv,e3f12f62076d52b937a71f19f4cbf3f67c98bca7cad2f1cb84173df0ecd99507,2334,2026-08-13
HASH-0073,10_evidence/novegeo_validation_evidence_register.csv,560437dec496902808886fed39df1a093fb48215361f68c02a5d97f9d0fc0132,13336,2026-08-13
