id,name,tribe
sn_067,Varnath,trb_001
sn_068,Varnax,trb_001
sn_069,Varnburg,trb_001
sn_070,Varnen,trb_001
sn_071,Varner,trb_001
sn_072,Varnic,trb_001
sn_073,Varnoff,trb_001
sn_074,Varnog,trb_001
sn_075,Varnond,trb_001
sn_076,Varnor,trb_001
sn_077,Varnov,trb_001
sn_078,Varnstein,trb_001
sn_079,Varnus,trb_001
sn_080,Varn斯特,trb_001
sn_081,Aela,trb_002
sn_082,Aelal,trb_002
sn_083,Aeland,trb_002
sn_084,Aelas,trb_002
sn_085,Aelel,trb_002
sn_086,Aelen,trb_002
sn_087,Aelia,trb_002
sn_088,Aelian,trb_002
sn_089,Aeliel,trb_002
sn_090,Aelis,trb_002
sn_091,Aelon,trb_002
sn_092,Aelond,trb_002
sn_093,Aelor,trb_002
sn_094,Aelth,trb_002
sn_095,Aelus,trb_002
sn_096,Aelwyn,trb_002
sn_097,Illya,trb_002
sn_098,Illyal,trb_002
sn_099,Illyand,trb_002
sn_100,Illyas,trb_002
sn_101,Illyel,trb_002
sn_102,Illyen,trb_002
sn_103,Illyia,trb_002
sn_104,Illyian,trb_002
sn_105,Illyiel,trb_002
sn_106,Illyis,trb_002
sn_107,Illyon,trb_002
sn_108,Illyond,trb_002
sn_109,Illyor,trb_002
sn_110,Illyth,trb_002
sn_111,Illyus,trb_002
sn_112,Illywyn,trb_002
sn_113,Lyra,trb_002
sn_114,Lyral,trb_002
sn_115,Lyrand,trb_002
sn_116,Lyras,trb_002
sn_117,Lyrel,trb_002
sn_118,Lyren,trb_002
sn_119,Lyria,trb_002
sn_120,Lyrian,trb_002
sn_121,Lyriel,trb_002
sn_122,Lyris,trb_002
sn_123,Lyron,trb_002
sn_124,Lyrond,trb_002
sn_125,Lyror,trb_002
sn_126,Lyrth,trb_002
sn_127,Lyrus,trb_002
sn_128,Lyrwyn,trb_002
sn_129,Seraa,trb_002
sn_130,Seraal,trb_002
sn_131,Seraand,trb_002
sn_132,Seraas,trb_002
sn_133,Serael,trb_002
sn_134,Seraen,trb_002
sn_135,Seraia,trb_002
sn_136,Seraian,trb_002
sn_137,Seraiel,trb_002
sn_138,Serais,trb_002
sn_139,Seraon,trb_002
sn_140,Seraond,trb_002
sn_141,Seraor,trb_002
sn_142,Serath,trb_002
sn_143,Seraus,trb_002
sn_144,Serawyn,trb_002
sn_145,Vala,trb_002
sn_146,Valal,trb_002
sn_147,Valand,trb_002
sn_148,Valas,trb_002
sn_149,Valel,trb_002
sn_150,Valen,trb_002
sn_151,Valia,trb_002
sn_152,Valian,trb_002
sn_153,Valiel,trb_002
sn_154,Valis,trb_002
sn_155,Valon,trb_002
sn_156,Valond,trb_002
sn_157,Valor,trb_002
sn_158,Valth,trb_002
sn_159,Valus,trb_002
sn_160,Valwyn,trb_002
sn_161,Bariari,trb_003
sn_162,Bariba,trb_003
sn_163,Baribo,trb_003
sn_164,Barichi,trb_003
sn_165,Baridi,trb_003
sn_166,Barigbe,trb_003
sn_167,Bariko,trb_003
sn_168,Barima,trb_003
sn_169,Barini,trb_003
sn_170,Bario,trb_003
sn_171,Barira,trb_003
sn_172,Bariri,trb_003
sn_173,Barise,trb_003
sn_174,Bariula,trb_003
sn_175,Bariwe,trb_003
sn_176,Barizi,trb_003
sn_177,Oluari,trb_003
sn_178,Oluba,trb_003
sn_179,Olubo,trb_003
sn_180,Oluchi,trb_003
sn_181,Oludi,trb_003
sn_182,Olugbe,trb_003
sn_183,Oluko,trb_003
sn_184,Oluma,trb_003
sn_185,Oluni,trb_003
sn_186,Oluo,trb_003
sn_187,Olura,trb_003
sn_188,Oluri,trb_003
sn_189,Oluse,trb_003
sn_190,Oluula,trb_003
sn_191,Oluwe,trb_003
sn_192,Oluzi,trb_003
sn_193,Tenari,trb_003
sn_194,Tenba,trb_003
sn_195,Tenbo,trb_003
sn_196,Tenchi,trb_003
sn_197,Tendi,trb_003
sn_198,Tengbe,trb_003
sn_199,Tenko,trb_003
sn_200,Tenma,trb_003
sn_201,Tenni,trb_003
sn_202,Teno,trb_003
sn_203,Tenra,trb_003
sn_204,Tenri,trb_003
sn_205,Tense,trb_003
sn_206,Tenula,trb_003
sn_207,Tenwe,trb_003
sn_208,Tenzi,trb_003
sn_209,Wafari,trb_003
sn_210,Wafba,trb_003
sn_211,Wafbo,trb_003
sn_212,Wafchi,trb_003
sn_213,Wafdi,trb_003
sn_214,Wafgbe,trb_003
sn_215,Wafko,trb_003
sn_216,Wafma,trb_003
sn_217,Wafni,trb_003
sn_218,Wafo,trb_003
sn_219,Wafra,trb_003
sn_220,Wafri,trb_003
sn_221,Wafse,trb_003
sn_222,Wafula,trb_003
sn_223,Wafwe,trb_003
sn_224,Wafzi,trb_003
sn_225,Zulari,trb_003
sn_226,Zulba,trb_003
sn_227,Zulbo,trb_003
sn_228,Zulchi,trb_003
sn_229,Zuldi,trb_003
sn_230,Zulgbe,trb_003
sn_231,Zulko,trb_003
sn_232,Zulma,trb_003
sn_233,Zulni,trb_003
sn_234,Zulo,trb_003
sn_235,Zulra,trb_003
sn_236,Zulri,trb_003
sn_237,Zulse,trb_003
sn_238,Zulula,trb_003
sn_239,Zulwe,trb_003
sn_240,Zulzi,trb_003
sn_241,Aztac,trb_004
sn_242,Aztah,trb_004
sn_243,Aztal,trb_004
sn_244,Aztan,trb_004
sn_245,Aztat,trb_004
sn_246,Aztca,trb_004
sn_247,Aztek,trb_004
sn_248,Azten,trb_004
sn_249,Aztic,trb_004
sn_250,Aztil,trb_004
sn_251,Aztix,trb_004
sn_252,Aztoc,trb_004
sn_253,Aztotl,trb_004
sn_254,Aztox,trb_004
sn_255,Azttl,trb_004
sn_256,Aztun,trb_004
sn_257,Tezac,trb_004
sn_258,Tezah,trb_004
sn_259,Tezal,trb_004
sn_260,Tezan,trb_004
sn_261,Tezat,trb_004
sn_262,Tezca,trb_004
sn_263,Tezek,trb_004
sn_264,Tezen,trb_004
sn_265,Tezic,trb_004
sn_266,Tezil,trb_004
sn_267,Tezix,trb_004
sn_268,Tezoc,trb_004
sn_269,Tezotl,trb_004
sn_270,Tezox,trb_004
sn_271,Teztl,trb_004
sn_272,Tezun,trb_004
sn_273,Tleac,trb_004
sn_274,Tleah,trb_004
sn_275,Tleal,trb_004
sn_276,Tlean,trb_004
sn_277,Tleat,trb_004
sn_278,Tleca,trb_004
sn_279,Tleek,trb_004
sn_280,Tleen,trb_004
sn_281,Tleic,trb_004
sn_282,Tleil,trb_004
sn_283,Tleix,trb_004
sn_284,Tleoc,trb_004
sn_285,Tleotl,trb_004
sn_286,Tleox,trb_004
sn_287,Tletl,trb_004
sn_288,Tleun,trb_004
sn_289,Xilac,trb_004
sn_290,Xilah,trb_004
sn_291,Xilal,trb_004
sn_292,Xilan,trb_004
sn_293,Xilat,trb_004
sn_294,Xilca,trb_004
sn_295,Xilek,trb_004
sn_296,Xilen,trb_004
sn_297,Xilic,trb_004
sn_298,Xilil,trb_004
sn_299,Xilix,trb_004
sn_300,Xiloc,trb_004
sn_301,Xilotl,trb_004
sn_302,Xilox,trb_004
sn_303,Xiltl,trb_004
sn_304,Xilun,trb_004
sn_305,Zacac,trb_004
sn_306,Zacah,trb_004
sn_307,Zacal,trb_004
sn_308,Zacan,trb_004
sn_309,Zacat,trb_004
sn_310,Zacca,trb_004
sn_311,Zacek,trb_004
sn_312,Zacen,trb_004
sn_313,Zacic,trb_004
sn_314,Zacil,trb_004
sn_315,Zacix,trb_004
sn_316,Zacoc,trb_004
sn_317,Zacotl,trb_004
sn_318,Zacox,trb_004
sn_319,Zactl,trb_004
sn_320,Zacun,trb_004
sn_321,Bjornald,trb_005
sn_322,Bjornberg,trb_005
sn_323,Bjornburg,trb_005
sn_324,Bjornby,trb_005
sn_325,Bjorndal,trb_005
sn_326,Bjorngard,trb_005
sn_327,Bjornheim,trb_005
sn_328,Bjornland,trb_005
sn_329,Bjornlund,trb_005
sn_330,Bjornqvist,trb_005
sn_331,Bjornrud,trb_005
sn_332,Bjornsen,trb_005
sn_333,Bjornsson,trb_005
sn_334,Bjornstad,trb_005
sn_335,Bjornström,trb_005
sn_336,Bjornthorp,trb_005
sn_337,Gunnald,trb_005
sn_338,Gunnberg,trb_005
sn_339,Gunnburg,trb_005
sn_340,Gunnby,trb_005
sn_341,Gunndal,trb_005
sn_342,Gunngard,trb_005
sn_343,Gunnheim,trb_005
sn_344,Gunnland,trb_005
sn_345,Gunnlund,trb_005
sn_346,Gunnqvist,trb_005
sn_347,Gunnrud,trb_005
sn_348,Gunnsen,trb_005
sn_349,Gunnsson,trb_005
sn_350,Gunnstad,trb_005
sn_351,Gunnström,trb_005
sn_352,Gunnthorp,trb_005
sn_353,Ostald,trb_005
sn_354,Ostberg,trb_005
sn_355,Ostburg,trb_005
sn_356,Ostby,trb_005
sn_357,Ostdal,trb_005
sn_358,Ostgard,trb_005
sn_359,Ostheim,trb_005
sn_360,Ostland,trb_005
sn_361,Ostlund,trb_005
sn_362,Ostqvist,trb_005
sn_363,Ostrud,trb_005
sn_364,Ostsen,trb_005
sn_365,Ostsson,trb_005
sn_366,Oststad,trb_005
sn_367,Ostström,trb_005
sn_368,Ostthorp,trb_005
sn_369,Ragnald,trb_005
sn_370,Ragnberg,trb_005
sn_371,Ragnburg,trb_005
sn_372,Ragnby,trb_005
sn_373,Ragndal,trb_005
sn_374,Ragngard,trb_005
sn_375,Ragnheim,trb_005
sn_376,Ragnland,trb_005
sn_377,Ragnlund,trb_005
sn_378,Ragnqvist,trb_005
sn_379,Ragnrud,trb_005
sn_380,Ragnsen,trb_005
sn_381,Ragnsson,trb_005
sn_382,Ragnstad,trb_005
sn_383,Ragnström,trb_005
sn_384,Ragnthorp,trb_005
sn_385,Thorald,trb_005
sn_386,Thorberg,trb_005
sn_387,Thorburg,trb_005
sn_388,Thorby,trb_005
sn_389,Thordal,trb_005
sn_390,Thorgard,trb_005
sn_391,Thorheim,trb_005
sn_392,Thorland,trb_005
sn_393,Thorlund,trb_005
sn_394,Thorqvist,trb_005
sn_395,Thorrud,trb_005
sn_396,Thorsen,trb_005
sn_397,Thorsson,trb_005
sn_398,Thorstad,trb_005
sn_399,Thorström,trb_005
sn_400,Thorthorp,trb_005
sn_401,Habad,trb_006
sn_402,Habam,trb_006
sn_403,Haban,trb_006
sn_404,Habar,trb_006
sn_405,Habat,trb_006
sn_406,Habeen,trb_006
sn_407,Habey,trb_006
sn_408,Habi,trb_006
sn_409,Habiah,trb_006
sn_410,Habid,trb_006
sn_411,Habir,trb_006
sn_412,Habis,trb_006
sn_413,Habon,trb_006
sn_414,Habor,trb_006
sn_415,Habun,trb_006
sn_416,Habuq,trb_006
sn_417,Khaad,trb_006
sn_418,Khaam,trb_006
sn_419,Khaan,trb_006
sn_420,Khaar,trb_006
sn_421,Khaat,trb_006
sn_422,Khaeen,trb_006
sn_423,Khaey,trb_006
sn_424,Khai,trb_006
sn_425,Khaiah,trb_006
sn_426,Khaid,trb_006
sn_427,Khair,trb_006
sn_428,Khais,trb_006
sn_429,Khaon,trb_006
sn_430,Khaor,trb_006
sn_431,Khaun,trb_006
sn_432,Khauq,trb_006
sn_433,Malad,trb_006
sn_434,Malam,trb_006
sn_435,Malan,trb_006
sn_436,Malar,trb_006
sn_437,Malat,trb_006
sn_438,Maleen,trb_006
sn_439,Maley,trb_006
sn_440,Mali,trb_006
sn_441,Maliah,trb_006
sn_442,Malid,trb_006
sn_443,Malir,trb_006
sn_444,Malis,trb_006
sn_445,Malon,trb_006
sn_446,Malor,trb_006
sn_447,Malun,trb_006
sn_448,Maluq,trb_006
sn_449,Sabad,trb_006
sn_450,Sabam,trb_006
sn_451,Saban,trb_006
sn_452,Sabar,trb_006
sn_453,Sabat,trb_006
sn_454,Sabeen,trb_006
sn_455,Sabey,trb_006
sn_456,Sabi,trb_006
sn_457,Sabiah,trb_006
sn_458,Sabid,trb_006
sn_459,Sabir,trb_006
sn_460,Sabis,trb_006
sn_461,Sabon,trb_006
sn_462,Sabor,trb_006
sn_463,Sabun,trb_006
sn_464,Sabuq,trb_006
sn_465,Zadad,trb_006
sn_466,Zadam,trb_006
sn_467,Zadan,trb_006
sn_468,Zadar,trb_006
sn_469,Zadat,trb_006
sn_470,Zadeen,trb_006
sn_471,Zadey,trb_006
sn_472,Zadi,trb_006
sn_473,Zadiah,trb_006
sn_474,Zadid,trb_006
sn_475,Zadir,trb_006
sn_476,Zadis,trb_006
sn_477,Zadon,trb_006
sn_478,Zador,trb_006
sn_479,Zadun,trb_006
sn_480,Zaduq,trb_006
sn_481,Gathaka,trb_007
sn_482,Gathambo,trb_007
sn_483,Gathau,trb_007
sn_484,Gathdie,trb_007
sn_485,Gathdura,trb_007
sn_486,Gatheng,trb_007
sn_487,Gathera,trb_007
sn_488,Gatheru,trb_007
sn_489,Gathko,trb_007
sn_490,Gathngi,trb_007
sn_491,Gathoge,trb_007
sn_492,Gathoni,trb_007
sn_493,Gathot,trb_007
sn_494,Gathti,trb_007
sn_495,Gathu,trb_007
sn_496,Gathuki,trb_007
sn_497,Kiriaka,trb_007
sn_498,Kiriambo,trb_007
sn_499,Kiriau,trb_007
sn_500,Kiridie,trb_007
sn_501,Kiridura,trb_007
sn_502,Kirieng,trb_007
sn_503,Kiriera,trb_007
sn_504,Kirieru,trb_007
sn_505,Kiriko,trb_007
sn_506,Kiringi,trb_007
sn_507,Kirioge,trb_007
sn_508,Kirioni,trb_007
sn_509,Kiriot,trb_007
sn_510,Kiriti,trb_007
sn_511,Kiriu,trb_007
sn_512,Kiriuki,trb_007
sn_513,Mwaaka,trb_007
sn_514,Mwaambo,trb_007
sn_515,Mwaau,trb_007
sn_516,Mwadie,trb_007
sn_517,Mwadura,trb_007
sn_518,Mwaeng,trb_007
sn_519,Mwaera,trb_007
sn_520,Mwaeru,trb_007
sn_521,Mwako,trb_007
sn_522,Mwangi,trb_007
sn_523,Mwaoge,trb_007
sn_524,Mwaoni,trb_007
sn_525,Mwaot,trb_007
sn_526,Mwati,trb_007
sn_527,Mwau,trb_007
sn_528,Mwauki,trb_007
sn_529,Njeraka,trb_007
sn_530,Njerambo,trb_007
sn_531,Njerau,trb_007
sn_532,Njerdie,trb_007
sn_533,Njerdura,trb_007
sn_534,Njereng,trb_007
sn_535,Njerera,trb_007
sn_536,Njereru,trb_007
sn_537,Njerko,trb_007
sn_538,Njerngi,trb_007
sn_539,Njeroge,trb_007
sn_540,Njeroni,trb_007
sn_541,Njerot,trb_007
sn_542,Njerti,trb_007
sn_543,Njeru,trb_007
sn_544,Njeruki,trb_007
sn_545,Nyanaka,trb_007
sn_546,Nyanambo,trb_007
sn_547,Nyanau,trb_007
sn_548,Nyandie,trb_007
sn_549,Nyandura,trb_007
sn_550,Nyaneng,trb_007
sn_551,Nyanera,trb_007
sn_552,Nyaneru,trb_007
sn_553,Nyanko,trb_007
sn_554,Nyanngi,trb_007
sn_555,Nyanoge,trb_007
sn_556,Nyanoni,trb_007
sn_557,Nyanot,trb_007
sn_558,Nyanti,trb_007
sn_559,Nyanu,trb_007
sn_560,Nyanuki,trb_007
sn_561,Cora,trb_008
sn_562,Corandra,trb_008
sn_563,Coranthe,trb_008
sn_564,Corara,trb_008
sn_565,Coras,trb_008
sn_566,Corea,trb_008
sn_567,Corene,trb_008
sn_568,Coria,trb_008
sn_569,Corion,trb_008
sn_570,Coris,trb_008
sn_571,Coron,trb_008
sn_572,Coror,trb_008
sn_573,Coros,trb_008
sn_574,Corus,trb_008
sn_575,Cyna,trb_008
sn_576,Cynandra,trb_008
sn_577,Cynanthe,trb_008
sn_578,Cynara,trb_008
sn_579,Cynas,trb_008
sn_580,Cynea,trb_008
sn_581,Cynene,trb_008
sn_582,Cynia,trb_008
sn_583,Cynion,trb_008
sn_584,Cynis,trb_008
sn_585,Cynon,trb_008
sn_586,Cynor,trb_008
sn_587,Cynos,trb_008
sn_588,Cynus,trb_008
sn_589,Hela,trb_008
sn_590,Helandra,trb_008
sn_591,Helanthe,trb_008
sn_592,Helara,trb_008
sn_593,Helas,trb_008
sn_594,Helea,trb_008
sn_595,Helene,trb_008
sn_596,Helia,trb_008
sn_597,Helion,trb_008
sn_598,Helis,trb_008
sn_599,Helon,trb_008
sn_600,Helor,trb_008
sn_601,Helos,trb_008
sn_602,Helus,trb_008
sn_603,Lysa,trb_008
sn_604,Lysandra,trb_008
sn_605,Lysanthe,trb_008
sn_606,Lysara,trb_008
sn_607,Lysas,trb_008
sn_608,Lysea,trb_008
sn_609,Lysene,trb_008
sn_610,Lysia,trb_008
sn_611,Lysion,trb_008
sn_612,Lysis,trb_008
sn_613,Lyson,trb_008
sn_614,Lysor,trb_008
sn_615,Lysos,trb_008
sn_616,Lysus,trb_008
sn_617,Phaa,trb_008
sn_618,Phaandra,trb_008
sn_619,Phaanthe,trb_008
sn_620,Phaara,trb_008
sn_621,Phaas,trb_008
sn_622,Phaea,trb_008
sn_623,Phaene,trb_008
sn_624,Phaia,trb_008
sn_625,Phaion,trb_008
sn_626,Phais,trb_008
sn_627,Phaon,trb_008
sn_628,Phaor,trb_008
sn_629,Phaos,trb_008
sn_630,Phaus,trb_008
sn_631,Thalandra,trb_008
sn_632,Thalanthe,trb_008
sn_633,Thalara,trb_008
sn_634,Thalea,trb_008
sn_635,Thalene,trb_008
sn_636,Thalia,trb_008
sn_637,Thalis,trb_008
sn_638,Thalon,trb_008
sn_639,Thalos,trb_008
sn_640,Thalus,trb_008
sn_641,Brakak,trb_009
sn_642,Brakar,trb_009
sn_643,Brakash,trb_009
sn_644,Brakat,trb_009
sn_645,Brakax,trb_009
sn_646,Braken,trb_009
sn_647,Brakex,trb_009
sn_648,Brakig,trb_009
sn_649,Brakith,trb_009
sn_650,Brakog,trb_009
sn_651,Brakok,trb_009
sn_652,Brakor,trb_009
sn_653,Brakork,trb_009
sn_654,Brakuk,trb_009
sn_655,Brakuz,trb_009
sn_656,Brakvarn,trb_009
sn_657,Garnak,trb_009
sn_658,Garnar,trb_009
sn_659,Garnash,trb_009
sn_660,Garnat,trb_009
sn_661,Garnax,trb_009
sn_662,Garnen,trb_009
sn_663,Garnex,trb_009
sn_664,Garnig,trb_009
sn_665,Garnith,trb_009
sn_666,Garnog,trb_009
sn_667,Garnok,trb_009
sn_668,Garnor,trb_009
sn_669,Garnork,trb_009
sn_670,Garnuk,trb_009
sn_671,Garnuz,trb_009
sn_672,Garnvarn,trb_009
sn_673,Krenex,trb_009
sn_674,Krenig,trb_009
sn_675,Krenor,trb_009
sn_676,Krenork,trb_009
sn_677,Krenvarn,trb_009
sn_678,Trossak,trb_009
sn_679,Trossar,trb_009
sn_680,Trossash,trb_009
sn_681,Trossat,trb_009
sn_682,Trossax,trb_009
sn_683,Trossen,trb_009
sn_684,Trossex,trb_009
sn_685,Trossig,trb_009
sn_686,Trossith,trb_009
sn_687,Trossog,trb_009
sn_688,Trossok,trb_009
sn_689,Trossor,trb_009
sn_690,Trossork,trb_009
sn_691,Trossuk,trb_009
sn_692,Trossuz,trb_009
sn_693,Trossvarn,trb_009
sn_694,Varnak,trb_009
sn_695,Varnash,trb_009
sn_696,Varnat,trb_009
sn_697,Varnex,trb_009
sn_698,Varnig,trb_009
sn_699,Varnith,trb_009
sn_700,Varnok,trb_009
sn_701,Varnork,trb_009
sn_702,Varnuk,trb_009
sn_703,Varnuz,trb_009
sn_704,Varnvarn,trb_009
sn_705,Zornak,trb_009
sn_706,Zornar,trb_009
sn_707,Zornash,trb_009
sn_708,Zornat,trb_009
sn_709,Zornax,trb_009
sn_710,Zornen,trb_009
sn_711,Zornex,trb_009
sn_712,Zornig,trb_009
sn_713,Zornith,trb_009
sn_714,Zornog,trb_009
sn_715,Zornok,trb_009
sn_716,Zornor,trb_009
sn_717,Zornork,trb_009
sn_718,Zornuk,trb_009
sn_719,Zornuz,trb_009
sn_720,Zornvarn,trb_009
sn_721,Abbaah,trb_010
sn_722,Abbaam,trb_010
sn_723,Abbaat,trb_010
sn_724,Abbaen,trb_010
sn_725,Abbaep,trb_010
sn_726,Abbaes,trb_010
sn_727,Abbaeth,trb_010
sn_728,Abbaiah,trb_010
sn_729,Abbaim,trb_010
sn_730,Abbais,trb_010
sn_731,Abbaon,trb_010
sn_732,Abbaos,trb_010
sn_733,Abbaot,trb_010
sn_734,Abbara,trb_010
sn_735,Abbaun,trb_010
sn_736,Abbaut,trb_010
sn_737,Coptah,trb_010
sn_738,Coptam,trb_010
sn_739,Coptat,trb_010
sn_740,Copten,trb_010
sn_741,Coptep,trb_010
sn_742,Coptes,trb_010
sn_743,Copteth,trb_010
sn_744,Coptiah,trb_010
sn_745,Coptim,trb_010
sn_746,Coptis,trb_010
sn_747,Copton,trb_010
sn_748,Coptos,trb_010
sn_749,Coptot,trb_010
sn_750,Coptra,trb_010
sn_751,Coptun,trb_010
sn_752,Coptut,trb_010
sn_753,Elah,trb_010
sn_754,Elam,trb_010
sn_755,Elat,trb_010
sn_756,Elen,trb_010
sn_757,Elep,trb_010
sn_758,Eles,trb_010
sn_759,Eleth,trb_010
sn_760,Eliah,trb_010
sn_761,Elim,trb_010
sn_762,Elis,trb_010
sn_763,Elon,trb_010
sn_764,Elos,trb_010
sn_765,Elot,trb_010
sn_766,Elra,trb_010
sn_767,Elun,trb_010
sn_768,Elut,trb_010
sn_769,Morah,trb_010
sn_770,Moram,trb_010
sn_771,Morat,trb_010
sn_772,Moren,trb_010
sn_773,Morep,trb_010
sn_774,Mores,trb_010
sn_775,Moreth,trb_010
sn_776,Moriah,trb_010
sn_777,Morim,trb_010
sn_778,Moris,trb_010
sn_779,Moron,trb_010
sn_780,Moros,trb_010
sn_781,Morot,trb_010
sn_782,Morra,trb_010
sn_783,Morun,trb_010
sn_784,Morut,trb_010
sn_785,Sionah,trb_010
sn_786,Sionam,trb_010
sn_787,Sionat,trb_010
sn_788,Sionen,trb_010
sn_789,Sionep,trb_010
sn_790,Siones,trb_010
sn_791,Sioneth,trb_010
sn_792,Sioniah,trb_010
sn_793,Sionim,trb_010
sn_794,Sionis,trb_010
sn_795,Sionon,trb_010
sn_796,Sionos,trb_010
sn_797,Sionot,trb_010
sn_798,Sionra,trb_010
sn_799,Sionun,trb_010
sn_800,Sionut,trb_010
