migration_action_id,coordinate_candidate_id,canonical_spatial_point_id,planned_action,allocation_basis,identity_origin,requires_live_target_confirmation,existing_canonical_rows_destructively_updated,runtime_mode,effect_scope,status
spaction:nngla:d36edae491eb93717bfd6425875f801f554d2dc3cd5fc6cf5c15c7fc66087b9f,coordcand:nngla:d4cad30cde6a6969daffd424a0da16dd7ba8caec05d1aa4b3fbf3484fcd1367f,NG-SPT-001115,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:229b425c012a32160176c2d33abb7e73935e5d1808a856c4bc366945376b4e1c,coordcand:nngla:ee899760c1e1a97252dad8d915766071a098194dd151d4a3209d5c53f4631343,NG-SPT-001116,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:8845b4a31deefef1fba22d6c911c525064974161fad2e11a21045f4fc9de5179,coordcand:nngla:f34925eb938baea69de230e48b343aa7465f68088e6f72890971aa1850ff2c00,NG-SPT-001117,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:a5212f340b687d7e0a3c01c4b70ffe73d6aaac50151e883db4918e8f7da63c1a,coordcand:nngla:f74a06d9f118e49d2dbf88dc5c216e71e44bf690c800d64de55263d830d7a497,NG-SPT-001118,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:f6165ae383603acdc647b40c473fcfa4293a599ea5705a3d1f25d907bf43dd52,coordcand:nngla:d77ec4bf087c402ba89ba4d327e729795d7d6869164a3257215c0551c7b93746,NG-SPT-001119,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:90af356f4040ee4e3dee0171343bf17aba114e6877f787deb84b8bcbb467ae42,coordcand:nngla:d054aca6e68548ea4862bec0c150a9eb3def26c7ed8be39ecd1572f4da989e55,NG-SPT-001120,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:60b291e4bdadaa532e86e70a49c71c715edfabf00b8c065fd566adbccb5f1aff,coordcand:nngla:e8172fc56e3ed10c6d9bc4a05dfe7832de01c0fa4dc7c62b3b0270c82d3be50b,NG-SPT-001121,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:f1ecc1daf1e2461df4aa738e255287871062f6c6095f1b7587dc2f041b6a556f,coordcand:nngla:5e59455e6ce2c56ced5bac21c357babde8cda804bb8d6c247b7a8d37f68b7e9c,NG-SPT-001122,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:6681198aca228d73984989380c0e3d7ce1a67af5f33cd12a856363d253974044,coordcand:nngla:cbe80b98ab5a356ebaa35e2190e0ef3785b5cd7765cab778c742f65612c1711e,NG-SPT-001123,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:6b564f8360723c2abd8fb401c4bb2c5cea13f509dc22c148b61c03e0ac974061,coordcand:nngla:65697d0035b42beefafc4aac55b50ba6187546cefb7d7424ba2e2c07b36e03bd,NG-SPT-001124,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:b05b9642725f7092f59efa78686e9114464ef4f6646e5ffabca28d44882637fd,coordcand:nngla:4417c7b3beffbfdb9eb3ebe0de37ada7baf81e865560109210e0f36231d577ef,NG-SPT-001125,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:9d7b6dc921169e7ce16a32d4768808f21ce6ab5082d000dce42aed3a702d8f88,coordcand:nngla:147c0038195d453251b8f20fddac0862c3aec48508a99d9877ed4fec1519d4ab,NG-SPT-001126,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:a2a556d1cb945b3c882287654063d102523432447103b6322e057dd103f74ad4,coordcand:nngla:9838074d78b86eafcdedf12869bdb5af8ef8ed44fd0ad520cde53db31c437bf2,NG-SPT-001127,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:74a6bf59a2bd7bf16d39f24e0bf14afc624857de734f26b94dc133f574ea9175,coordcand:nngla:4dc26feae7e90aba071246b27f1e5889f3f5323219fe678bbb84353670d69c1d,NG-SPT-001128,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:e5884e9c017a0defd7a72229a2e6b9126b7c4f344163af431fe429f6a0f6f5d7,coordcand:nngla:9792985da2dc6081fbfac5957f7e38a9f0ebd27b003ce83ea5bd386e0d841a19,NG-SPT-001129,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:15b49dd17cfdf0c0ca3cfeda3bd18813e4f8dd2d65c9012192f9e06308bf4be2,coordcand:nngla:80f0b68c3d46df575d3a3e4f23ea3bb990d3f3620f7fe3196f5d8ce6acb9cf50,NG-SPT-001130,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:aa9a744b38b80c65ac99ec9ed54744aa09555b50301bb3f40e0dae14b3c0b44f,coordcand:nngla:74de8960ae2c3428dddbd25327c869eb5dcffcf28bfcb8f8191b089ca90ec45d,NG-SPT-001131,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:6f92a18ab14f29c7c0c394a472f7cd4dfa3b43aaf8d4321bcc61a4578bfa9ebd,coordcand:nngla:3bc4f045ad6d31848678097316f276d53875b55c15378d07cb4f26013f69f0cf,NG-SPT-001132,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:8ef5ce6e95397516fc3c0ec7e9aafa4af17764360d7c44d3174db44b80f29bfe,coordcand:nngla:df4e2884c6ad08af27b214675c53d72a6d5fbf8b13bc811a2c9d2f7bd611a6d0,NG-SPT-001133,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:e7f200f910a671a0e9448c177b614e73665167fc09ce62452e83c9376dd494c8,coordcand:nngla:1719d54263aa5767aa91e9d7702d502d46e5e9fe0a0482ba45c4f8524d818908,NG-SPT-001134,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:9600b488441180a480d1b8bd5b7e88ff65e1c9933b3aaaa3dda742a451fed990,coordcand:nngla:25b5f815f4938d7061afc063f4af7fc579b6393162e6169816ea236280c4c3ed,NG-SPT-001135,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:93c5d8aca201b3061ed5a1531cae9feafe8f303a0fd072310441dc39a4fb3292,coordcand:nngla:861c99b82e0ca41f98fa5d405d30c75e58922cf12da80ad24f80bef6180b0371,NG-SPT-001136,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:9719f6e869bdfb8cc6a8db0ead109ca2e7fca7ec0fd15881db4d9b7ee6d765cb,coordcand:nngla:c5da6f9b60ef43e6d091aa796733f9a97de0479a2aacc7ff3a90a57c80f2a12e,NG-SPT-001137,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:a31c48125bfb88e8a9ff2e7c4711ac50cd8c64c22ecd45504da9cc8ce8bb39b3,coordcand:nngla:f498ede860ba4e580c8bc12dbeed7d010d9031aba10df169c461aae7116c7235,NG-SPT-001138,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:55a8c7a27ec9c0c2000920ecfa438e0846031d77a469573fe9d06b6859c92728,coordcand:nngla:3bb5663b48b9e9a7df97d728494b6570f75ba2527b49fa75276536e79453e219,NG-SPT-001139,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:01c1e3d59d8bc6f8967113909e3eecbbe6ab6404718b6aab1cb2fe9d242fa5c0,coordcand:nngla:b1bffb317f791c4f6e39a19bd4c9d3b67952a4b677d8fbb361d2a4d73d83007f,NG-SPT-000001,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:9966c767a2268c376150654a86cdfbeed670d2dea4e744691568131116a2a35e,coordcand:nngla:2bcb36a40983a376f738e44d5925d3e557b363ee6dd50af0de6d3c0a5d582116,NG-SPT-000002,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:349be4ad2dbac28e9c22b0e328a1b87002d8a0c015b54e0691946b2335108449,coordcand:nngla:81aec24c2e7e2bf35b1c5ad6c4e5c38999e76d2cecae1164bab44ad86049db69,NG-SPT-000003,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:896ef343bc64e12e0317c0ef654be5c683d994317956fb3f9c1ec2b793482b9d,coordcand:nngla:10214c84d7b7de094f614b861c10437d5c6949e99340bc9ac6c804b44a16a377,NG-SPT-000004,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:c96c20011600dbec2985fe858a68d2b4eed2466a8913c5d50dd73bb8dc4af45a,coordcand:nngla:57409d906620fc5e6a0a6598708535927a8b26bf62ae11230bbacc3fb8ae99f8,NG-SPT-000005,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:b9007d159974d8d70792402287f25d9ebafc0617ca69cc5f9c7d04a0df7d5ab7,coordcand:nngla:5734a3cf5723e5b55f146884bcf22a6774dd8b140d6bd7e57f25e7a91551e92c,NG-SPT-000006,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:8f0c52164e5d8164d9e599694aeefedf308983d3ec95cfdece185e30789d8d1a,coordcand:nngla:e60b7b147ad4e8bb8683eaea08d50a974776d9a01d9343f23f6bc4b7e4f8147c,NG-SPT-000007,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:0e1d273495896b540d12997483895e2d87cc02b2e3b6997e3b185674c898d23c,coordcand:nngla:b0fd96316927c097045d6941adfb96b0f5919e3f5af03736294dc2b7c8965258,NG-SPT-000008,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:49ff41dc9bf8b9790028db6246aaaab7a10165f98fa9efa20894260e601c057d,coordcand:nngla:da710db43c8e7b2b2a1341889fd7bd274452123fdc4d43054fa8ea090cc231ea,NG-SPT-000009,INSERT_NEW,EXACT_COORDINATE_MATCH_TO_BUNDLE17A_NG_SPT_IDENTITY,EXISTING_GOVERNED_SOURCE_IDENTITY,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:bb3ac51a7562edd7cfd8c3beff67b75eac08221efc90f1b554188e6d946d1843,coordcand:nngla:9f2874914368c5fc10cfe8c42d158525c3ed3de01bcb0bda4fa93da83e624905,NG-SPT-001140,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:294a03ea12c74d6558fca11294c7bcb1074813d5a9caa22eeb20f9b2864662a2,coordcand:nngla:f09acb943aabc3bef249e903bf1bee0fa1ec6ba0daea65b1e7658074b105eb0d,NG-SPT-001141,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:798dd273f0d1ba868612ab2f93fc63fadacbe67970e78c12e0697e61017baeb7,coordcand:nngla:751cb64a00c562a9f0a309765d31a22d4b3fb418f18e65f22c71acde3a82214b,NG-SPT-001142,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:c4b99803e79828b3c4af82293cc35ecb06c48a5edff8ad3aa0194bdf4e1879e0,coordcand:nngla:6cde1e9bb50c70468099f9112f628c613f1a454e127f89953e05d57554c9125c,NG-SPT-001143,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:d64bb46b4dda712d6868a6b225a4a93f9bb34c16ed38aa8a2d4fb28c1f35098a,coordcand:nngla:8761a7bc67d5ca1af17b61e2102b025dba8168de9fa00d0956d0254525c9295c,NG-SPT-001144,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:4fe58e2e54abdd3024a6fc7643de52572fa73a9d5db4496b0cd82e5a47614d45,coordcand:nngla:1082bf9da1d8af8635abbcf0c7c27f539ac6b6b736cc4bcb59c48808466d2fd4,NG-SPT-001145,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:3b668704738052ba556e14ed926e7370f789a56cf87f28bb0997c2dcaabf5fd8,coordcand:nngla:3a59e360ad463b153406184228bd0ffc8c4e3e7b85221face9705b405f58f6b2,NG-SPT-001146,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:6f7142787bd810e07a7051f1669bf66ce5fece081f3c5d9738b698f90507c2ca,coordcand:nngla:7cb98f3adfc28ccabd07c0459a0eeafbed5d25f51c8d8bdcb663758c19bf422e,NG-SPT-001147,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:4f8a466c9aeeb1c8907fe691453e30f665d921653310d60dd3fbcb19f659ddae,coordcand:nngla:169418da8c2358d7cd4704bb55904ce1f1022d0789038bea7d01a1e09419025e,NG-SPT-001148,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:4ea07ae71bab401b25b9e400c824611c46a03f6d491f86ec81d08ae0240abc63,coordcand:nngla:d20ebfa112bef3d7e240c669db222a04db932673b09d772dc314a264f3038d65,NG-SPT-001149,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:328f74ac63a8846f9edc5c7e888f5c3b666226980ee6ebb71764caec343a99d6,coordcand:nngla:f3b8ef73eac57272b34dc4d81fc63977fe1ff9a9505512e633b9c6bea806edb3,NG-SPT-001150,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:48b0f272f04e872672f93ce3cbc9a96932242ec918cbcebd7d33c6a5eb770c0c,coordcand:nngla:6f01454f0ed8384594d5e2b23f12b187fb0c848d37e98500841453a992f7d953,NG-SPT-001151,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:fceae52f505e16085a2d689a3d2cc275a5c6d38dc74f67ae1a7a29ed9b2105a0,coordcand:nngla:2b0ba8c51863f5bef49475b56b5f966fb22fc289c9d8a4e863ef45464acd7fe5,NG-SPT-001152,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:ddb5b0464175c49b4208a9a468f922614f560ff3457b2942df15d05f5f5682bd,coordcand:nngla:9b835a39b53fe14798aa2acc18de1983e02861791bdd43d9f706ed7845b553b8,NG-SPT-001153,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:222f9f722a8f1fdc69f5d2475b7c32f31ce579e9722bc93aa2f1b77f470d3a96,coordcand:nngla:8624a1ae9e8f52c04446c05420f3c7a3d192661f9799d207be88185b19aeffd5,NG-SPT-001154,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:2c2ca0a38ae3a7b1b669b4760c9364746abd7073119137e8fec8291442da305f,coordcand:nngla:f11ef67e6db8292a84a1a0e174f652c0f7ac4214762c8bc5c8180c50f7ccf4ee,NG-SPT-001155,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:a607d67314fb96d3d601b7cb61dd39f787b7ffa90741f0024ef88cddd333aee1,coordcand:nngla:c034f2af85d06e915dc09f35104a57a5843e522a630789740efb956bce92bf9b,NG-SPT-001156,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
