result_id,candidate_id,feature_type_code,disposition,canonical_feature_id,qualified,production_authority_required,geometry_ready,history_preserved,result_status,findings
featresult:nngla:662de5aaab6e59fd7ff0896ae4ba951cc59a932562d409bde7855a89ec92ec00,featcand:nngla:ad47dd83866988f71363bdcb93803d8082d152291fc49efe5594dbd7735f6715,BAY,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:860e1fa90c2689192e88d039039256a0da80e0a94d632b520140b455b717d53d,featcand:nngla:c703028de20598dbe6c18d84aecb132d0259ecc6a7b6bb1f0b1682b805aa15b4,BAY,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:99003c78a5072b73b8c1e189bc5ae8b1b5e8156d53d60c9427c6bcd65b9242d7,featcand:nngla:94a6b95778e50ad21ecc0c43ee631e14f3e1d3167904fed915fde4f8f352b341,BAY,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:58aa4d471580c3760353b507352474f6e4abfd4052be232ba652b83d0ec092d9,featcand:nngla:527160120e45bc5d72b6e74d18d0da17ef884f04ed491e362d5bc27b731192d6,BEACH,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:8934ff822494729c04d20dd6ac73a70f4e1ebb190c4c4224cde551f56a2a89e8,featcand:nngla:5dd1844f975bef0c601caf8bf8216fbe6752a956ab7ab0f03c41c5776f3a356f,BEACH,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:b026a599f6d350d4d3f280ab0611dc268718cd7ad119d61a81480b29371c1795,featcand:nngla:e52f407f40e5e1f2e38d4e37cc5be886dbc13e62f751a36d4fce37b0d5ba7a90,CAPE,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:6e193d04ac6736120fe8a8683ce6cc899b75eefe459a157a47572a3a3845c6e0,featcand:nngla:ec386dc60c8705effc40d736166199d308e2a58f3a15af329f23f2d543e97204,CAPE,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:9d3231484ea2bddc6487006c4e3e7c5310f9b8919badf4f5680cc0a8d9ed8f6d,featcand:nngla:16eb87a6aeb19e615da3a78fde6644b434c2595ac3267b842f90dde218d907f8,CLIFF,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:74d7a219bd2ffac83af9226ac0ca137edc3bb566f8890b6a33b44b78bcb6fa4a,featcand:nngla:344194e1f564ad7451259d165dd535e87e822d6bdf84372089d24a66c9d2ca02,CLIFF,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:670573d937eab89283b0acece6a1e6bd2865b5cd9d57f31d651eca6e5bbde23f,featcand:nngla:2606f0b4a228bc001e6808d015518c0fcbd5b92ad37c3f1da6b41c8d6407101b,ESTUARY,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
featresult:nngla:30714cd055c09ffceeb50321cbd33c5f1fbec997a6c2188f5886c6af464ebb30,featcand:nngla:37a1cc1e33ee9abe894715eb292177e0d7097bdab86e267c1b71a532486bad24,NATURAL_HARBOUR,DEFER,,false,true,false,true,DEFERRED_PENDING_EVIDENCE,physical-geometry-extraction-required
