source_fidelity_result_id,coordinate_occurrence_id,source_file_id,source_record_id,source_dataset_id,source_dataset_version,source_path_reference,expected_source_sha256,actual_source_sha256,source_coordinate_match,source_attribute_match,dataset_lineage_match,crs_lineage_match,fidelity_status,findings
NG-FID-00000011,coordocc:nngla:53160619702927a62df2ccd45cf0d74818073d7f1aee9970865228310adcfcc9,NG-SPFILE-001,NG-CLIM-OBS-000011,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000012,coordocc:nngla:cff55a3fbcf5a4b1020e2668e34aa62963424dd435313a20f3c4b318e9e1364b,NG-SPFILE-001,NG-CLIM-OBS-000012,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000013,coordocc:nngla:81f5397ce2f57f446c3e00bd946ce622f4102111d07f366251901ded4bb68540,NG-SPFILE-001,NG-CLIM-OBS-000013,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000014,coordocc:nngla:13158ae93406de8784e03ffe1a661c457b0beffdf1440a985d45dd4da2271aa6,NG-SPFILE-001,NG-CLIM-OBS-000014,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000015,coordocc:nngla:6d45ec4ec5d4f3ef0c58c26c35633d96892489c78bf2c645b3cf4d502a05d603,NG-SPFILE-001,NG-CLIM-OBS-000015,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000016,coordocc:nngla:52f5d0a898f40a514b819dbb24028adebd9e3829690c5640c63b1e89c3b08302,NG-SPFILE-001,NG-CLIM-OBS-000016,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000017,coordocc:nngla:38086f58b6e267152b66b5b951a1e58111fdaed21868934fadb7fe6d27871917,NG-SPFILE-001,NG-CLIM-OBS-000017,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000018,coordocc:nngla:65da033588778ad23a6225fc09c9a0f7a4d01836f50d1c11abd80316c5f0c8d7,NG-SPFILE-001,NG-CLIM-OBS-000018,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000019,coordocc:nngla:e17cf7d36de3b2a85d0c0f4b662d0e7583fa8717e6850825ee91e4e600339cdc,NG-SPFILE-001,NG-CLIM-OBS-000019,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000020,coordocc:nngla:88ffd1df5f446482c2a99c164a65d2620ee7e2b57b981cdce393a049c5be23eb,NG-SPFILE-001,NG-CLIM-OBS-000020,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000021,coordocc:nngla:b5fedab305bdaaba1cfa1b244a3b6c289150a6290f1e296dd343e53eced1e394,NG-SPFILE-001,NG-CLIM-OBS-000021,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000022,coordocc:nngla:6199b34a098a3116b78b55465373b5016801d608e216b0da55c00d5a3cf71f78,NG-SPFILE-001,NG-CLIM-OBS-000022,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000023,coordocc:nngla:d164c8c23365ace077390dd8decff9317aaae3677638feb0eda23b663556f05f,NG-SPFILE-001,NG-CLIM-OBS-000023,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000024,coordocc:nngla:3833ae8c86b488c75f2c7166145af7d47e7c3081a7295778cbf7dbd62773e80b,NG-SPFILE-001,NG-CLIM-OBS-000024,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000025,coordocc:nngla:1aff3c8e901659bc68e708164aa023ead97cd33dd4ff3d4d2cb40a6f4fdd7ba5,NG-SPFILE-001,NG-CLIM-OBS-000025,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000026,coordocc:nngla:4a759f49c02bd9de7d473a23c80f644ce0f04fcbb37892e02334ffa7b25dca20,NG-SPFILE-001,NG-CLIM-OBS-000026,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000027,coordocc:nngla:4d0115c2f3fface77a0063b5dd8ad2f42e6b2475fb2151f0fd4f0209ea40340b,NG-SPFILE-001,NG-CLIM-OBS-000027,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000028,coordocc:nngla:c82d074a8d2873d2fb2ecc82c449654fc1268e90519e37a8bb435c03dcc58990,NG-SPFILE-001,NG-CLIM-OBS-000028,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000029,coordocc:nngla:85e080941c94be75e7b557770e8f5a0489512254bf9aa8bb2f080cb37701b0e0,NG-SPFILE-001,NG-CLIM-OBS-000029,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000030,coordocc:nngla:56b8f4e0a01080f2fe1e872fdb44606e6505674def0c9ca2e17574aae5bebfb2,NG-SPFILE-001,NG-CLIM-OBS-000030,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000031,coordocc:nngla:3c7247d019ba49eafc7e5c706b3cbeb3c6a9ca3245a1ab0114b8f95705eb9d28,NG-SPFILE-001,NG-CLIM-OBS-000031,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000032,coordocc:nngla:9baaf690fc0c0d90f1515b6e7a9c781cdfc0c8b41cd6762abde7165e19db2c4a,NG-SPFILE-001,NG-CLIM-OBS-000032,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000033,coordocc:nngla:f37caa68d4460928070422380eec4ee9cc979a92d460be65365c5ffe93070e18,NG-SPFILE-001,NG-CLIM-OBS-000033,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000034,coordocc:nngla:264047d5e4006d6cbee7b2e2e57ac344fa347ba47a6929abf9830ccbb160c4b4,NG-SPFILE-001,NG-CLIM-OBS-000034,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000035,coordocc:nngla:b5972d0ae1913b087ed003b8c9c986a7761f25af034dc1886fb2fc47a0d39e68,NG-SPFILE-001,NG-CLIM-OBS-000035,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000036,coordocc:nngla:397feecbe8961f21fec218402e020dd6b892acc165207aa85fe7d8e2e48312e9,NG-SPFILE-001,NG-CLIM-OBS-000036,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000037,coordocc:nngla:38b1e9d8cd3f72687d844de1f3c47045bd269d31109277065671f9fd6891571e,NG-SPFILE-001,NG-CLIM-OBS-000037,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000038,coordocc:nngla:a9dc7e2ba6d3725a4778736ef7ba5b9cd6a18fae153d5cd0936a48b5f70cc8f3,NG-SPFILE-001,NG-CLIM-OBS-000038,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000039,coordocc:nngla:8325dd2e0e9a1dc199f763cafc60f8bf91a59a202a5680ae4ce12051cb2167d0,NG-SPFILE-001,NG-CLIM-OBS-000039,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000040,coordocc:nngla:01d6b256c9d8dbd8135c7e2b923b99ecfbe4dbb0b3f49f0fa689ad5fe3f6d520,NG-SPFILE-001,NG-CLIM-OBS-000040,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000041,coordocc:nngla:0945e4df032837e5aeafdd44b463fbcdce9df86de5fc9a74a0944194a289d725,NG-SPFILE-001,NG-CLIM-OBS-000041,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000042,coordocc:nngla:54c59a1a153e335fcb9a8af1ebfaf62a88c299a3716c04054e8c0de0f5027458,NG-SPFILE-001,NG-CLIM-OBS-000042,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000043,coordocc:nngla:11a7ae9a966628cfc91e346c76fc98e1a677aac9dbfb6558daa235edfbc51014,NG-SPFILE-001,NG-CLIM-OBS-000043,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000044,coordocc:nngla:0a784a8e5205fb5244e29623ebbf0a13581e073c36dec867114e99e424f02322,NG-SPFILE-001,NG-CLIM-OBS-000044,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000045,coordocc:nngla:11845ade02b4e5e1389c56e72231c740e6f5572685b21ad16e4ad2b7e602a4e0,NG-SPFILE-001,NG-CLIM-OBS-000045,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000046,coordocc:nngla:9287009357a1b2f820026b084a894eae3a15380f9d40d573791bcc9074aac0f3,NG-SPFILE-001,NG-CLIM-OBS-000046,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000047,coordocc:nngla:a9108ae76d47fa2894603ed2056e0edb2749a81f0bb66d4653cece416de18c1e,NG-SPFILE-001,NG-CLIM-OBS-000047,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000048,coordocc:nngla:b168c6a2933d2fa561fa021813d0f81f378b69a784c9af61bc131cb33848222c,NG-SPFILE-001,NG-CLIM-OBS-000048,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000049,coordocc:nngla:e43f2584e410d350e267e3971116f3604663f87c3f547984d02dad5609360444,NG-SPFILE-001,NG-CLIM-OBS-000049,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000050,coordocc:nngla:0ae5559d294e4efc2c99b83bc9d3ff0cbdb1d6eaeb8fc1313f586cf4d8f491e7,NG-SPFILE-001,NG-CLIM-OBS-000050,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000051,coordocc:nngla:9e81559dd05b1a93f50b74c68ff1bdb66379ccbf8c272a44b7671a7563c239f1,NG-SPFILE-001,NG-CLIM-OBS-000051,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000052,coordocc:nngla:a07c289bc0561ac63aba1a7a1317015463251cb925ec205bae949d60190af39a,NG-SPFILE-001,NG-CLIM-OBS-000052,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000053,coordocc:nngla:796ebd547ce299b99f9d73393faa30c290798ee9193dd8886ccc7be144a472e0,NG-SPFILE-001,NG-CLIM-OBS-000053,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000054,coordocc:nngla:91aa053a34f90217e20e588ec610cb02f4e2ee68132ff780523a417be48c692e,NG-SPFILE-001,NG-CLIM-OBS-000054,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
