precondition_result_id,association_candidate_id,canonical_subject_id,geometry_id,identity_preserved,canonical_subject_confirmed,geometry_evidence_available,geometry_traversal_valid,subject_role_compatible,association_ready,precondition_status,findings
NG-SPAPRE-0000027,assocand:nngla:place:NG-PLC-000027,NG-PLC-000027,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000028,assocand:nngla:place:NG-PLC-000028,NG-PLC-000028,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000029,assocand:nngla:place:NG-PLC-000029,NG-PLC-000029,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000030,assocand:nngla:place:NG-PLC-000030,NG-PLC-000030,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000031,assocand:nngla:place:NG-PLC-000031,NG-PLC-000031,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000032,assocand:nngla:place:NG-PLC-000032,NG-PLC-000032,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000033,assocand:nngla:place:NG-PLC-000033,NG-PLC-000033,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000034,assocand:nngla:place:NG-PLC-000034,NG-PLC-000034,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000035,assocand:nngla:place:NG-PLC-000035,NG-PLC-000035,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000036,assocand:nngla:place:NG-PLC-000036,NG-PLC-000036,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000037,assocand:nngla:place:NG-PLC-000037,NG-PLC-000037,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000038,assocand:nngla:place:NG-PLC-000038,NG-PLC-000038,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000039,assocand:nngla:place:NG-PLC-000039,NG-PLC-000039,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000040,assocand:nngla:place:NG-PLC-000040,NG-PLC-000040,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000041,assocand:nngla:place:NG-PLC-000041,NG-PLC-000041,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000042,assocand:nngla:place:NG-PLC-000042,NG-PLC-000042,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000043,assocand:nngla:place:NG-PLC-000043,NG-PLC-000043,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000044,assocand:nngla:place:NG-PLC-000044,NG-PLC-000044,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000045,assocand:nngla:place:NG-PLC-000045,NG-PLC-000045,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000046,assocand:nngla:place:NG-PLC-000046,NG-PLC-000046,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000047,assocand:nngla:place:NG-PLC-000047,NG-PLC-000047,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000048,assocand:nngla:place:NG-PLC-000048,NG-PLC-000048,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000049,assocand:nngla:place:NG-PLC-000049,NG-PLC-000049,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000050,assocand:nngla:place:NG-PLC-000050,NG-PLC-000050,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000051,assocand:nngla:place:NG-PLC-000051,NG-PLC-000051,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000052,assocand:nngla:place:NG-PLC-000052,NG-PLC-000052,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000053,assocand:nngla:place:NG-PLC-000053,NG-PLC-000053,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000054,assocand:nngla:place:NG-PLC-000054,NG-PLC-000054,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000055,assocand:nngla:place:NG-PLC-000055,NG-PLC-000055,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000056,assocand:nngla:place:NG-PLC-000056,NG-PLC-000056,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000057,assocand:nngla:place:NG-PLC-000057,NG-PLC-000057,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000058,assocand:nngla:place:NG-PLC-000058,NG-PLC-000058,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000059,assocand:nngla:place:NG-PLC-000059,NG-PLC-000059,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000060,assocand:nngla:place:NG-PLC-000060,NG-PLC-000060,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000061,assocand:nngla:place:NG-PLC-000061,NG-PLC-000061,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000062,assocand:nngla:place:NG-PLC-000062,NG-PLC-000062,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000063,assocand:nngla:place:NG-PLC-000063,NG-PLC-000063,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000064,assocand:nngla:place:NG-PLC-000064,NG-PLC-000064,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000065,assocand:nngla:place:NG-PLC-000065,NG-PLC-000065,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000066,assocand:nngla:place:NG-PLC-000066,NG-PLC-000066,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000067,assocand:nngla:place:NG-PLC-000067,NG-PLC-000067,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000068,assocand:nngla:place:NG-PLC-000068,NG-PLC-000068,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000069,assocand:nngla:place:NG-PLC-000069,NG-PLC-000069,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000070,assocand:nngla:place:NG-PLC-000070,NG-PLC-000070,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000071,assocand:nngla:place:NG-PLC-000071,NG-PLC-000071,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000072,assocand:nngla:place:NG-PLC-000072,NG-PLC-000072,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000073,assocand:nngla:place:NG-PLC-000073,NG-PLC-000073,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000074,assocand:nngla:place:NG-PLC-000074,NG-PLC-000074,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000075,assocand:nngla:place:NG-PLC-000075,NG-PLC-000075,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000076,assocand:nngla:place:NG-PLC-000076,NG-PLC-000076,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000077,assocand:nngla:place:NG-PLC-000077,NG-PLC-000077,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000078,assocand:nngla:place:NG-PLC-000078,NG-PLC-000078,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000079,assocand:nngla:place:NG-PLC-000079,NG-PLC-000079,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000080,assocand:nngla:place:NG-PLC-000080,NG-PLC-000080,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000081,assocand:nngla:place:NG-PLC-000081,NG-PLC-000081,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000082,assocand:nngla:place:NG-PLC-000082,NG-PLC-000082,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000083,assocand:nngla:place:NG-PLC-000083,NG-PLC-000083,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000084,assocand:nngla:place:NG-PLC-000084,NG-PLC-000084,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000085,assocand:nngla:place:NG-PLC-000085,NG-PLC-000085,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000086,assocand:nngla:place:NG-PLC-000086,NG-PLC-000086,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000087,assocand:nngla:place:NG-PLC-000087,NG-PLC-000087,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000088,assocand:nngla:place:NG-PLC-000088,NG-PLC-000088,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000089,assocand:nngla:place:NG-PLC-000089,NG-PLC-000089,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000090,assocand:nngla:place:NG-PLC-000090,NG-PLC-000090,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000091,assocand:nngla:place:NG-PLC-000091,NG-PLC-000091,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000092,assocand:nngla:place:NG-PLC-000092,NG-PLC-000092,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000093,assocand:nngla:place:NG-PLC-000093,NG-PLC-000093,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000094,assocand:nngla:place:NG-PLC-000094,NG-PLC-000094,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000095,assocand:nngla:place:NG-PLC-000095,NG-PLC-000095,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000096,assocand:nngla:place:NG-PLC-000096,NG-PLC-000096,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000097,assocand:nngla:place:NG-PLC-000097,NG-PLC-000097,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000098,assocand:nngla:place:NG-PLC-000098,NG-PLC-000098,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000099,assocand:nngla:place:NG-PLC-000099,NG-PLC-000099,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000100,assocand:nngla:place:NG-PLC-000100,NG-PLC-000100,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000101,assocand:nngla:place:NG-PLC-000101,NG-PLC-000101,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000102,assocand:nngla:place:NG-PLC-000102,NG-PLC-000102,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000103,assocand:nngla:place:NG-PLC-000103,NG-PLC-000103,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000104,assocand:nngla:place:NG-PLC-000104,NG-PLC-000104,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000105,assocand:nngla:place:NG-PLC-000105,NG-PLC-000105,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000106,assocand:nngla:place:NG-PLC-000106,NG-PLC-000106,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000107,assocand:nngla:place:NG-PLC-000107,NG-PLC-000107,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000108,assocand:nngla:place:NG-PLC-000108,NG-PLC-000108,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000109,assocand:nngla:place:NG-PLC-000109,NG-PLC-000109,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000110,assocand:nngla:place:NG-PLC-000110,NG-PLC-000110,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000111,assocand:nngla:place:NG-PLC-000111,NG-PLC-000111,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000112,assocand:nngla:place:NG-PLC-000112,NG-PLC-000112,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000113,assocand:nngla:place:NG-PLC-000113,NG-PLC-000113,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000114,assocand:nngla:place:NG-PLC-000114,NG-PLC-000114,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000115,assocand:nngla:place:NG-PLC-000115,NG-PLC-000115,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000116,assocand:nngla:place:NG-PLC-000116,NG-PLC-000116,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000117,assocand:nngla:place:NG-PLC-000117,NG-PLC-000117,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000118,assocand:nngla:place:NG-PLC-000118,NG-PLC-000118,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000119,assocand:nngla:place:NG-PLC-000119,NG-PLC-000119,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000120,assocand:nngla:place:NG-PLC-000120,NG-PLC-000120,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000121,assocand:nngla:place:NG-PLC-000121,NG-PLC-000121,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000122,assocand:nngla:place:NG-PLC-000122,NG-PLC-000122,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000123,assocand:nngla:place:NG-PLC-000123,NG-PLC-000123,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
