traversal_qualification_id,geometry_id,subject_type,subject_id,geometry_type_code,crs_code,source_path_reference,source_artifact_exists,source_sha256_matches,geometry_type_supported,crs_valid,qualified_source,traversal_basis,identifier_sequence_used,traversal_status,findings
NG-GTRAV-000011,NG-GEO-000011,MOUNTAIN,landform:novegeo:mountain:002,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000012,NG-GEO-000012,MOUNTAIN,landform:novegeo:mountain:003,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000013,NG-GEO-000013,VALLEY,landform:novegeo:valley:001,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000014,NG-GEO-000014,VALLEY,landform:novegeo:valley:002,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000015,NG-GEO-000015,VALLEY,landform:novegeo:valley:003,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000016,NG-GEO-000016,PLAIN,landform:novegeo:plain:001,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000017,NG-GEO-000017,PLAIN,landform:novegeo:plain:002,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000018,NG-GEO-000018,PLAIN,landform:novegeo:plain:003,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000019,NG-GEO-000019,PLATEAU,landform:novegeo:plateau:001,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000020,NG-GEO-000020,PLATEAU,landform:novegeo:plateau:002,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000021,NG-GEO-000021,PLATEAU,landform:novegeo:plateau:003,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
