relationship_evidence_id,subject_family,subject_type,subject_id,subject_geometry_reference,relationship_type_code,object_family,object_type,object_id,spatial_reference_id,coordinate_candidate_id,evidence_class,evidence_reference,relationship_basis,distance_value,distance_unit,valid_from,valid_to,qualification_status,runtime_effect_scope,notes
sprel:nngla:2b41b45ec9de3669424bd46eed678a54edd921711bcb406ee035b0365badbe96,NATURAL_FEATURE,PLAIN,NG-PLN-CAND-000002,landform:novegeo:plain:002,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:04eb57ee2b566afc698e5fe39216bd3fa410f98333746efb87163fcef597970b,coordcand:nngla:04eb57ee2b566afc698e5fe39216bd3fa410f98333746efb87163fcef597970b,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plain_candidates_v001.csv#NG-PLN-CAND-000002,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:8797c03a2b63450b8d7d6d734285d46353540c168c055710b7ff1fbf67678326,NATURAL_FEATURE,PLAIN,NG-PLN-CAND-000003,landform:novegeo:plain:003,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:0c60c08dd0e120aadff86f44251a5c34a627a1b97b81cf1a0d1ba3db505e1532,coordcand:nngla:0c60c08dd0e120aadff86f44251a5c34a627a1b97b81cf1a0d1ba3db505e1532,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plain_candidates_v001.csv#NG-PLN-CAND-000003,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:41e98c034e0e24b7d44ae34d2ba461423bf929c0a50a7932f477c4b7b11cb98e,NATURAL_FEATURE,BAY,NG-BAY-CAND-000001,polygon-01:ring-01:338-363,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:a20bcc43591826bc717ae90b3c75a24a0934db6c42d78a7f65fb439165904fbb,coordcand:nngla:a20bcc43591826bc717ae90b3c75a24a0934db6c42d78a7f65fb439165904fbb,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv#NG-BAY-CAND-000001:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:5ba103044e61033945b796127a3319090345ea8d923e27ab43fd3bf8b6a7f6f7,NATURAL_FEATURE,BAY,NG-BAY-CAND-000001,polygon-01:ring-01:338-363,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:2d612409ad5efc757e90e3362076ed1689a26a91103f805d911202f6045a5878,coordcand:nngla:2d612409ad5efc757e90e3362076ed1689a26a91103f805d911202f6045a5878,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv#NG-BAY-CAND-000001:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:cf209f0e7777db2db91c62dc79381ae1fc93dfa1aff2146a58b1868be9a154f9,NATURAL_FEATURE,BAY,NG-BAY-CAND-000002,polygon-01:ring-01:364-389,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:e723bdb0739aa12d095e844bb476c910faba07453a40a2613114335f5c7a20c4,coordcand:nngla:e723bdb0739aa12d095e844bb476c910faba07453a40a2613114335f5c7a20c4,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv#NG-BAY-CAND-000002:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:84246b135e1e2cbc664171503fe2e3b45b540439228c125e5c17e0494bf0e137,NATURAL_FEATURE,BAY,NG-BAY-CAND-000002,polygon-01:ring-01:364-389,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:5c274c7b2a6de9daeaa7c23b19b3f592e0a97d8dbb3ab38e594e7a4b4b810628,coordcand:nngla:5c274c7b2a6de9daeaa7c23b19b3f592e0a97d8dbb3ab38e594e7a4b4b810628,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv#NG-BAY-CAND-000002:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:eafdc6dc7f512fe743a08b0666d47853fe74228099ab9f5288a9fee6847139ba,NATURAL_FEATURE,BAY,NG-BAY-CAND-000003,polygon-01:ring-01:442-467,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:118e985092c6ffd7fafd9c89680da8c0c9ca6d2cba29940fd2f884ba8a340c56,coordcand:nngla:118e985092c6ffd7fafd9c89680da8c0c9ca6d2cba29940fd2f884ba8a340c56,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv#NG-BAY-CAND-000003:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:f16c02617756ae5d43d2ab73059d8fdec29a738b297b2f5eb632cc5af87d2a96,NATURAL_FEATURE,BAY,NG-BAY-CAND-000003,polygon-01:ring-01:442-467,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:04778942df1b3b1c8f785ccb9f133a49c7e88765084310a4c3b0f6551a5808ef,coordcand:nngla:04778942df1b3b1c8f785ccb9f133a49c7e88765084310a4c3b0f6551a5808ef,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv#NG-BAY-CAND-000003:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:b26d601d9b19cee72cce793758fb8e249ba90d71e8013782c5095d07008b5f32,NATURAL_FEATURE,CAPE,NG-CAPE-CAND-000001,polygon-01:ring-01:234-259,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:a85e683a1263e2977d4564476419108f335d84043b65095d3e6ca0b04810a4b2,coordcand:nngla:a85e683a1263e2977d4564476419108f335d84043b65095d3e6ca0b04810a4b2,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cape_candidates_v001.csv#NG-CAPE-CAND-000001:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:2a8ec837d63888cc389c8b845f8c29cd9accabfcbee1aa984286b5c63aae4861,NATURAL_FEATURE,CAPE,NG-CAPE-CAND-000001,polygon-01:ring-01:234-259,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:c9156e9219dd98da5d18a20288110f198a4c37bf54bf2b0151a98191fde97d68,coordcand:nngla:c9156e9219dd98da5d18a20288110f198a4c37bf54bf2b0151a98191fde97d68,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cape_candidates_v001.csv#NG-CAPE-CAND-000001:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:02ae8abd8ea2503f1011429452a0263dad33e957e1f6961345fd4bfe4df40d43,NATURAL_FEATURE,CAPE,NG-CAPE-CAND-000002,polygon-01:ring-01:494-519,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:2d965e1c2d8098c4ac1710d6aaf925efbe3b2369234b4515d3f3bac67cb65ae4,coordcand:nngla:2d965e1c2d8098c4ac1710d6aaf925efbe3b2369234b4515d3f3bac67cb65ae4,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cape_candidates_v001.csv#NG-CAPE-CAND-000002:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:a7e07c791b3e4544d7a4e86aa4c26b4957bb21f639b938703c5b6cfc08cc43dd,NATURAL_FEATURE,CAPE,NG-CAPE-CAND-000002,polygon-01:ring-01:494-519,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:fee6a9116285ddc96d0d2089373fc9e00c3c47e0f5cf20b25c3517b9c840cfb1,coordcand:nngla:fee6a9116285ddc96d0d2089373fc9e00c3c47e0f5cf20b25c3517b9c840cfb1,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cape_candidates_v001.csv#NG-CAPE-CAND-000002:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:aaa1a89b41691e6779125d677758659d3c005d83286a08d0d412923ba74c97cd,NATURAL_FEATURE,ESTUARY,NG-EST-CAND-000001,polygon-01:ring-01:416-441,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:7ef9d5f03072dbc7897333c8da9a3ca5129334ecadb3c90274b15437f2e838ee,coordcand:nngla:7ef9d5f03072dbc7897333c8da9a3ca5129334ecadb3c90274b15437f2e838ee,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_estuary_candidates_v001.csv#NG-EST-CAND-000001:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:9a28de057656abc6761437e353e6451dc35f9db5a38d0ae6de417b61eae1e4bc,NATURAL_FEATURE,ESTUARY,NG-EST-CAND-000001,polygon-01:ring-01:416-441,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:e8ac24af3778adb9ac83b09455b4a01afb64c2ada825676c15a01de81caeed63,coordcand:nngla:e8ac24af3778adb9ac83b09455b4a01afb64c2ada825676c15a01de81caeed63,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_estuary_candidates_v001.csv#NG-EST-CAND-000001:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:d4b6caf3f978ab8b35654093ce60843efc583469f56a83f6d0c36b0896ea6965,NATURAL_FEATURE,NATURAL_HARBOUR,NG-HBR-CAND-000001,polygon-01:ring-01:390-415,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:8013a2d0c8735d14054fed7655c5ff8d7031170e937f0a0ea90f1b57c765a458,coordcand:nngla:8013a2d0c8735d14054fed7655c5ff8d7031170e937f0a0ea90f1b57c765a458,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_natural_harbour_candidates_v001.csv#NG-HBR-CAND-000001:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:af3d390d0d87465f57041cf650d563f3e33ab2b6782e346432538a424858cb9b,NATURAL_FEATURE,NATURAL_HARBOUR,NG-HBR-CAND-000001,polygon-01:ring-01:390-415,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:d86e4ff2900b29c0ba2f878a6ac1dae14c67375bce8b9eb81c1a093ca9b73362,coordcand:nngla:d86e4ff2900b29c0ba2f878a6ac1dae14c67375bce8b9eb81c1a093ca9b73362,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_natural_harbour_candidates_v001.csv#NG-HBR-CAND-000001:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:0cce02077bb17fe821fa3717af3f04303295a5217d90a7c2efaaa5c924cd7383,NATURAL_FEATURE,BEACH,NG-BCH-CAND-000001,polygon-01:ring-01:468-493,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:705519ce7fe9699d55c43432589bcdc738c32429e29ef947bc72bba9f3bde58d,coordcand:nngla:705519ce7fe9699d55c43432589bcdc738c32429e29ef947bc72bba9f3bde58d,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_beach_candidates_v001.csv#NG-BCH-CAND-000001:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:7b4251e883cb70808b8918828e6ef25907552b7ddf2117941470305300b63b22,NATURAL_FEATURE,BEACH,NG-BCH-CAND-000001,polygon-01:ring-01:468-493,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:022f4e8e4102b9a38372685f268abb05d28fbae39ac00fdef3c222bb27c8bc1f,coordcand:nngla:022f4e8e4102b9a38372685f268abb05d28fbae39ac00fdef3c222bb27c8bc1f,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_beach_candidates_v001.csv#NG-BCH-CAND-000001:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:cbe8974fe39709edcee1622650e59b207711f95302d2c22f5b144d70cd52f860,NATURAL_FEATURE,BEACH,NG-BCH-CAND-000002,polygon-01:ring-01:572-597,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:3c2084326e7eecc9c5f7b3352931be309317914eb6264dccb782766608c86693,coordcand:nngla:3c2084326e7eecc9c5f7b3352931be309317914eb6264dccb782766608c86693,COASTAL_START_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_beach_candidates_v001.csv#NG-BCH-CAND-000002:START,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
sprel:nngla:df4bed755c21b71a59b3e85161c87a1f7c6706c7bb3e494aabc62f36dc518870,NATURAL_FEATURE,BEACH,NG-BCH-CAND-000002,polygon-01:ring-01:572-597,TOUCHES,SOVEREIGN_GROUND,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign,coordcand:nngla:7dcb7a8ffae32b67c6f6786d94f864cc93e909537d8903a8884d0d25aa078f9e,coordcand:nngla:7dcb7a8ffae32b67c6f6786d94f864cc93e909537d8903a8884d0d25aa078f9e,COASTAL_END_BOUNDARY_EVIDENCE,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_beach_candidates_v001.csv#NG-BCH-CAND-000002:END,BUNDLE17B_ACTUAL_BOUNDARY_RELATION_AT_SOURCE_RESERVED_COASTAL_ENDPOINT,,,,,PASS,SHARED_REFERENCE,Boundary endpoint is real evidence; reserved coastal sector is not yet a completed physical feature geometry.
