coordinate_occurrence_id,coordinate_candidate_id,crosswalk_basis,crosswalk_status
coordocc:nngla:38086f58b6e267152b66b5b951a1e58111fdaed21868934fadb7fe6d27871917,coordcand:nngla:60073a99350871e0584222b7b9475d4c8c9ffabc8befc7934ec92b2661f2ef96,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:65da033588778ad23a6225fc09c9a0f7a4d01836f50d1c11abd80316c5f0c8d7,coordcand:nngla:0f1c6d97f842e978e692f3dd04c95046cba9e2943199ee91251e779a9be5bb2f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:e17cf7d36de3b2a85d0c0f4b662d0e7583fa8717e6850825ee91e4e600339cdc,coordcand:nngla:72bf7d67ab4d63ac1f430df89b4c3f25171057b92c6e615634580a40ed29781f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:88ffd1df5f446482c2a99c164a65d2620ee7e2b57b981cdce393a049c5be23eb,coordcand:nngla:74df97c3e88f2865122eb1dfabe437c81d88423a0051064174a4c582b9527f0e,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:b5fedab305bdaaba1cfa1b244a3b6c289150a6290f1e296dd343e53eced1e394,coordcand:nngla:94076df6c670e0284e3cfffe9368997f4dec34324accf0e0b7da6cd2782fc773,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:6199b34a098a3116b78b55465373b5016801d608e216b0da55c00d5a3cf71f78,coordcand:nngla:4df7b3fb8e5af4443268d1f4549664d4b41366e0817f0f0486a746b214874992,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:d164c8c23365ace077390dd8decff9317aaae3677638feb0eda23b663556f05f,coordcand:nngla:0322f133f0f8bf2212a0a1e68405bfe19bec1061c419c5fc0c79dcca984d2f74,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:3833ae8c86b488c75f2c7166145af7d47e7c3081a7295778cbf7dbd62773e80b,coordcand:nngla:6c562ac9fa2a166965199c2c5edf39904cd5bcc8320be1620203dd295591f216,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:1aff3c8e901659bc68e708164aa023ead97cd33dd4ff3d4d2cb40a6f4fdd7ba5,coordcand:nngla:4071ec1bed0499fe92a88470ac0a6a052207b3781755e7b49b9aa0f8fb5fb50e,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:4a759f49c02bd9de7d473a23c80f644ce0f04fcbb37892e02334ffa7b25dca20,coordcand:nngla:a79c1510f4b132e1b69e17bad446aee8ce1b1900cc8f9349247a08d0a6cf3a3a,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:4d0115c2f3fface77a0063b5dd8ad2f42e6b2475fb2151f0fd4f0209ea40340b,coordcand:nngla:2a019d647263fa2afe30888ffd029c4170bf000b53ca1567d7e90fd3acd25f9d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:c82d074a8d2873d2fb2ecc82c449654fc1268e90519e37a8bb435c03dcc58990,coordcand:nngla:b901843fa8cf7eb687054612469e171a15f00d1fc29a210fe1096cf501aaf734,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:85e080941c94be75e7b557770e8f5a0489512254bf9aa8bb2f080cb37701b0e0,coordcand:nngla:6624b751bef4c1bdfff57f25ce6dc581d740160072b22467a6d135d593c60873,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:56b8f4e0a01080f2fe1e872fdb44606e6505674def0c9ca2e17574aae5bebfb2,coordcand:nngla:7178be26c6b6768a44ce5ac5ed9a1ec009e393cc6c045af8cc08ec138decd0d8,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:3c7247d019ba49eafc7e5c706b3cbeb3c6a9ca3245a1ab0114b8f95705eb9d28,coordcand:nngla:14e96ccf50eb2365046496a0252ac0dd2d5ce68eddaed6a9701f7e64d6c2e4d2,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:9baaf690fc0c0d90f1515b6e7a9c781cdfc0c8b41cd6762abde7165e19db2c4a,coordcand:nngla:754215b480cc1e41ea6c548072a7a3797b5417c35b53d89f22042ea8079bd23c,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:f37caa68d4460928070422380eec4ee9cc979a92d460be65365c5ffe93070e18,coordcand:nngla:5888bf566bf0d983df0442c8db887898e3b868dc86a2b0c2ae959bf052a5e3f9,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:264047d5e4006d6cbee7b2e2e57ac344fa347ba47a6929abf9830ccbb160c4b4,coordcand:nngla:8ace5e6abb5957c4d74e410ab60f3fda4f6ac13e7383c9057552d04c9f2543b4,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:b5972d0ae1913b087ed003b8c9c986a7761f25af034dc1886fb2fc47a0d39e68,coordcand:nngla:b5bbdeb2130c39f9bc79e21273372e40acefe731e0b077ee84270c11e612cb34,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:397feecbe8961f21fec218402e020dd6b892acc165207aa85fe7d8e2e48312e9,coordcand:nngla:7a3caa7982b53d1a4f69bffad7ee8b477c3f50a7bf9029c28983a9b0fbf3beb4,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:38b1e9d8cd3f72687d844de1f3c47045bd269d31109277065671f9fd6891571e,coordcand:nngla:6c396558d05ad33d6f78a5762beefcb26401f05e9f11444f5936425aaea1a31b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:a9dc7e2ba6d3725a4778736ef7ba5b9cd6a18fae153d5cd0936a48b5f70cc8f3,coordcand:nngla:338d06ee1a2229ffbb3d79c9c0047bf78b0324ce74dcfb7553f9ff7a365ae592,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:8325dd2e0e9a1dc199f763cafc60f8bf91a59a202a5680ae4ce12051cb2167d0,coordcand:nngla:6c43dc0c371df29317736f7441fe39477eb501925860b30be7ad9476f3392a42,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:01d6b256c9d8dbd8135c7e2b923b99ecfbe4dbb0b3f49f0fa689ad5fe3f6d520,coordcand:nngla:e13a1024992b2660e8a02b31d10ff9603ca915e5aaabba7f61fc31580364343f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:0945e4df032837e5aeafdd44b463fbcdce9df86de5fc9a74a0944194a289d725,coordcand:nngla:c8488c68d67afa95aaaf169d5f8ad77297d27de42f0ceab780eaf5aad89d96f0,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:54c59a1a153e335fcb9a8af1ebfaf62a88c299a3716c04054e8c0de0f5027458,coordcand:nngla:22815187dd86724c80d1e9291d0c45bc69271d8ca0a5b1478cbe4dad600d2f49,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:11a7ae9a966628cfc91e346c76fc98e1a677aac9dbfb6558daa235edfbc51014,coordcand:nngla:f99127616c24f4a3967122f13fb0928dd9ec5c7f33fc19754abc7cf8f7d7a4a1,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:0a784a8e5205fb5244e29623ebbf0a13581e073c36dec867114e99e424f02322,coordcand:nngla:a5113451822cef87ab9c9139cf9682dd451bbcccedf7c0736b15fdd2ea81336e,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:11845ade02b4e5e1389c56e72231c740e6f5572685b21ad16e4ad2b7e602a4e0,coordcand:nngla:9f5800205d00fc9d0252b80f7890fd132840034b59fc18c323f22f919ecfc2e0,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:9287009357a1b2f820026b084a894eae3a15380f9d40d573791bcc9074aac0f3,coordcand:nngla:aff7f2003c45dabdaa58b81cf65c4c465ec62a1bd6aa565f4a2bbd9e81270154,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:a9108ae76d47fa2894603ed2056e0edb2749a81f0bb66d4653cece416de18c1e,coordcand:nngla:c7520f255306beca3b149229fb17415bd03dd2c51fddc8e4adb1b02555b4a6b4,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:b168c6a2933d2fa561fa021813d0f81f378b69a784c9af61bc131cb33848222c,coordcand:nngla:417783081c27691db72b69dc4a1b28ca036557e31d56b09d769f1134337e531f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:e43f2584e410d350e267e3971116f3604663f87c3f547984d02dad5609360444,coordcand:nngla:936b7ffdfd84a58e689e3876e9a22392960261c826652d3c1c1af0cbd3570f3a,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:0ae5559d294e4efc2c99b83bc9d3ff0cbdb1d6eaeb8fc1313f586cf4d8f491e7,coordcand:nngla:b208a7e3a6852e8d363b30d4f45e72c30f8b614d0274fe7a45457311fa895386,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:9e81559dd05b1a93f50b74c68ff1bdb66379ccbf8c272a44b7671a7563c239f1,coordcand:nngla:85861e6441cbd8436f9d6c9b8ebe4fd4757772a6210e148644112feb92719e8d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:a07c289bc0561ac63aba1a7a1317015463251cb925ec205bae949d60190af39a,coordcand:nngla:59368fd194f9016d43c72b6d54c7418349759e771cf05c0d96e27bc29eb37302,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:796ebd547ce299b99f9d73393faa30c290798ee9193dd8886ccc7be144a472e0,coordcand:nngla:db8c0bd46296410c1bc0c8435ab8b16d50c2453732b454d20349f730982c230b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:91aa053a34f90217e20e588ec610cb02f4e2ee68132ff780523a417be48c692e,coordcand:nngla:446bedff821ce7fd210c617b36d2a48a5636cf08d613642d8610c9b916838b22,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:d922867cf55747a212ba63e1fb344339cf6dce10407dd40199bcadfe33b62ce0,coordcand:nngla:b48907f6688dac728e8449f205e17734fb9d19df12e1eb595047293b48418a8b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:49aa92ecb32dac360f17bc1edce01c2fba5672cd8d356065726ab69f17a647dd,coordcand:nngla:742071a9ea3ceea9dbeabfe82e1a49b2d65e45e695adf387283b1b5e634a24af,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:02ad0d8f09da3c77c8cffa476890aeaeb1e18d00cdb96295ba471d969a119913,coordcand:nngla:b68d3f0bb16e1dca2973d6ba0cb0c1b093d6979fb02d96d94f88b0fc11c53063,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:659c549e1e351e856fd8300dfc0e931adef5ad0c72cc609122553fc0afe5ff54,coordcand:nngla:dce828d249496c912046b5f865b94e0d74ccd9ded1632279a7c34d69e8dbd646,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:4c2377e5994c64a81d5f227cf46dd90c18352dd3788ddde8a78351aa6ac0fd10,coordcand:nngla:6d3853447b355579d3efda6d459b6da43cef0565c158875dc7bcd3cff40bdeb7,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:697a44330593cce3bd110309d078ce11755dca8a5522be75cd640fb382b647b3,coordcand:nngla:0072d44d71da4c103ca11715231cd60a7f07ba5ec7b95644c44d703093d7545f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:2363c25ea4d0c85489f71379748d45b25cfc3f8bcee3b5490d217290bd69da2b,coordcand:nngla:e0192ea3a89262631372dcd1b4ae3e226fa0d795d56637765dfb8b40b1fcc79c,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:22b441b7659cfb75177777f64c24fe36c0cfd174f73179775b3bf65f7942a564,coordcand:nngla:9b9aab08a54f9ff8b208d40b5c4f31ba53ca18e1d07a80a99775d9847de335e3,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:5651b430589ffc1ebd43630d9a424ab816501983d46222b54b964185f0f262b9,coordcand:nngla:44500ec3a22b93e40be65c96f87eb4ea8c105c17eb3f8db489b3e6842e5c696a,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:12a65ef86265e6fe6c142558935eac11f625780e629e03aa711a38b3f67da616,coordcand:nngla:661481f6b71ddf21c213e80444e74c604ea9856fdefcf150291f69a07a5c143e,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:1774eaec3556e1f3c75d70e8ab5b0b6598f9a2f4d2d91054f8b3dda9b5c0c3c0,coordcand:nngla:4e5766e3871a4d413b926bc8df4eca9019b1623f1266f341260a1fe96b809d1d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:b4273880764264491fd2fe6913ff37fef318d0d17d6d9cba196da2cc52deb974,coordcand:nngla:4d53a8fb52f8a7c39ee8ca005ec2512de7096a65911332edcdd125fe4dc3e2bf,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:160e7534e6e69ed20dcf4da46a07c64a3042fb4cae652e944fea3233ded05b65,coordcand:nngla:660d5e16e014c4c86d1516e7dbd6740709e0b6f7fbe952aacff1c2909f411c65,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:9c67c0caa9d7ce48f0d96e75d7ebdc94d9170f4eb1682521440a3bf73dcc9e47,coordcand:nngla:e58d4954831c261916f63dfdb0ae04c583b8ab73d82e3a0877dcd6774ba10cf8,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:5d3800942537070b32bc1476d5b099b03f5b315f2927fb3d8ef2c1434a75f342,coordcand:nngla:6600084a101c96d310e1816638e125f11d48ad0c62b5184988c382cbd1951e9d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:47a88d2ca3743af6ee56b9e20168c679ba7e62922c8fcfb8762f3b6617e0b91b,coordcand:nngla:0b5e3d3dc095ac7e7dd4efb31f8b191312e138f2bc80e28e49ada44877f58b9c,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:f5b76ed4f7624cd73b5badc9416f37d17767c097aa8455c7210d7e6473b1a5b1,coordcand:nngla:0ef4da02a4c0fe8e18f110bf24e90f05d3b9b9213150ba79984f259555dfe82b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:e0c0782a87d2026849ce4c73dc7671f3deec701a85446b9a7c95eaf562b11950,coordcand:nngla:7d4a49bbaa50f54a7695f691cd967713ce22a3983c4d6aab84d1e8119a8283ec,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:cade332cc9ca5b117587451e4671d83954336842961f10803e0b6b47ce7ad700,coordcand:nngla:b0f500d16899c458fc6739433c825b966a2e4020131f113356b51b1dc162127b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:01dcee0909566979e062d3085f091ad09ab48cf7a32555c2a7d3a7e60e5c8d0e,coordcand:nngla:1e916ed093f86e8bed530a82cd7f6c0e3a60e4e79d75583193038354375d3a2a,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:84b78a4ff22d521f80c7b4f8985994d952c3b59b642cf798ca6e3c6dc30ec278,coordcand:nngla:6ee7632a2d0cc925a0202a0876cf49ba3045396587894146d33bd29a140cacbc,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:432c38a8838db454ef3a397c7e9555b0b4b60fb3f982515f1363099d6f6d303d,coordcand:nngla:aed27b07d18781dab8c219262d197d00f520685eb3e56997e12cedc209b800eb,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:013f3d9b111bd935fd920e0eca9a9b6a3c85d1930f37d7b55d493fb177a55292,coordcand:nngla:d499e6c8ac316544ab73307d9192f030a3cf11fe00f6165eefe221d28699cb71,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:f028456737b0f1711ef3cbc4a97e5d996aa3ca43f7900441676272a2ea4b8d86,coordcand:nngla:d1c58fd3c95ef5e740c514662694b5218f1416422059f41a130b93d3c84c4e69,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:dbe9720129629b7d7cc2b63daa891164ea1ec6b02772a6a8c7b4b61db95b9274,coordcand:nngla:c442608c49b0fb79221b4144aba725e4806afb9bf52424ed7eab4f7be4141f2c,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:b7673b0855c2c86095ffb0942d0b246bd02e269f2a2d4307e8cd6af79b90fb24,coordcand:nngla:c8c26e82f41ecbbb84ce58f6d7633c693c1859bac50d77c691dbde0445ff906a,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:c4d87097e51977bc2012a0855592a7cfb1f19f94479c7583ae6db163c970c294,coordcand:nngla:766780efba9aa88ff6d94eabc3875d1c7313e7a457961ba50686d31cd5caa073,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:e7ad92ebd6aa85534959d4669cf1408d259dbae91ca3579502b6f5a3bade8e19,coordcand:nngla:21769d0a49cdbed31bab15a3607db3a2201b8ea914c7e8c4342e5afb24a8de1e,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:bebf36b6f3df69e48ef63ac3fbbc028009b3821a536371b745026657b734af18,coordcand:nngla:1b6c9a0fd753a0fd9d87de08baf2aa3059ebbe449a68800e09fd43a41c14999d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:a915a88a921eb038c441ca01ce2f1186420ef9158166ac75063df9bfc3aace81,coordcand:nngla:da5781ec2e3f1a68744d420930c78244579fa58541b7e523ccd4443e6bb3e39b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:060fbc719e3bc19d81581a4230bf7029eafd3b657e7b01e45d39e2c5df320a38,coordcand:nngla:3d85580a908c5e113ea0eadaf4a58f10070440c688c2e6d27b80c66aa4444cd6,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:728623d64e8150b1790004e4e760a1472f580ba8bc4fc7e36c426e9219eadb61,coordcand:nngla:5cafd7e61c304858df6f6f8addf34194c340dc9f8a54e2ae6c5ec10765683f93,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:0b07bee9a7c0f951fd6319c733a929811798dbfea6c48a5964c0497ab100c3ab,coordcand:nngla:1471e69726c542d04d47235e54d1fa1f77c880d92166e11fb508b4c65e47beab,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:de23236c0d47881732be927c9c2e5b8ebad78264ada9fff84a9b18fdaea39276,coordcand:nngla:07b3b4caaf30799024a490f764774366e4ec31851933a5e4da25d08fd93200e3,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:80d0621b80bfdb3112a319b0375d61876fcebe3efd816c4b84f853ef1e5ba964,coordcand:nngla:56c4549444370272f6de61705664d5776c167ab00d7257f343a7d03c1f04a8b2,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:c2497443e61662875d1d84bd4aa9103a707f9925d347d2939c62b5bb984da4b0,coordcand:nngla:c4c923acb740debebe96d611512074c7d1f9eccec87ccb2f10cf1e3d1cb325ba,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:c7d6fb7e28d097b74e6f3a0c03a6ddd80704dd6db755bc1d3ca5b541c0f49274,coordcand:nngla:f373c7a071a67fc1418d720ff072830c916ffba3c863c528c865e4ac2109de79,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:784a91578ba6a78ca65f693d1a4dd4a675005676d17abf05f75ac1269a3071e2,coordcand:nngla:8c4ea7dfad7bc86ae5cede829610abcf3d3ba0ddaa20ba6b4dbe852661585d28,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:dc04288e594203667db1c60033099f433a0ef290af5f409ea308c953b5ee0bec,coordcand:nngla:cfaeeb5714e89756e797841eb72d70e65fa883d8708cd7dfb12fa9904db86e9a,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:78f7bfc391f1af8447989308836377c42ec24c90e4993109b9a0302c85876176,coordcand:nngla:f15d45e69a497e8a7d102dc5171b48fa2067b010272ac44926ece5edb5e5cf7d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:146c257f965c794a1a00ad90b07032d21735b3b2c2809ff436ea69636ad07df3,coordcand:nngla:9bdf9f4c70083e055a1abccd6a9fd06a9208dc06807f2ef057f9f92477e85774,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:f5430979f67699baa5680d2456ab4dc09d8fbe904a4c2d2989f1bc137ccee4d1,coordcand:nngla:10546d80c9b684709b85d3bb55d0b95af83aa99169557e83a177572c08157e0d,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:abfc340dd34a48a57dee99bdb396118a2646aff27a12895917b1f96fe380d14f,coordcand:nngla:411ee04976e2d0d13b3cdd6c782cb97218737f17c28f5f76b0fe09634ee185bc,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:877781035be974548b357e87350589912789ca82073593767e68360e8bbb95fa,coordcand:nngla:656e6e7972b3c1e6278ed0df291cbd452ae96d6a0bb455a8a5786100d4de1bea,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:4529c05e161c2ddd22ecf896eab42d0a953ff284f489a4882cd9878404b25541,coordcand:nngla:ccbde8f39f3c6561b782ed666faa590bcc4af940a1ac4209b3b2428a9479bb23,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:85a48e9a9fbdd3536189268c7c144ca0bacdc3a4af871fb1297f6a7ddabf8992,coordcand:nngla:75d6c9af41da0099688b14b1eff8e524c90b5e8f85c9f8540e7575198f1fb216,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
