link_id,candidate_id,observation_type,source_dataset_id,source_record_id,source_path_reference,source_sha256,evidence_status
featobs:nngla:abe0b02cd174eea86446ff59296f758910db6e905e45bb5823a8d6b6800bd18c,featcand:nngla:d0ab8d453a0bb7af202bb5fd4c856172e30db38fcfefaad2045ddb0099c649d5,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:mountain:002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:4673b0b5b0af58ba280e54304659904f0fbfb0e12b291651fe92487bf3f9158d,featcand:nngla:22b83cb664e382de86e26de49892bb6a782638da5fa3bd2f2f0bc79ab1ba4a59,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:mountain:003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:09e3f2cd03d4dc0596307863f6f7265f6057c9fc11d8433a32cf2e1d686b67ca,featcand:nngla:245b6808adea0a9580bc48b361a67fcac79dec4dd85fa28be88ef5e6b1d2e7ad,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:valley:001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:cdcf733600eca7c5c3ce0d577474a6e3aeefcc159e594b71be416fc77753348f,featcand:nngla:7d706f680fd0da15a0848b0a4c9d7f10e1985b9bb3f7fb0c1eae015d33e43166,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:valley:002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:3231b76034dc49edbc5e3bdd775f83bdcf6ec3417d43a54fbe3da16ca9950eb8,featcand:nngla:651fe4323888d435ddbec69609b9de6779fec8e5edb27fc48603e5a13e73abbd,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:valley:003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:1b276173750e835ff8c072d3ff0331fe8d2ece1580eaf9f9bcbaedc3e04a4f2c,featcand:nngla:f0d363151b54555b47cb305e530d86a90dbc839e3f4c044362ea8f505e3ef90f,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:plain:001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:43257ba114e4d90425e6e2041f198f15f9c80a444a8231c702fbd19d2712077c,featcand:nngla:c7c37276b0d083274169af65be4684cce8c98a5b9fe9cef8963bbeacf638bda7,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:plain:002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:5de045e1841e04758d89f238e11a0da165cd8a5de2fe325ad8bca1f70273586c,featcand:nngla:b01e713969094b8af5178f093cae25b176985bac5a5a0863d9a2b8839ba919a8,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:plain:003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:ea873064d9ca1632c4c1b2d3775b8fe8bf63e69945d2c5faabb6a8e71bd2790d,featcand:nngla:8bb125c7188010a2bccb15d6c965030c8d4967558c711302db77d6c33ee953f1,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:plateau:001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:301095fc8073ed04992fe96b87b1218c46e0f95a5d224e5f60d44a4e3a9f19f9,featcand:nngla:367677ff40dd5d2722f2fdcb499ed96c798fbe65dca0d67f1d27f8a300535b7d,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:plateau:002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:16f99cc65a48db86c67db16ad8967b55371515b95689b958cc887925cba7fc2d,featcand:nngla:ffc1b7ed0e5f238743b7c5ff003266969e071cf4770e08d105d9ffd9d5df2fe7,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:plateau:003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
featobs:nngla:603bbe3ce7a02270b862b0ab2047e7670145994f065ced264877873cd899c3a4,featcand:nngla:8faaaa66ba2e7665e2e1ec5ba5a2527f938cd90dd3b497fd18429a43c8253c9a,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-MTN-CAND-000001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:98c940fd8e7267d3f6d378d14a979fd704a6b11edfdd6035ce5c3d51afab9295,featcand:nngla:d0ab8d453a0bb7af202bb5fd4c856172e30db38fcfefaad2045ddb0099c649d5,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-MTN-CAND-000002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:e52db81774bc2b36a289ea7b4579f05e950237c006469470f85609982f91a4c8,featcand:nngla:22b83cb664e382de86e26de49892bb6a782638da5fa3bd2f2f0bc79ab1ba4a59,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-MTN-CAND-000003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:e6054d3431deb44a008a235003aa62a1ccaee4b17e25a1fdf5ffc8a637f3c887,featcand:nngla:f0d363151b54555b47cb305e530d86a90dbc839e3f4c044362ea8f505e3ef90f,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-PLN-CAND-000001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:6b778fca868b910895fb1c51998067f13dca2a1b31145867ae46e87af61e8061,featcand:nngla:c7c37276b0d083274169af65be4684cce8c98a5b9fe9cef8963bbeacf638bda7,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-PLN-CAND-000002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:fa8defded48557a66dc7bdfeeaffc7f0c5929026c9a8cbf4b6c85e08025521ef,featcand:nngla:b01e713969094b8af5178f093cae25b176985bac5a5a0863d9a2b8839ba919a8,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-PLN-CAND-000003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:97f039e030d59a189693d92d7b557d2219e09849ab62e3fa06ba3215b17d4b8c,featcand:nngla:8bb125c7188010a2bccb15d6c965030c8d4967558c711302db77d6c33ee953f1,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-PLT-CAND-000001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:fb57facf8b98f2e47679eb0702a0f9f7ec09d19914acaac567b099fbc20f5e40,featcand:nngla:367677ff40dd5d2722f2fdcb499ed96c798fbe65dca0d67f1d27f8a300535b7d,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-PLT-CAND-000002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:a4f7decc69ebe73b5b5307a18ce91e46697275f4c9aa3402e988dc476cda29b3,featcand:nngla:ffc1b7ed0e5f238743b7c5ff003266969e071cf4770e08d105d9ffd9d5df2fe7,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-PLT-CAND-000003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:5222698891f1e2792ffe5787a8db98ce0d01b054302e38157972abca12802897,featcand:nngla:245b6808adea0a9580bc48b361a67fcac79dec4dd85fa28be88ef5e6b1d2e7ad,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-VAL-CAND-000001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:dfef9644e5430c4e43fcde98fd14e8aec4d7ffe41acde86100e21f1751dde7a6,featcand:nngla:7d706f680fd0da15a0848b0a4c9d7f10e1985b9bb3f7fb0c1eae015d33e43166,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-VAL-CAND-000002,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:f9dd0f2e5a21d74ed60630c60d2e4fbc30ced30c1504fbe91576156bd40f91c3,featcand:nngla:651fe4323888d435ddbec69609b9de6779fec8e5edb27fc48603e5a13e73abbd,QUALIFIED_LANDFORM_CANDIDATE,dataset:novegeo:spatial-feature-candidates:v001,NG-VAL-CAND-000003,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,QUALIFIED_SOURCE
featobs:nngla:fd4b1293dba49d4eb5450ee5359310980e774dc4068105fbf1929de77888d782,featcand:nngla:466b01b578d65940a26dc6fada3380776f8e18cb44a8dd9b7d93f8b242608c0b,QUALIFIED_SOVEREIGN_PART_POLYGON,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000001,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,3f1c2f85676c6dca8e2d7dade2f70b50b21d9605c600f850f04d82d1547865b8,QUALIFIED_SOURCE
featobs:nngla:899768af7ff1b748625fcdbaad4d169b353e3ce99cf025b2888b9865bf9260b6,featcand:nngla:2a76946fae2f89fb1a034eb3f0491f0253e9682e2ec688b00730cab3e16b7814,QUALIFIED_SOVEREIGN_PART_POLYGON,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000002,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,3f1c2f85676c6dca8e2d7dade2f70b50b21d9605c600f850f04d82d1547865b8,QUALIFIED_SOURCE
featobs:nngla:4156d6e4c7b71b519bf30b7c01bb06f12545c9c27a22dadfe6ef0334d03a2301,featcand:nngla:30bc01b58317add3ff0b905d328b882fa2c082072c1a68346adca1ecfd570eff,QUALIFIED_SOVEREIGN_PART_POLYGON,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000003,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,3f1c2f85676c6dca8e2d7dade2f70b50b21d9605c600f850f04d82d1547865b8,QUALIFIED_SOURCE
featobs:nngla:5a7a70818c83c62dcce1f9a87629fce25653df76a186ac3e62d6377314a64e10,featcand:nngla:f0f33d973cd35a5fd2a0d2504b68ad4e804fe7496d73fd34ed30151f36fcbcf9,QUALIFIED_SOVEREIGN_PART_POLYGON,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000004,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,3f1c2f85676c6dca8e2d7dade2f70b50b21d9605c600f850f04d82d1547865b8,QUALIFIED_SOURCE
featobs:nngla:2acee351f066137d796c3c3a6f5839b8672c33ad6597240f33af8ce095fe42ca,featcand:nngla:856008c8952a8727a97e6a93f2c8ffe7ce19ae2173903c3f5966f3b9ab66362c,QUALIFIED_SOVEREIGN_PART_POLYGON,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000005,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,3f1c2f85676c6dca8e2d7dade2f70b50b21d9605c600f850f04d82d1547865b8,QUALIFIED_SOURCE
featobs:nngla:b2cb0eece6e01a3b07c73eaab3a86727b65861feaf4f9887023ff2edac40762b,featcand:nngla:ad47dd83866988f71363bdcb93803d8082d152291fc49efe5594dbd7735f6715,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BAY-CAND-000001,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:04283869466778b89e6b4cadcf53b6a7fc671cba7f284ffb1b4b49b1dac4035b,featcand:nngla:c703028de20598dbe6c18d84aecb132d0259ecc6a7b6bb1f0b1682b805aa15b4,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BAY-CAND-000002,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:288f729e5badbd515265bc8442fff0593c978a7b40a553a4c87ed1683150008c,featcand:nngla:94a6b95778e50ad21ecc0c43ee631e14f3e1d3167904fed915fde4f8f352b341,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BAY-CAND-000003,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:5d1d11970adf7191a3a8ce550892ae9476880d71053e5bbdb8e36eaf965b2bfd,featcand:nngla:527160120e45bc5d72b6e74d18d0da17ef884f04ed491e362d5bc27b731192d6,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BCH-CAND-000001,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:e9e9c572aec2ddf6f8f55d210b27ad200cbc2c96731a6d50e3bc2d3967887f8d,featcand:nngla:5dd1844f975bef0c601caf8bf8216fbe6752a956ab7ab0f03c41c5776f3a356f,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BCH-CAND-000002,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:3c82dcc62b6fc6866b175ebce2f5ccacfe0ebfe07efb8a7ebbd76c3325c69ca1,featcand:nngla:e52f407f40e5e1f2e38d4e37cc5be886dbc13e62f751a36d4fce37b0d5ba7a90,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CAPE-CAND-000001,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:efe910f555adf94dd08661ba1b376f2975b18d6cc5a8f4c03e4df57202cadddf,featcand:nngla:ec386dc60c8705effc40d736166199d308e2a58f3a15af329f23f2d543e97204,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CAPE-CAND-000002,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:ff4020a520483f0e36761d201f719672cdd91f84929b8d49614227de507f585d,featcand:nngla:16eb87a6aeb19e615da3a78fde6644b434c2595ac3267b842f90dde218d907f8,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CLF-CAND-000001,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:8bb09a37e0691d15e75b8dc7709122b70e5b8918920768046b4308816b9b9e13,featcand:nngla:344194e1f564ad7451259d165dd535e87e822d6bdf84372089d24a66c9d2ca02,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CLF-CAND-000002,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:c9bc0d937230f42ecbc5a1c31493c5a64ad524eef82e436e6f5e189eed95818b,featcand:nngla:2606f0b4a228bc001e6808d015518c0fcbd5b92ad37c3f1da6b41c8d6407101b,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-EST-CAND-000001,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
featobs:nngla:74cfb4655b4422f37f40418d7b779140c083effe233a60494bc3d1e8d7a6dbba,featcand:nngla:37a1cc1e33ee9abe894715eb292177e0d7097bdab86e267c1b71a532486bad24,COASTAL_RESERVE_EVIDENCE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-HBR-CAND-000001,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,PENDING_FEATURE_EXTRACTION
