alignment_id,object_family,source_record_id,candidate_id,canonical_id,canonical_ordinal,source_path,source_sha256,identity_status,geometry_status,geometry_id,database_verification_status,runtime_effect_scope,notes
align:nngla:place:NG-PLC-000011,PLACE,NGP-000011,NG-NAM-SET-000011,NG-PLC-000011,11,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000012,PLACE,NGP-000012,NG-NAM-SET-000012,NG-PLC-000012,12,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000013,PLACE,NGP-000013,NG-NAM-SET-000013,NG-PLC-000013,13,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000014,PLACE,NGP-000014,NG-NAM-SET-000014,NG-PLC-000014,14,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000015,PLACE,NGP-000015,NG-NAM-SET-000015,NG-PLC-000015,15,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000016,PLACE,NGP-000016,NG-NAM-SET-000016,NG-PLC-000016,16,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000017,PLACE,NGP-000017,NG-NAM-SET-000017,NG-PLC-000017,17,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000018,PLACE,NGP-000018,NG-NAM-SET-000018,NG-PLC-000018,18,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000019,PLACE,NGP-000019,NG-NAM-SET-000019,NG-PLC-000019,19,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000020,PLACE,NGP-000020,NG-NAM-SET-000020,NG-PLC-000020,20,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000021,PLACE,NGP-000021,NG-NAM-SET-000021,NG-PLC-000021,21,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000022,PLACE,NGP-000022,NG-NAM-SET-000022,NG-PLC-000022,22,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000023,PLACE,NGP-000023,NG-NAM-SET-000023,NG-PLC-000023,23,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000024,PLACE,NGP-000024,NG-NAM-SET-000024,NG-PLC-000024,24,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000025,PLACE,NGP-000025,NG-NAM-SET-000025,NG-PLC-000025,25,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000026,PLACE,NGP-000026,NG-NAM-SET-000026,NG-PLC-000026,26,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000027,PLACE,NGP-000027,NG-NAM-SET-000027,NG-PLC-000027,27,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000028,PLACE,NGP-000028,NG-NAM-SET-000028,NG-PLC-000028,28,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000029,PLACE,NGP-000029,NG-NAM-SET-000029,NG-PLC-000029,29,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000030,PLACE,NGP-000030,NG-NAM-SET-000030,NG-PLC-000030,30,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000031,PLACE,NGP-000031,NG-NAM-SET-000031,NG-PLC-000031,31,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000032,PLACE,NGP-000032,NG-NAM-SET-000032,NG-PLC-000032,32,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000033,PLACE,NGP-000033,NG-NAM-SET-000033,NG-PLC-000033,33,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000034,PLACE,NGP-000034,NG-NAM-SET-000034,NG-PLC-000034,34,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000035,PLACE,NGP-000035,NG-NAM-SET-000035,NG-PLC-000035,35,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000036,PLACE,NGP-000036,NG-NAM-SET-000036,NG-PLC-000036,36,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000037,PLACE,NGP-000037,NG-NAM-SET-000037,NG-PLC-000037,37,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000038,PLACE,NGP-000038,NG-NAM-SET-000038,NG-PLC-000038,38,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000039,PLACE,NGP-000039,NG-NAM-SET-000039,NG-PLC-000039,39,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000040,PLACE,NGP-000040,NG-NAM-SET-000040,NG-PLC-000040,40,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000041,PLACE,NGP-000041,NG-NAM-SET-000041,NG-PLC-000041,41,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000042,PLACE,NGP-000042,NG-NAM-SET-000042,NG-PLC-000042,42,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000043,PLACE,NGP-000043,NG-NAM-SET-000043,NG-PLC-000043,43,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000044,PLACE,NGP-000044,NG-NAM-SET-000044,NG-PLC-000044,44,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000045,PLACE,NGP-000045,NG-NAM-SET-000045,NG-PLC-000045,45,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000046,PLACE,NGP-000046,NG-NAM-SET-000046,NG-PLC-000046,46,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000047,PLACE,NGP-000047,NG-NAM-SET-000047,NG-PLC-000047,47,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
align:nngla:place:NG-PLC-000048,PLACE,NGP-000048,NG-NAM-SET-000048,NG-PLC-000048,48,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,CANONICAL_IDENTITY_PRESERVED_FROM_LOCKED_SUFFIX_ALLOCATION,NO_ASSOCIABLE_GEOMETRY_SOURCE,,LOCKED_BASELINE_ASSERTED_REQUIRES_LIVE_RECHECK,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
