environment_binding_id,spatial_point_id,spatial_cell_id,coordinate_candidate_id,major_grid_id,sovereign_part_id,elevation_observation_id,elevation_m,elevation_evidence_type,terrain_class,terrain_evidence_type,climate_observation_id,climate_resolution_distance_degrees,annual_rainfall_mm,mean_temperature_c,mean_wind_speed_mps,prevailing_wind_direction_deg,climate_class,climate_evidence_type,vegetation_observation_id,vegetation_resolution_distance_degrees,vegetation_class,aridity_class,vegetation_evidence_type,hydrology_reference_id,hydrology_evidence_type,environment_resolution_status,runtime_effect_scope
NG-ENV-BIND-000011,NG-SPT-000011,NG-SCELL-000011,coordcand:nngla:84bda2e5834c26c989cf7f59b48ebd4fdf479bd661f215507d3b186f95ea0491,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000011,345,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000004,0.84,564,25.4,4.8,39,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000004,0.84,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000012,NG-SPT-000012,NG-SCELL-000012,coordcand:nngla:4e402e4d61f0350f60a2102146ff37114aa3fb2f7ea2d544dbe4866df8153afe,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000012,359,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000004,0.42,564,25.4,4.8,39,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000004,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000013,NG-SPT-000013,NG-SCELL-000013,coordcand:nngla:c1baebe0a395fea921b016edd26cd1e8ff0dd0b641052f5fa9c2cdcc36dfa45b,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000013,372,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000004,0,564,25.4,4.8,39,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000004,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000014,NG-SPT-000014,NG-SCELL-000014,coordcand:nngla:c3f90e75d7abc928aceea8d082adfcde94950239389b7701711903e026a93ca9,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000014,385,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000001,0.42,559,25.6,4.8,38,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000001,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000015,NG-SPT-000015,NG-SCELL-000015,coordcand:nngla:783faf127111d7cdfeb0047f35c49191368e26616d765273142ba5b8a228f744,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000015,397,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000001,0.593969696,559,25.6,4.8,38,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000001,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000016,NG-SPT-000016,NG-SCELL-000016,coordcand:nngla:fe8abfb96eaf219de2d8c2ef9fdf4a2ed66016f30e0efd9ea9faaacef0bd53a6,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000016,409,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000005,0.42,570,25.1,4.7,44,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000005,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000017,NG-SPT-000017,NG-SCELL-000017,coordcand:nngla:080237cce06171d598fb08234c31cec6efd4cf7bacca0486a8d32bc686c78032,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000017,420,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000005,0,570,25.1,4.7,44,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000005,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000018,NG-SPT-000018,NG-SCELL-000018,coordcand:nngla:bc2cf8e002ff788a6b735522b7af8ac2a1c21243f4bc32102740b43c41805718,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000018,432,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000002,0.42,562,25.4,4.8,43,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000002,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000019,NG-SPT-000019,NG-SCELL-000019,coordcand:nngla:5735a6c481b146142a23112d6d8d4ec7334b79b137d3a75b4098c99c01b502ab,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000019,446,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000002,0.593969696,562,25.4,4.8,43,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000002,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000020,NG-SPT-000020,NG-SCELL-000020,coordcand:nngla:2d2fcc3397dde93c2fa85e90b7ae331235db99f97342fea4def4a31ce9c827db,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000020,460,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000006,0.42,575,24.8,5.1,49,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000006,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000021,NG-SPT-000021,NG-SCELL-000021,coordcand:nngla:a88098e374d0405324d8ab5b87b6836af8179a36d25cfa645feb6d72d53be7ee,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000021,472,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000006,0,575,24.8,5.1,49,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000006,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000022,NG-SPT-000022,NG-SCELL-000022,coordcand:nngla:5d8212e5098e0aa50140424ad2e73528ae1f9e8bf0192d314da1f6cc65a39592,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000022,478,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000003,0.42,564,25.3,5.2,48,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000003,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000023,NG-SPT-000023,NG-SCELL-000023,coordcand:nngla:0260e49f9ace7dae2f72fc152ccda3f3ce36eb3f65712987a2c90159d5bd1de3,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000023,476,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000003,0.593969696,564,25.3,5.2,48,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000003,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000024,NG-SPT-000024,NG-SCELL-000024,coordcand:nngla:00f306f368cbbe1c2a207c96134aa94ae8fa583aeb2f73e534490e3682c51cbc,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000024,466,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000007,0.42,572,25.0,5.4,54,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000007,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000025,NG-SPT-000025,NG-SCELL-000025,coordcand:nngla:998e7fbf7060b8b5ad584fe091996df03c5b895a8c1de7f88b046671a31e8b25,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000025,449,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000007,0,572,25.0,5.4,54,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000007,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000026,NG-SPT-000026,NG-SCELL-000026,coordcand:nngla:34124b0487a5413dfc1388dc6f56054691dcbdd583f111c4e7f6567ca5bdb6e1,NG-MGRID-04-04,NG-SOV-PART-000001,NG-ELEV-OBS-000026,427,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000007,0.42,572,25.0,5.4,54,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000007,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000027,NG-SPT-000027,NG-SCELL-000027,coordcand:nngla:16394ef7f88d94110cf3cfc7a540b2558af3eb71ac20f832242845ee3da4aa2d,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000027,341,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000013,0.593969696,564,25.6,5.3,34,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000013,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000028,NG-SPT-000028,NG-SCELL-000028,coordcand:nngla:61158f7cd6d2badb443ca8be32c0f6804b2b44aeaf95dbaed843e84ba950c90d,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000028,349,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000008,0.42,563,25.6,5.1,36,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000008,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000029,NG-SPT-000029,NG-SCELL-000029,coordcand:nngla:b0fc1bc1bb03cff5a840b0bffb9bf38686080dabcdbf184c8fd6e17e4f935417,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000029,358,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000008,0,563,25.6,5.1,36,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000008,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000030,NG-SPT-000030,NG-SCELL-000030,coordcand:nngla:07ed2cdd2aad1ac76484f04489ee31de75dd24e9198700fc07555acffb8e9d9a,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000030,369,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000008,0.42,563,25.6,5.1,36,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000008,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000031,NG-SPT-000031,NG-SCELL-000031,coordcand:nngla:89681ce857be4393a669a1c6e4c7f19f1dff8da5af6ac7cbfa6a7594b0cb17fe,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000031,384,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000014,0.593969696,573,25.3,5.0,39,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000014,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000032,NG-SPT-000032,NG-SCELL-000032,coordcand:nngla:15b540098b49ece51996a5361570de1ff0bac3b15d19be0bdd3cc870c511ea1e,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000032,403,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000009,0.42,573,25.2,4.8,41,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000009,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000033,NG-SPT-000033,NG-SCELL-000033,coordcand:nngla:d18298b4ef8e27f60e99a0a36aaffee3a14b820c132fd6bfc434a1c2a473910c,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000033,423,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000009,0,573,25.2,4.8,41,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000009,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000034,NG-SPT-000034,NG-SCELL-000034,coordcand:nngla:70cf4230a80efab915fd67869af27e4e8367d1031942962075c8f77ce274a96f,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000034,444,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000009,0.42,573,25.2,4.8,41,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000009,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000035,NG-SPT-000035,NG-SCELL-000035,coordcand:nngla:492a533f4c92aa8957215fca7e8362e7995817f2b41cd1cc5d8dd57fbef46c43,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000035,465,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000015,0.593969696,590,24.6,4.7,44,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000015,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000036,NG-SPT-000036,NG-SCELL-000036,coordcand:nngla:43814919243b5c7ceee9efd599307d66bde28317539a518f3365f9964bca0833,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000036,485,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000010,0.42,583,24.7,4.6,46,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000010,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000037,NG-SPT-000037,NG-SCELL-000037,coordcand:nngla:a948061136ac6b81ad073fab56d0834b8cbd9d5b6430660ef596e99e1063a1b2,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000037,506,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000010,0,583,24.7,4.6,46,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000010,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000038,NG-SPT-000038,NG-SCELL-000038,coordcand:nngla:f6732b7117c7e23821ac5119c319fb8ffab49d1b0dcd1d584da405e7d8f0a94e,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000038,528,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000010,0.42,583,24.7,4.6,46,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000010,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000039,NG-SPT-000039,NG-SCELL-000039,coordcand:nngla:5cdaae5fbbdb19b5443c437371a3919adbe2a2460857b9e355ba9aa0a73d59e8,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000039,551,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000016,0.593969696,607,23.8,4.7,49,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000016,0.593969696,SPARSE_VEGETATION,SEMI_ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000040,NG-SPT-000040,NG-SCELL-000040,coordcand:nngla:9e586082e7337dc91351680add94ca9881228defcd897d2bd549342dc404e847,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000040,573,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000011,0.42,592,24.1,5.1,51,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000011,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000041,NG-SPT-000041,NG-SCELL-000041,coordcand:nngla:daeaef8846df549f139ed33036ba1d1ae170a9caec00529fef2847f2cf2362a4,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000041,590,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000011,0,592,24.1,5.1,51,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000011,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
