association_candidate_id,subject_family,canonical_subject_id,source_subject_id,geometry_id,geometry_role_code,source_geometry_subject_id,association_status,association_basis,runtime_effect_scope,notes
assocand:nngla:place:NG-PLC-000011,PLACE,NG-PLC-000011,NGP-000011,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000012,PLACE,NG-PLC-000012,NGP-000012,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000013,PLACE,NG-PLC-000013,NGP-000013,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000014,PLACE,NG-PLC-000014,NGP-000014,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000015,PLACE,NG-PLC-000015,NGP-000015,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000016,PLACE,NG-PLC-000016,NGP-000016,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000017,PLACE,NG-PLC-000017,NGP-000017,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000018,PLACE,NG-PLC-000018,NGP-000018,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000019,PLACE,NG-PLC-000019,NGP-000019,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000020,PLACE,NG-PLC-000020,NGP-000020,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000021,PLACE,NG-PLC-000021,NGP-000021,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000022,PLACE,NG-PLC-000022,NGP-000022,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000023,PLACE,NG-PLC-000023,NGP-000023,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000024,PLACE,NG-PLC-000024,NGP-000024,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000025,PLACE,NG-PLC-000025,NGP-000025,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000026,PLACE,NG-PLC-000026,NGP-000026,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000027,PLACE,NG-PLC-000027,NGP-000027,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000028,PLACE,NG-PLC-000028,NGP-000028,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000029,PLACE,NG-PLC-000029,NGP-000029,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000030,PLACE,NG-PLC-000030,NGP-000030,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000031,PLACE,NG-PLC-000031,NGP-000031,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000032,PLACE,NG-PLC-000032,NGP-000032,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000033,PLACE,NG-PLC-000033,NGP-000033,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000034,PLACE,NG-PLC-000034,NGP-000034,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000035,PLACE,NG-PLC-000035,NGP-000035,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000036,PLACE,NG-PLC-000036,NGP-000036,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000037,PLACE,NG-PLC-000037,NGP-000037,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000038,PLACE,NG-PLC-000038,NGP-000038,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000039,PLACE,NG-PLC-000039,NGP-000039,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000040,PLACE,NG-PLC-000040,NGP-000040,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000041,PLACE,NG-PLC-000041,NGP-000041,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000042,PLACE,NG-PLC-000042,NGP-000042,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000043,PLACE,NG-PLC-000043,NGP-000043,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000044,PLACE,NG-PLC-000044,NGP-000044,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000045,PLACE,NG-PLC-000045,NGP-000045,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000046,PLACE,NG-PLC-000046,NGP-000046,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000047,PLACE,NG-PLC-000047,NGP-000047,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000048,PLACE,NG-PLC-000048,NGP-000048,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000049,PLACE,NG-PLC-000049,NGP-000049,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000050,PLACE,NG-PLC-000050,NGP-000050,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000051,PLACE,NG-PLC-000051,NGP-000051,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000052,PLACE,NG-PLC-000052,NGP-000052,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000053,PLACE,NG-PLC-000053,NGP-000053,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000054,PLACE,NG-PLC-000054,NGP-000054,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000055,PLACE,NG-PLC-000055,NGP-000055,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000056,PLACE,NG-PLC-000056,NGP-000056,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000057,PLACE,NG-PLC-000057,NGP-000057,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000058,PLACE,NG-PLC-000058,NGP-000058,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000059,PLACE,NG-PLC-000059,NGP-000059,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000060,PLACE,NG-PLC-000060,NGP-000060,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000061,PLACE,NG-PLC-000061,NGP-000061,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000062,PLACE,NG-PLC-000062,NGP-000062,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000063,PLACE,NG-PLC-000063,NGP-000063,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000064,PLACE,NG-PLC-000064,NGP-000064,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000065,PLACE,NG-PLC-000065,NGP-000065,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000066,PLACE,NG-PLC-000066,NGP-000066,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000067,PLACE,NG-PLC-000067,NGP-000067,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000068,PLACE,NG-PLC-000068,NGP-000068,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000069,PLACE,NG-PLC-000069,NGP-000069,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000070,PLACE,NG-PLC-000070,NGP-000070,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000071,PLACE,NG-PLC-000071,NGP-000071,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000072,PLACE,NG-PLC-000072,NGP-000072,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000073,PLACE,NG-PLC-000073,NGP-000073,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000074,PLACE,NG-PLC-000074,NGP-000074,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000075,PLACE,NG-PLC-000075,NGP-000075,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000076,PLACE,NG-PLC-000076,NGP-000076,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000077,PLACE,NG-PLC-000077,NGP-000077,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000078,PLACE,NG-PLC-000078,NGP-000078,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000079,PLACE,NG-PLC-000079,NGP-000079,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000080,PLACE,NG-PLC-000080,NGP-000080,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000081,PLACE,NG-PLC-000081,NGP-000081,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000082,PLACE,NG-PLC-000082,NGP-000082,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000083,PLACE,NG-PLC-000083,NGP-000083,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000084,PLACE,NG-PLC-000084,NGP-000084,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000085,PLACE,NG-PLC-000085,NGP-000085,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000086,PLACE,NG-PLC-000086,NGP-000086,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
assocand:nngla:place:NG-PLC-000087,PLACE,NG-PLC-000087,NGP-000087,,,,DEFERRED_NO_GEOMETRY,CANONICAL_IDENTITY_CONFIRMED_BUT_NO_GOVERNED_ASSOCIABLE_GEOMETRY_EXISTS,SHARED_REFERENCE,Spatial association remains deferred until governed settlement geometry exists.
