feature_candidate_id,source_feature_id,feature_type_code,source_dataset_id,source_dataset_version,physical_origin_class,lifecycle_status_code,recognition_status,primary_geometry_role,source_geometry_reference,crs_code,centroid_lon,centroid_lat,physical_origin_time,detected_time,recognized_time,physical_end_time,runtime_effect_scope,source_authority,source_basis,candidate_status,notes
NG-FEAT-000011,landform:novegeo:mountain:002,MOUNTAIN,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,34.3,3.412533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=2512
NG-FEAT-000012,landform:novegeo:mountain:003,MOUNTAIN,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,34.3,0.892533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=2472
NG-FEAT-000013,landform:novegeo:valley:001,VALLEY,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,36.82,7.612533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=170
NG-FEAT-000014,landform:novegeo:valley:002,VALLEY,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,35.14,-7.507467,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=341
NG-FEAT-000015,landform:novegeo:valley:003,VALLEY,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,35.14,7.612533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=351
NG-FEAT-000016,landform:novegeo:plain:001,PLAIN,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,44.62,3.95,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=73
NG-FEAT-000017,landform:novegeo:plain:002,PLAIN,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,38.92,7.192533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=125
NG-FEAT-000018,landform:novegeo:plain:003,PLAIN,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,37.24,7.612533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=130
NG-FEAT-000019,landform:novegeo:plateau:001,PLATEAU,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,36.4,0.892533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=1840
NG-FEAT-000020,landform:novegeo:plateau:002,PLATEAU,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,37.66,-3.307467,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=1827
NG-FEAT-000021,landform:novegeo:plateau:003,PLATEAU,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,38.92,-3.727467,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=1822
