administrative_candidate_id,source_record_id,administrative_type_code,canonical_name,parent_source_record_id,region_code,boundary_status,geometry_reference,lifecycle_status_code,runtime_effect_scope,source_basis,candidate_status
NG-ADM-CAND-000027,NGP-000046,TOWNSHIP,Meridian Gate,NGP-000004,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000028,NGP-000047,TOWNSHIP,Railview,NGP-000004,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000029,NGP-000048,TOWNSHIP,Eastbank,NGP-000004,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000030,NGP-000084,INDUSTRIAL_ZONE,Eastline Industrial Park,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000031,NGP-000085,INDUSTRIAL_ZONE,Capital Logistics Zone,NGP-000003,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000032,NGP-000086,CITY,Northgate,NGR-02,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000033,NGP-000087,MUNICIPALITY,Caelith,NGR-02,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000034,NGP-000088,MUNICIPALITY,Skeldrun,NGR-02,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000035,NGP-000089,MUNICIPALITY,Pinebarrow,NGR-02,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000036,NGP-000090,CITY_DISTRICT,Crown Steps,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000037,NGP-000091,CITY_DISTRICT,Highgate Core,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000038,NGP-000092,CITY_DISTRICT,Observatory Ward,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000039,NGP-000093,CITY_DISTRICT,Foundry Terrace,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000040,NGP-000094,CITY_DISTRICT,Old Switchback,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000041,NGP-000095,CITY_DISTRICT,Alpine Exchange,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000042,NGP-000096,CITY_DISTRICT,Northgate University District,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000043,NGP-000097,CITY_DISTRICT,Cloudline,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000044,NGP-000125,TOWNSHIP,Lower Caelith,NGP-000087,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000045,NGP-000126,TOWNSHIP,Glen Kael,NGP-000087,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000046,NGP-000127,TOWNSHIP,Passfield,NGP-000087,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000047,NGP-000128,TOWNSHIP,South Skeldrun,NGP-000088,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000048,NGP-000129,TOWNSHIP,Icebrook,NGP-000088,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000049,NGP-000130,TOWNSHIP,Mill Crag,NGP-000088,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000050,NGP-000131,TOWNSHIP,East Pinebarrow,NGP-000089,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000051,NGP-000132,TOWNSHIP,Woodcutters' Line,NGP-000089,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000052,NGP-000133,TOWNSHIP,Briar Junction,NGP-000089,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000053,NGP-000169,INDUSTRIAL_ZONE,Cloudworks Industrial Park,NGP-000086,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000054,NGP-000170,INDUSTRIAL_ZONE,Granite Rail Estate,NGP-000088,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000055,NGP-000173,CITY,Vondara,NGR-03,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000056,NGP-000174,MUNICIPALITY,Greenbarrow,NGR-03,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000057,NGP-000175,MUNICIPALITY,Kestrel Plain,NGR-03,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000058,NGP-000176,MUNICIPALITY,Solmere,NGR-03,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000059,NGP-000177,CITY_DISTRICT,Vondara Central,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000060,NGP-000178,CITY_DISTRICT,Grain Exchange,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000061,NGP-000179,CITY_DISTRICT,Copperleaf Ward,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000062,NGP-000180,CITY_DISTRICT,Makers' Quarter,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000063,NGP-000181,CITY_DISTRICT,East Viaduct,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000064,NGP-000182,CITY_DISTRICT,Old Granary,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000065,NGP-000183,CITY_DISTRICT,Innovation Loop,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000066,NGP-000184,CITY_DISTRICT,Grand Station,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000067,NGP-000212,TOWNSHIP,Vondel Junction,NGP-000174,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000068,NGP-000213,TOWNSHIP,Meadow Junction,NGP-000174,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000069,NGP-000214,TOWNSHIP,Grainview,NGP-000174,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000070,NGP-000215,TOWNSHIP,Kestrel East,NGP-000175,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000071,NGP-000216,TOWNSHIP,Windmill Row,NGP-000175,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000072,NGP-000217,TOWNSHIP,Broadacre South,NGP-000175,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000073,NGP-000218,TOWNSHIP,Solmere Gate,NGP-000176,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000074,NGP-000219,TOWNSHIP,Ashkar Cross,NGP-000176,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000075,NGP-000220,TOWNSHIP,Cider Station,NGP-000176,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000076,NGP-000256,INDUSTRIAL_ZONE,Vondara AgroTech Park,NGP-000173,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000077,NGP-000257,INDUSTRIAL_ZONE,Kestrel Freight Estate,NGP-000175,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000078,NGP-000258,CITY,Silvermere,NGR-04,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000079,NGP-000259,MUNICIPALITY,Nyandor,NGR-04,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000080,NGP-000260,MUNICIPALITY,Reedhaven,NGR-04,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000081,NGP-000261,MUNICIPALITY,Lakemarch,NGR-04,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000082,NGP-000262,CITY_DISTRICT,Silvermere Central,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000083,NGP-000263,CITY_DISTRICT,Lakefront Exchange,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000084,NGP-000264,CITY_DISTRICT,Reedbank Ward,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000085,NGP-000265,CITY_DISTRICT,Canal Quarter,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000086,NGP-000266,CITY_DISTRICT,Old Ferry,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000087,NGP-000267,CITY_DISTRICT,Civic Isles,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000088,NGP-000268,CITY_DISTRICT,Museum Reach,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000089,NGP-000269,CITY_DISTRICT,West Quays,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000090,NGP-000297,TOWNSHIP,Nyandor Landing,NGP-000259,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000091,NGP-000298,TOWNSHIP,Reedline,NGP-000259,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000092,NGP-000299,TOWNSHIP,Nyan Cross,NGP-000259,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000093,NGP-000300,TOWNSHIP,South Reedhaven,NGP-000260,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000094,NGP-000301,TOWNSHIP,Lotus Junction,NGP-000260,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000095,NGP-000302,TOWNSHIP,Heron Steps,NGP-000260,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000096,NGP-000303,TOWNSHIP,Lakemarch East,NGP-000261,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000097,NGP-000304,TOWNSHIP,Lowwater Bend,NGP-000261,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000098,NGP-000305,TOWNSHIP,Canal End,NGP-000261,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000099,NGP-000341,INDUSTRIAL_ZONE,Lakeport Works,NGP-000258,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000100,NGP-000342,INDUSTRIAL_ZONE,Reedbank Cold-Chain Park,NGP-000260,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000101,NGP-000346,CITY,Tekharo,NGR-05,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000102,NGP-000347,MUNICIPALITY,Canopy Reach,NGR-05,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000103,NGP-000348,MUNICIPALITY,Ashara,NGR-05,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000104,NGP-000349,MUNICIPALITY,Mossbridge,NGR-05,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000105,NGP-000350,CITY_DISTRICT,Tekharo Central,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000106,NGP-000351,CITY_DISTRICT,Canopy Exchange,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000107,NGP-000352,CITY_DISTRICT,Research Grove,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000108,NGP-000353,CITY_DISTRICT,River Gate,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000109,NGP-000354,CITY_DISTRICT,Old Timber,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000110,NGP-000355,CITY_DISTRICT,Botanical Ward,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000111,NGP-000356,CITY_DISTRICT,East Tram,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000112,NGP-000357,CITY_DISTRICT,Rainmarket,NGP-000346,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000113,NGP-000385,TOWNSHIP,Canopy Lower,NGP-000347,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000114,NGP-000386,TOWNSHIP,Rainsong Junction,NGP-000347,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
