relationship_id,road_id,relationship_type,object_id,evidence_basis,longitude,latitude,runtime_effect_scope
roadrel:nngla:03c837fd3911eb478c211abc0a031aa94092a923c5d02c6038d6c1b32bbe5db7,NG-RD-000192,ENDS_AT_PLACE,NG-PLC-000198,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.902596000,-4.307292000,SHARED_REFERENCE
roadrel:nngla:046bcbe329a206c955edc0f07388424b7170bb9fa5864a5dbae4cc84a62220f4,NG-RD-000119,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:048ad7c3ae1f3038bfc8cdede2e5212f713b469ac303024f4f3bba98ff41971e,NG-RD-000246,ENDS_AT_PLACE,NG-PLC-000195,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.518471000,-3.145430000,SHARED_REFERENCE
roadrel:nngla:04a0ef5f214b966d8ad060df86fff92cfe4ec5dd5951b680aeb938846e34e602,NG-RD-000079,STARTS_AT_PLACE,NG-PLC-000047,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,35.533871000,1.075022000,SHARED_REFERENCE
roadrel:nngla:04aabb4fa0cce444ae4c456b650390cacbc06419c7a4832ea844ac6f9a04bf35,NG-RD-000093,ENDS_AT_PLACE,NG-PLC-000103,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.142870000,3.270439000,SHARED_REFERENCE
roadrel:nngla:04b54effdba0491944d10c18b780766e02e97d60af15642b18f584b52756782b,NG-RD-000161,STARTS_AT_PLACE,NG-PLC-000087,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.689703000,3.301044000,SHARED_REFERENCE
roadrel:nngla:04bece25bb28039fbe57c785f14428ec703d8384d70fe55340fec0a23daa3b1f,NG-RD-000056,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:04ccb566434c8ea7130996136092448f288049559ca097d7fb98bca3181cb402,NG-RD-000117,STARTS_AT_PLACE,NG-PLC-000137,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.690297000,3.823863000,SHARED_REFERENCE
roadrel:nngla:04ec66a8aa4d2d72c090a94b9d025ed38b2e4fb183ec740f0ef7752b7672569b,NG-RD-000294,ENDS_AT_PLACE,NG-PLC-000285,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.651750000,5.662507000,SHARED_REFERENCE
roadrel:nngla:050b54ed0d66ab2be6326bcdec7439fa9fc6bd7d1dfa7e6a4176aa96fa2e9d6c,NG-RD-000012,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:05674937ba68f3bc30d57e6bda475346271551d278da40ac3fc1f115f03af76d,NG-RD-000167,STARTS_AT_PLACE,NG-PLC-000156,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,33.580792000,3.394854000,SHARED_REFERENCE
roadrel:nngla:05982b36f218978e544ee746362fd39192c112e2285f22c0257978dd41b42a9b,NG-RD-000004,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:059c5299e7ff96847c1a4e994a2bed359b451187cdc1fb4dda0090e4fd4009f1,NG-RD-000027,STARTS_AT_PLACE,NG-PLC-000073,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,35.813421000,1.390154000,SHARED_REFERENCE
roadrel:nngla:05d665d7b4af5dd503d5a34055e19647ba24e827a7fa09c0b0e8bd9dbb2f67dc,NG-RD-000322,ENDS_AT_PLACE,NG-PLC-000290,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.490719000,5.300869000,SHARED_REFERENCE
roadrel:nngla:062a9817c3f7d121a194027a65fab3b94d28f65eaed1fbbcb73eb58afcf6ad24,NG-RD-000242,STARTS_AT_PLACE,NG-PLC-000247,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.133210000,-3.050849000,SHARED_REFERENCE
roadrel:nngla:0634d516ee11b00c8358719c74a2b5fb0d483d2279a331ad38128e2b9f7f6707,NG-RD-000113,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:06dc3a508ee8b24c47a7ebc013c066ef4fefe57875dad1a575957b5121bdfcd0,NG-RD-000310,ENDS_AT_PLACE,NG-PLC-000278,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.245992000,5.158977000,SHARED_REFERENCE
roadrel:nngla:0729756bb2e0febb86fd830504a8458afe7f70dbde57b7df4c619fd37b02ee78,NG-RD-000076,STARTS_AT_PLACE,NG-PLC-000070,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,35.781511000,0.726372000,SHARED_REFERENCE
roadrel:nngla:0755a2f4983f0e639f5f2dbab83da20cb775b950d4737c94de30fe3f59a4986b,NG-RD-000130,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:076f3c8fa0b6c085795bb9586bce04ed096111e89851b821a9ac8ea35890db31,NG-RD-000200,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0858f379185a6afb2b39e3db4ec0ca474acb391714bc3a4f28603f4b3778e20e,NG-RD-000275,STARTS_AT_PLACE,NG-PLC-000263,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.059296000,5.109929000,SHARED_REFERENCE
roadrel:nngla:086ab8e6bce7e8fb4a49620ceb0516a3d9fc9cc7b44e91a8e07e13c5eb0007fb,NG-RD-000229,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:08c7ae1c709d8113c36910c86d2e44733f3a0fcd1c2c3bfe72027229516ca9e0,NG-RD-000088,STARTS_AT_PLACE,NG-PLC-000096,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.354524000,3.420893000,SHARED_REFERENCE
roadrel:nngla:08dad3921a2b72cb0fcc435295f901b31d69bfe2a4ff85efda7239dd879abeea,NG-RD-000306,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:091d941a3b9a3da61345b0ef035121cd96a7801883de46ee9148651420ac8d8d,NG-RD-000317,ENDS_AT_PLACE,NG-PLC-000277,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.069747000,5.181883000,SHARED_REFERENCE
roadrel:nngla:094edabef4ffa33498469208c0eb01d8a5eccd5a8ac401a33c325460aa98249f,NG-RD-000312,ENDS_AT_PLACE,NG-PLC-000338,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.505492000,5.408971000,SHARED_REFERENCE
roadrel:nngla:096cf0e9a1291e70ea3523f7aede5f4db52eb176a354d02f0187fbd8c2ac257d,NG-RD-000238,STARTS_AT_PLACE,NG-PLC-000215,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.296548000,-3.590024000,SHARED_REFERENCE
roadrel:nngla:0a6b15e3a0093a4738a5ca9751c926bfd701f629fd4ffed7223665b768e16b21,NG-RD-000122,ENDS_AT_PLACE,NG-PLC-000113,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.516279000,3.136699000,SHARED_REFERENCE
roadrel:nngla:0aba9760f3a926a3708661b0bd2f61a7d3c75e93ae4a08637cce3ec1f6f69435,NG-RD-000240,STARTS_AT_PLACE,NG-PLC-000227,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.956958000,-4.227554000,SHARED_REFERENCE
roadrel:nngla:0abf5b00e62af9d708a0d9b06b453abe9416e48abd7d9ab5434b27b68a290537,NG-RD-000109,ENDS_AT_PLACE,NG-PLC-000114,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.857105000,3.521022000,SHARED_REFERENCE
roadrel:nngla:0b278dc4625b13a6fe8b4a70113e200e1038abcc80b2f061bdeda8200664b19d,NG-RD-000101,ENDS_AT_PLACE,NG-PLC-000092,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.378420000,3.458093000,SHARED_REFERENCE
roadrel:nngla:0b6c632dcb7ac1387a5031ebcdc1a9faeb152db33cff510c7fb7c6f9d2533cc5,NG-RD-000343,ENDS_AT_PLACE,NG-PLC-000316,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.899718000,5.621275000,SHARED_REFERENCE
roadrel:nngla:0bf2e42ca3d22037e4a7e790713128063432ab52abadcedd92be09efee0aac21,NG-RD-000319,ENDS_AT_PLACE,NG-PLC-000302,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.518239000,5.535735000,SHARED_REFERENCE
roadrel:nngla:0bf7cbdcc3ac11a9b6342d758fb7003817e659ea3be2545c07360ca9cd154765,NG-RD-000305,STARTS_AT_PLACE,NG-PLC-000279,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.215314000,5.250069000,SHARED_REFERENCE
roadrel:nngla:0cb8ad1820172669c154a44b34ce853b63c3456809c94cea8d8f135ba3c34e39,NG-RD-000260,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0cde9e99e76d3f8f86923ace9ef4b56f044d43e56371e8a8ef891cebb1e28d9d,NG-RD-000179,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0cdf303cefd9b3f80ae1c145eab6234164763b0ab1392bd7137137759bb20734,NG-RD-000182,ENDS_AT_PLACE,NG-PLC-000247,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.133210000,-3.050849000,SHARED_REFERENCE
roadrel:nngla:0ce33dfea8f49dfc40d0ca5eb731f7e391e72a0c5c6561f0eff919c30322b0a3,NG-RD-000241,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0cf8cd909ae9705cb0a2b4605342e2ac467375a6c1be07152a1cf3643212db06,NG-RD-000039,STARTS_AT_PLACE,NG-PLC-000085,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.986232000,0.734824000,SHARED_REFERENCE
roadrel:nngla:0d1d7d1f0c0f6f3e51a2bc390f168bf849820c3ca7480d4a021f956c33d8077a,NG-RD-000201,STARTS_AT_PLACE,NG-PLC-000224,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.947679000,-4.308245000,SHARED_REFERENCE
roadrel:nngla:0d23626304e9e640e9c47f6c12e6dd6e57257f9152f6a2f77d6efa41eb2f5aaa,NG-RD-000202,ENDS_AT_PLACE,NG-PLC-000177,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.583182000,-3.292153000,SHARED_REFERENCE
roadrel:nngla:0d9a2e815897404687798ecebc508ad7f7893cd37224c6a6350c92afbda3a409,NG-RD-000208,ENDS_AT_PLACE,NG-PLC-000257,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.006885000,-3.485388000,SHARED_REFERENCE
roadrel:nngla:0e0ef1bc41d63abc49d0cd158b854713a9f579b00319ebe26e0ba9bdc3a2417f,NG-RD-000348,STARTS_AT_PLACE,NG-PLC-000407,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.506410000,-0.562921000,SHARED_REFERENCE
roadrel:nngla:0e42e6125a69901719f500a60c539d7fa68e69be3b76c2efed063a1b8c063145,NG-RD-000027,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0e6daae2c3ed5734531856a66ef86162b5361a4ce36bc234b863c49abfa45b13,NG-RD-000020,STARTS_AT_PLACE,NG-PLC-000084,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.354390000,0.755747000,SHARED_REFERENCE
roadrel:nngla:0f2298cad5614d023017b2b1dfc2c59fe4c1bc2e9c76f69b51ed972e2aa5e316,NG-RD-000151,STARTS_AT_PLACE,NG-PLC-000157,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,33.738002000,3.420825000,SHARED_REFERENCE
roadrel:nngla:0f25be34730a8e9ac12d5d4d2a32bc4eb5a9e723606d6f1ec662d9d52d953812,NG-RD-000293,ENDS_AT_PLACE,NG-PLC-000343,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.640823000,5.332119000,SHARED_REFERENCE
roadrel:nngla:0f28e454fa8a43e94042355ca6a284308a045d6d6b1cfa7764cbfacac9540fc4,NG-RD-000349,STARTS_AT_PLACE,NG-PLC-000418,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.339581000,-0.371433000,SHARED_REFERENCE
roadrel:nngla:0f3743d5f82241fdaa1afd5308ef7393939808e0594355fb64e7b2cec36aba5f,NG-RD-000135,ENDS_AT_PLACE,NG-PLC-000121,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,33.706382000,3.367366000,SHARED_REFERENCE
roadrel:nngla:0f96d9f79db62192034eae7698541cc253c20c79ccf3faf8eee43ddea406e265,NG-RD-000105,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0fcf8abb0c819af87be42c5627ccff9f3631da8aa273e4fcabffcc05b5111d1a,NG-RD-000134,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:102d9c0597a31ebc23e9aed871f9fea1bd523a331468a858de5b0f276bc6a5fc,NG-RD-000076,ENDS_AT_PLACE,NG-PLC-000039,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.023197000,0.920005000,SHARED_REFERENCE
roadrel:nngla:103408a101153f269b8f165575729c461c17b0a26069082e9d002533a6735dff,NG-RD-000061,STARTS_AT_PLACE,NG-PLC-000065,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.059639000,0.643396000,SHARED_REFERENCE
roadrel:nngla:10948c9ac5f55d5cf735b215023c5aef7ec5a9e7398544bc4acedec263d68bae,NG-RD-000225,STARTS_AT_PLACE,NG-PLC-000183,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.734687000,-3.330899000,SHARED_REFERENCE
roadrel:nngla:10f2b5a5b67fab54430c8ec8e3e08ac0ae0bc1432657d553e54e57c4df877fbd,NG-RD-000146,STARTS_AT_PLACE,NG-PLC-000157,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,33.738002000,3.420825000,SHARED_REFERENCE
roadrel:nngla:10f920aade0a1551ff0dcc363c1031e8196c319498444bad34bbf5c026054aa2,NG-RD-000266,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1106763e726d5fdd04a2583457b9e0ea686eb5b10caeaa7978041df91da8400d,NG-RD-000053,ENDS_AT_PLACE,NG-PLC-000045,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.777699000,0.685462000,SHARED_REFERENCE
roadrel:nngla:11244f931b2dafd324203ac046a7ed3732dda1bebc18c7cdec3fea0db469c547,NG-RD-000060,STARTS_AT_PLACE,NG-PLC-000019,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.462935000,0.818751000,SHARED_REFERENCE
roadrel:nngla:11c554f7d4cfa06e0a69a5904e39daf1e720a5a4555ee92989dcb71c2973733f,NG-RD-000212,STARTS_AT_PLACE,NG-PLC-000240,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.412252000,-3.179076000,SHARED_REFERENCE
roadrel:nngla:11ff0906af8a6d79255173d6533cf4d4bcd7618d472b2fd12bba359d2c2764d5,NG-RD-000341,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:12424423d4c33bf30d25f1d7c091b1b472d2f97cd9fce02fedb725a6fc100ec1,NG-RD-000032,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:12519324a1a3464dd20e75d63d50f487f805576f2aa1f13b45789e2e87dd0078,NG-RD-000296,ENDS_AT_PLACE,NG-PLC-000262,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.161884000,5.059686000,SHARED_REFERENCE
roadrel:nngla:1272b3dd32f50442a50db889694929bdb90ad3e74a1226c0a5a36cbc24a2cec7,NG-RD-000053,STARTS_AT_PLACE,NG-PLC-000032,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.663723000,0.787683000,SHARED_REFERENCE
roadrel:nngla:12798bb77debb1f7906348a0c86c2d4677d0a382458cfaacbbbbb3934dbc77f5,NG-RD-000047,STARTS_AT_PLACE,NG-PLC-000080,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.707151000,0.905187000,SHARED_REFERENCE
roadrel:nngla:12a0fed727bdbab9f46389d056d1c7ce1ebe5d548aad5302808f214bb1b35b84,NG-RD-000327,STARTS_AT_PLACE,NG-PLC-000259,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.893098000,5.580212000,SHARED_REFERENCE
roadrel:nngla:12a433d6792d80d4aad46b34b0434247b47dc5774ba5710111e8a2dfd390b29f,NG-RD-000279,ENDS_AT_PLACE,NG-PLC-000300,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.473156000,5.795549000,SHARED_REFERENCE
roadrel:nngla:12ac208f09dbcb24828b264a0a79d25925e78c3fff0d4508530b456ddb7aa11c,NG-RD-000002,ENDS_AT_PLACE,NG-PLC-000010,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.336781000,0.962406000,SHARED_REFERENCE
roadrel:nngla:135d8530b963a01c0b0eb0719891c357efe51a59775bf156ffae2a6af32cb9f5,NG-RD-000082,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:13786cd42583d890f5422ca4062a4475df53a1a050931c7ca6e618e0ddbc6a9e,NG-RD-000176,STARTS_AT_PLACE,NG-PLC-000173,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.660000000,-3.307467000,SHARED_REFERENCE
roadrel:nngla:13d25fe90a0dc42e263db3285a3c49be925e3ce881c576a6c6871b071efbebbf,NG-RD-000328,ENDS_AT_PLACE,NG-PLC-000271,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.173941000,4.890656000,SHARED_REFERENCE
roadrel:nngla:1402ec3b8454cf91a1c4c4ce7e25fe8e6c28d5ab403c7e2250f48d6d693f6792,NG-RD-000190,ENDS_AT_PLACE,NG-PLC-000257,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.006885000,-3.485388000,SHARED_REFERENCE
roadrel:nngla:15119009c966bf889a1990c9e4ccaa56c7adb690e562c2f05c24593b7784b1b9,NG-RD-000066,STARTS_AT_PLACE,NG-PLC-000076,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,35.652321000,1.342548000,SHARED_REFERENCE
roadrel:nngla:15b9fb263b62f3f9b6d0c852609a1a239f59829ca598e861f8e5ace617d65651,NG-RD-000328,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:16629ec95b805e92f5ed13ba5b73c63759ab7f16fd2cab63868daa9fce8b4c11,NG-RD-000128,STARTS_AT_PLACE,NG-PLC-000114,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.857105000,3.521022000,SHARED_REFERENCE
roadrel:nngla:1679078c72dbd6430cb103bd4a81d6cb12f9ce8b0efa8112ebeaaa27dd7a1f4b,NG-RD-000080,ENDS_AT_PLACE,NG-PLC-000078,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.130217000,0.874777000,SHARED_REFERENCE
roadrel:nngla:16b56e1096e6e4aa6aaa61b67f7bbdb91f3064489674e6ec557f8a05438f46b2,NG-RD-000144,STARTS_AT_PLACE,NG-PLC-000159,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,33.741309000,3.489626000,SHARED_REFERENCE
roadrel:nngla:17a8be82146d42f4b56d3e841ac814b111d226c05d2cdf53e916bf6eff69080c,NG-RD-000126,ENDS_AT_PLACE,NG-PLC-000142,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.942059000,3.448314000,SHARED_REFERENCE
roadrel:nngla:17cb15e18211463b1d2715a2d82ee2777cac8e648802000940a6887c47d3b13f,NG-RD-000023,STARTS_AT_PLACE,NG-PLC-000023,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.466409000,0.953186000,SHARED_REFERENCE
roadrel:nngla:184fcd4221926ba1d7c448c1c1f6f7125946945e46df3808b62ce7fbc099dd6d,NG-RD-000156,STARTS_AT_PLACE,NG-PLC-000088,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.251230000,2.991893000,SHARED_REFERENCE
roadrel:nngla:1898523ffbbfdca14dc53cba69849242572e82a733cf2f2d0a939f704efc6aa3,NG-RD-000217,ENDS_AT_PLACE,NG-PLC-000190,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.555601000,-3.435182000,SHARED_REFERENCE
roadrel:nngla:18de188c467b66386349fbed8e2da5c4bfe76511749b11c94ae643599cafe815,NG-RD-000091,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:18f38e43b17b4ac1f7c20a6322d390af0addece8e222144bd87d478058b383ec,NG-RD-000069,WITHIN_ADMIN_REGION,NGR-01,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:194c11dc95e6af8a26fd6e26e092fd7f6ea0afa8ee9d8307bc49cbd2bbe8742b,NG-RD-000118,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:196360836daac097faebf0bd3c3a6f5e81e9b037c31ab52c44e9953326a77ab4,NG-RD-000299,STARTS_AT_PLACE,NG-PLC-000262,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.161884000,5.059686000,SHARED_REFERENCE
roadrel:nngla:19aca902353ed1e5f4b997a71c1bb64db5d54dd7c18029c220b1fe64e4641545,NG-RD-000264,ENDS_AT_PLACE,NG-PLC-000279,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.215314000,5.250069000,SHARED_REFERENCE
roadrel:nngla:19b22397a86612c7ccb27175051cb288a35f77082fe5ff83c35b4249bb8f124d,NG-RD-000145,STARTS_AT_PLACE,NG-PLC-000171,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,34.914150000,3.166470000,SHARED_REFERENCE
roadrel:nngla:1a0212976ebde8871dba596103b571e055a0d9f6668e4bf99db37cf2e7928b39,NG-RD-000340,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1a11145bd5240066ebf24cc16794cf58902de9f3d3f09162450ab0f66a3b6a2b,NG-RD-000143,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1ac2a3161d21219c26d321bffb6429c76511eaac9cb2927c53a169092f97211c,NG-RD-000326,ENDS_AT_PLACE,NG-PLC-000297,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.929583000,5.758235000,SHARED_REFERENCE
roadrel:nngla:1ac49199c672a325dc5338bf2099d12101b4581f3654655b13a25a2a3b9a2f14,NG-RD-000294,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1beb3ff61c0d73a73382b54951eb7429305396096507bd24d8bb6764c0feba9d,NG-RD-000186,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1bed8fcf053313392d90f1c5e9035d939b73b40817684a6aad87d6197d6d9dd6,NG-RD-000254,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1c017b0d8fe8744d0a61783ed2da39aabd5b13a3971ae28d50e637c04613add9,NG-RD-000122,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1c821d2fc4d778b1d536394c784b21ec99888251bbc4bc302ecfbb6cb45f885a,NG-RD-000087,WITHIN_ADMIN_REGION,NGR-02,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:1d32d99e21c6edb02e9d5b0c536522bd28b10cd5fcab28c571ad4cef50920f0c,NG-RD-000189,ENDS_AT_PLACE,NG-PLC-000191,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.503894000,-3.321721000,SHARED_REFERENCE
