connection_id,node_id,road_segment_id,road_id,endpoint_role,runtime_effect_scope
roadconn:nngla:b2047374a4333013621290a7b3a98c7b2312e0f703dfd5a5a7e1b0edb3b6c8fa,roadnode:nngla:9a0797780a0b6cb67143d5be7156642334cbef000f3f9b47822bff7f0f8feba4,roadseg:nngla:a9b70e8cb374c1e54aedc7544dd3911993db4ea7de9fb414d8145493e6ff347d,NG-RD-000006,START,SHARED_REFERENCE
roadconn:nngla:8d5b205fcc00d2a0a5cdfb60541ea82535d0a38abbcd99ae5dfbcf2b1f8ffcb6,roadnode:nngla:46188d76713b7b9ac8733fa729d7a3e667ff4d837e7fcd03773efc6aacc1f247,roadseg:nngla:a9b70e8cb374c1e54aedc7544dd3911993db4ea7de9fb414d8145493e6ff347d,NG-RD-000006,END,SHARED_REFERENCE
roadconn:nngla:3e47953be719579615f06be51ad2e03d3d893809b0e4ada2aac2ab266a86ca43,roadnode:nngla:63411b3b7f013ac49e6c321c3d395e966a068eacaebce944b8cf331ae48b7095,roadseg:nngla:ad9214cca424a8bc83bbb4f90a8bf59659c709bce830dfde1d7b72eaedfeb321,NG-RD-000007,START,SHARED_REFERENCE
roadconn:nngla:ec31c4600932b81df1c3e0f2d25b4076aab882a99e9e98fce903f2508a17b762,roadnode:nngla:bf37a0d8f50fa6c64a6c852b21a4e2e2eb1d2162bf25a3de03501a97c3d69b4e,roadseg:nngla:ad9214cca424a8bc83bbb4f90a8bf59659c709bce830dfde1d7b72eaedfeb321,NG-RD-000007,END,SHARED_REFERENCE
roadconn:nngla:d2900e47340cec52eae052e470bc398b3079b864582691a2e2a65487230fd054,roadnode:nngla:54182ab34b0f872c9443fccf0510f39d3552e8126a6660a59ccc2cd3cae69e0f,roadseg:nngla:fa0b5b24ef1f387df35b5f7c0e4b00d0896295b4128153d6a6e9fb86d8ab3748,NG-RD-000008,START,SHARED_REFERENCE
roadconn:nngla:108a4e41adabc72d3bccdda25b5c3ca70e99919f1f6e7fe6930aab370772dc9d,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,roadseg:nngla:fa0b5b24ef1f387df35b5f7c0e4b00d0896295b4128153d6a6e9fb86d8ab3748,NG-RD-000008,END,SHARED_REFERENCE
roadconn:nngla:557adbdd8b1ae978e24da739233f0d6f952ff3422101ba1cd5e305cf379f7b47,roadnode:nngla:244f6b9817e5c2146a77910a2f792009d7df10dd6fdc9cd0e4c9d59f0030ed12,roadseg:nngla:871209a57f2e42b0214283059885731c1dcacc42abf9b05cbfe2c8ad8370ef79,NG-RD-000009,START,SHARED_REFERENCE
roadconn:nngla:3859bf29b48f950672536864092f90b99bdc4c2e7e7498d62e2e564cb81e0ec1,roadnode:nngla:bf37a0d8f50fa6c64a6c852b21a4e2e2eb1d2162bf25a3de03501a97c3d69b4e,roadseg:nngla:871209a57f2e42b0214283059885731c1dcacc42abf9b05cbfe2c8ad8370ef79,NG-RD-000009,END,SHARED_REFERENCE
roadconn:nngla:a3473d639437925fff8293a659de676a49f0d7f86e0f838311b4f19b3323951e,roadnode:nngla:55533ab41575be56f1da3c0f61625f098cc84056ea46e89e859dc9a89c8864d6,roadseg:nngla:0601c3b9582fdb1fe07785d175992f8878d806885193ae1b58cb9a391e276b5e,NG-RD-000010,START,SHARED_REFERENCE
roadconn:nngla:0806ce2a5a0c960510de70754e66bcc8bcc115ca63ac64105aaa380fbb746faf,roadnode:nngla:c6675a5b0f82c9187b752d1e15a87acb66a2afe06684f30fd3946d61a98d736d,roadseg:nngla:0601c3b9582fdb1fe07785d175992f8878d806885193ae1b58cb9a391e276b5e,NG-RD-000010,END,SHARED_REFERENCE
roadconn:nngla:983fb86e1e70ce655d2021e3f6ec4f49935af7687ae48d19ea5aba03b08f768d,roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,roadseg:nngla:073659e83b0b25eed6097c097aa409eb167097c5b23fa70a4e72f9ce40005f1b,NG-RD-000011,START,SHARED_REFERENCE
roadconn:nngla:b7dc195f3051a7c4227762d3be89701625cc95e282d7470e7643798c54d659be,roadnode:nngla:6895ab874b13b242781b53236f9f95030f6707b44b079c52f7367c2e7b0a29a8,roadseg:nngla:073659e83b0b25eed6097c097aa409eb167097c5b23fa70a4e72f9ce40005f1b,NG-RD-000011,END,SHARED_REFERENCE
roadconn:nngla:006eea2ada2f9ce686cec6142452470bf4bcb9a2f703ab5fed3a1b06f7dea8c9,roadnode:nngla:860b767853192d8b6b8b2d474993e99b1bcbe383be55e0c2521755d7c864566f,roadseg:nngla:0d11b76cc2d589cb38254b765fc2b4349e9decbfb712bfe2652adf8c55085d49,NG-RD-000012,START,SHARED_REFERENCE
roadconn:nngla:8cb68eeb26b375cee2b962b13aa2ba235272437b0837b38ef9b080f22ef158af,roadnode:nngla:3f80ec51c47d8819850ccf58a52550a4196d1613d3114ea27c125c54e41bd985,roadseg:nngla:0d11b76cc2d589cb38254b765fc2b4349e9decbfb712bfe2652adf8c55085d49,NG-RD-000012,END,SHARED_REFERENCE
roadconn:nngla:dedb3fa55e59b43f88c958e80d3d690b7995dbb052aa974c4f5705c77796e4c1,roadnode:nngla:79c219445bdcc93baa841cef0bc6e48235be6ae7d5987fd2d1be986cfe39dfde,roadseg:nngla:f29dd9b0c1fb853c60370b46eb49f668fd8c356c982c0ee45caece2066bb5ec3,NG-RD-000013,START,SHARED_REFERENCE
roadconn:nngla:8488fb1129867bb0eb9759b2ffe0a6c2062aa3b119c96b143762334317385aa4,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,roadseg:nngla:f29dd9b0c1fb853c60370b46eb49f668fd8c356c982c0ee45caece2066bb5ec3,NG-RD-000013,END,SHARED_REFERENCE
roadconn:nngla:3c55f8d57699b31d42051cbe02abb21b2f769870a0351c848bb58938a6897deb,roadnode:nngla:983bcce4b7263c4a96b0d85f6c73a7527dd287ee07d3efc8f82482822a5cb5f8,roadseg:nngla:a6373dcc4cdaa6e52bbea9c94e3b6583fefeef4560f0fc14ea914045abc19e9d,NG-RD-000014,START,SHARED_REFERENCE
roadconn:nngla:bac9f40d203876be6a719b5852fb3958427029e07d2bbdad60ea9a91d5bbc558,roadnode:nngla:4bb200c56329defd70c85f84b32e94c4a671c6802c3ad974972df149cf553638,roadseg:nngla:a6373dcc4cdaa6e52bbea9c94e3b6583fefeef4560f0fc14ea914045abc19e9d,NG-RD-000014,END,SHARED_REFERENCE
roadconn:nngla:493251e649d8a31840cabffae0d5d383c1abdc3e674567c4baa59dc169430051,roadnode:nngla:49741b41ebdebbec78ca50b522c7fbcce2ca278956be1ccb5d6b129c9e5cd9e6,roadseg:nngla:30d1b7455cfd4063148783ff4a8c97dd02e0821f4adce1d62281d5eda426c17f,NG-RD-000015,START,SHARED_REFERENCE
roadconn:nngla:454a49f243515527b4d7c034c1b9b6009412cd349d991df36fdfd72dd7e8c56d,roadnode:nngla:07b2898987e6ae7fe36e20c66d14ebd15fd43192add5945f1220f40a63cc64c7,roadseg:nngla:30d1b7455cfd4063148783ff4a8c97dd02e0821f4adce1d62281d5eda426c17f,NG-RD-000015,END,SHARED_REFERENCE
roadconn:nngla:3495d2fdf2e022c311bf7b3e5530d5791af12b30937bc416ac6dd918a16c2d75,roadnode:nngla:3326cea08e50cd7a1e04ea39b7b52405a591dee86257ce3aac86e1ce2978b95e,roadseg:nngla:2428442311ff0aef8950866d88c4fe4add2f1fe44151df76b1c9cdcc1ab2fcbf,NG-RD-000016,START,SHARED_REFERENCE
roadconn:nngla:13f8b6a83bfc40c1197d8689d13a7a42d81efb5b9142cb22dd8be52e58c1f516,roadnode:nngla:03f604c47d8991a951e3df859a881653277f570cd02ee964205ff48a8acaad9c,roadseg:nngla:2428442311ff0aef8950866d88c4fe4add2f1fe44151df76b1c9cdcc1ab2fcbf,NG-RD-000016,END,SHARED_REFERENCE
roadconn:nngla:34f4d10838d71a55dacae6a869f0802901828533e7460ad0e4c4300d07a78b83,roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,roadseg:nngla:6fda6728e08ae402e7af35f93bb7b7f60644c8b1d746d88b677b925857feeac5,NG-RD-000017,START,SHARED_REFERENCE
roadconn:nngla:2564aaa8c9ec2f822fd1b8142c1ed42ca921d872d3fc5446a053457cf0045c83,roadnode:nngla:50a6585d2c95eaf0240e99ac6bb07e328ca5c98600282ad587a85fd502f02a09,roadseg:nngla:6fda6728e08ae402e7af35f93bb7b7f60644c8b1d746d88b677b925857feeac5,NG-RD-000017,END,SHARED_REFERENCE
roadconn:nngla:1abff17546d817fb57bb18d3ed7c6f2435973a5a2938ecab53c6a060f94d2f09,roadnode:nngla:bf37a0d8f50fa6c64a6c852b21a4e2e2eb1d2162bf25a3de03501a97c3d69b4e,roadseg:nngla:8273887ae5dcd5a01d095c997ca5f88714f12e6d115f734c74c0964dd7a22b9e,NG-RD-000018,START,SHARED_REFERENCE
roadconn:nngla:58c83a8a32df00fb45646ac4a164405f759c1d20c85e01472cb918e467267c13,roadnode:nngla:6531ff61c6d755138fc07d88b500a7fb26014aecebe4ea32f8c939dc9b01a8fa,roadseg:nngla:8273887ae5dcd5a01d095c997ca5f88714f12e6d115f734c74c0964dd7a22b9e,NG-RD-000018,END,SHARED_REFERENCE
roadconn:nngla:bc4c2c75c73a708551fb478383b2eaf88eca0db7d5fcef148d58e81ad222f3b3,roadnode:nngla:9d316ec9e945df6cc920040edbe8276edde5bab619316782efaee0cf340d5575,roadseg:nngla:b332933abc250d9a265d6c9f62aa6b908ee9051ac98b329b9cea7690baac8f31,NG-RD-000019,START,SHARED_REFERENCE
roadconn:nngla:259dee7409f3e5c85da4962bf5a15c54e5ce25bb9c9ab1a37a79db1dcff359a5,roadnode:nngla:bdbd5671d10683e0bc976d52fba95157a2e4278c7106eed301dd8ce2a07625d7,roadseg:nngla:b332933abc250d9a265d6c9f62aa6b908ee9051ac98b329b9cea7690baac8f31,NG-RD-000019,END,SHARED_REFERENCE
roadconn:nngla:7e39af0856ebc45d684b74ff94039644067ae90a6c5c5b49723921c0d85eeda7,roadnode:nngla:49741b41ebdebbec78ca50b522c7fbcce2ca278956be1ccb5d6b129c9e5cd9e6,roadseg:nngla:5d5989449b41a423ef11fe78b68d4d47fe57045415233d0caf5e4686a1afabf8,NG-RD-000020,START,SHARED_REFERENCE
roadconn:nngla:3fa173be4d18ca57db8483c0a859bedbadf16ea77bff976e83d99345e2acc4ff,roadnode:nngla:618fabae0715441d721aebba09508077b76fa7ecff37f4eaef9d8710a802166d,roadseg:nngla:5d5989449b41a423ef11fe78b68d4d47fe57045415233d0caf5e4686a1afabf8,NG-RD-000020,END,SHARED_REFERENCE
roadconn:nngla:aef0c56931c1b5f2a5fa65b66b9abc5085d9850430ead63bfc59fb66f41b468e,roadnode:nngla:46188d76713b7b9ac8733fa729d7a3e667ff4d837e7fcd03773efc6aacc1f247,roadseg:nngla:ffa4db4e3367a2dfbb18219c0ea7dfcda9cccdca4466f87fb5dfcb354bb43a78,NG-RD-000021,START,SHARED_REFERENCE
roadconn:nngla:54ffec123ad3f96f40e1ded822f6d12e6c01a7163f8add99cd99a781a8eb002d,roadnode:nngla:f9ac9e722e18902de17ef0a229e3c2273659a93076d60aad12189feebb2731f8,roadseg:nngla:ffa4db4e3367a2dfbb18219c0ea7dfcda9cccdca4466f87fb5dfcb354bb43a78,NG-RD-000021,END,SHARED_REFERENCE
roadconn:nngla:003c04fb8a6daa3aa81486218705fe5e9aa0a8dd76e994bd653c2ce8511725c9,roadnode:nngla:54856562979d2bb3226d249c4d14e0ae3b5eaaca2e387e71d35aef922b401dc3,roadseg:nngla:e368f9e7fbfd997de0ca303648858eeaef33f558747ef6da218bb825efe2db6a,NG-RD-000022,START,SHARED_REFERENCE
roadconn:nngla:9f98975cec0aa9d55bdc8d6aac002231c78847c6aeddb71a9547f5a66b106b1b,roadnode:nngla:6bba7c1be284afb55d7423e42edb6e006e2252dea5580aec0358652fb5e29a0b,roadseg:nngla:e368f9e7fbfd997de0ca303648858eeaef33f558747ef6da218bb825efe2db6a,NG-RD-000022,END,SHARED_REFERENCE
roadconn:nngla:9be530c45a1ff625319c508fcfbc70882c5e5f787d063059b87cb3a45c698a7d,roadnode:nngla:40c8bbdbed6d0d8a6419dd69a93f078416fa013da0228001bd3584961443b769,roadseg:nngla:0616337bb61454c4a29b5b302826f009845dae79dcb4c9567fff55220867a127,NG-RD-000023,START,SHARED_REFERENCE
roadconn:nngla:273b390bc9cb3efb64d166d1d326354af0b23d538f57784c4a81d6da3204e73f,roadnode:nngla:1e77227a4137315809d3841ee7cacb96bf2287939d68bf06371529ba77a5ab45,roadseg:nngla:0616337bb61454c4a29b5b302826f009845dae79dcb4c9567fff55220867a127,NG-RD-000023,END,SHARED_REFERENCE
roadconn:nngla:b0285b4040ace5f8bb7056e7d3b3b7b1c9e0d540d0c1d3a10e0417b94c6a4b17,roadnode:nngla:fbfbae4b5696388e1002eef413b49abc5e02b59fcdb7949e2667169b0065bb8e,roadseg:nngla:bb03e9d0048fbd3c016cadbfce5fcfca0a123bcd15bd5a81b675fd42d24765d8,NG-RD-000024,START,SHARED_REFERENCE
roadconn:nngla:c0bdee3e4cb479e25acffb5a96586f76862c14136076bd80d6ffdb63a165244d,roadnode:nngla:6260fb562c3764656ff9b4ff5f99a787d14e5181cf1d785f5bfeff6e30a846ab,roadseg:nngla:bb03e9d0048fbd3c016cadbfce5fcfca0a123bcd15bd5a81b675fd42d24765d8,NG-RD-000024,END,SHARED_REFERENCE
roadconn:nngla:67d5bc7f455bc30be660f2efa55caf0aac161ffa2dfc69a564f4e417c0a8b401,roadnode:nngla:521a3d09949d74cad2ca16391d8fdd0fe61b3ef3de4ef5e91b34195baaebbe3d,roadseg:nngla:d8281284ea3999eba8b6b99cfc5caea5eded2fb2831871501cce114df302f6a7,NG-RD-000025,START,SHARED_REFERENCE
roadconn:nngla:acd668f14a69f862068ad5e64823b170095a0310c08c1128a68e63f014775595,roadnode:nngla:533759dde2a3f3792b160d36174bccd9d86bc5427c8eb5b327a86d9853ffafdc,roadseg:nngla:d8281284ea3999eba8b6b99cfc5caea5eded2fb2831871501cce114df302f6a7,NG-RD-000025,END,SHARED_REFERENCE
roadconn:nngla:0bfa489ae0dc47c0c486312ccb709c11fbaf1bc60b90c24093fd15302b87a3b8,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,roadseg:nngla:aaaacabd4cffc0713f12b3c0f28afe44fa8cdcce6607ad99f28122a605157c5a,NG-RD-000026,START,SHARED_REFERENCE
roadconn:nngla:8936737180fb1bbf8d2f7f6b874fa3eec4b0d106de9f1c41a179f2e435955b55,roadnode:nngla:40c8bbdbed6d0d8a6419dd69a93f078416fa013da0228001bd3584961443b769,roadseg:nngla:aaaacabd4cffc0713f12b3c0f28afe44fa8cdcce6607ad99f28122a605157c5a,NG-RD-000026,END,SHARED_REFERENCE
roadconn:nngla:f9d56a2e1adb27722c492124e5989c0ff0c371c9f75736720a725d4868552723,roadnode:nngla:d5c815b801cb4d2312b255b2e65b20b6d5a4abdfa00c3e466c3defc57edf2ded,roadseg:nngla:e397464d20b46b6a8cdf9f7ec032d8d14802b29344f56d82f638910a8e127d75,NG-RD-000027,START,SHARED_REFERENCE
roadconn:nngla:c8672f5fbad89f84e28f39b735bed9b7aacee614b288e28f71ec6c7c16f09aff,roadnode:nngla:d3d91bcc8a5b48a338f7d63ea84d176d366503927212f4e7cfc59c7120a95c53,roadseg:nngla:e397464d20b46b6a8cdf9f7ec032d8d14802b29344f56d82f638910a8e127d75,NG-RD-000027,END,SHARED_REFERENCE
roadconn:nngla:3b418494b373e04b293fdf9898edd46803cb37557cc84df21422507d857939fa,roadnode:nngla:6bba7c1be284afb55d7423e42edb6e006e2252dea5580aec0358652fb5e29a0b,roadseg:nngla:1a0d4867fa9d3fc7869f061ad17cb3af0632f438a860913ef8aa56ebdab3f110,NG-RD-000028,START,SHARED_REFERENCE
roadconn:nngla:53997e7f4f7f457c74438e9289eeb54d2b4c4d7ad708c5166c28a0aa4af5199a,roadnode:nngla:d5c815b801cb4d2312b255b2e65b20b6d5a4abdfa00c3e466c3defc57edf2ded,roadseg:nngla:1a0d4867fa9d3fc7869f061ad17cb3af0632f438a860913ef8aa56ebdab3f110,NG-RD-000028,END,SHARED_REFERENCE
roadconn:nngla:15b3797628c24a83d6d42a251350da68fef5d93d52946b227ab912d8929e5448,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,roadseg:nngla:4fe5140023cd2db7e6567648b1b7427ba5697e7965ccafb45b5c3911e7600f18,NG-RD-000029,START,SHARED_REFERENCE
roadconn:nngla:6aa16b0b71d0cae9cc1d85b215829ec6ad1ba335dcbbac04566c72fa57de3d3e,roadnode:nngla:4bb200c56329defd70c85f84b32e94c4a671c6802c3ad974972df149cf553638,roadseg:nngla:4fe5140023cd2db7e6567648b1b7427ba5697e7965ccafb45b5c3911e7600f18,NG-RD-000029,END,SHARED_REFERENCE
roadconn:nngla:34231948978f2cb93be8c5da1fcc07043b9656297e2609e358bed952dcc5759e,roadnode:nngla:c65c46749d37b898e2f00a8dc4264572a721e96081c0b76d7acac647aac17a9f,roadseg:nngla:4a1e842bed7ae69fec52dab29e834fa0dd3f7b1a202aaa8266a4fd7baa6bd8c3,NG-RD-000030,START,SHARED_REFERENCE
roadconn:nngla:cd5a1271f449a8f87115963af2a4b5a03bdb8f0f19dd33d0c8cf52fb0d5990eb,roadnode:nngla:8949a31f475fce42405664029c33d1e2c96c65796fda663123a72e7a6dc528b0,roadseg:nngla:4a1e842bed7ae69fec52dab29e834fa0dd3f7b1a202aaa8266a4fd7baa6bd8c3,NG-RD-000030,END,SHARED_REFERENCE
roadconn:nngla:4d995fffa3f48006dac0eb73f6cf3da2c57752172bfdde0efe7e831e0b36991a,roadnode:nngla:b9a888f396a9ae0d76c25f9afd8e549f1334a3c4216a5a9cc4b8328c77b64951,roadseg:nngla:47d7ffaca3a6d9695dc029415c236d3214fb133f9257424fd88bd7b85866a3ef,NG-RD-000031,START,SHARED_REFERENCE
roadconn:nngla:11e5b173f5f190fc51957dd1da9a4a3588b9e05047d2c061d7c6d5ea8d920ec3,roadnode:nngla:4d3e096709f0dc8047bf4d27c6fa71a18a80f18c9f0eb94b8059673ad89fdd63,roadseg:nngla:47d7ffaca3a6d9695dc029415c236d3214fb133f9257424fd88bd7b85866a3ef,NG-RD-000031,END,SHARED_REFERENCE
roadconn:nngla:4afd26dead7d4c32f0e0095a9bb13ffe98c723ccba45a739e6fbd6695a7e4aa3,roadnode:nngla:1e08c7d7db282ebe1a39903a3102ef0dc4e8a96bdd9ea12d0dac8fcd6954e9c8,roadseg:nngla:21725dccef3fb131b7bf49778acf2d4cecac7a65bfa1615a5f9421172c169b6f,NG-RD-000032,START,SHARED_REFERENCE
roadconn:nngla:2b6754e1683a8772821a8eefbf7a0efa1db6685f878b97d0669e105786452a42,roadnode:nngla:b9a888f396a9ae0d76c25f9afd8e549f1334a3c4216a5a9cc4b8328c77b64951,roadseg:nngla:21725dccef3fb131b7bf49778acf2d4cecac7a65bfa1615a5f9421172c169b6f,NG-RD-000032,END,SHARED_REFERENCE
roadconn:nngla:cf88a9283e1495b7107dac43a5964fb45d8ec6d72b13a9841754978a201b55c7,roadnode:nngla:4cbc7b579752dfa021717d1417e3fd54aaa78a3cd14d8a839cc5498f6fe5fa73,roadseg:nngla:2fc6ea38fad23f2af8d8805f324ca6c0a169959ca33b6df61bea870f610ead6f,NG-RD-000033,START,SHARED_REFERENCE
roadconn:nngla:521cb4d4543142d7b0c3e9bc4ff4d4090f0618852f5bc272c0a8756328cf63ac,roadnode:nngla:fbfbae4b5696388e1002eef413b49abc5e02b59fcdb7949e2667169b0065bb8e,roadseg:nngla:2fc6ea38fad23f2af8d8805f324ca6c0a169959ca33b6df61bea870f610ead6f,NG-RD-000033,END,SHARED_REFERENCE
roadconn:nngla:553391d8e5fb1ee34a6eee7c6c418d3f0df0c46de5d5a24c448816ea956fdca4,roadnode:nngla:d48a00e45ecd9397d58dc285733f40c6568517d98f029900f3d9d18f49ee6c37,roadseg:nngla:8a9ff55a51389694c0363294cc7ed6c79ccd9ebb0bd5b257ebbbd48fe6a21985,NG-RD-000034,START,SHARED_REFERENCE
roadconn:nngla:7d10a821c10b5878d4e93b1890b22e4a04f001f2806f18a1c6933337b34d2839,roadnode:nngla:1916866053a8a4b6c91ccfc15b4f3bb43d043accfb3093400f54ca435da9bce2,roadseg:nngla:8a9ff55a51389694c0363294cc7ed6c79ccd9ebb0bd5b257ebbbd48fe6a21985,NG-RD-000034,END,SHARED_REFERENCE
roadconn:nngla:a0907ff3ea619f13f7ece34d4bb40899aead51004e3b5514daffca7b344936f9,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,roadseg:nngla:afdb7009024267e250cdffad0f2abf66e342a49ea88cecc43367ccbd32af3eca,NG-RD-000035,START,SHARED_REFERENCE
roadconn:nngla:851ac06ea1fde253da010d4ae6111549f8e6b870b59f92c9e58db2f954413d02,roadnode:nngla:03f604c47d8991a951e3df859a881653277f570cd02ee964205ff48a8acaad9c,roadseg:nngla:afdb7009024267e250cdffad0f2abf66e342a49ea88cecc43367ccbd32af3eca,NG-RD-000035,END,SHARED_REFERENCE
roadconn:nngla:5659e347577679d7bf9dc255ced01ddc7dcb49eff71c4cf1374ead8435a9ac8b,roadnode:nngla:3c3ce5fb0750347d6379b4605dd3eb3e2f07147009e373e15b0680877d5b9c77,roadseg:nngla:88650795abde69969383e27126f3886a2b036fe85be01a7ac7b6cf7d29450b88,NG-RD-000036,START,SHARED_REFERENCE
roadconn:nngla:bfb61a0d9dccf76bf8a73ce2081cc166e1d7274aba69d116a39bb1f4358d2edc,roadnode:nngla:1410c3ecec4a530acbc9f628464c0e7eaf11c03037a3cc296164b479e05be9f0,roadseg:nngla:88650795abde69969383e27126f3886a2b036fe85be01a7ac7b6cf7d29450b88,NG-RD-000036,END,SHARED_REFERENCE
roadconn:nngla:82156dab66a6c8fab5033393e3b6760b4a812b34f797907e7e2b97e5bc3d0ca8,roadnode:nngla:1f80dbdc45f869fab8e2d2a536183d012803cc777f72a75f217cb47fd4b5b40a,roadseg:nngla:6a604063976d72373fba139b355c400292c5bce155a939894a333c010b72a2bc,NG-RD-000037,START,SHARED_REFERENCE
roadconn:nngla:c5143d34084545963297b42a40ff7eec819690bc7e4226a155dfa4bf1f0dd8f5,roadnode:nngla:6d8b36f2e363740c0372bd38b381aa21401d87b69e265b1655bcc73896b95708,roadseg:nngla:6a604063976d72373fba139b355c400292c5bce155a939894a333c010b72a2bc,NG-RD-000037,END,SHARED_REFERENCE
roadconn:nngla:53fc110c3d403f636e1d6635ff85918b8ccdec2ef2a4363b386a3e0b65a9ab16,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,roadseg:nngla:f894721e9dc499500dfd1f8d983fa612d6448703957aa9429f42f039b7977998,NG-RD-000038,START,SHARED_REFERENCE
roadconn:nngla:bdb625ac46d8a634d2e2d24c2202cf29d5ed02e5f88bd3139073cdf434ae2249,roadnode:nngla:521a3d09949d74cad2ca16391d8fdd0fe61b3ef3de4ef5e91b34195baaebbe3d,roadseg:nngla:f894721e9dc499500dfd1f8d983fa612d6448703957aa9429f42f039b7977998,NG-RD-000038,END,SHARED_REFERENCE
roadconn:nngla:73bcf3c6e7302c56fbf472a77fd13f4e80e2f49e5bd22aa1bd8247518e3ce544,roadnode:nngla:a4d397eb2dbb143f58dbd18c347133cd0c6ea22e8821980be596f62377cf3a39,roadseg:nngla:dc5200d04c43c5d8b820fdb1c8a4e17d19c36cb51e5e88682acf2495bfb62e6d,NG-RD-000039,START,SHARED_REFERENCE
