identifier_format_id,namespace_id,object_family,prefix,regex_pattern,sequence_width,case_sensitive,check_digit_rule,example_identifier,immutable,runtime_scoped,issuing_authority_code,status
fmt:bay-candidate,ns:ng-bay-cand,BAY_CANDIDATE,NG-BAY-CAND-,^NG-BAY-CAND-\d{6}$,6,true,NONE,NG-BAY-CAND-000001,true,false,NNGLA,ACTIVE
fmt:beach-candidate,ns:ng-bch-cand,BEACH_CANDIDATE,NG-BCH-CAND-,^NG-BCH-CAND-\d{6}$,6,true,NONE,NG-BCH-CAND-000001,true,false,NNGLA,ACTIVE
fmt:cape-candidate,ns:ng-cape-cand,CAPE_CANDIDATE,NG-CAPE-CAND-,^NG-CAPE-CAND-\d{6}$,6,true,NONE,NG-CAPE-CAND-000001,true,false,NNGLA,ACTIVE
fmt:cliff-candidate,ns:ng-clf-cand,CLIFF_CANDIDATE,NG-CLF-CAND-,^NG-CLF-CAND-\d{6}$,6,true,NONE,NG-CLF-CAND-000001,true,false,NNGLA,ACTIVE
fmt:estuary-candidate,ns:ng-est-cand,ESTUARY_CANDIDATE,NG-EST-CAND-,^NG-EST-CAND-\d{6}$,6,true,NONE,NG-EST-CAND-000001,true,false,NNGLA,ACTIVE
fmt:mountain-candidate,ns:ng-mtn-cand,MOUNTAIN_CANDIDATE,NG-MTN-CAND-,^NG-MTN-CAND-\d{6}$,6,true,NONE,NG-MTN-CAND-000001,true,false,NNGLA,ACTIVE
fmt:harbour-candidate,ns:ng-hbr-cand,NATURAL_HARBOUR_CANDIDATE,NG-HBR-CAND-,^NG-HBR-CAND-\d{6}$,6,true,NONE,NG-HBR-CAND-000001,true,false,NNGLA,ACTIVE
fmt:plain-candidate,ns:ng-pln-cand,PLAIN_CANDIDATE,NG-PLN-CAND-,^NG-PLN-CAND-\d{6}$,6,true,NONE,NG-PLN-CAND-000001,true,false,NNGLA,ACTIVE
fmt:plateau-candidate,ns:ng-plt-cand,PLATEAU_CANDIDATE,NG-PLT-CAND-,^NG-PLT-CAND-\d{6}$,6,true,NONE,NG-PLT-CAND-000001,true,false,NNGLA,ACTIVE
fmt:valley-candidate,ns:ng-val-cand,VALLEY_CANDIDATE,NG-VAL-CAND-,^NG-VAL-CAND-\d{6}$,6,true,NONE,NG-VAL-CAND-000001,true,false,NNGLA,ACTIVE
fmt:marine-waterbody,ns:ng-mar-wat,MARINE_WATERBODY,NG-MAR-WAT-,^NG-MAR-WAT-\d{6}$,6,true,NONE,NG-MAR-WAT-000001,true,false,NNGLA,ACTIVE
fmt:marine-interface,ns:ng-mar-if,MARINE_INTERFACE,NG-MAR-IF-,^NG-MAR-IF-\d{6}$,6,true,NONE,NG-MAR-IF-000001,true,false,NNGLA,ACTIVE
fmt:marine-anchor,ns:ng-mar-anch,MARINE_ROUTE_ANCHOR,NG-MAR-ANCH-,^NG-MAR-ANCH-\d{6}$,6,true,NONE,NG-MAR-ANCH-000001,true,false,NNGLA,ACTIVE
fmt:sea-route-candidate,ns:ng-sea-rt-cand,SEA_ROUTE_CANDIDATE,NG-SEA-RT-CAND-,^NG-SEA-RT-CAND-\d{6}$,6,true,NONE,NG-SEA-RT-CAND-000001,true,false,NNGLA,ACTIVE
fmt:marine-connection,ns:ng-mar-conn,MARINE_CONNECTION,NG-MAR-CONN-,^NG-MAR-CONN-\d{6}$,6,true,NONE,NG-MAR-CONN-000001,true,false,NNGLA,ACTIVE
fmt:island-state,ns:ng-isl-state,ISLAND_PHYSICAL_STATE,NG-ISL-STATE-,^NG-ISL-STATE-\d{6}$,6,true,NONE,NG-ISL-STATE-000001,true,false,NNGLA,ACTIVE
fmt:name-sea-route,ns:ng-nam,GEOGRAPHIC_NAME_SEA_ROUTE,NG-NAM-SEA-,^NG-NAM-SEA-\d{6}$,6,true,NONE,NG-NAM-SEA-000001,true,false,NNGLA,ACTIVE
