crs_crosswalk_id,source_file_id,source_dataset_id,source_crs_form,source_authority_name,source_authority_code,source_coordinate_reference_id,governed_crs_code,axis_order,horizontal_unit,reconciliation_basis,evidence_reference,qualification_status
NG-CRSXW-000013,NG-SPFILE-016,dataset:novegeo:landforms,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_LANDFORM_LINEAGE,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,PASS
NG-CRSXW-000014,NG-SPFILE-017,dataset:novegeo:hydrology:surface-water,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_HYDROLOGY_LINEAGE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,PASS
NG-CRSXW-000015,NG-SPFILE-018,dataset:novegeo:bay-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000016,NG-SPFILE-019,dataset:novegeo:beach-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000017,NG-SPFILE-020,dataset:novegeo:cape-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000018,NG-SPFILE-021,dataset:novegeo:cliff-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000019,NG-SPFILE-022,dataset:novegeo:estuary-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000020,NG-SPFILE-025,dataset:novegeo:mountain-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_LANDFORM_LINEAGE,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,PASS
NG-CRSXW-000021,NG-SPFILE-026,dataset:novegeo:natural-harbour-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000022,NG-SPFILE-027,dataset:novegeo:plain-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_LANDFORM_LINEAGE,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,PASS
NG-CRSXW-000023,NG-SPFILE-028,dataset:novegeo:plateau-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_LANDFORM_LINEAGE,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,PASS
NG-CRSXW-000024,NG-SPFILE-029,dataset:novegeo:valley-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_LANDFORM_LINEAGE,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,PASS
NG-CRSXW-000025,NG-SPFILE-039,dataset:novegeo:marine-coastal-interfaces-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000026,NG-SPFILE-040,dataset:novegeo:marine-route-anchor-points-v001,EPSG:4326,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,ROW_DECLARED_EPSG4326_PLUS_QUALIFIED_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000027,NG-SPFILE-047,dataset:novegeo:sea-route-vertices-v001,EPSG:4326,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,ROW_DECLARED_EPSG4326_PLUS_QUALIFIED_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
