relationship_evidence_id,child_place_id,child_source_place_code,parent_place_id,parent_source_place_code,distance_m,parent_footprint_relation,relationship_basis,qualification_status,runtime_effect_scope,legal_containment_asserted
placerel:nngla:a46d3acfd7751de6753d4fbf3966fd6a118a799c2fade0870b62a8a7a186d91d,NG-PLC-000019,NGP-000019,NG-PLC-000001,NGP-000001,10782.893,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:67b781adea93218a0cb31ea51e1708f780a0fd03bf10c3567d4d56a5a60b30a8,NG-PLC-000020,NGP-000020,NG-PLC-000001,NGP-000001,10000.022,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:0b1a528c177f7b1c03f05c3dcb9b9f201fccd8d73b3572473350a261df5714c5,NG-PLC-000021,NGP-000021,NG-PLC-000001,NGP-000001,18027.246,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:75ba45da957c1725860d654b1f4c827e601f91a734bae7483729282ebedfcb23,NG-PLC-000022,NGP-000022,NG-PLC-000001,NGP-000001,24119.016,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:2e9454893b8a3d5f1563d00d83c85cd5765a0e25e3f7cca1818ba3d6f9cccd2d,NG-PLC-000023,NGP-000023,NG-PLC-000001,NGP-000001,10000.016,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:793c3d937379e20e91addc7951cbd5aabc3b8305f7bd0aa461960bfe9c3a3015,NG-PLC-000024,NGP-000024,NG-PLC-000001,NGP-000001,9999.931,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:ec8ec93882d9c5c0a81c7e477a0d45194a1a50331e01247ee77ac2f890ceef48,NG-PLC-000025,NGP-000025,NG-PLC-000002,NGP-000002,34381.323,OUTSIDE,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:8a11d24700a80e8a1cdc0e03007e0cfecb70025902fb38dcd87c8e212a5defc8,NG-PLC-000026,NGP-000026,NG-PLC-000002,NGP-000002,28739.441,OUTSIDE,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:2d63b314a1e0d996cd6d521f4ba1f644b79fc47ef69ae02f2ef74392e3340c5a,NG-PLC-000027,NGP-000027,NG-PLC-000002,NGP-000002,28283.114,OUTSIDE,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:8d3eb7e921f0e79f66ede409750e2198c1a994d188882a90721b09035be1e804,NG-PLC-000028,NGP-000028,NG-PLC-000002,NGP-000002,32582.414,OUTSIDE,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:5ffbe5d03f28cce27e0ba753ce0c154d642b35df4e875d45ea7d52ef9118bae5,NG-PLC-000029,NGP-000029,NG-PLC-000002,NGP-000002,24999.967,OUTSIDE,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:6a7e38a3b7fb4c1b38faecf899a7c0bf1b1c945ad613103cc70b69dbdcd58ae7,NG-PLC-000030,NGP-000030,NG-PLC-000003,NGP-000003,30186.846,OUTSIDE,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:e86c75222966163e2d3ced5b9e38358393b2c1a1af9e4676b057df9f74aa9a9e,NG-PLC-000031,NGP-000031,NG-PLC-000003,NGP-000003,35814.110,OUTSIDE,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:945128b00b4e3cf0da3e18f6e18404487e03715896f7e7c927da2648c0d22ab9,NG-PLC-000032,NGP-000032,NG-PLC-000003,NGP-000003,24999.967,OUTSIDE,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:0dd409a3a84b62a3ea2052297b16bbee77927f9d09b0a5652966af023ad0729b,NG-PLC-000033,NGP-000033,NG-PLC-000003,NGP-000003,29956.175,OUTSIDE,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:23f40a40de295a7aa5821f12495e4c54c33dd77d033af860ff6acca30363ca40,NG-PLC-000034,NGP-000034,NG-PLC-000003,NGP-000003,44201.033,OUTSIDE,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:04a31a9dd8e3d28e3e3b6fc806b8af35a5e8d94a618efa5e3c1543ad19afc709,NG-PLC-000035,NGP-000035,NG-PLC-000004,NGP-000004,28413.505,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:a148035d0d8cc2d1cd9279bb8be352756609d92d3000877b5949b704208098a5,NG-PLC-000036,NGP-000036,NG-PLC-000004,NGP-000004,41327.346,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:ca7ef0e7a458827cb594b4a3b16702aef2e42c93d6d5431f168887df4c7db116,NG-PLC-000037,NGP-000037,NG-PLC-000004,NGP-000004,26911.745,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:bb4aa1c065cbd6bbb28f57f09b1de2fffb9724a9998b69830b334804ccef5262,NG-PLC-000038,NGP-000038,NG-PLC-000004,NGP-000004,34596.182,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:b9d0cab52a0554174459f01fd2b620d7b4920777cf455c0362ea3bb8b59b4612,NG-PLC-000039,NGP-000039,NG-PLC-000004,NGP-000004,31051.559,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:2dce4b0909df763e7f1701797c5281e04e72fa0529569aedd2b9b6623185d198,NG-PLC-000040,NGP-000040,NG-PLC-000002,NGP-000002,12615.126,WITHIN,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:6de391cbd2b8916cda35134c9b4de0a321f3aa423c5f3a5e264f12dd4fd62b98,NG-PLC-000041,NGP-000041,NG-PLC-000002,NGP-000002,15799.228,OUTSIDE,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:36a33f36b5d8b8110fd8a63b48d5ade815c3f87028465742fb37f7b40a55dbee,NG-PLC-000042,NGP-000042,NG-PLC-000002,NGP-000002,12000.015,WITHIN,SOURCE_PARENT=NGP-000002;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:83ad0783e2558baa6bb2439b3b7d977ece0e890efa5fd1b1f7cdb1cfa2ac3ec0,NG-PLC-000043,NGP-000043,NG-PLC-000003,NGP-000003,24861.172,OUTSIDE,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:73f82447fb83c0f54950ad67c6ebb073d4e311bc051292894b0255b11cac7c16,NG-PLC-000044,NGP-000044,NG-PLC-000003,NGP-000003,13498.840,WITHIN,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:ceccc768d9031e9b954e6e936de6d31817f1a97295e4182136b7d62e250b906a,NG-PLC-000045,NGP-000045,NG-PLC-000003,NGP-000003,11999.944,WITHIN,SOURCE_PARENT=NGP-000003;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:d2cd78af882240354dccbe28cffaed05659e53cb9a3393eef50da6d70a890614,NG-PLC-000046,NGP-000046,NG-PLC-000004,NGP-000004,14717.032,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:65ddd9b3e0e10def7545e222ee6b7f4b6b4a27e957e3a5c6b18444039aed79e9,NG-PLC-000047,NGP-000047,NG-PLC-000004,NGP-000004,27503.640,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:5dbf4a45cba7c65676a66cd427bbb0628ebedee734483bb3fb34507ba519f0a3,NG-PLC-000048,NGP-000048,NG-PLC-000004,NGP-000004,15275.652,OUTSIDE,SOURCE_PARENT=NGP-000004;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:88b00ce39fddea34c76e53be8d1755de34dd392a4ebe06ccb38d84346d9bebb5,NG-PLC-000049,NGP-000049,NG-PLC-000025,NGP-000025,12179.806,OUTSIDE,SOURCE_PARENT=NGP-000025;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:a4885687e0ab8aa7d820ecfc9b9e4456dedbe3fee3ffc9ed26f0206acbdcf686,NG-PLC-000050,NGP-000050,NG-PLC-000025,NGP-000025,10473.816,OUTSIDE,SOURCE_PARENT=NGP-000025;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:798de33c654223cf26727ba9ee2b4fe5f557e39175dea8f5d5dd115b1db1427f,NG-PLC-000051,NGP-000051,NG-PLC-000026,NGP-000026,5000.024,WITHIN,SOURCE_PARENT=NGP-000026;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:c2d5170243289260f2ca1be1895365accfe853297cbcd0a0e2283a68c2b0b63d,NG-PLC-000052,NGP-000052,NG-PLC-000026,NGP-000026,13076.084,OUTSIDE,SOURCE_PARENT=NGP-000026;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:5686b682fc5eedfa042508fa9bd12ad05b853865b2f13e9ba0ec9f733fe568db,NG-PLC-000053,NGP-000053,NG-PLC-000027,NGP-000027,11952.781,OUTSIDE,SOURCE_PARENT=NGP-000027;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:99810e79d3195414da9a77d787c2d6acde6f8c5f0b1269206fbcb423da5bc299,NG-PLC-000054,NGP-000054,NG-PLC-000027,NGP-000027,15347.058,OUTSIDE,SOURCE_PARENT=NGP-000027;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:1fa1eab6973d9de133ceb23c2be6f4f030c497a68682efff77265039ed2937fb,NG-PLC-000055,NGP-000055,NG-PLC-000028,NGP-000028,14461.153,OUTSIDE,SOURCE_PARENT=NGP-000028;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:2c95fcff412b6b61745e568f2412c5b19be87e83ad32cf5409475693aca7aa5d,NG-PLC-000056,NGP-000056,NG-PLC-000028,NGP-000028,5000.046,WITHIN,SOURCE_PARENT=NGP-000028;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:6a05f80291c372af6440b5144d216eef3c357fa2c394a90384091bf4371d0b6d,NG-PLC-000057,NGP-000057,NG-PLC-000029,NGP-000029,13199.530,OUTSIDE,SOURCE_PARENT=NGP-000029;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:7ea6e61680a6f3c09646eb02979e75b72725850bb05fed2912c7b635376db571,NG-PLC-000058,NGP-000058,NG-PLC-000029,NGP-000029,11115.170,OUTSIDE,SOURCE_PARENT=NGP-000029;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:9312ab951104386a4a974b2df8d764f7b508a4fa8caf664bf5e0737b0e94d72a,NG-PLC-000059,NGP-000059,NG-PLC-000030,NGP-000030,12857.722,OUTSIDE,SOURCE_PARENT=NGP-000030;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:77675d40830d3566a8438577e14365750869e2930dfe142693236b4449922493,NG-PLC-000060,NGP-000060,NG-PLC-000030,NGP-000030,9373.686,OUTSIDE,SOURCE_PARENT=NGP-000030;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:ea206e651e9a48545ae2eaf3b53118a00ef10e7acbf572f811734ba55dd3fd39,NG-PLC-000061,NGP-000061,NG-PLC-000031,NGP-000031,11990.850,OUTSIDE,SOURCE_PARENT=NGP-000031;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:2920ae96692e60ee0624fdfca2aa3b619be135d0c6eba892e719b447a923614d,NG-PLC-000062,NGP-000062,NG-PLC-000031,NGP-000031,14241.640,OUTSIDE,SOURCE_PARENT=NGP-000031;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:885bf61096f70e7cd07e5f518899bd1c91ac765fe19db4bf5be9678c676a46de,NG-PLC-000063,NGP-000063,NG-PLC-000032,NGP-000032,5663.589,WITHIN,SOURCE_PARENT=NGP-000032;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:d98a2d32f1d620d19f8f1e33cfd1b3cf195f83ffd78078605860cb26552b180a,NG-PLC-000064,NGP-000064,NG-PLC-000032,NGP-000032,11749.865,OUTSIDE,SOURCE_PARENT=NGP-000032;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:8dd83530e3518c2562ef733c0c54d0bf2e8fbe67564263307aff7fe8f348cd78,NG-PLC-000065,NGP-000065,NG-PLC-000033,NGP-000033,10858.638,OUTSIDE,SOURCE_PARENT=NGP-000033;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:337b984a28384d1bfbf3271f1e992ffb6e17ed7ae65b9f78d487c99b28d5d1f7,NG-PLC-000066,NGP-000066,NG-PLC-000033,NGP-000033,5528.886,WITHIN,SOURCE_PARENT=NGP-000033;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:ce05fec1191f2b974fac7d0a7b756ef33ed053e89879dd86793dfef8d9ca4f20,NG-PLC-000067,NGP-000067,NG-PLC-000034,NGP-000034,5000.023,WITHIN,SOURCE_PARENT=NGP-000034;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:f2c8c25cb9b4999b7e512bb554028e642f7929300c1e6e195fdbe51e1264f162,NG-PLC-000068,NGP-000068,NG-PLC-000034,NGP-000034,11869.600,OUTSIDE,SOURCE_PARENT=NGP-000034;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:ffcd4b29aa22eeffb6647ac86f07d2eaad6fb543a805088ff18d032b1d414daa,NG-PLC-000069,NGP-000069,NG-PLC-000035,NGP-000035,11642.616,OUTSIDE,SOURCE_PARENT=NGP-000035;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:cac29e2d4ded4ffbf9632fc1e80e194ac08f59cb44dbea6b3b193674b7dc2639,NG-PLC-000070,NGP-000070,NG-PLC-000035,NGP-000035,11364.188,OUTSIDE,SOURCE_PARENT=NGP-000035;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:4b7e9b665db6fcdcafeb8f996e7b58a418409f3b48598cb713211a0aa416e5b5,NG-PLC-000071,NGP-000071,NG-PLC-000036,NGP-000036,12774.331,OUTSIDE,SOURCE_PARENT=NGP-000036;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
