administrative_area_id,administrative_candidate_id,boundary_candidate_id,administrative_type_code,geometry_type_code,geometry_valid,geometry_nonempty,sovereign_containment,reference_point_containment,parent_containment,sibling_overlap_policy,gap_policy,qualification_status,qualification_reference,runtime_effect_scope
NG-ADM-000021,NG-ADM-CAND-000021,admbnd:nngla:09d0622cb0dcb8d2bc7c0b0c42d39b5e90f0d9565afdc0936a786d3d050cf1fa,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:ea667511b4b3e5d8469b1f4c78408b146a1064362d58d31f3dc078c22d87c935,SHARED_REFERENCE
NG-ADM-000022,NG-ADM-CAND-000022,admbnd:nngla:1925af0086550b5940593a379e68cafd0d6484b2a79c12f3415b0a47faa7a9a4,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:445ba4e7d492d86170f3d773b98b3598410f1f97045ccfac6fcdbc42b0c945ec,SHARED_REFERENCE
NG-ADM-000023,NG-ADM-CAND-000023,admbnd:nngla:8a9dc90f9dc71fb7b816cbe81270ad85fb768f2b841c4341ea875b968b2435e9,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:ed662b5929d3cf2ae58f150c44459b0bf0f2e15073fef3df418d38c414a7406b,SHARED_REFERENCE
NG-ADM-000024,NG-ADM-CAND-000024,admbnd:nngla:fd6e3b36816c5dec2b1957c0e9e4d38d48b1f0d1bb287d9a67b06dc14eefa1dc,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:bc12e92d981973e47c365dbf55da352cd13881eef6c6a72f54739926c5fd061a,SHARED_REFERENCE
NG-ADM-000025,NG-ADM-CAND-000025,admbnd:nngla:6d2a5222026a3ab6c76352793a18caf6a344b9b62c4e98794c2b9aa86f42473d,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:2b82788754ba29b323b6885a633c3aaf21f2740595358ab95e6187f76da4841a,SHARED_REFERENCE
NG-ADM-000026,NG-ADM-CAND-000026,admbnd:nngla:74e24d3fcf7ea4a65f02315146504ff3bbebe257ed04bb18c1e1b378dcf2ddfe,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:5de4b24fd0743118d296c34d7393d88df3aad4424e129fcb7216fb35c8590d8d,SHARED_REFERENCE
NG-ADM-000027,NG-ADM-CAND-000027,admbnd:nngla:627fa772c3d90b422c530dcfd291c2ca17a98bae9595c8072c52fe316a7c08d7,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:0491170eeebb4e8450786d722b4705967033824338c754d3352d4e19d7520b44,SHARED_REFERENCE
NG-ADM-000028,NG-ADM-CAND-000028,admbnd:nngla:4597090ac19ec383577fff3cb3fdec833806413d31312c167542dc6a9db1f32a,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:635e35abde3ffe10eaed54f306f48baefdddc8f95eefc210141fa87090406b90,SHARED_REFERENCE
NG-ADM-000029,NG-ADM-CAND-000029,admbnd:nngla:57ff923fe31e4702eb3a11a55e4d20c33ce811b647e5aa0eff2283f1839fdda1,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:e4f34d146f0a21cccd7c391d8e06e0504ff008bb21cf595615ecb7ccdf268efd,SHARED_REFERENCE
NG-ADM-000030,NG-ADM-CAND-000030,admbnd:nngla:4063e4230f0909c1184efc2099132ee031906311c8fe9b705fb7bea841ddba4a,INDUSTRIAL_ZONE,POLYGON,true,true,PASS,PASS,PASS,PASS,NOT_APPLICABLE,QUALIFIED,qualification:nngla:0150bc034f442487a3630838902b4a7e7de73080492528221a828038ff926e43,SHARED_REFERENCE
NG-ADM-000031,NG-ADM-CAND-000031,admbnd:nngla:8acd335c54fc595ce0a7dbb99e6741a95c85044e0bc22d18cd228fb0307835bf,INDUSTRIAL_ZONE,POLYGON,true,true,PASS,PASS,PASS,PASS,NOT_APPLICABLE,QUALIFIED,qualification:nngla:8069b4d796020a2518c85064cee0210e84e3e42e840cb487dd3d76b0a6f14f71,SHARED_REFERENCE
NG-ADM-000032,NG-ADM-CAND-000032,admbnd:nngla:519d3130700c6bae4529d0c2726f0eb6801477ccb59f1fee08c61c61c212726b,CITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:1401e8585c44f19cd0a9e3f98e8054e658be1a62c42ad8c6b39ad06238950ae5,SHARED_REFERENCE
NG-ADM-000033,NG-ADM-CAND-000033,admbnd:nngla:ec8497d70b5d35fcb5b41fe54b167c9573d1f9b4268859b68004bb27fe1c1d73,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:7271299eb9dd9d8f8c66d23e21434d93082d1b096d7e5660f0cba1c2f999f68e,SHARED_REFERENCE
NG-ADM-000034,NG-ADM-CAND-000034,admbnd:nngla:b9700919db6c308fee65990cc70b8eb6c709a78e7933b042946311a52ae8448b,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:714f3b86610be69e77d6e031ae71437be20fa7078899f4f48bc0dc0f86964e12,SHARED_REFERENCE
NG-ADM-000035,NG-ADM-CAND-000035,admbnd:nngla:1cbab886529f8fe8aa3ebe28f3b632d7e07a1f9636af443fcbfd500ea79c6cc0,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:8f1270fc72c9f85f50073cdee3908825d22578084173764dedb50ced82d25b9d,SHARED_REFERENCE
NG-ADM-000036,NG-ADM-CAND-000036,admbnd:nngla:fd402f5fb58411efd947db0e43f8ea2aa2dc31ce1005bffb05ee02bce8ce3bb4,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:1ff01bc7148b71e8f905c9f73850826213239ca385f9839361769e73a10e7121,SHARED_REFERENCE
NG-ADM-000037,NG-ADM-CAND-000037,admbnd:nngla:8fe248fb6447773858f2748d42e7bd47cf7e192dccc371309383d2152ea865c9,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:97f2a8c2e5de772828669301e03b3f95262da1743130eca3f544f95617b179f4,SHARED_REFERENCE
NG-ADM-000038,NG-ADM-CAND-000038,admbnd:nngla:9f31b4d794b196b46efaa00def2e2df3ea7183af786df2eae0ca7e8994b21ea1,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:79c24f48530d715038cd6e0b830f2e4705f911c1648a19733db916ef39c31e58,SHARED_REFERENCE
NG-ADM-000039,NG-ADM-CAND-000039,admbnd:nngla:7a01de36e1c0439e6f5f4de2114cd54aa54d3781e228937bd0c859c3d331c71c,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:b7676ab457a24894a2bb41edf162e4eb1db3232186c2bde89da09b35575d5a8c,SHARED_REFERENCE
NG-ADM-000040,NG-ADM-CAND-000040,admbnd:nngla:a1815692041cae7db662c9e94c1ffefb3f099a2a72004603f3568584a36a7747,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:3e1093d0231f4467463fab08b091f59ef6997b2b0fa88ac02dff24d8a6545dcd,SHARED_REFERENCE
NG-ADM-000041,NG-ADM-CAND-000041,admbnd:nngla:1e5ac572d249259c2939a75081adb0dc52f3e677f78876c8298d9a96677b5c5b,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:c2987a5d18263688dde30a02f4f22d0ff03d2884a2cae5bb6b0a094321922cef,SHARED_REFERENCE
NG-ADM-000042,NG-ADM-CAND-000042,admbnd:nngla:e41ad934ed9921bbd32993a9ebed434874d1413d691d85736714885322bd377f,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:499c112e992dc389d6a3706117f5065adea742ae80bf165882c03b54b0caefd0,SHARED_REFERENCE
NG-ADM-000043,NG-ADM-CAND-000043,admbnd:nngla:8c40d72e137aba9b02df2951ff85a679479a3591aa1832cc950ef39eeb81d857,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:d54377db14d42d55978b5b486fa383fa007af069e45df91a9985c54e37d4bf37,SHARED_REFERENCE
NG-ADM-000044,NG-ADM-CAND-000044,admbnd:nngla:a55a326262d447e3c8622a0277def0c46d750d7b4ca3af72fa8bbb62c36daae7,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:9c53707a580c6255b82e7971df4125dc1c7c8cd51133acd2e8dd6489c2df76e5,SHARED_REFERENCE
NG-ADM-000045,NG-ADM-CAND-000045,admbnd:nngla:7aa65e7d60d8f476c7da5fb667450000e1ecc02626463814f8177d1a500c646c,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:434e5c0a906f3db88f738518f47bdbaf93cfb5fefe0cf1b04d4392c5c0a5bbeb,SHARED_REFERENCE
NG-ADM-000046,NG-ADM-CAND-000046,admbnd:nngla:de9e1702c3639f1d35f4a950adefbec04d6d5c314a05471782f36e2154ddfa28,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:c3b67c68d2e06745dc9a1e42c563624e40391e7df53deb0ca9717637e3599940,SHARED_REFERENCE
NG-ADM-000047,NG-ADM-CAND-000047,admbnd:nngla:6012a730501657e564fb652eed09e45b18466dc3e73e7e4317e31aa0cba27cf9,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:c81f51cb9f077c46f67c4ee9698f23bfef058c2ade4fc12a30daf161898adee1,SHARED_REFERENCE
NG-ADM-000048,NG-ADM-CAND-000048,admbnd:nngla:db69907ed0884793e3fb0c19c6375c4de64f5a08c9b430820a55fe151e9c1a23,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:f4f4db964fb82e4627be44660c101ad29c408717471c15f61970eb3ddffa11c9,SHARED_REFERENCE
NG-ADM-000049,NG-ADM-CAND-000049,admbnd:nngla:ac6bd36fde5be0f011ff93bd4b0009358b0993c41b9791d2c134d12d480e76e7,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:aae205c7de77c2855c364bd18e864f750c70b8411fcf00c27724520a3c8ce231,SHARED_REFERENCE
NG-ADM-000050,NG-ADM-CAND-000050,admbnd:nngla:a16c9236d10bdadd50626370ab00643699179f49adf62ea1e57296856c63c25c,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:c03518cc150f706c5efe446bbe7758f72019a3ebe34a85e1b57b10a6c0f220b4,SHARED_REFERENCE
NG-ADM-000051,NG-ADM-CAND-000051,admbnd:nngla:d71ed1d02a00dc2a9385854629de3a7f93a263d7e34cf9da6469ffeb2c1edb03,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:3c1c821fddf27cc2bd6312721c545f5712c059a5e5c93a7748c8128da86fa3cc,SHARED_REFERENCE
NG-ADM-000052,NG-ADM-CAND-000052,admbnd:nngla:f75a00b748f324094a71284509ca5ccd8f245ac9784d8e5562d67bb1e39bf411,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:be1f3d722f30a259c20b37cfed6b6bcea14b668bdbb5dc8a65acf75f1ee13a3e,SHARED_REFERENCE
NG-ADM-000053,NG-ADM-CAND-000053,admbnd:nngla:720997674e15234414d75a321d9caa705eaf43192cd114f887275e1595acf082,INDUSTRIAL_ZONE,POLYGON,true,true,PASS,PASS,PASS,PASS,NOT_APPLICABLE,QUALIFIED,qualification:nngla:5dc16d2617a41d8e6a205299020170b609a0d9b2279b4a33ffd6b3d3e016f2a7,SHARED_REFERENCE
NG-ADM-000054,NG-ADM-CAND-000054,admbnd:nngla:53d37dcb5dbb3a855cf7e3237d82d284134c36962daf90cf2f58ae79725b5596,INDUSTRIAL_ZONE,POLYGON,true,true,PASS,PASS,PASS,PASS,NOT_APPLICABLE,QUALIFIED,qualification:nngla:dd4bc4e8a7897468b528c3ba59973fc02903b01a3679dd1006a02d0eb1d53f23,SHARED_REFERENCE
NG-ADM-000055,NG-ADM-CAND-000055,admbnd:nngla:81ad10e4e230d198782890fd8d72bf694786cc1044aa220070235b01d4959f3f,CITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:53a29d95f69859cb5c70a4a4a470592ce47b714b8cfba780e9c491f136b613d5,SHARED_REFERENCE
NG-ADM-000056,NG-ADM-CAND-000056,admbnd:nngla:b6fb2d272269dfde4687587185282a89bd899dc448b9875820c4f6f29e017d7f,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:c204adbe9bd5b28d8bd055edb1c188b173acfebcd989613f04e6b13b9e269439,SHARED_REFERENCE
NG-ADM-000057,NG-ADM-CAND-000057,admbnd:nngla:ff9084b8571bc68cbb52a21ce695547a0341fa300f981fd9eb7e15b95e5ebc99,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:89d60e46b04c70a51d2de2a56eb23f5e31865fa0365aec776831de85f3ac177d,SHARED_REFERENCE
NG-ADM-000058,NG-ADM-CAND-000058,admbnd:nngla:490e031df3faf3e863dbd52e4263c7ebe6b3ca5b7b601734d3cbf4aaccc68d75,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:007c4a91d83f866e0928aa45858fe6867e2c9fb3e9b938c5d563c45ef3a0f66d,SHARED_REFERENCE
NG-ADM-000059,NG-ADM-CAND-000059,admbnd:nngla:b9a94e14e7e83fe687f6b4a0f6a972dbefca7ebf23933a22705f957a41477bd8,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:b6520916f19771b49e024c0676352cdbeb54adfa35e2188ea2921a0940690d90,SHARED_REFERENCE
NG-ADM-000060,NG-ADM-CAND-000060,admbnd:nngla:e495cb8a7760216c5fdbbd29e702e1c80c6e0a9ba1f69931755f684c538cda14,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:09f2d11bfb959e4766d1759c5264934031b72cd9147a04d43e465472a3985029,SHARED_REFERENCE
NG-ADM-000061,NG-ADM-CAND-000061,admbnd:nngla:92d3cad50de515f729f36e4774ec15c61a2ac2d9cab219dd0e6e59b32cf5e6cb,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:93a12afdf6580c823c11c2d54ec2fb78939f2879df9ff8a8010bdfc1498f7448,SHARED_REFERENCE
NG-ADM-000062,NG-ADM-CAND-000062,admbnd:nngla:c848e27b43df975b8c68ce59ec0245815ce50a0c5bb80ebbcccafcdcdf8fc949,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:ad3354f7c4de0063d371cd8d086ac9bfe04b915bdc11a03f5e33ffb1c0d9cdaf,SHARED_REFERENCE
NG-ADM-000063,NG-ADM-CAND-000063,admbnd:nngla:358fcec78743af9b466e2932d51e4cff9d9d5776bb24765d89cace1d80df0496,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:30003c0b509a978611c4091fb430c772258f77c237bba727cdee52e018f268b3,SHARED_REFERENCE
NG-ADM-000064,NG-ADM-CAND-000064,admbnd:nngla:bae81e59642cda580d394d950497de0efe535422e3e9e73a0eea25347ae0d90c,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:0cd460a49973566346c7257b7ddd33185f73a885ffc63a4388c789f22462e915,SHARED_REFERENCE
NG-ADM-000065,NG-ADM-CAND-000065,admbnd:nngla:4ae88f19923409e59413e85b11a0fad6a4f98d985bc6b27d951e39307c9e5652,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:82fc8de8e505d6aa6b2863ea1df902a828b6d281974da12cd30ff3fefdd4e5b4,SHARED_REFERENCE
NG-ADM-000066,NG-ADM-CAND-000066,admbnd:nngla:f738cf79465dd869b0923013446b5f84c548db86444c4b856cf46d86a8dd5b48,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:113bb4ce54ac766be52128da2687430044137ebf9665df2f168f2cbe5a32e3be,SHARED_REFERENCE
NG-ADM-000067,NG-ADM-CAND-000067,admbnd:nngla:bb3865d4443ac80edf6677c4434fedc3702c7792fd472d561e1bd3df7f1c02f8,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:c918df540fca31b487a12d326c12d8d7e661af8bcae2f6217d3c73bbaf052a0f,SHARED_REFERENCE
NG-ADM-000068,NG-ADM-CAND-000068,admbnd:nngla:33daf3c140da5d7e5681dd768e6b36d6b9774b0d202c1201affeacf9d1ba423e,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:40d57df5a63b2898e77494b7f1499d9c87d59ac741b73b4db871175342506a5c,SHARED_REFERENCE
NG-ADM-000069,NG-ADM-CAND-000069,admbnd:nngla:0b42cd1724f468adc13932b4f28bd707ade7590af932582189ce8e1557b8d0cf,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:057bd56fbf976d19f1059ff0be131e7501de43c89c5a35aa96cd5b2bdb413276,SHARED_REFERENCE
NG-ADM-000070,NG-ADM-CAND-000070,admbnd:nngla:8f7bbae6950bf8940a40d270af5316b3d5b42eae140f2dc01274f747d88b37c2,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:223f0f7191b12b65366def8389a04c9a028e3cfc4f2fa89929d3f68e0b62894f,SHARED_REFERENCE
NG-ADM-000071,NG-ADM-CAND-000071,admbnd:nngla:fa61917792cd190092b6d7f5bf9a4d4e2d5fe1fe5b5ef0cb7d3da55fdc875610,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:9802e65f1da3d225cc304dd039e5846af5131b3f01498072964437ae896fcfd2,SHARED_REFERENCE
NG-ADM-000072,NG-ADM-CAND-000072,admbnd:nngla:9d438c008c05e8e1e4b02e7c3de7f9b433a703985b1d356bda549cc21ee11a50,TOWNSHIP,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:18722cbe52ffe1cbb18c2d35dc8d76a87f9f587fcf17d2333feaa3eccbdcb2e7,SHARED_REFERENCE
