polygon_id,ring_id,vertex_sequence,longitude,latitude,vertex_role
polygon-01,ring-01,49,29.133081,-0.897464,mainland_boundary
polygon-01,ring-01,50,29.128540,-0.774783,mainland_boundary
polygon-01,ring-01,51,29.125808,-0.651991,mainland_boundary
polygon-01,ring-01,52,29.101703,-0.530508,mainland_boundary
polygon-01,ring-01,53,29.072613,-0.409330,mainland_boundary
polygon-01,ring-01,54,29.061687,-0.287040,mainland_boundary
polygon-01,ring-01,55,29.057966,-0.164308,mainland_boundary
polygon-01,ring-01,56,29.053652,-0.041613,mainland_boundary
polygon-01,ring-01,57,29.058173,0.081623,mainland_boundary
polygon-01,ring-01,58,29.064250,0.204954,mainland_boundary
polygon-01,ring-01,59,29.059406,0.327617,mainland_boundary
polygon-01,ring-01,60,29.050000,0.450000,mainland_boundary
polygon-01,ring-01,61,29.070650,0.561747,mainland_boundary
polygon-01,ring-01,62,29.092496,0.673334,mainland_boundary
polygon-01,ring-01,63,29.108051,0.785760,mainland_boundary
polygon-01,ring-01,64,29.108681,0.900176,mainland_boundary
polygon-01,ring-01,65,29.109234,1.014602,mainland_boundary
polygon-01,ring-01,66,29.120768,1.127564,mainland_boundary
polygon-01,ring-01,67,29.130349,1.240787,mainland_boundary
polygon-01,ring-01,68,29.140214,1.353971,mainland_boundary
polygon-01,ring-01,69,29.165349,1.465120,mainland_boundary
polygon-01,ring-01,70,29.188923,1.576477,mainland_boundary
polygon-01,ring-01,71,29.192418,1.690511,mainland_boundary
polygon-01,ring-01,72,29.198124,1.804250,mainland_boundary
polygon-01,ring-01,73,29.222416,1.915511,mainland_boundary
polygon-01,ring-01,74,29.247709,2.026639,mainland_boundary
polygon-01,ring-01,75,29.269460,2.138239,mainland_boundary
polygon-01,ring-01,76,29.298564,2.248858,mainland_boundary
polygon-01,ring-01,77,29.324003,2.359966,mainland_boundary
polygon-01,ring-01,78,29.334070,2.473124,mainland_boundary
polygon-01,ring-01,79,29.340232,2.586802,mainland_boundary
polygon-01,ring-01,80,29.350000,2.700000,mainland_boundary
polygon-01,ring-01,81,29.369816,2.798829,mainland_boundary
polygon-01,ring-01,82,29.389276,2.897750,mainland_boundary
polygon-01,ring-01,83,29.409939,2.996362,mainland_boundary
polygon-01,ring-01,84,29.429633,3.095222,mainland_boundary
polygon-01,ring-01,85,29.458853,3.191640,mainland_boundary
polygon-01,ring-01,86,29.494105,3.286512,mainland_boundary
polygon-01,ring-01,87,29.514863,3.385099,mainland_boundary
polygon-01,ring-01,88,29.529131,3.485351,mainland_boundary
polygon-01,ring-01,89,29.559914,3.581368,mainland_boundary
polygon-01,ring-01,90,29.597418,3.675662,mainland_boundary
polygon-01,ring-01,91,29.628795,3.771527,mainland_boundary
polygon-01,ring-01,92,29.668890,3.865156,mainland_boundary
polygon-01,ring-01,93,29.715075,3.957224,mainland_boundary
polygon-01,ring-01,94,29.740941,4.054502,mainland_boundary
polygon-01,ring-01,95,29.749733,4.156158,mainland_boundary
polygon-01,ring-01,96,29.763901,4.256436,mainland_boundary
polygon-01,ring-01,97,29.782380,4.355608,mainland_boundary
polygon-01,ring-01,98,29.799768,4.455060,mainland_boundary
polygon-01,ring-01,99,29.823210,4.552959,mainland_boundary
polygon-01,ring-01,100,29.850000,4.650000,mainland_boundary
polygon-01,ring-01,101,29.879645,4.746973,mainland_boundary
polygon-01,ring-01,102,29.913326,4.842459,mainland_boundary
polygon-01,ring-01,103,29.949986,4.936847,mainland_boundary
polygon-01,ring-01,104,29.996087,5.027758,mainland_boundary
polygon-01,ring-01,105,30.043568,5.118159,mainland_boundary
polygon-01,ring-01,106,30.075874,5.214152,mainland_boundary
polygon-01,ring-01,107,30.104790,5.311393,mainland_boundary
polygon-01,ring-01,108,30.146746,5.403830,mainland_boundary
polygon-01,ring-01,109,30.187802,5.496599,mainland_boundary
polygon-01,ring-01,110,30.221406,5.592114,mainland_boundary
polygon-01,ring-01,111,30.264022,5.684308,mainland_boundary
polygon-01,ring-01,112,30.307447,5.776204,mainland_boundary
polygon-01,ring-01,113,30.328710,5.876265,mainland_boundary
polygon-01,ring-01,114,30.340529,5.979805,mainland_boundary
polygon-01,ring-01,115,30.365131,6.078636,mainland_boundary
polygon-01,ring-01,116,30.395981,6.175165,mainland_boundary
polygon-01,ring-01,117,30.427635,6.271398,mainland_boundary
polygon-01,ring-01,118,30.468101,6.364384,mainland_boundary
polygon-01,ring-01,119,30.511777,6.456187,mainland_boundary
polygon-01,ring-01,120,30.550000,6.550000,mainland_boundary
polygon-01,ring-01,121,30.646646,6.586091,mainland_boundary
polygon-01,ring-01,122,30.745041,6.618027,mainland_boundary
polygon-01,ring-01,123,30.846490,6.642711,mainland_boundary
polygon-01,ring-01,124,30.945419,6.673381,mainland_boundary
polygon-01,ring-01,125,31.035378,6.725352,mainland_boundary
polygon-01,ring-01,126,31.124636,6.778989,mainland_boundary
polygon-01,ring-01,127,31.219590,6.819099,mainland_boundary
polygon-01,ring-01,128,31.312169,6.864848,mainland_boundary
polygon-01,ring-01,129,31.402708,6.915442,mainland_boundary
polygon-01,ring-01,130,31.500215,6.949490,mainland_boundary
polygon-01,ring-01,131,31.596769,6.985799,mainland_boundary
polygon-01,ring-01,132,31.681939,7.049144,mainland_boundary
polygon-01,ring-01,133,31.767014,7.112716,mainland_boundary
polygon-01,ring-01,134,31.862046,7.152640,mainland_boundary
polygon-01,ring-01,135,31.959524,7.186756,mainland_boundary
polygon-01,ring-01,136,32.056975,7.220933,mainland_boundary
polygon-01,ring-01,137,32.159239,7.243681,mainland_boundary
polygon-01,ring-01,138,32.260935,7.267781,mainland_boundary
polygon-01,ring-01,139,32.356411,7.306649,mainland_boundary
polygon-01,ring-01,140,32.450000,7.350000,mainland_boundary
polygon-01,ring-01,141,32.569035,7.367785,mainland_boundary
polygon-01,ring-01,142,32.688232,7.384807,mainland_boundary
polygon-01,ring-01,143,32.805139,7.412595,mainland_boundary
polygon-01,ring-01,144,32.918073,7.459057,mainland_boundary
polygon-01,ring-01,145,33.031850,7.501553,mainland_boundary
polygon-01,ring-01,146,33.148595,7.530105,mainland_boundary
polygon-01,ring-01,147,33.264493,7.562631,mainland_boundary
polygon-01,ring-01,148,33.381280,7.590984,mainland_boundary
polygon-01,ring-01,149,33.502446,7.598753,mainland_boundary
polygon-01,ring-01,150,33.621991,7.614144,mainland_boundary
polygon-01,ring-01,151,33.736005,7.655526,mainland_boundary
polygon-01,ring-01,152,33.851827,7.688414,mainland_boundary
polygon-01,ring-01,153,33.972592,7.698069,mainland_boundary
polygon-01,ring-01,154,34.092794,7.710370,mainland_boundary
polygon-01,ring-01,155,34.212301,7.725934,mainland_boundary
polygon-01,ring-01,156,34.333898,7.731677,mainland_boundary
polygon-01,ring-01,157,34.453644,7.746124,mainland_boundary
polygon-01,ring-01,158,34.569040,7.781010,mainland_boundary
polygon-01,ring-01,159,34.683938,7.818241,mainland_boundary
polygon-01,ring-01,160,34.800000,7.850000,mainland_boundary
polygon-01,ring-01,161,34.964361,7.847463,mainland_boundary
polygon-01,ring-01,162,35.128700,7.844223,mainland_boundary
polygon-01,ring-01,163,35.293023,7.840434,mainland_boundary
polygon-01,ring-01,164,35.457185,7.831380,mainland_boundary
polygon-01,ring-01,165,35.621518,7.827950,mainland_boundary
polygon-01,ring-01,166,35.785836,7.823993,mainland_boundary
polygon-01,ring-01,167,35.949974,7.814146,mainland_boundary
polygon-01,ring-01,168,36.114165,7.806023,mainland_boundary
polygon-01,ring-01,169,36.278210,7.793133,mainland_boundary
polygon-01,ring-01,170,36.442559,7.790212,mainland_boundary
polygon-01,ring-01,171,36.607026,7.791145,mainland_boundary
polygon-01,ring-01,172,36.771398,7.788980,mainland_boundary
polygon-01,ring-01,173,36.935743,7.785932,mainland_boundary
polygon-01,ring-01,174,37.100000,7.780000,mainland_boundary
polygon-01,ring-01,175,37.246837,7.738538,mainland_boundary
polygon-01,ring-01,176,37.393089,7.695079,mainland_boundary
polygon-01,ring-01,177,37.538065,7.647259,mainland_boundary
polygon-01,ring-01,178,37.684123,7.603133,mainland_boundary
polygon-01,ring-01,179,37.831136,7.562275,mainland_boundary
polygon-01,ring-01,180,37.976725,7.516550,mainland_boundary
polygon-01,ring-01,181,38.123333,7.474303,mainland_boundary
polygon-01,ring-01,182,38.268743,7.427967,mainland_boundary
polygon-01,ring-01,183,38.416220,7.388694,mainland_boundary
polygon-01,ring-01,184,38.565058,7.354068,mainland_boundary
polygon-01,ring-01,185,38.712032,7.313073,mainland_boundary
polygon-01,ring-01,186,38.858660,7.270899,mainland_boundary
polygon-01,ring-01,187,39.004048,7.224487,mainland_boundary
polygon-01,ring-01,188,39.150000,7.180000,mainland_boundary
polygon-01,ring-01,189,39.225637,7.132718,mainland_boundary
polygon-01,ring-01,190,39.299758,7.082766,mainland_boundary
polygon-01,ring-01,191,39.371573,7.028753,mainland_boundary
polygon-01,ring-01,192,39.446928,6.980976,mainland_boundary
polygon-01,ring-01,193,39.530070,6.946912,mainland_boundary
polygon-01,ring-01,194,39.612408,6.911434,mainland_boundary
polygon-01,ring-01,195,39.690123,6.867813,mainland_boundary
polygon-01,ring-01,196,39.770719,6.829266,mainland_boundary
polygon-01,ring-01,197,39.851742,6.791471,mainland_boundary
polygon-01,ring-01,198,39.926188,6.742093,mainland_boundary
polygon-01,ring-01,199,40.003279,6.697371,mainland_boundary
polygon-01,ring-01,200,40.090174,6.669920,mainland_boundary
polygon-01,ring-01,201,40.174926,6.638694,mainland_boundary
polygon-01,ring-01,202,40.250903,6.592011,mainland_boundary
polygon-01,ring-01,203,40.325873,6.543555,mainland_boundary
polygon-01,ring-01,204,40.400450,6.494407,mainland_boundary
polygon-01,ring-01,205,40.470813,6.437836,mainland_boundary
polygon-01,ring-01,206,40.542985,6.384451,mainland_boundary
polygon-01,ring-01,207,40.620903,6.341187,mainland_boundary
polygon-01,ring-01,208,40.700000,6.300000,mainland_boundary
polygon-01,ring-01,209,40.727761,6.259050,mainland_boundary
polygon-01,ring-01,210,40.755049,6.217676,mainland_boundary
polygon-01,ring-01,211,40.785078,6.178754,mainland_boundary
polygon-01,ring-01,212,40.825466,6.149101,mainland_boundary
polygon-01,ring-01,213,40.875475,6.128057,mainland_boundary
polygon-01,ring-01,214,40.922994,6.104784,mainland_boundary
polygon-01,ring-01,215,40.960554,6.072601,mainland_boundary
polygon-01,ring-01,216,40.995055,6.037681,mainland_boundary
polygon-01,ring-01,217,41.033534,6.006320,mainland_boundary
polygon-01,ring-01,218,41.068673,5.971971,mainland_boundary
polygon-01,ring-01,219,41.090739,5.925924,mainland_boundary
polygon-01,ring-01,220,41.107602,5.875223,mainland_boundary
polygon-01,ring-01,221,41.137432,5.836123,mainland_boundary
polygon-01,ring-01,222,41.182306,5.810484,mainland_boundary
polygon-01,ring-01,223,41.224211,5.782189,mainland_boundary
polygon-01,ring-01,224,41.250533,5.739951,mainland_boundary
polygon-01,ring-01,225,41.269502,5.691134,mainland_boundary
polygon-01,ring-01,226,41.293624,5.646926,mainland_boundary
polygon-01,ring-01,227,41.320560,5.605238,mainland_boundary
polygon-01,ring-01,228,41.341583,5.558258,mainland_boundary
polygon-01,ring-01,229,41.360133,5.509066,mainland_boundary
polygon-01,ring-01,230,41.388433,5.468598,mainland_boundary
polygon-01,ring-01,231,41.429204,5.439288,mainland_boundary
polygon-01,ring-01,232,41.473033,5.412714,mainland_boundary
polygon-01,ring-01,233,41.512879,5.382576,mainland_boundary
polygon-01,ring-01,234,41.550000,5.350000,mainland_boundary
polygon-01,ring-01,235,41.587625,5.333911,mainland_boundary
polygon-01,ring-01,236,41.625114,5.317630,mainland_boundary
polygon-01,ring-01,237,41.660836,5.298844,mainland_boundary
polygon-01,ring-01,238,41.697020,5.280714,mainland_boundary
polygon-01,ring-01,239,41.731996,5.260872,mainland_boundary
polygon-01,ring-01,240,41.760293,5.231570,mainland_boundary
polygon-01,ring-01,241,41.783403,5.194917,mainland_boundary
polygon-01,ring-01,242,41.811713,5.165631,mainland_boundary
polygon-01,ring-01,243,41.850207,5.150775,mainland_boundary
polygon-01,ring-01,244,41.889609,5.137202,mainland_boundary
polygon-01,ring-01,245,41.919040,5.109506,mainland_boundary
polygon-01,ring-01,246,41.941404,5.071796,mainland_boundary
polygon-01,ring-01,247,41.966934,5.038574,mainland_boundary
polygon-01,ring-01,248,41.995857,5.010157,mainland_boundary
polygon-01,ring-01,249,42.019170,4.973792,mainland_boundary
polygon-01,ring-01,250,42.036304,4.928674,mainland_boundary
polygon-01,ring-01,251,42.059898,4.892708,mainland_boundary
polygon-01,ring-01,252,42.098870,4.878528,mainland_boundary
polygon-01,ring-01,253,42.146306,4.876338,mainland_boundary
polygon-01,ring-01,254,42.190199,4.869129,mainland_boundary
polygon-01,ring-01,255,42.228612,4.854156,mainland_boundary
polygon-01,ring-01,256,42.266772,4.838825,mainland_boundary
polygon-01,ring-01,257,42.305088,4.823715,mainland_boundary
polygon-01,ring-01,258,42.339237,4.802701,mainland_boundary
polygon-01,ring-01,259,42.369320,4.775928,mainland_boundary
polygon-01,ring-01,260,42.400000,4.750000,mainland_boundary
polygon-01,ring-01,261,42.435835,4.733703,mainland_boundary
polygon-01,ring-01,262,42.468919,4.713155,mainland_boundary
polygon-01,ring-01,263,42.500605,4.690446,mainland_boundary
polygon-01,ring-01,264,42.528629,4.662078,mainland_boundary
polygon-01,ring-01,265,42.551302,4.625439,mainland_boundary
polygon-01,ring-01,266,42.574676,4.589884,mainland_boundary
polygon-01,ring-01,267,42.606952,4.568087,mainland_boundary
polygon-01,ring-01,268,42.646064,4.556853,mainland_boundary
polygon-01,ring-01,269,42.681457,4.539874,mainland_boundary
polygon-01,ring-01,270,42.709508,4.511548,mainland_boundary
polygon-01,ring-01,271,42.738152,4.484138,mainland_boundary
polygon-01,ring-01,272,42.772800,4.466005,mainland_boundary
polygon-01,ring-01,273,42.806998,4.447178,mainland_boundary
polygon-01,ring-01,274,42.834100,4.417386,mainland_boundary
polygon-01,ring-01,275,42.860824,4.387007,mainland_boundary
polygon-01,ring-01,276,42.899282,4.374765,mainland_boundary
polygon-01,ring-01,277,42.949098,4.380074,mainland_boundary
polygon-01,ring-01,278,42.997571,4.383309,mainland_boundary
polygon-01,ring-01,279,43.036893,4.372401,mainland_boundary
polygon-01,ring-01,280,43.071388,4.354034,mainland_boundary
polygon-01,ring-01,281,43.106260,4.336248,mainland_boundary
polygon-01,ring-01,282,43.138854,4.314943,mainland_boundary
polygon-01,ring-01,283,43.165663,4.284696,mainland_boundary
polygon-01,ring-01,284,43.190350,4.251170,mainland_boundary
polygon-01,ring-01,285,43.218591,4.223137,mainland_boundary
polygon-01,ring-01,286,43.250000,4.200000,mainland_boundary
polygon-01,ring-01,287,43.270159,4.158392,mainland_boundary
polygon-01,ring-01,288,43.288313,4.115481,mainland_boundary
polygon-01,ring-01,289,43.302390,4.069919,mainland_boundary
polygon-01,ring-01,290,43.315055,4.023440,mainland_boundary
polygon-01,ring-01,291,43.337611,3.983390,mainland_boundary
polygon-01,ring-01,292,43.375210,3.953118,mainland_boundary
polygon-01,ring-01,293,43.416319,3.925126,mainland_boundary
polygon-01,ring-01,294,43.447771,3.890859,mainland_boundary
polygon-01,ring-01,295,43.473562,3.852911,mainland_boundary
polygon-01,ring-01,296,43.505742,3.819117,mainland_boundary
polygon-01,ring-01,297,43.541732,3.787799,mainland_boundary
polygon-01,ring-01,298,43.567315,3.749717,mainland_boundary
polygon-01,ring-01,299,43.582331,3.704765,mainland_boundary
polygon-01,ring-01,300,43.605762,3.665284,mainland_boundary
polygon-01,ring-01,301,43.648650,3.638449,mainland_boundary
polygon-01,ring-01,302,43.696617,3.614916,mainland_boundary
polygon-01,ring-01,303,43.729684,3.581699,mainland_boundary
polygon-01,ring-01,304,43.748056,3.538929,mainland_boundary
polygon-01,ring-01,305,43.765420,3.495504,mainland_boundary
polygon-01,ring-01,306,43.785120,3.453597,mainland_boundary
polygon-01,ring-01,307,43.798815,3.407787,mainland_boundary
polygon-01,ring-01,308,43.805743,3.357579,mainland_boundary
polygon-01,ring-01,309,43.817413,3.310453,mainland_boundary
polygon-01,ring-01,310,43.840998,3.271072,mainland_boundary
polygon-01,ring-01,311,43.870826,3.235748,mainland_boundary
polygon-01,ring-01,312,43.900000,3.200000,mainland_boundary
polygon-01,ring-01,313,43.906056,3.158049,mainland_boundary
polygon-01,ring-01,314,43.911933,3.116047,mainland_boundary
polygon-01,ring-01,315,43.922716,3.075446,mainland_boundary
polygon-01,ring-01,316,43.946909,3.038677,mainland_boundary
polygon-01,ring-01,317,43.980634,3.004632,mainland_boundary
polygon-01,ring-01,318,44.008324,2.968862,mainland_boundary
polygon-01,ring-01,319,44.023820,2.929608,mainland_boundary
polygon-01,ring-01,320,44.037438,2.889818,mainland_boundary
polygon-01,ring-01,321,44.055274,2.851232,mainland_boundary
polygon-01,ring-01,322,44.065920,2.810593,mainland_boundary
polygon-01,ring-01,323,44.060182,2.765272,mainland_boundary
polygon-01,ring-01,324,44.052130,2.719290,mainland_boundary
polygon-01,ring-01,325,44.063037,2.678725,mainland_boundary
polygon-01,ring-01,326,44.090011,2.642750,mainland_boundary
polygon-01,ring-01,327,44.109136,2.604534,mainland_boundary
polygon-01,ring-01,328,44.109221,2.560876,mainland_boundary
polygon-01,ring-01,329,44.103968,2.515694,mainland_boundary
polygon-01,ring-01,330,44.106680,2.472788,mainland_boundary
polygon-01,ring-01,331,44.111108,2.430372,mainland_boundary
polygon-01,ring-01,332,44.107538,2.385670,mainland_boundary
polygon-01,ring-01,333,44.103434,2.340816,mainland_boundary
polygon-01,ring-01,334,44.113603,2.300040,mainland_boundary
polygon-01,ring-01,335,44.138054,2.263345,mainland_boundary
polygon-01,ring-01,336,44.163752,2.227006,mainland_boundary
polygon-01,ring-01,337,44.183552,2.188982,mainland_boundary
polygon-01,ring-01,338,44.200000,2.150000,mainland_boundary
polygon-01,ring-01,339,44.187550,2.121272,mainland_boundary
polygon-01,ring-01,340,44.174043,2.093426,mainland_boundary
polygon-01,ring-01,341,44.158394,2.067364,mainland_boundary
polygon-01,ring-01,342,44.143143,2.040970,mainland_boundary
polygon-01,ring-01,343,44.124993,2.016993,mainland_boundary
polygon-01,ring-01,344,44.097825,2.000530,mainland_boundary
polygon-01,ring-01,345,44.066035,1.987920,mainland_boundary
polygon-01,ring-01,346,44.042967,1.968040,mainland_boundary
polygon-01,ring-01,347,44.031790,1.938252,mainland_boundary
polygon-01,ring-01,348,44.018866,1.909920,mainland_boundary
polygon-01,ring-01,349,43.992912,1.892445,mainland_boundary
polygon-01,ring-01,350,43.960736,1.880156,mainland_boundary
polygon-01,ring-01,351,43.934285,1.863096,mainland_boundary
polygon-01,ring-01,352,43.910680,1.843664,mainland_boundary
polygon-01,ring-01,353,43.878725,1.831191,mainland_boundary
polygon-01,ring-01,354,43.841139,1.823410,mainland_boundary
polygon-01,ring-01,355,43.814935,1.806144,mainland_boundary
polygon-01,ring-01,356,43.807997,1.772823,mainland_boundary
polygon-01,ring-01,357,43.808528,1.733278,mainland_boundary
polygon-01,ring-01,358,43.802472,1.699222,mainland_boundary
polygon-01,ring-01,359,43.790012,1.670503,mainland_boundary
polygon-01,ring-01,360,43.777819,1.641561,mainland_boundary
polygon-01,ring-01,361,43.764844,1.613271,mainland_boundary
polygon-01,ring-01,362,43.745727,1.590099,mainland_boundary
polygon-01,ring-01,363,43.722090,1.570694,mainland_boundary
polygon-01,ring-01,364,43.700000,1.550000,mainland_boundary
polygon-01,ring-01,365,43.683504,1.529654,mainland_boundary
polygon-01,ring-01,366,43.663998,1.512652,mainland_boundary
polygon-01,ring-01,367,43.642699,1.497643,mainland_boundary
polygon-01,ring-01,368,43.616731,1.487821,mainland_boundary
polygon-01,ring-01,369,43.585490,1.483857,mainland_boundary
polygon-01,ring-01,370,43.557150,1.476671,mainland_boundary
polygon-01,ring-01,371,43.539721,1.457361,mainland_boundary
polygon-01,ring-01,372,43.528352,1.431319,mainland_boundary
polygon-01,ring-01,373,43.511191,1.411711,mainland_boundary
polygon-01,ring-01,374,43.486785,1.400154,mainland_boundary
polygon-01,ring-01,375,43.465036,1.385644,mainland_boundary
polygon-01,ring-01,376,43.449702,1.364007,mainland_boundary
polygon-01,ring-01,377,43.431791,1.345232,mainland_boundary
polygon-01,ring-01,378,43.405787,1.335450,mainland_boundary
polygon-01,ring-01,379,43.381858,1.323363,mainland_boundary
polygon-01,ring-01,380,43.372512,1.295072,mainland_boundary
polygon-01,ring-01,381,43.373839,1.254922,mainland_boundary
polygon-01,ring-01,382,43.370671,1.219768,mainland_boundary
polygon-01,ring-01,383,43.356713,1.196601,mainland_boundary
polygon-01,ring-01,384,43.338586,1.178066,mainland_boundary
polygon-01,ring-01,385,43.321071,1.158853,mainland_boundary
polygon-01,ring-01,386,43.299992,1.143599,mainland_boundary
polygon-01,ring-01,387,43.272403,1.135578,mainland_boundary
polygon-01,ring-01,388,43.243831,1.128649,mainland_boundary
polygon-01,ring-01,389,43.220225,1.116203,mainland_boundary
polygon-01,ring-01,390,43.200000,1.100000,mainland_boundary
polygon-01,ring-01,391,43.208541,1.075715,mainland_boundary
polygon-01,ring-01,392,43.215459,1.050397,mainland_boundary
polygon-01,ring-01,393,43.219037,1.022954,mainland_boundary
polygon-01,ring-01,394,43.223076,0.995804,mainland_boundary
polygon-01,ring-01,395,43.237641,0.975352,mainland_boundary
polygon-01,ring-01,396,43.264697,0.962849,mainland_boundary
polygon-01,ring-01,397,43.292250,0.950662,mainland_boundary
polygon-01,ring-01,398,43.310545,0.932584,mainland_boundary
polygon-01,ring-01,399,43.325648,0.912475,mainland_boundary
polygon-01,ring-01,400,43.347031,0.896362,mainland_boundary
polygon-01,ring-01,401,43.369374,0.880861,mainland_boundary
polygon-01,ring-01,402,43.380602,0.858285,mainland_boundary
polygon-01,ring-01,403,43.384395,0.830979,mainland_boundary
polygon-01,ring-01,404,43.398669,0.810342,mainland_boundary
polygon-01,ring-01,405,43.429461,0.800217,mainland_boundary
polygon-01,ring-01,406,43.460921,0.790516,mainland_boundary
polygon-01,ring-01,407,43.477332,0.771239,mainland_boundary
polygon-01,ring-01,408,43.482608,0.744876,mainland_boundary
polygon-01,ring-01,409,43.488971,0.719206,mainland_boundary
polygon-01,ring-01,410,43.496842,0.694494,mainland_boundary
polygon-01,ring-01,411,43.498496,0.665826,mainland_boundary
polygon-01,ring-01,412,43.495548,0.634230,mainland_boundary
polygon-01,ring-01,413,43.499061,0.606745,mainland_boundary
polygon-01,ring-01,414,43.513506,0.586217,mainland_boundary
polygon-01,ring-01,415,43.532333,0.568478,mainland_boundary
polygon-01,ring-01,416,43.550000,0.550000,mainland_boundary
polygon-01,ring-01,417,43.568092,0.527401,mainland_boundary
polygon-01,ring-01,418,43.586383,0.505021,mainland_boundary
polygon-01,ring-01,419,43.608774,0.487151,mainland_boundary
polygon-01,ring-01,420,43.639861,0.478847,mainland_boundary
polygon-01,ring-01,421,43.675319,0.475351,mainland_boundary
polygon-01,ring-01,422,43.705210,0.465731,mainland_boundary
polygon-01,ring-01,423,43.727668,0.447935,mainland_boundary
polygon-01,ring-01,424,43.750023,0.430026,mainland_boundary
polygon-01,ring-01,425,43.774262,0.414188,mainland_boundary
polygon-01,ring-01,426,43.792012,0.391214,mainland_boundary
polygon-01,ring-01,427,43.799688,0.357157,mainland_boundary
polygon-01,ring-01,428,43.808784,0.324662,mainland_boundary
polygon-01,ring-01,429,43.831481,0.307129,mainland_boundary
polygon-01,ring-01,430,43.862421,0.298663,mainland_boundary
polygon-01,ring-01,431,43.885911,0.282002,mainland_boundary
polygon-01,ring-01,432,43.897901,0.252691,mainland_boundary
polygon-01,ring-01,433,43.908905,0.222295,mainland_boundary
polygon-01,ring-01,434,43.925583,0.198141,mainland_boundary
polygon-01,ring-01,435,43.942043,0.173747,mainland_boundary
polygon-01,ring-01,436,43.953235,0.143558,mainland_boundary
polygon-01,ring-01,437,43.965900,0.114990,mainland_boundary
polygon-01,ring-01,438,43.988874,0.097761,mainland_boundary
polygon-01,ring-01,439,44.019936,0.089429,mainland_boundary
polygon-01,ring-01,440,44.050170,0.080187,mainland_boundary
polygon-01,ring-01,441,44.076151,0.066266,mainland_boundary
polygon-01,ring-01,442,44.100000,0.050000,mainland_boundary
polygon-01,ring-01,443,44.097591,0.012341,mainland_boundary
polygon-01,ring-01,444,44.092822,-0.024530,mainland_boundary
polygon-01,ring-01,445,44.085476,-0.060543,mainland_boundary
polygon-01,ring-01,446,44.078159,-0.096566,mainland_boundary
