climate_observation_id,spatial_point_id,longitude,latitude,annual_rainfall_mm,mean_temperature_c,mean_wind_speed_mps,prevailing_wind_direction_deg,climate_class,baseline_period,qualification_status,source_dataset_id,source_dataset_version,source_path_reference,source_sha256,runtime_effect_scope
NG-CLIM-OBS-000014,NG-SPT-000053,33.46,-6.247467,573,25.3,5.0,39,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000015,NG-SPT-000057,35.14,-6.247467,590,24.6,4.7,44,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000016,NG-SPT-000061,36.82,-6.247467,607,23.8,4.7,49,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000017,NG-SPT-000065,38.5,-6.247467,616,23.2,5.2,54,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000018,NG-SPT-000069,40.18,-6.247467,598,23.9,5.5,59,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000019,NG-SPT-000073,30.52,-5.827467,561,25.8,5.5,32,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000020,NG-SPT-000077,32.2,-5.827467,573,25.4,5.2,37,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000021,NG-SPT-000081,33.88,-5.827467,590,25.0,4.9,43,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000022,NG-SPT-000085,35.56,-5.827467,619,23.8,4.6,48,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000023,NG-SPT-000089,37.24,-5.827467,643,22.5,4.9,53,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000024,NG-SPT-000093,38.92,-5.827467,644,22.1,5.3,58,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000025,NG-SPT-000097,40.6,-5.827467,609,23.5,5.5,63,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000026,NG-SPT-000101,30.1,-5.407467,559,26.0,5.5,33,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000027,NG-SPT-000105,31.78,-5.407467,577,25.5,5.2,38,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000028,NG-SPT-000109,33.46,-5.407467,598,25.2,4.9,43,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000029,NG-SPT-000113,35.14,-5.407467,641,23.6,4.6,48,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000030,NG-SPT-000117,36.82,-5.407467,679,21.7,4.8,53,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000031,NG-SPT-000121,38.5,-5.407467,688,20.7,5.3,58,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000032,NG-SPT-000125,40.18,-5.407467,644,22.3,5.5,64,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000033,NG-SPT-000129,41.86,-5.407467,594,24.4,5.7,69,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000034,NG-SPT-000133,30.52,-4.987467,569,25.9,5.4,37,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000035,NG-SPT-000137,32.2,-4.987467,590,25.7,5.0,42,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000036,NG-SPT-000141,33.88,-4.987467,632,24.8,4.8,47,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000037,NG-SPT-000145,35.56,-4.987467,696,22.4,4.6,52,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000038,NG-SPT-000149,37.24,-4.987467,740,20.1,5.0,57,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000039,NG-SPT-000153,38.92,-4.987467,729,19.7,5.4,62,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000040,NG-SPT-000157,40.6,-4.987467,656,22.3,5.5,67,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000041,NG-SPT-000161,42.28,-4.987467,594,24.6,5.7,72,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000042,NG-SPT-000165,30.94,-4.567467,583,25.8,5.2,40,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000043,NG-SPT-000169,32.62,-4.567467,616,25.8,4.9,45,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000044,NG-SPT-000173,34.3,-4.567467,689,24.1,4.7,50,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000045,NG-SPT-000177,35.98,-4.567467,775,21.0,4.6,55,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000046,NG-SPT-000181,37.66,-4.567467,814,18.5,5.2,60,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000047,NG-SPT-000185,39.34,-4.567467,768,19.1,5.5,65,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000048,NG-SPT-000189,41.02,-4.567467,665,22.5,5.5,70,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000049,NG-SPT-000193,42.7,-4.567467,593,24.9,5.7,75,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000050,NG-SPT-000197,30.52,-4.147467,584,26.1,5.3,41,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000051,NG-SPT-000201,32.2,-4.147467,627,26.1,4.9,46,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000052,NG-SPT-000205,33.88,-4.147467,716,24.8,4.6,51,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000053,NG-SPT-000209,35.56,-4.147467,835,21.2,4.6,56,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000054,NG-SPT-000213,37.24,-4.147467,897,18.1,5.0,61,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000055,NG-SPT-000217,38.92,-4.147467,861,17.5,5.5,66,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000056,NG-SPT-000221,40.6,-4.147467,730,21.1,5.5,71,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000057,NG-SPT-000225,42.28,-4.147467,623,24.3,5.6,76,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000058,NG-SPT-000229,29.68,-3.727467,571,26.5,5.3,40,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000059,NG-SPT-000233,31.36,-3.727467,624,26.1,5.0,45,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000060,NG-SPT-000237,33.04,-3.727467,711,25.9,4.6,50,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000061,NG-SPT-000241,34.72,-3.727467,864,22.8,4.6,56,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000062,NG-SPT-000245,36.4,-3.727467,982,19.1,4.7,61,SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000063,NG-SPT-000249,38.08,-3.727467,993,16.6,5.3,66,SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000064,NG-SPT-000253,39.76,-3.727467,867,18.5,5.5,71,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000065,NG-SPT-000257,41.44,-3.727467,702,22.7,5.5,76,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000066,NG-SPT-000261,43.12,-3.727467,600,25.4,5.6,81,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000067,NG-SPT-000265,30.1,-3.307467,595,26.4,5.2,44,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000068,NG-SPT-000269,31.78,-3.307467,674,26.4,4.8,49,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000069,NG-SPT-000273,33.46,-3.307467,820,25.4,4.5,54,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000070,NG-SPT-000277,35.14,-3.307467,1018,21.5,4.5,59,SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000071,NG-SPT-000281,36.82,-3.307467,1122,18.2,4.8,64,SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000072,NG-SPT-000285,38.5,-3.307467,1081,16.3,5.3,69,SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000073,NG-SPT-000289,40.18,-3.307467,891,19.3,5.4,74,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000074,NG-SPT-000293,41.86,-3.307467,702,23.3,5.5,79,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000075,NG-SPT-000297,43.54,-3.307467,593,25.9,5.6,84,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000076,NG-SPT-000301,30.52,-2.887467,632,26.3,5.0,47,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
