legalization_decision_id,administrative_area_id,administrative_candidate_id,boundary_candidate_id,qualification_reference,approval_reference,legal_instrument_reference,effective_from,previous_boundary_status,resulting_boundary_status,previous_lifecycle_status,resulting_lifecycle_status,decision_status,runtime_effect_scope
admlegal:nngla:f92060a67f4b04494b60959a35e53b45cd94a1c83b3f76bd4ec0c6576f65e911,NG-ADM-000014,NG-ADM-CAND-000014,admbnd:nngla:555676ffd4ae71190d7bd56d46116048058f572d4ab4ec750ce15397dacb22b0,qualification:nngla:68a80c0935f651103eb138e7f4a370fb29fe0117428d926546c0c16cb2132a00,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:d305a469f90a8535a881c7c65b8d3e31f9bb28574497cff6aede2322ab8c7639,NG-ADM-000015,NG-ADM-CAND-000015,admbnd:nngla:77016275f6880cd47bb6ed8837c737c4d94e3af416cb2ef303f97c8510341d16,qualification:nngla:cd00877fb7559fcb0da79d7d8a5634d733b807547832ac65a6d42293e9c8dd66,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:3f9cea461d0be7bff5ded99e413de60cfc0b89ff48b95fbda71e0259bd411e48,NG-ADM-000016,NG-ADM-CAND-000016,admbnd:nngla:0cfc2d5a1c225e1e2e1d9f9b9d04eeb42a7a605c092f9defe4507b127f7f98ea,qualification:nngla:5512fe536229d52e961342cbe2251fbcb882a9bcc84ae935573af388a1e19976,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:ebd97c24c7a9e2ab0ac68092d15e0e8a3de17e2f73751593ae877c5e9eae6622,NG-ADM-000017,NG-ADM-CAND-000017,admbnd:nngla:8efed618f8e79aa13f1dcd9e31406ace8c953784f4891733a0ae9187d47d58bf,qualification:nngla:08dfd87abc759c429d825961e4200fff3489f3c3c5419088582cc4e51782a036,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:faff01a54a12ca8f953792799488cccdba76fbdb9c01e404cb0a82a3a0575bc4,NG-ADM-000018,NG-ADM-CAND-000018,admbnd:nngla:14399690dd95b14bb454a4df02b85d4ba453b9961b6cabbe1484ff89c14d63f6,qualification:nngla:d1bfcd0deac05d3b2fe77495b5fe1b681f2a82ba6324af2098a3a1c3cec83774,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:ce36ace9cbb2a6dc8dcdc60c90f5d2c575ccd96cb6603b0e6cc40a08baf2a62b,NG-ADM-000019,NG-ADM-CAND-000019,admbnd:nngla:95fd2839e6427ad11fb48428d2788a962e86ec7a7132aac559c3cb980783cb7a,qualification:nngla:007b2c02921fff7ed8fd4ce92027a2542633029332729ac1ff6e88e894375a9d,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:7c627c715e6375b8276248daf3aff58c6817252613352cf1d4b16b0c6ff660a4,NG-ADM-000020,NG-ADM-CAND-000020,admbnd:nngla:1766de77ba5bc26998aebcbc46add8900863dfcb1bc5438c971664afd1bdab79,qualification:nngla:a201dc6c92fcad69a8ddbe3888435ecd676263ed643b3b6f37f8ee599c75d60e,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:6c7e8599906bbfd76219c26837d61409fddd7631e082ddf15418aa91e9d42640,NG-ADM-000021,NG-ADM-CAND-000021,admbnd:nngla:09d0622cb0dcb8d2bc7c0b0c42d39b5e90f0d9565afdc0936a786d3d050cf1fa,qualification:nngla:ea667511b4b3e5d8469b1f4c78408b146a1064362d58d31f3dc078c22d87c935,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:7404fd131a249330041630ad2f55468496d89a22e84b794291e3c7a5bae79027,NG-ADM-000022,NG-ADM-CAND-000022,admbnd:nngla:1925af0086550b5940593a379e68cafd0d6484b2a79c12f3415b0a47faa7a9a4,qualification:nngla:445ba4e7d492d86170f3d773b98b3598410f1f97045ccfac6fcdbc42b0c945ec,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:3383e42109fdf9b18c3f4e85b4d9c37de99e92c52c10a5388e3be2188d6a6f63,NG-ADM-000023,NG-ADM-CAND-000023,admbnd:nngla:8a9dc90f9dc71fb7b816cbe81270ad85fb768f2b841c4341ea875b968b2435e9,qualification:nngla:ed662b5929d3cf2ae58f150c44459b0bf0f2e15073fef3df418d38c414a7406b,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:6df1538533f69868730772217b61612aeb0013949a0ae5b2979ad9d49f081f5b,NG-ADM-000024,NG-ADM-CAND-000024,admbnd:nngla:fd6e3b36816c5dec2b1957c0e9e4d38d48b1f0d1bb287d9a67b06dc14eefa1dc,qualification:nngla:bc12e92d981973e47c365dbf55da352cd13881eef6c6a72f54739926c5fd061a,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:c4c3dd6bfee4495791f71604cae76cbb9fe398bf30764a37e5e57da36cdb87c7,NG-ADM-000025,NG-ADM-CAND-000025,admbnd:nngla:6d2a5222026a3ab6c76352793a18caf6a344b9b62c4e98794c2b9aa86f42473d,qualification:nngla:2b82788754ba29b323b6885a633c3aaf21f2740595358ab95e6187f76da4841a,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:33c0f1e0cf1a2876b1ee41b5d47c8ae1bb27e87b9c0f0ee3f9f4a521ab17eacb,NG-ADM-000026,NG-ADM-CAND-000026,admbnd:nngla:74e24d3fcf7ea4a65f02315146504ff3bbebe257ed04bb18c1e1b378dcf2ddfe,qualification:nngla:5de4b24fd0743118d296c34d7393d88df3aad4424e129fcb7216fb35c8590d8d,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:592d757a5e3c1d7314958be184756c3e2fbb9e776b93fd09e3d949108a614747,NG-ADM-000027,NG-ADM-CAND-000027,admbnd:nngla:627fa772c3d90b422c530dcfd291c2ca17a98bae9595c8072c52fe316a7c08d7,qualification:nngla:0491170eeebb4e8450786d722b4705967033824338c754d3352d4e19d7520b44,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:7af91e0714a40fa98781100a8a693d657a64700dd58c7e7aa2e10c1b207b352a,NG-ADM-000028,NG-ADM-CAND-000028,admbnd:nngla:4597090ac19ec383577fff3cb3fdec833806413d31312c167542dc6a9db1f32a,qualification:nngla:635e35abde3ffe10eaed54f306f48baefdddc8f95eefc210141fa87090406b90,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:ca85cf819223e38a39be290a93964dfe7081825bc0e65ebd84dc8b95c36e34f0,NG-ADM-000029,NG-ADM-CAND-000029,admbnd:nngla:57ff923fe31e4702eb3a11a55e4d20c33ce811b647e5aa0eff2283f1839fdda1,qualification:nngla:e4f34d146f0a21cccd7c391d8e06e0504ff008bb21cf595615ecb7ccdf268efd,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:6228415f75c5d06e7c69316c3572908982215c9a39273d0f7d12879415a67d9e,NG-ADM-000030,NG-ADM-CAND-000030,admbnd:nngla:4063e4230f0909c1184efc2099132ee031906311c8fe9b705fb7bea841ddba4a,qualification:nngla:0150bc034f442487a3630838902b4a7e7de73080492528221a828038ff926e43,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:ed9be4bbfa0ea1c05bf9651ba484b8d2d3c15d1ebf72aa4c5394947aa3df716b,NG-ADM-000031,NG-ADM-CAND-000031,admbnd:nngla:8acd335c54fc595ce0a7dbb99e6741a95c85044e0bc22d18cd228fb0307835bf,qualification:nngla:8069b4d796020a2518c85064cee0210e84e3e42e840cb487dd3d76b0a6f14f71,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:f37173f0ab014680cf2e00a743110e59572ed9bcbb23d65eea33d6710330a450,NG-ADM-000032,NG-ADM-CAND-000032,admbnd:nngla:519d3130700c6bae4529d0c2726f0eb6801477ccb59f1fee08c61c61c212726b,qualification:nngla:1401e8585c44f19cd0a9e3f98e8054e658be1a62c42ad8c6b39ad06238950ae5,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:8ab307faf10162c7ccd8d66bb66262c4ced7a2ce19ce4f383c64f52b6b3c3976,NG-ADM-000033,NG-ADM-CAND-000033,admbnd:nngla:ec8497d70b5d35fcb5b41fe54b167c9573d1f9b4268859b68004bb27fe1c1d73,qualification:nngla:7271299eb9dd9d8f8c66d23e21434d93082d1b096d7e5660f0cba1c2f999f68e,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:4e1d979d854e7189fbe728f4c8e91bb144f76e2e38474d583a7caf4e4a185c64,NG-ADM-000034,NG-ADM-CAND-000034,admbnd:nngla:b9700919db6c308fee65990cc70b8eb6c709a78e7933b042946311a52ae8448b,qualification:nngla:714f3b86610be69e77d6e031ae71437be20fa7078899f4f48bc0dc0f86964e12,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:30d6fdb3a63c45cfec39a3fabdf934b968dcc0edfb390c8ac0dc0203c786151d,NG-ADM-000035,NG-ADM-CAND-000035,admbnd:nngla:1cbab886529f8fe8aa3ebe28f3b632d7e07a1f9636af443fcbfd500ea79c6cc0,qualification:nngla:8f1270fc72c9f85f50073cdee3908825d22578084173764dedb50ced82d25b9d,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:7ee03842454e4179d719857bc0a7dae0af01b5241de2a795ddd8b09cf2466598,NG-ADM-000036,NG-ADM-CAND-000036,admbnd:nngla:fd402f5fb58411efd947db0e43f8ea2aa2dc31ce1005bffb05ee02bce8ce3bb4,qualification:nngla:1ff01bc7148b71e8f905c9f73850826213239ca385f9839361769e73a10e7121,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:8233ec46e00cdf02d1500f93ca64576600b0bae759b5e8f884f93f319fe0afb7,NG-ADM-000037,NG-ADM-CAND-000037,admbnd:nngla:8fe248fb6447773858f2748d42e7bd47cf7e192dccc371309383d2152ea865c9,qualification:nngla:97f2a8c2e5de772828669301e03b3f95262da1743130eca3f544f95617b179f4,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:f83e53b5b048e6f70f20a53549ceaaa80a22bf553ceb4a20cf996f004e2ac77c,NG-ADM-000038,NG-ADM-CAND-000038,admbnd:nngla:9f31b4d794b196b46efaa00def2e2df3ea7183af786df2eae0ca7e8994b21ea1,qualification:nngla:79c24f48530d715038cd6e0b830f2e4705f911c1648a19733db916ef39c31e58,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:91be4829414a3dad0b5057888df62670b17b7f42dfb4c4d5e0b912cf2b892098,NG-ADM-000039,NG-ADM-CAND-000039,admbnd:nngla:7a01de36e1c0439e6f5f4de2114cd54aa54d3781e228937bd0c859c3d331c71c,qualification:nngla:b7676ab457a24894a2bb41edf162e4eb1db3232186c2bde89da09b35575d5a8c,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
