catalogue_id,folder_family,file_name,row_count,dataset_class,migration_eligibility,source_basis,spatial_dependency,status
CAT-0033,04_name_catalogues,forest_name_catalogue.csv,260,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0034,04_name_catalogues,hill_name_catalogue.csv,280,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0035,04_name_catalogues,island_name_catalogue.csv,180,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0036,04_name_catalogues,lake_name_catalogue.csv,220,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0037,04_name_catalogues,landmark_name_catalogue.csv,300,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0038,04_name_catalogues,mountain_name_catalogue.csv,260,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0039,04_name_catalogues,plain_name_catalogue.csv,180,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0040,04_name_catalogues,plateau_name_catalogue.csv,180,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0041,04_name_catalogues,river_name_catalogue.csv,320,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0042,04_name_catalogues,road_name_catalogue.csv,1400,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0043,04_name_catalogues,settlement_name_catalogue.csv,700,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0044,04_name_catalogues,square_name_catalogue.csv,280,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0045,04_name_catalogues,valley_name_catalogue.csv,240,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0046,04_name_catalogues,wetland_name_catalogue.csv,180,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0047,05_geographic_candidates,administrative_area_candidates.csv,192,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0048,05_geographic_candidates,geographic_feature_candidates.csv,21,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0049,05_geographic_candidates,geometry_version_candidates.csv,21,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0050,05_geographic_candidates,survey_control_point_candidates.csv,0,REAL_EMPTY_GOVERNED_REGISTER,DEFERRED_SPATIAL_OR_LEGAL,See family README and row-level provenance,true,ACTIVE
CAT-0051,06_roads_addresses,address_reference_candidates.csv,0,REAL_EMPTY_GOVERNED_REGISTER,DEFERRED_SPATIAL_OR_LEGAL,See family README and row-level provenance,true,ACTIVE
CAT-0052,06_roads_addresses,road_reference_candidates.csv,900,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0053,07_land,parcel_bootstrap.csv,0,REAL_EMPTY_GOVERNED_REGISTER,DEFERRED_SPATIAL_OR_LEGAL,See family README and row-level provenance,true,ACTIVE
CAT-0054,07_land,state_land_bootstrap.csv,0,REAL_EMPTY_GOVERNED_REGISTER,DEFERRED_SPATIAL_OR_LEGAL,See family README and row-level provenance,true,ACTIVE
CAT-0055,07_land,title_bootstrap.csv,0,REAL_EMPTY_GOVERNED_REGISTER,DEFERRED_SPATIAL_OR_LEGAL,See family README and row-level provenance,true,ACTIVE
CAT-0056,08_relationships,feature_name_assignment_candidates.csv,20,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0057,09_quarantine,invalid_geographic_feature_candidates.csv,0,REAL_EMPTY_GOVERNED_REGISTER,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
