source_place_code,place_id,place_type_code,region_code,reference_point_status,reference_sovereign_part_id,supporting_spatial_point_id,footprint_status,footprint_candidate_id,point_only_reason,parent_spatial_evidence_status,parent_footprint_relation,sovereign_containment_status,geometry_identity_separation_status,administrative_legal_boundary_status,publication_status,overall_qualification_status
NGP-000011,NG-PLC-000011,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:0969cb471270b893228858ec893c6625186292b18e7cc8fc3bbb6b1e3da172fc,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000012,NG-PLC-000012,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:3b6429c7ce88d8a40c3f6128581d66be0f33fa0baaf7f44ec463970f83f720bf,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000013,NG-PLC-000013,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:b63654053caad26a35e36d043eee8e566b291f6923ace7b7bd7500e48f2af30d,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000014,NG-PLC-000014,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,PASS,placefootprint:nngla:fc9d4495fde8389293a35c9e7fe7dbeb47100dd4a841b88589886938775b9ac0,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000015,NG-PLC-000015,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000594,PASS,placefootprint:nngla:0a6a5e989355852283fff6816467eaf181d4800508053fbdd47b2009d2bd51f5,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000016,NG-PLC-000016,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:1f6abcaf57a9c6a3be7845a10397fcf83a5689747e4de37998e9a4d2785ac0c1,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000017,NG-PLC-000017,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:c81b2f173fe478b3eb6b0fb88c4684f8da14603f1444e382b42c0ab72d1c092c,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000018,NG-PLC-000018,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:eeab4ee52f6c032dec76e6a2c9d121e5d343b487311c72275fd0c78c923a3b31,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000019,NG-PLC-000019,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:30b3bd816745874194e5dc54a9bb0ebf39d1fd8e316a240df0057c8181b90fef,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000020,NG-PLC-000020,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:9e70834a2040c8f81d15a1e960200099ee6d0029ec9119aec102d2686178a588,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000021,NG-PLC-000021,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:7f9599d2e67228f6f9ef76dfb46275315f12bc2aec40bd0ebaf1eed8cfe7d4c3,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000022,NG-PLC-000022,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000628,PASS,placefootprint:nngla:17e6891f84129fb8ceb15297037c34aac88f8173df6caa17c3633b6b2955c107,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000023,NG-PLC-000023,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:f624b7bd7b50748e482384c01fdff525c1705d53cd393b50a4cd38f35d94b90c,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000024,NG-PLC-000024,SUBURB,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:29082aa06c8704b6c0641efab17282e7a6b7bfda0edd3ce68424311075033cc8,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000025,NG-PLC-000025,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,PASS,placefootprint:nngla:59e1d9688a1282596a62978375e0bf8c78e2662dc8fb8476accba334400c2168,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000026,NG-PLC-000026,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,PASS,placefootprint:nngla:a091bf165b056ee904f9ad5b08a4c6d5a1134bec88bc1c761c829eff3447a151,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000027,NG-PLC-000027,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,PASS,placefootprint:nngla:4d3569ab703a7f4a4a7090a787eb2189857594beb4051199ec6dc03324e61791,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000028,NG-PLC-000028,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,PASS,placefootprint:nngla:3f92db5e75b219b1c1f2a0e1455700dbd32ec6c4ea06b35dddd8ffcd76abf303,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000029,NG-PLC-000029,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,PASS,placefootprint:nngla:3395fd116172f76d552bd180d8ccc26beaa043819104ea1ad5cbd5b0bc0c7cc4,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000030,NG-PLC-000030,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000631,PASS,placefootprint:nngla:67aa87714a02764bf9f25c9829a1faa5be25eea6447067b2f0b3db97ad3e0f1e,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000031,NG-PLC-000031,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000631,PASS,placefootprint:nngla:bc759185345a11ad1550965df2b545bbf3192e56811364c490aa0202697a8040,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000032,NG-PLC-000032,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,PASS,placefootprint:nngla:35121a925e770f25e5684333ffc74493fc5bba8d607474af960b8db69160b525,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000033,NG-PLC-000033,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000596,PASS,placefootprint:nngla:1e1c2fc38b14fc542c401d8a3a2077a80c58e00f4ef55704130712982f661602,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000034,NG-PLC-000034,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000595,PASS,placefootprint:nngla:4bd511e831664220087ff7ad82ec7c41878505e9a99f78a0fca2b13dc93441b8,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000035,NG-PLC-000035,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000627,PASS,placefootprint:nngla:76d998a17362feb700e28be2cdedee5a1c29dafe195d5a3ffb9186a842a5125d,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000036,NG-PLC-000036,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000662,PASS,placefootprint:nngla:c800b73da7b20fc86f61e8540784fc6f0f53025a713830a651923382c43935af,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000037,NG-PLC-000037,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000661,PASS,placefootprint:nngla:885290fefa3fafcebef4ffe5a29b5ad7fa4b66095be64b7b3aaf70f1f8a4369f,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000038,NG-PLC-000038,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000661,PASS,placefootprint:nngla:aa8d80a7eb75a6ee791b04f32d0488bc1551ca7ae29dd4aedfab57934f68a79b,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000039,NG-PLC-000039,TOWN,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000628,PASS,placefootprint:nngla:8c8664ad6fd31db44d572ad8444f4e53675cbecaf0e873370a189e6816c05514,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000040,NG-PLC-000040,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,PASS,placefootprint:nngla:8931a392492974df5556d49225bdc3348bc80e2c7c8c85bca49b7138fd655112,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000041,NG-PLC-000041,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,PASS,placefootprint:nngla:86cfddc9070919d0f168915b6490d500d8a72a1c71fdeb49431a3b20e5b31b5d,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000042,NG-PLC-000042,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,PASS,placefootprint:nngla:cb27b8360a74b7c33c2bba9b955fd4f07e3bf71e19af27d976edd3dbcbc0a9a9,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000043,NG-PLC-000043,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,PASS,placefootprint:nngla:d3d99cc9b01b513505dae793b31d277cc894a0f388740cb9b251c464e4117841,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000044,NG-PLC-000044,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000595,PASS,placefootprint:nngla:82fec0bbf101a8e424923397c5bf45f1790b4c626b13b997bbe7466755e3e60f,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000045,NG-PLC-000045,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,PASS,placefootprint:nngla:842b2c4b55bbdf31383c7081f7c9e73b45ed3be8bc5027782b72e3e2f5189d67,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000046,NG-PLC-000046,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000661,PASS,placefootprint:nngla:7db551bee210725f8a6e10689b8245f9f9de1d793eb827cf24607b8ce2df73f6,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000047,NG-PLC-000047,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000627,PASS,placefootprint:nngla:72467db0ab3c48ecbfa00191c63498020bd9113821d9e8ade3e0cfbe0758d0b9,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000048,NG-PLC-000048,TOWNSHIP,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000662,PASS,placefootprint:nngla:b31adadf242f1cbbd8d816854333e48b4d4ed788e0bcee9c86a259b697865052,,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000049,NG-PLC-000049,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000050,NG-PLC-000050,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000051,NG-PLC-000051,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000052,NG-PLC-000052,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000053,NG-PLC-000053,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000054,NG-PLC-000054,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000055,NG-PLC-000055,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000056,NG-PLC-000056,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000057,NG-PLC-000057,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000058,NG-PLC-000058,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000059,NG-PLC-000059,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000631,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000060,NG-PLC-000060,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000631,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000061,NG-PLC-000061,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000631,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000062,NG-PLC-000062,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000631,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000063,NG-PLC-000063,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000064,NG-PLC-000064,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000065,NG-PLC-000065,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000596,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000066,NG-PLC-000066,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000596,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000067,NG-PLC-000067,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000595,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000068,NG-PLC-000068,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000595,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000069,NG-PLC-000069,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000627,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000070,NG-PLC-000070,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000628,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000071,NG-PLC-000071,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000662,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000072,NG-PLC-000072,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000662,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000073,NG-PLC-000073,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000662,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000074,NG-PLC-000074,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000661,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000075,NG-PLC-000075,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000661,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000076,NG-PLC-000076,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000661,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000077,NG-PLC-000077,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000628,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000078,NG-PLC-000078,VILLAGE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000628,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,OUTSIDE,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000079,NG-PLC-000079,MARKET_CENTRE,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000663,POINT_ONLY_EXPLICIT_EXCEPTION,,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
