source_file_id,filename,source_path,source_family,dataset_id,dataset_version,source_sha256,record_count,classification,evidence_role,contains_coordinates,contains_geometry,contains_names,already_canonical_domain,allowed_migration_action,status
NG-SPFILE-011,novegeo_drainage_networks_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_drainage_networks_v001.csv,02_existing_physical_world,dataset:novegeo:hydrology:surface-water,1,fafff05b3f4a86c63fa019e55b2ae59e81570c72c6a16766a5bed1e9b05c1b78,4,EXISTING_SPATIAL_V001,HYDROLOGY_NETWORK_REFERENCE,false,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-012,novegeo_hydrology_geometry_vertices_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_hydrology_geometry_vertices_v001.csv,02_existing_physical_world,dataset:novegeo:hydrology:surface-water,1,6d3ea1565dae0533fd71c85cc5e6b31f1e59b0767d9ec261cdc72535e857479a,252,EXISTING_SPATIAL_V001,PHYSICAL_GEOMETRY_EVIDENCE,true,true,false,GEOGRAPHIC_FEATURE,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-013,novegeo_hydrology_junctions_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_hydrology_junctions_v001.csv,02_existing_physical_world,dataset:novegeo:hydrology:surface-water,1,3bd52e14a7a20fafba19b9fdaf0863ab4064d05aee2855d24db4221063a62ae6,4,EXISTING_SPATIAL_V001,HYDROLOGY_NETWORK_REFERENCE,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-014,novegeo_island_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_island_candidates_v001.csv,02_existing_physical_world,dataset:novegeo:island-candidates-v001,1,eff276eca2ef3d981616318a83d4849434067dde734d3b3688f56ee7d4a00d06,5,EXISTING_SPATIAL_V001,EXISTING_PHYSICAL_FEATURE_REFERENCE,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-015,novegeo_lake_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_lake_candidates_v001.csv,02_existing_physical_world,dataset:novegeo:hydrology:surface-water,1,5fce7bdd14bf0ed20815519c5af4a7a4d104dba858d0057e43db15e42ade8b25,3,EXISTING_SPATIAL_V001,EXISTING_PHYSICAL_FEATURE_REFERENCE,true,true,false,GEOGRAPHIC_FEATURE,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-016,novegeo_landform_reference_points_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_landform_reference_points_v001.csv,02_existing_physical_world,dataset:novegeo:landforms,1,a1adad6ba56e5eed1dd3e3d19d7dcb391aff5671703c2cf0b598d85becdceb99,12,EXISTING_SPATIAL_V001,EXISTING_PHYSICAL_FEATURE_REFERENCE,true,true,false,GEOGRAPHIC_FEATURE,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-017,novegeo_river_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_river_candidates_v001.csv,02_existing_physical_world,dataset:novegeo:hydrology:surface-water,1,8997904a0df5846eb1b3e2aeb35988186fb21f7b4e1dc57810e3bcd0afe682d9,5,EXISTING_SPATIAL_V001,EXISTING_PHYSICAL_FEATURE_REFERENCE,true,true,false,GEOGRAPHIC_FEATURE,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-018,novegeo_bay_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:bay-candidates-v001,1,9d5ec107347180958042ef337d487b1a666b87c3c04bd89219577e05b2292649,3,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-019,novegeo_beach_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_beach_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:beach-candidates-v001,1,f504f40733f079cae8a04c1850c26737b8e8bb8618c63bd2c4f5d3f9388744bf,2,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-020,novegeo_cape_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cape_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:cape-candidates-v001,1,87a54facf1dc2bb81210927ed681ff9f630231881a2fdb046e4488e699383027,2,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-021,novegeo_cliff_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cliff_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:cliff-candidates-v001,1,f3433cc87da58243f275f492e16df48730ede2b1944e2105de99e210e33e9b69,2,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-022,novegeo_estuary_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_estuary_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:estuary-candidates-v001,1,ac47ed7cf9d05678462de03e5cac5dc4e7ce311fea68fe1d17da6b595c0c62cb,1,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-023,novegeo_forest_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_forest_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:forest-candidates-v001,1,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,0,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,NO_DIRECT_MIGRATION,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-024,novegeo_hill_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_hill_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:hill-candidates-v001,1,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,0,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,NO_DIRECT_MIGRATION,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-025,novegeo_mountain_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_mountain_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:mountain-candidates-v001,1,6b72d2d7ed8858a2fdc28f735873db0744dbe0b67c8b13214b245f5e3001ac1c,3,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-026,novegeo_natural_harbour_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_natural_harbour_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:natural-harbour-candidates-v001,1,9ecd426379fa37e7d63212cd3fb6a0ef4d9d48a2802b76ca0477747a62350e49,1,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-027,novegeo_plain_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plain_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:plain-candidates-v001,1,0d4018a7ff0a86ffcd5961c82b24796d17c5098c92439b40ca9acb053d160e80,3,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-028,novegeo_plateau_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plateau_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:plateau-candidates-v001,1,8845e8de498986799f9200d8e9f009f14d048b2f4d37b99cefe124014a906bce,3,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-029,novegeo_valley_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_valley_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:valley-candidates-v001,1,293c53a106de9e66041447133a3dabada297792962d98798d1dec55b2976eefa,3,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-030,novegeo_wetland_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_wetland_candidates_v001.csv,03_qualified_feature_candidates,dataset:novegeo:wetland-candidates-v001,1,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,0,EXISTING_SPATIAL_V001,DOMAIN_QUALIFIED_FEATURE_CANDIDATE,true,true,false,NONE,NO_DIRECT_MIGRATION,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-031,novegeo_administrative_boundary_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/04_settlements_roads_administration/novegeo_administrative_boundary_candidates_v001.csv,04_settlements_roads_administration,dataset:novegeo:administrative-boundary-candidates-v001,1,23a51e67acd4ec14a441e27a7cf62d763d4c9418a3d2eaaf67adedb3ca83b705,192,EXISTING_SPATIAL_V001,SPATIAL_ASSOCIATION_REQUIREMENT,false,true,true,ADMINISTRATIVE_AREA,ASSOCIATE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-032,novegeo_administrative_boundary_vertices_v001.csv,data/novegeo/nngla/spatial-fabric/source/04_settlements_roads_administration/novegeo_administrative_boundary_vertices_v001.csv,04_settlements_roads_administration,dataset:novegeo:administrative-boundaries:v001:empty,1,1fdf6d949e33a225dd411c1169d59d4ffe75f7445a4108d9173a548ad74655b9,0,EXISTING_SPATIAL_V001,GEOMETRY_VERTEX_PLACEHOLDER,true,true,false,ADMINISTRATIVE_AREA,ASSOCIATE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-033,novegeo_road_alignment_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/04_settlements_roads_administration/novegeo_road_alignment_candidates_v001.csv,04_settlements_roads_administration,dataset:novegeo:road-alignment-candidates-v001,1,82e18d5f00239e116f96340ba41a747502be5de6a7ae7873368b3e14058c12c9,900,EXISTING_SPATIAL_V001,SPATIAL_ASSOCIATION_REQUIREMENT,false,true,true,ROAD,ASSOCIATE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-034,novegeo_road_alignment_vertices_v001.csv,data/novegeo/nngla/spatial-fabric/source/04_settlements_roads_administration/novegeo_road_alignment_vertices_v001.csv,04_settlements_roads_administration,dataset:novegeo:road-alignments:v001:empty,1,933f62683f9405d5572277f3e57817cae90cec4100c5bf94c72f313d42d7ff95,0,EXISTING_SPATIAL_V001,GEOMETRY_VERTEX_PLACEHOLDER,true,true,false,ROAD,ASSOCIATE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-035,novegeo_settlement_boundary_vertices_v001.csv,data/novegeo/nngla/spatial-fabric/source/04_settlements_roads_administration/novegeo_settlement_boundary_vertices_v001.csv,04_settlements_roads_administration,dataset:novegeo:settlement-boundaries:v001:empty,1,c1b14e23c87ac5c5f1dd6b0f1876dbb73ed5e2c23cc503c4f9fb607e87db1c28,0,EXISTING_SPATIAL_V001,GEOMETRY_VERTEX_PLACEHOLDER,true,true,false,PLACE,ASSOCIATE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-036,novegeo_settlement_siting_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/04_settlements_roads_administration/novegeo_settlement_siting_candidates_v001.csv,04_settlements_roads_administration,dataset:novegeo:places:v001:700,1,5647e49f4ac5f305d66f10b5cff42bc641352b4340c3f1af5000311ead86ec00,700,EXISTING_SPATIAL_V001,SPATIAL_ASSOCIATION_REQUIREMENT,true,true,true,PLACE,ASSOCIATE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-037,novegeo_island_mainland_connections_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_island_mainland_connections_v001.csv,05_new_waters_ocean,dataset:novegeo:island-mainland-connections-v001,1,e2a0b22303f94b831320f7d0b6847894b58449c2bc03ae8a7924e3be1be14ce1,5,EXISTING_SPATIAL_V001,MARINE_RELATIONSHIP,false,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-038,novegeo_island_physical_state_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_island_physical_state_v001.csv,05_new_waters_ocean,dataset:novegeo:island-physical-state-v001,1,2151946897e7bcc0e850d4435a5eaeb2cfb5e43a1dd27729bdfcc1a0f02bb294,5,EXISTING_SPATIAL_V001,MARINE_PHYSICAL_REFERENCE,false,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-039,novegeo_marine_coastal_interfaces_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_marine_coastal_interfaces_v001.csv,05_new_waters_ocean,dataset:novegeo:marine-coastal-interfaces-v001,1,e5b1ec484dc7e9f0bab98c48b2d80cdf602d8ccd3526ad202ab03fef7b685209,23,EXISTING_SPATIAL_V001,MARINE_PHYSICAL_REFERENCE,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-040,novegeo_marine_route_anchor_points_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_marine_route_anchor_points_v001.csv,05_new_waters_ocean,dataset:novegeo:marine-route-anchor-points-v001,1,f0627b9cf3f6ad03e1bf8efe9b6c70ba833c461883041fdc5385414a76710c0b,10,EXISTING_SPATIAL_V001,MARINE_GEOMETRY_EVIDENCE,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-041,novegeo_marine_route_validation_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_marine_route_validation_v001.csv,05_new_waters_ocean,dataset:novegeo:marine-route-validation-v001,1,96dd7229e3170c61700dd8ae82d314cb667b107a56be33cd85c3c5ee2489a118,5,EXISTING_SPATIAL_V001,MARINE_RELATIONSHIP,false,false,true,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-042,novegeo_marine_waterbodies_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_marine_waterbodies_v001.csv,05_new_waters_ocean,dataset:novegeo:marine-waterbodies-v001,1,7c0e91cf1aaabc242ef9ad64f7499ca777536805c008a7b3217a961142ddf822,1,EXISTING_SPATIAL_V001,MARINE_PHYSICAL_REFERENCE,false,true,true,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-043,novegeo_marine_waterbody_vertices_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_marine_waterbody_vertices_v001.csv,05_new_waters_ocean,dataset:novegeo:marine-waterbody-vertices-v001,1,5efcfcadc0c7c28781a4d37a2661749aceb7d5ca4fb21282e632ad8acbd6700a,0,EXISTING_SPATIAL_V001,MARINE_GEOMETRY_EVIDENCE,true,true,false,NONE,NO_DIRECT_MIGRATION,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-044,novegeo_sea_route_candidates_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_sea_route_candidates_v001.csv,05_new_waters_ocean,dataset:novegeo:sea-route-candidates-v001,1,e8e28bd37f2334caeeea076e8eeaae807c10b9f0b604d833069510eb5469b7e6,5,EXISTING_SPATIAL_V001,MARINE_PHYSICAL_REFERENCE,false,true,true,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-045,novegeo_sea_route_derivation_crosswalk_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_sea_route_derivation_crosswalk_v001.csv,05_new_waters_ocean,dataset:novegeo:sea-route-derivation-crosswalk-v001,1,3eb108fc84b5444280a4a2ba1c3b06c65856b81b67ce834a67a1c3f08feec751,25,EXISTING_SPATIAL_V001,MARINE_PHYSICAL_REFERENCE,false,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-046,novegeo_sea_route_name_catalogue_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_sea_route_name_catalogue_v001.csv,05_new_waters_ocean,dataset:novegeo:sea-route-name-catalogue-v001,1,e7b77f244e638bacdaf9ef91f872471cc7d0005ecec0d23f387f14ec63902d56,180,EXISTING_SPATIAL_V001,MARINE_NAME_REFERENCE,false,false,true,NONE,REFERENCE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-047,novegeo_sea_route_vertices_v001.csv,data/novegeo/nngla/spatial-fabric/source/05_new_waters_ocean/novegeo_sea_route_vertices_v001.csv,05_new_waters_ocean,dataset:novegeo:sea-route-vertices-v001,1,2aae0932e0c7221552e4f5a5b4d0f90d695bc1f9e61c728025ea3a536df1784a,25,EXISTING_SPATIAL_V001,MARINE_GEOMETRY_EVIDENCE,true,true,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
