coordinate_occurrence_id,source_file_id,source_record_id,parent_object_type,parent_object_id,geometry_role,ring_id,vertex_sequence,source_longitude_text,source_latitude_text,source_longitude_numeric,source_latitude_numeric,crs_source_code,source_version
coordocc:nngla:65da033588778ad23a6225fc09c9a0f7a4d01836f50d1c11abd80316c5f0c8d7,NG-SPFILE-001,NG-CLIM-OBS-000018,SPATIAL_POINT,NG-SPT-000069,POINT_OBSERVATION,,,40.18,-6.247467,40.18,-6.247467,UNDECLARED_IN_ROW,1
coordocc:nngla:e17cf7d36de3b2a85d0c0f4b662d0e7583fa8717e6850825ee91e4e600339cdc,NG-SPFILE-001,NG-CLIM-OBS-000019,SPATIAL_POINT,NG-SPT-000073,POINT_OBSERVATION,,,30.52,-5.827467,30.52,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:88ffd1df5f446482c2a99c164a65d2620ee7e2b57b981cdce393a049c5be23eb,NG-SPFILE-001,NG-CLIM-OBS-000020,SPATIAL_POINT,NG-SPT-000077,POINT_OBSERVATION,,,32.2,-5.827467,32.2,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:b5fedab305bdaaba1cfa1b244a3b6c289150a6290f1e296dd343e53eced1e394,NG-SPFILE-001,NG-CLIM-OBS-000021,SPATIAL_POINT,NG-SPT-000081,POINT_OBSERVATION,,,33.88,-5.827467,33.88,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:6199b34a098a3116b78b55465373b5016801d608e216b0da55c00d5a3cf71f78,NG-SPFILE-001,NG-CLIM-OBS-000022,SPATIAL_POINT,NG-SPT-000085,POINT_OBSERVATION,,,35.56,-5.827467,35.56,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:d164c8c23365ace077390dd8decff9317aaae3677638feb0eda23b663556f05f,NG-SPFILE-001,NG-CLIM-OBS-000023,SPATIAL_POINT,NG-SPT-000089,POINT_OBSERVATION,,,37.24,-5.827467,37.24,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:3833ae8c86b488c75f2c7166145af7d47e7c3081a7295778cbf7dbd62773e80b,NG-SPFILE-001,NG-CLIM-OBS-000024,SPATIAL_POINT,NG-SPT-000093,POINT_OBSERVATION,,,38.92,-5.827467,38.92,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:1aff3c8e901659bc68e708164aa023ead97cd33dd4ff3d4d2cb40a6f4fdd7ba5,NG-SPFILE-001,NG-CLIM-OBS-000025,SPATIAL_POINT,NG-SPT-000097,POINT_OBSERVATION,,,40.6,-5.827467,40.6,-5.827467,UNDECLARED_IN_ROW,1
coordocc:nngla:4a759f49c02bd9de7d473a23c80f644ce0f04fcbb37892e02334ffa7b25dca20,NG-SPFILE-001,NG-CLIM-OBS-000026,SPATIAL_POINT,NG-SPT-000101,POINT_OBSERVATION,,,30.1,-5.407467,30.1,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:4d0115c2f3fface77a0063b5dd8ad2f42e6b2475fb2151f0fd4f0209ea40340b,NG-SPFILE-001,NG-CLIM-OBS-000027,SPATIAL_POINT,NG-SPT-000105,POINT_OBSERVATION,,,31.78,-5.407467,31.78,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:c82d074a8d2873d2fb2ecc82c449654fc1268e90519e37a8bb435c03dcc58990,NG-SPFILE-001,NG-CLIM-OBS-000028,SPATIAL_POINT,NG-SPT-000109,POINT_OBSERVATION,,,33.46,-5.407467,33.46,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:85e080941c94be75e7b557770e8f5a0489512254bf9aa8bb2f080cb37701b0e0,NG-SPFILE-001,NG-CLIM-OBS-000029,SPATIAL_POINT,NG-SPT-000113,POINT_OBSERVATION,,,35.14,-5.407467,35.14,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:56b8f4e0a01080f2fe1e872fdb44606e6505674def0c9ca2e17574aae5bebfb2,NG-SPFILE-001,NG-CLIM-OBS-000030,SPATIAL_POINT,NG-SPT-000117,POINT_OBSERVATION,,,36.82,-5.407467,36.82,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:3c7247d019ba49eafc7e5c706b3cbeb3c6a9ca3245a1ab0114b8f95705eb9d28,NG-SPFILE-001,NG-CLIM-OBS-000031,SPATIAL_POINT,NG-SPT-000121,POINT_OBSERVATION,,,38.5,-5.407467,38.5,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:9baaf690fc0c0d90f1515b6e7a9c781cdfc0c8b41cd6762abde7165e19db2c4a,NG-SPFILE-001,NG-CLIM-OBS-000032,SPATIAL_POINT,NG-SPT-000125,POINT_OBSERVATION,,,40.18,-5.407467,40.18,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:f37caa68d4460928070422380eec4ee9cc979a92d460be65365c5ffe93070e18,NG-SPFILE-001,NG-CLIM-OBS-000033,SPATIAL_POINT,NG-SPT-000129,POINT_OBSERVATION,,,41.86,-5.407467,41.86,-5.407467,UNDECLARED_IN_ROW,1
coordocc:nngla:264047d5e4006d6cbee7b2e2e57ac344fa347ba47a6929abf9830ccbb160c4b4,NG-SPFILE-001,NG-CLIM-OBS-000034,SPATIAL_POINT,NG-SPT-000133,POINT_OBSERVATION,,,30.52,-4.987467,30.52,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:b5972d0ae1913b087ed003b8c9c986a7761f25af034dc1886fb2fc47a0d39e68,NG-SPFILE-001,NG-CLIM-OBS-000035,SPATIAL_POINT,NG-SPT-000137,POINT_OBSERVATION,,,32.2,-4.987467,32.2,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:397feecbe8961f21fec218402e020dd6b892acc165207aa85fe7d8e2e48312e9,NG-SPFILE-001,NG-CLIM-OBS-000036,SPATIAL_POINT,NG-SPT-000141,POINT_OBSERVATION,,,33.88,-4.987467,33.88,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:38b1e9d8cd3f72687d844de1f3c47045bd269d31109277065671f9fd6891571e,NG-SPFILE-001,NG-CLIM-OBS-000037,SPATIAL_POINT,NG-SPT-000145,POINT_OBSERVATION,,,35.56,-4.987467,35.56,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:a9dc7e2ba6d3725a4778736ef7ba5b9cd6a18fae153d5cd0936a48b5f70cc8f3,NG-SPFILE-001,NG-CLIM-OBS-000038,SPATIAL_POINT,NG-SPT-000149,POINT_OBSERVATION,,,37.24,-4.987467,37.24,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:8325dd2e0e9a1dc199f763cafc60f8bf91a59a202a5680ae4ce12051cb2167d0,NG-SPFILE-001,NG-CLIM-OBS-000039,SPATIAL_POINT,NG-SPT-000153,POINT_OBSERVATION,,,38.92,-4.987467,38.92,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:01d6b256c9d8dbd8135c7e2b923b99ecfbe4dbb0b3f49f0fa689ad5fe3f6d520,NG-SPFILE-001,NG-CLIM-OBS-000040,SPATIAL_POINT,NG-SPT-000157,POINT_OBSERVATION,,,40.6,-4.987467,40.6,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:0945e4df032837e5aeafdd44b463fbcdce9df86de5fc9a74a0944194a289d725,NG-SPFILE-001,NG-CLIM-OBS-000041,SPATIAL_POINT,NG-SPT-000161,POINT_OBSERVATION,,,42.28,-4.987467,42.28,-4.987467,UNDECLARED_IN_ROW,1
coordocc:nngla:54c59a1a153e335fcb9a8af1ebfaf62a88c299a3716c04054e8c0de0f5027458,NG-SPFILE-001,NG-CLIM-OBS-000042,SPATIAL_POINT,NG-SPT-000165,POINT_OBSERVATION,,,30.94,-4.567467,30.94,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:11a7ae9a966628cfc91e346c76fc98e1a677aac9dbfb6558daa235edfbc51014,NG-SPFILE-001,NG-CLIM-OBS-000043,SPATIAL_POINT,NG-SPT-000169,POINT_OBSERVATION,,,32.62,-4.567467,32.62,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:0a784a8e5205fb5244e29623ebbf0a13581e073c36dec867114e99e424f02322,NG-SPFILE-001,NG-CLIM-OBS-000044,SPATIAL_POINT,NG-SPT-000173,POINT_OBSERVATION,,,34.3,-4.567467,34.3,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:11845ade02b4e5e1389c56e72231c740e6f5572685b21ad16e4ad2b7e602a4e0,NG-SPFILE-001,NG-CLIM-OBS-000045,SPATIAL_POINT,NG-SPT-000177,POINT_OBSERVATION,,,35.98,-4.567467,35.98,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:9287009357a1b2f820026b084a894eae3a15380f9d40d573791bcc9074aac0f3,NG-SPFILE-001,NG-CLIM-OBS-000046,SPATIAL_POINT,NG-SPT-000181,POINT_OBSERVATION,,,37.66,-4.567467,37.66,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:a9108ae76d47fa2894603ed2056e0edb2749a81f0bb66d4653cece416de18c1e,NG-SPFILE-001,NG-CLIM-OBS-000047,SPATIAL_POINT,NG-SPT-000185,POINT_OBSERVATION,,,39.34,-4.567467,39.34,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:b168c6a2933d2fa561fa021813d0f81f378b69a784c9af61bc131cb33848222c,NG-SPFILE-001,NG-CLIM-OBS-000048,SPATIAL_POINT,NG-SPT-000189,POINT_OBSERVATION,,,41.02,-4.567467,41.02,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:e43f2584e410d350e267e3971116f3604663f87c3f547984d02dad5609360444,NG-SPFILE-001,NG-CLIM-OBS-000049,SPATIAL_POINT,NG-SPT-000193,POINT_OBSERVATION,,,42.7,-4.567467,42.7,-4.567467,UNDECLARED_IN_ROW,1
coordocc:nngla:0ae5559d294e4efc2c99b83bc9d3ff0cbdb1d6eaeb8fc1313f586cf4d8f491e7,NG-SPFILE-001,NG-CLIM-OBS-000050,SPATIAL_POINT,NG-SPT-000197,POINT_OBSERVATION,,,30.52,-4.147467,30.52,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:9e81559dd05b1a93f50b74c68ff1bdb66379ccbf8c272a44b7671a7563c239f1,NG-SPFILE-001,NG-CLIM-OBS-000051,SPATIAL_POINT,NG-SPT-000201,POINT_OBSERVATION,,,32.2,-4.147467,32.2,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:a07c289bc0561ac63aba1a7a1317015463251cb925ec205bae949d60190af39a,NG-SPFILE-001,NG-CLIM-OBS-000052,SPATIAL_POINT,NG-SPT-000205,POINT_OBSERVATION,,,33.88,-4.147467,33.88,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:796ebd547ce299b99f9d73393faa30c290798ee9193dd8886ccc7be144a472e0,NG-SPFILE-001,NG-CLIM-OBS-000053,SPATIAL_POINT,NG-SPT-000209,POINT_OBSERVATION,,,35.56,-4.147467,35.56,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:91aa053a34f90217e20e588ec610cb02f4e2ee68132ff780523a417be48c692e,NG-SPFILE-001,NG-CLIM-OBS-000054,SPATIAL_POINT,NG-SPT-000213,POINT_OBSERVATION,,,37.24,-4.147467,37.24,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:d922867cf55747a212ba63e1fb344339cf6dce10407dd40199bcadfe33b62ce0,NG-SPFILE-001,NG-CLIM-OBS-000055,SPATIAL_POINT,NG-SPT-000217,POINT_OBSERVATION,,,38.92,-4.147467,38.92,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:49aa92ecb32dac360f17bc1edce01c2fba5672cd8d356065726ab69f17a647dd,NG-SPFILE-001,NG-CLIM-OBS-000056,SPATIAL_POINT,NG-SPT-000221,POINT_OBSERVATION,,,40.6,-4.147467,40.6,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:02ad0d8f09da3c77c8cffa476890aeaeb1e18d00cdb96295ba471d969a119913,NG-SPFILE-001,NG-CLIM-OBS-000057,SPATIAL_POINT,NG-SPT-000225,POINT_OBSERVATION,,,42.28,-4.147467,42.28,-4.147467,UNDECLARED_IN_ROW,1
coordocc:nngla:659c549e1e351e856fd8300dfc0e931adef5ad0c72cc609122553fc0afe5ff54,NG-SPFILE-001,NG-CLIM-OBS-000058,SPATIAL_POINT,NG-SPT-000229,POINT_OBSERVATION,,,29.68,-3.727467,29.68,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:4c2377e5994c64a81d5f227cf46dd90c18352dd3788ddde8a78351aa6ac0fd10,NG-SPFILE-001,NG-CLIM-OBS-000059,SPATIAL_POINT,NG-SPT-000233,POINT_OBSERVATION,,,31.36,-3.727467,31.36,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:697a44330593cce3bd110309d078ce11755dca8a5522be75cd640fb382b647b3,NG-SPFILE-001,NG-CLIM-OBS-000060,SPATIAL_POINT,NG-SPT-000237,POINT_OBSERVATION,,,33.04,-3.727467,33.04,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:2363c25ea4d0c85489f71379748d45b25cfc3f8bcee3b5490d217290bd69da2b,NG-SPFILE-001,NG-CLIM-OBS-000061,SPATIAL_POINT,NG-SPT-000241,POINT_OBSERVATION,,,34.72,-3.727467,34.72,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:22b441b7659cfb75177777f64c24fe36c0cfd174f73179775b3bf65f7942a564,NG-SPFILE-001,NG-CLIM-OBS-000062,SPATIAL_POINT,NG-SPT-000245,POINT_OBSERVATION,,,36.4,-3.727467,36.4,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:5651b430589ffc1ebd43630d9a424ab816501983d46222b54b964185f0f262b9,NG-SPFILE-001,NG-CLIM-OBS-000063,SPATIAL_POINT,NG-SPT-000249,POINT_OBSERVATION,,,38.08,-3.727467,38.08,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:12a65ef86265e6fe6c142558935eac11f625780e629e03aa711a38b3f67da616,NG-SPFILE-001,NG-CLIM-OBS-000064,SPATIAL_POINT,NG-SPT-000253,POINT_OBSERVATION,,,39.76,-3.727467,39.76,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:1774eaec3556e1f3c75d70e8ab5b0b6598f9a2f4d2d91054f8b3dda9b5c0c3c0,NG-SPFILE-001,NG-CLIM-OBS-000065,SPATIAL_POINT,NG-SPT-000257,POINT_OBSERVATION,,,41.44,-3.727467,41.44,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:b4273880764264491fd2fe6913ff37fef318d0d17d6d9cba196da2cc52deb974,NG-SPFILE-001,NG-CLIM-OBS-000066,SPATIAL_POINT,NG-SPT-000261,POINT_OBSERVATION,,,43.12,-3.727467,43.12,-3.727467,UNDECLARED_IN_ROW,1
coordocc:nngla:160e7534e6e69ed20dcf4da46a07c64a3042fb4cae652e944fea3233ded05b65,NG-SPFILE-001,NG-CLIM-OBS-000067,SPATIAL_POINT,NG-SPT-000265,POINT_OBSERVATION,,,30.1,-3.307467,30.1,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:9c67c0caa9d7ce48f0d96e75d7ebdc94d9170f4eb1682521440a3bf73dcc9e47,NG-SPFILE-001,NG-CLIM-OBS-000068,SPATIAL_POINT,NG-SPT-000269,POINT_OBSERVATION,,,31.78,-3.307467,31.78,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:5d3800942537070b32bc1476d5b099b03f5b315f2927fb3d8ef2c1434a75f342,NG-SPFILE-001,NG-CLIM-OBS-000069,SPATIAL_POINT,NG-SPT-000273,POINT_OBSERVATION,,,33.46,-3.307467,33.46,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:47a88d2ca3743af6ee56b9e20168c679ba7e62922c8fcfb8762f3b6617e0b91b,NG-SPFILE-001,NG-CLIM-OBS-000070,SPATIAL_POINT,NG-SPT-000277,POINT_OBSERVATION,,,35.14,-3.307467,35.14,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:f5b76ed4f7624cd73b5badc9416f37d17767c097aa8455c7210d7e6473b1a5b1,NG-SPFILE-001,NG-CLIM-OBS-000071,SPATIAL_POINT,NG-SPT-000281,POINT_OBSERVATION,,,36.82,-3.307467,36.82,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:e0c0782a87d2026849ce4c73dc7671f3deec701a85446b9a7c95eaf562b11950,NG-SPFILE-001,NG-CLIM-OBS-000072,SPATIAL_POINT,NG-SPT-000285,POINT_OBSERVATION,,,38.5,-3.307467,38.5,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:cade332cc9ca5b117587451e4671d83954336842961f10803e0b6b47ce7ad700,NG-SPFILE-001,NG-CLIM-OBS-000073,SPATIAL_POINT,NG-SPT-000289,POINT_OBSERVATION,,,40.18,-3.307467,40.18,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:01dcee0909566979e062d3085f091ad09ab48cf7a32555c2a7d3a7e60e5c8d0e,NG-SPFILE-001,NG-CLIM-OBS-000074,SPATIAL_POINT,NG-SPT-000293,POINT_OBSERVATION,,,41.86,-3.307467,41.86,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:84b78a4ff22d521f80c7b4f8985994d952c3b59b642cf798ca6e3c6dc30ec278,NG-SPFILE-001,NG-CLIM-OBS-000075,SPATIAL_POINT,NG-SPT-000297,POINT_OBSERVATION,,,43.54,-3.307467,43.54,-3.307467,UNDECLARED_IN_ROW,1
coordocc:nngla:432c38a8838db454ef3a397c7e9555b0b4b60fb3f982515f1363099d6f6d303d,NG-SPFILE-001,NG-CLIM-OBS-000076,SPATIAL_POINT,NG-SPT-000301,POINT_OBSERVATION,,,30.52,-2.887467,30.52,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:013f3d9b111bd935fd920e0eca9a9b6a3c85d1930f37d7b55d493fb177a55292,NG-SPFILE-001,NG-CLIM-OBS-000077,SPATIAL_POINT,NG-SPT-000305,POINT_OBSERVATION,,,32.2,-2.887467,32.2,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:f028456737b0f1711ef3cbc4a97e5d996aa3ca43f7900441676272a2ea4b8d86,NG-SPFILE-001,NG-CLIM-OBS-000078,SPATIAL_POINT,NG-SPT-000309,POINT_OBSERVATION,,,33.88,-2.887467,33.88,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:dbe9720129629b7d7cc2b63daa891164ea1ec6b02772a6a8c7b4b61db95b9274,NG-SPFILE-001,NG-CLIM-OBS-000079,SPATIAL_POINT,NG-SPT-000313,POINT_OBSERVATION,,,35.56,-2.887467,35.56,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:b7673b0855c2c86095ffb0942d0b246bd02e269f2a2d4307e8cd6af79b90fb24,NG-SPFILE-001,NG-CLIM-OBS-000080,SPATIAL_POINT,NG-SPT-000317,POINT_OBSERVATION,,,37.24,-2.887467,37.24,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:c4d87097e51977bc2012a0855592a7cfb1f19f94479c7583ae6db163c970c294,NG-SPFILE-001,NG-CLIM-OBS-000081,SPATIAL_POINT,NG-SPT-000321,POINT_OBSERVATION,,,38.92,-2.887467,38.92,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:e7ad92ebd6aa85534959d4669cf1408d259dbae91ca3579502b6f5a3bade8e19,NG-SPFILE-001,NG-CLIM-OBS-000082,SPATIAL_POINT,NG-SPT-000325,POINT_OBSERVATION,,,40.6,-2.887467,40.6,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:bebf36b6f3df69e48ef63ac3fbbc028009b3821a536371b745026657b734af18,NG-SPFILE-001,NG-CLIM-OBS-000083,SPATIAL_POINT,NG-SPT-000329,POINT_OBSERVATION,,,42.28,-2.887467,42.28,-2.887467,UNDECLARED_IN_ROW,1
coordocc:nngla:a915a88a921eb038c441ca01ce2f1186420ef9158166ac75063df9bfc3aace81,NG-SPFILE-001,NG-CLIM-OBS-000084,SPATIAL_POINT,NG-SPT-000333,POINT_OBSERVATION,,,29.68,-2.467467,29.68,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:060fbc719e3bc19d81581a4230bf7029eafd3b657e7b01e45d39e2c5df320a38,NG-SPFILE-001,NG-CLIM-OBS-000085,SPATIAL_POINT,NG-SPT-000337,POINT_OBSERVATION,,,31.36,-2.467467,31.36,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:728623d64e8150b1790004e4e760a1472f580ba8bc4fc7e36c426e9219eadb61,NG-SPFILE-001,NG-CLIM-OBS-000086,SPATIAL_POINT,NG-SPT-000341,POINT_OBSERVATION,,,33.04,-2.467467,33.04,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:0b07bee9a7c0f951fd6319c733a929811798dbfea6c48a5964c0497ab100c3ab,NG-SPFILE-001,NG-CLIM-OBS-000087,SPATIAL_POINT,NG-SPT-000345,POINT_OBSERVATION,,,34.72,-2.467467,34.72,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:de23236c0d47881732be927c9c2e5b8ebad78264ada9fff84a9b18fdaea39276,NG-SPFILE-001,NG-CLIM-OBS-000088,SPATIAL_POINT,NG-SPT-000349,POINT_OBSERVATION,,,36.4,-2.467467,36.4,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:80d0621b80bfdb3112a319b0375d61876fcebe3efd816c4b84f853ef1e5ba964,NG-SPFILE-001,NG-CLIM-OBS-000089,SPATIAL_POINT,NG-SPT-000353,POINT_OBSERVATION,,,38.08,-2.467467,38.08,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:c2497443e61662875d1d84bd4aa9103a707f9925d347d2939c62b5bb984da4b0,NG-SPFILE-001,NG-CLIM-OBS-000090,SPATIAL_POINT,NG-SPT-000357,POINT_OBSERVATION,,,39.76,-2.467467,39.76,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:c7d6fb7e28d097b74e6f3a0c03a6ddd80704dd6db755bc1d3ca5b541c0f49274,NG-SPFILE-001,NG-CLIM-OBS-000091,SPATIAL_POINT,NG-SPT-000361,POINT_OBSERVATION,,,41.44,-2.467467,41.44,-2.467467,UNDECLARED_IN_ROW,1
coordocc:nngla:784a91578ba6a78ca65f693d1a4dd4a675005676d17abf05f75ac1269a3071e2,NG-SPFILE-001,NG-CLIM-OBS-000092,SPATIAL_POINT,NG-SPT-000365,POINT_OBSERVATION,,,43.12,-2.467467,43.12,-2.467467,UNDECLARED_IN_ROW,1
