id,second name,origin,language
158,Sharma,India,Hindi/Bengali/Gujarati
159,Verma,India,Hindi/Bengali/Gujarati
160,Gupta,India,Hindi/Bengali/Gujarati
161,Kumar,India,Hindi/Bengali/Gujarati
162,Singh,India,Hindi/Bengali/Gujarati
163,Patel,India,Hindi/Bengali/Gujarati
164,Shah,India,Hindi/Bengali/Gujarati
165,Mehta,India,Hindi/Bengali/Gujarati
166,Joshi,India,Hindi/Bengali/Gujarati
167,Mishra,India,Hindi/Bengali/Gujarati
168,Yadav,India,Hindi/Bengali/Gujarati
169,Khan,India,Hindi/Bengali/Gujarati
170,Das,India,Hindi/Bengali/Gujarati
171,Banerjee,India,Hindi/Bengali/Gujarati
172,Chatterjee,India,Hindi/Bengali/Gujarati
173,Nair,India,Hindi/Bengali/Gujarati
174,Pillai,India,Hindi/Bengali/Gujarati
175,Reddy,India,Hindi/Bengali/Gujarati
176,Rao,India,Hindi/Bengali/Gujarati
177,Choudhury,India,Hindi/Bengali/Gujarati
178,Malhotra,India,Hindi/Bengali/Gujarati
179,Kapoor,India,Hindi/Bengali/Gujarati
180,Jani,India,Hindi/Bengali/Gujarati
181,Acharya,India,Hindi/Bengali/Gujarati
182,Bose,India,Hindi/Bengali/Gujarati
183,Sen,India,Hindi/Bengali/Gujarati
184,Roy,India,Hindi/Bengali/Gujarati
185,Desai,India,Hindi/Bengali/Gujarati
186,Kulkarni,India,Hindi/Bengali/Gujarati
187,Gawde,India,Hindi/Bengali/Gujarati
188,Wang,East Asia,Chinese/Korean/Japanese/Vietnamese
189,Li,East Asia,Chinese/Korean/Japanese/Vietnamese
190,Zhang,East Asia,Chinese/Korean/Japanese/Vietnamese
191,Liu,East Asia,Chinese/Korean/Japanese/Vietnamese
192,Chen,East Asia,Chinese/Korean/Japanese/Vietnamese
193,Yang,East Asia,Chinese/Korean/Japanese/Vietnamese
194,Huang,East Asia,Chinese/Korean/Japanese/Vietnamese
195,Zhao,East Asia,Chinese/Korean/Japanese/Vietnamese
196,Wu,East Asia,Chinese/Korean/Japanese/Vietnamese
197,Zhou,East Asia,Chinese/Korean/Japanese/Vietnamese
198,Kim,East Asia,Chinese/Korean/Japanese/Vietnamese
199,Lee,East Asia,Chinese/Korean/Japanese/Vietnamese
200,Park,East Asia,Chinese/Korean/Japanese/Vietnamese
201,Choi,East Asia,Chinese/Korean/Japanese/Vietnamese
202,Jung,East Asia,Chinese/Korean/Japanese/Vietnamese
203,Kang,East Asia,Chinese/Korean/Japanese/Vietnamese
204,Cho,East Asia,Chinese/Korean/Japanese/Vietnamese
205,Yoon,East Asia,Chinese/Korean/Japanese/Vietnamese
206,Jang,East Asia,Chinese/Korean/Japanese/Vietnamese
207,Lim,East Asia,Chinese/Korean/Japanese/Vietnamese
208,Sato,East Asia,Chinese/Korean/Japanese/Vietnamese
209,Suzuki,East Asia,Chinese/Korean/Japanese/Vietnamese
210,Takahashi,East Asia,Chinese/Korean/Japanese/Vietnamese
211,Tanaka,East Asia,Chinese/Korean/Japanese/Vietnamese
212,Watanabe,East Asia,Chinese/Korean/Japanese/Vietnamese
213,Ito,East Asia,Chinese/Korean/Japanese/Vietnamese
214,Yamamoto,East Asia,Chinese/Korean/Japanese/Vietnamese
215,Nakamura,East Asia,Chinese/Korean/Japanese/Vietnamese
216,Kobayashi,East Asia,Chinese/Korean/Japanese/Vietnamese
217,Saito,East Asia,Chinese/Korean/Japanese/Vietnamese
218,Nguyen,East Asia,Chinese/Korean/Japanese/Vietnamese
219,Tran,East Asia,Chinese/Korean/Japanese/Vietnamese
220,Le,East Asia,Chinese/Korean/Japanese/Vietnamese
221,Pham,East Asia,Chinese/Korean/Japanese/Vietnamese
222,Huynh,East Asia,Chinese/Korean/Japanese/Vietnamese
223,Hoang,East Asia,Chinese/Korean/Japanese/Vietnamese
224,Phan,East Asia,Chinese/Korean/Japanese/Vietnamese
225,Vu,East Asia,Chinese/Korean/Japanese/Vietnamese
226,Dang,East Asia,Chinese/Korean/Japanese/Vietnamese
227,Bui,East Asia,Chinese/Korean/Japanese/Vietnamese
228,Ali,Middle East,Arabic
229,Ahmed,Middle East,Arabic
230,Hassan,Middle East,Arabic
231,Rahman,Middle East,Arabic
232,Hussein,Middle East,Arabic
233,Al-Farsi,Middle East,Arabic
234,Malik,Middle East,Arabic
235,Ibrahim,Middle East,Arabic
236,Said,Middle East,Arabic
237,Abadi,Middle East,Arabic
238,Mustafa,Middle East,Arabic
239,Youssef,Middle East,Arabic
240,Khalil,Middle East,Arabic
241,Tahan,Middle East,Arabic
242,Mansour,Middle East,Arabic
243,Gaddafi,Middle East,Arabic
244,Hariri,Middle East,Arabic
245,Darwish,Middle East,Arabic
246,Saleh,Middle East,Arabic
247,Mensah,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
248,Osei,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
249,Koffi,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
250,Diallo,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
251,Traore,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
252,Kamara,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
253,Conteh,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
254,Sow,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
255,Bah,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
256,Keita,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
257,Okafor,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
258,Okeke,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
259,Obi,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
260,Adeleke,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
261,Adebayo,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
262,Nwachukwu,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
263,Mwangi,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
264,Maina,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
265,Kamau,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
266,Otieno,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
267,Dlamini,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
268,Khumalo,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
269,Mokoena,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
270,Ndlovu,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
271,Sithole,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
272,Chineye,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
273,Baloyi,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
274,Phiri,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
275,Banda,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
276,Tembo,Africa,Yoruba/Igbo/Swahili/Zulu/Chewa
277,Novak,Eastern Europe,Slavic/Romanian
278,Kovac,Eastern Europe,Slavic/Romanian
279,Horvat,Eastern Europe,Slavic/Romanian
280,Popescu,Eastern Europe,Slavic/Romanian
281,Ionescu,Eastern Europe,Slavic/Romanian
282,Radu,Eastern Europe,Slavic/Romanian
283,Popa,Eastern Europe,Slavic/Romanian
284,Dumitru,Eastern Europe,Slavic/Romanian
285,Stoica,Eastern Europe,Slavic/Romanian
286,Stan,Eastern Europe,Slavic/Romanian
287,Dimitrov,Eastern Europe,Slavic/Romanian
288,Ivanov,Eastern Europe,Slavic/Romanian
289,Petrov,Eastern Europe,Slavic/Romanian
290,Stoyanov,Eastern Europe,Slavic/Romanian
291,Nikolov,Eastern Europe,Slavic/Romanian
292,Kolev,Eastern Europe,Slavic/Romanian
293,Todorov,Eastern Europe,Slavic/Romanian
294,Angelov,Eastern Europe,Slavic/Romanian
295,Iliev,Eastern Europe,Slavic/Romanian
296,Vasilev,Eastern Europe,Slavic/Romanian
297,Melnyk,Eastern Europe,Slavic/Romanian
298,Shevchenko,Eastern Europe,Slavic/Romanian
299,Boyko,Eastern Europe,Slavic/Romanian
300,Kovalenko,Eastern Europe,Slavic/Romanian
301,Bondarenko,Eastern Europe,Slavic/Romanian
302,Tkachenko,Eastern Europe,Slavic/Romanian
303,Kravchenko,Eastern Europe,Slavic/Romanian
304,Oliynyk,Eastern Europe,Slavic/Romanian
305,Moroz,Eastern Europe,Slavic/Romanian
306,Koval,Eastern Europe,Slavic/Romanian
307,Miller,British Isles,English
308,Davis,British Isles,English
309,Rodriguez,Spain/Latin America,Spanish
310,Martinez,Spain/Latin America,Spanish
311,Hernandez,Spain/Latin America,Spanish
312,Lopez,Spain/Latin America,Spanish
313,Gonzalez,Spain/Latin America,Spanish
314,Perez,Spain/Latin America,Spanish
315,Sanchez,Spain/Latin America,Spanish
316,Ramirez,Spain/Latin America,Spanish
317,Gomez,Spain/Latin America,Spanish
318,Diaz,Spain/Latin America,Spanish
319,Alvarez,Spain/Latin America,Spanish
320,Vasquez,Spain/Latin America,Spanish
321,Jimenez,Spain/Latin America,Spanish
322,Ruiz,Spain/Latin America,Spanish
323,Hansen,Scandinavia,Danish/Norwegian
324,Johansen,Scandinavia,Danish/Norwegian
325,Olsen,Scandinavia,Danish/Norwegian
326,Larsen,Scandinavia,Danish/Norwegian
327,Andersen,Scandinavia,Danish/Norwegian
328,Nilsen,Scandinavia,Danish/Norwegian
329,Andersson,Scandinavia,Swedish
330,Johansson,Scandinavia,Swedish
331,Karlsson,Scandinavia,Swedish
332,Nilsson,Scandinavia,Swedish
333,Eriksson,Scandinavia,Swedish
334,Larsson,Scandinavia,Swedish
335,Aliev,Central Asia,Azerbaijani/Russian
336,Ivanova,Eastern Europe,Russian
337,Smirnov,Eastern Europe,Russian
338,Petrova,Eastern Europe,Russian
339,Kuznetsov,Eastern Europe,Russian
340,Popov,Eastern Europe,Russian
341,Vasiliev,Eastern Europe,Russian
342,Sokolov,Eastern Europe,Russian
343,Mikhailov,Eastern Europe,Russian
344,Novikov,Eastern Europe,Russian
345,Kozlov,Eastern Europe,Russian
346,Morozov,Eastern Europe,Russian
347,Volkov,Eastern Europe,Russian
348,Soloviev,Eastern Europe,Russian
349,Vasilyev,Eastern Europe,Russian
350,MacDonald,Ireland/Scotland,Gaelic/English
351,MacArthur,Ireland/Scotland,Gaelic/English
352,MacGale,Ireland/Scotland,Gaelic/English
353,MacKenzie,Ireland/Scotland,Gaelic/English
354,MacNiel,Ireland/Scotland,Gaelic/English
355,MacLean,Ireland/Scotland,Gaelic/English
356,MacCormack,Ireland/Scotland,Gaelic/English
357,MacGowan,Ireland/Scotland,Gaelic/English
358,MacMullan,Ireland/Scotland,Gaelic/English
359,MacRory,Ireland/Scotland,Gaelic/English
360,MacSandro,Ireland/Scotland,Gaelic/English
361,MacCarlo,Ireland/Scotland,Gaelic/English
362,MacPaolo,Ireland/Scotland,Gaelic/English
363,MacVanni,Ireland/Scotland,Gaelic/English
364,MacPiero,Ireland/Scotland,Gaelic/English
365,MacStasi,Ireland/Scotland,Gaelic/English
366,MacBlasi,Ireland/Scotland,Gaelic/English
367,MacLando,Ireland/Scotland,Gaelic/English
368,MacZanni,Ireland/Scotland,Gaelic/English
369,MacRico,Ireland/Scotland,Gaelic/English
370,MacDijk,Ireland/Scotland,Gaelic/English
371,MacBeek,Ireland/Scotland,Gaelic/English
372,MacBerg,Ireland/Scotland,Gaelic/English
373,MacCamp,Ireland/Scotland,Gaelic/English
374,MacHout,Ireland/Scotland,Gaelic/English
375,MacDam,Ireland/Scotland,Gaelic/English
376,MacMeer,Ireland/Scotland,Gaelic/English
377,MacWaal,Ireland/Scotland,Gaelic/English
378,MacVeen,Ireland/Scotland,Gaelic/English
379,MacRooy,Ireland/Scotland,Gaelic/English
380,McArthur,Ireland/Scotland,Gaelic/English
381,McGale,Ireland/Scotland,Gaelic/English
382,McKenzie,Ireland/Scotland,Gaelic/English
383,McNiel,Ireland/Scotland,Gaelic/English
384,McLean,Ireland/Scotland,Gaelic/English
385,McCormack,Ireland/Scotland,Gaelic/English
386,McGowan,Ireland/Scotland,Gaelic/English
387,McMullan,Ireland/Scotland,Gaelic/English
388,McRory,Ireland/Scotland,Gaelic/English
389,McSandro,Ireland/Scotland,Gaelic/English
390,McCarlo,Ireland/Scotland,Gaelic/English
391,McPaolo,Ireland/Scotland,Gaelic/English
392,McVanni,Ireland/Scotland,Gaelic/English
393,McPiero,Ireland/Scotland,Gaelic/English
394,McStasi,Ireland/Scotland,Gaelic/English
395,McBlasi,Ireland/Scotland,Gaelic/English
396,McLando,Ireland/Scotland,Gaelic/English
397,McZanni,Ireland/Scotland,Gaelic/English
398,McRico,Ireland/Scotland,Gaelic/English
399,McDijk,Ireland/Scotland,Gaelic/English
400,McBeek,Ireland/Scotland,Gaelic/English
401,McBerg,Ireland/Scotland,Gaelic/English
402,McCamp,Ireland/Scotland,Gaelic/English
403,McHout,Ireland/Scotland,Gaelic/English
404,McDam,Ireland/Scotland,Gaelic/English
405,McMeer,Ireland/Scotland,Gaelic/English
406,McWaal,Ireland/Scotland,Gaelic/English
407,McVeen,Ireland/Scotland,Gaelic/English
408,McRooy,Ireland/Scotland,Gaelic/English
409,O'Donald,Ireland/Scotland,Gaelic/English
410,O'Arthur,Ireland/Scotland,Gaelic/English
411,O'Gale,Ireland/Scotland,Gaelic/English
412,O'Kenzie,Ireland/Scotland,Gaelic/English
413,O'Niel,Ireland/Scotland,Gaelic/English
414,O'Lean,Ireland/Scotland,Gaelic/English
415,O'Cormack,Ireland/Scotland,Gaelic/English
416,O'Gowan,Ireland/Scotland,Gaelic/English
417,O'Mullan,Ireland/Scotland,Gaelic/English
418,O'Rory,Ireland/Scotland,Gaelic/English
419,O'Sandro,Ireland/Scotland,Gaelic/English
420,O'Carlo,Ireland/Scotland,Gaelic/English
421,O'Paolo,Ireland/Scotland,Gaelic/English
422,O'Vanni,Ireland/Scotland,Gaelic/English
423,O'Piero,Ireland/Scotland,Gaelic/English
424,O'Stasi,Ireland/Scotland,Gaelic/English
425,O'Blasi,Ireland/Scotland,Gaelic/English
426,O'Lando,Ireland/Scotland,Gaelic/English
427,O'Zanni,Ireland/Scotland,Gaelic/English
428,O'Rico,Ireland/Scotland,Gaelic/English
429,O'Dijk,Ireland/Scotland,Gaelic/English
430,O'Beek,Ireland/Scotland,Gaelic/English
431,O'Berg,Ireland/Scotland,Gaelic/English
432,O'Camp,Ireland/Scotland,Gaelic/English
433,O'Hout,Ireland/Scotland,Gaelic/English
434,O'Dam,Ireland/Scotland,Gaelic/English
435,O'Meer,Ireland/Scotland,Gaelic/English
436,O'Waal,Ireland/Scotland,Gaelic/English
437,O'Veen,Ireland/Scotland,Gaelic/English
438,O'Rooy,Ireland/Scotland,Gaelic/English
439,De Donald,Italy,Italian
440,De Arthur,Italy,Italian
441,De Gale,Italy,Italian
442,De Kenzie,Italy,Italian
443,De Niel,Italy,Italian
444,De Lean,Italy,Italian
445,De Cormack,Italy,Italian
446,De Gowan,Italy,Italian
447,De Mullan,Italy,Italian
448,De Rory,Italy,Italian
449,De Sandro,Italy,Italian
450,De Carlo,Italy,Italian
451,De Paolo,Italy,Italian
452,De Vanni,Italy,Italian
453,De Piero,Italy,Italian
454,De Stasi,Italy,Italian
455,De Blasi,Italy,Italian
456,De Lando,Italy,Italian
457,De Zanni,Italy,Italian
458,De Rico,Italy,Italian
459,De Dijk,Italy,Italian
460,De Beek,Italy,Italian
461,De Berg,Italy,Italian
462,De Camp,Italy,Italian
463,De Hout,Italy,Italian
464,De Dam,Italy,Italian
465,De Meer,Italy,Italian
466,De Waal,Italy,Italian
467,De Veen,Italy,Italian
468,De Rooy,Italy,Italian
469,Di Donald,Italy,Italian
470,Di Arthur,Italy,Italian
471,Di Gale,Italy,Italian
472,Di Kenzie,Italy,Italian
473,Di Niel,Italy,Italian
474,Di Lean,Italy,Italian
475,Di Cormack,Italy,Italian
476,Di Gowan,Italy,Italian
477,Di Mullan,Italy,Italian
478,Di Rory,Italy,Italian
479,Di Sandro,Italy,Italian
480,Di Carlo,Italy,Italian
481,Di Paolo,Italy,Italian
482,Di Vanni,Italy,Italian
483,Di Piero,Italy,Italian
484,Di Stasi,Italy,Italian
485,Di Blasi,Italy,Italian
486,Di Lando,Italy,Italian
487,Di Zanni,Italy,Italian
488,Di Rico,Italy,Italian
489,Di Dijk,Italy,Italian
490,Di Beek,Italy,Italian
491,Di Berg,Italy,Italian
492,Di Camp,Italy,Italian
493,Di Hout,Italy,Italian
494,Di Dam,Italy,Italian
495,Di Meer,Italy,Italian
496,Di Waal,Italy,Italian
497,Di Veen,Italy,Italian
498,Di Rooy,Italy,Italian
499,Van Donald,Netherlands,Dutch
500,Van Arthur,Netherlands,Dutch
501,Van Gale,Netherlands,Dutch
502,Van Kenzie,Netherlands,Dutch
503,Van Niel,Netherlands,Dutch
504,Van Lean,Netherlands,Dutch
505,Van Cormack,Netherlands,Dutch
506,Van Gowan,Netherlands,Dutch
507,Van Mullan,Netherlands,Dutch
508,Van Rory,Netherlands,Dutch
509,Van Sandro,Netherlands,Dutch
510,Van Carlo,Netherlands,Dutch
511,Van Paolo,Netherlands,Dutch
512,Van Vanni,Netherlands,Dutch
513,Van Piero,Netherlands,Dutch
514,Van Stasi,Netherlands,Dutch
515,Van Blasi,Netherlands,Dutch
516,Van Lando,Netherlands,Dutch
517,Van Zanni,Netherlands,Dutch
518,Van Rico,Netherlands,Dutch
519,Van Dijk,Netherlands,Dutch
520,Van Beek,Netherlands,Dutch
521,Van Berg,Netherlands,Dutch
522,Van Camp,Netherlands,Dutch
523,Van Hout,Netherlands,Dutch
524,Van Dam,Netherlands,Dutch
525,Van Meer,Netherlands,Dutch
526,Van Waal,Netherlands,Dutch
527,Van Veen,Netherlands,Dutch
528,Van Rooy,Netherlands,Dutch
529,Von Donald,Germany,German
530,Von Arthur,Germany,German
531,Von Gale,Germany,German
532,Von Kenzie,Germany,German
533,Von Niel,Germany,German
534,Von Lean,Germany,German
535,Von Cormack,Germany,German
536,Von Gowan,Germany,German
537,Von Mullan,Germany,German
538,Von Rory,Germany,German
539,Von Sandro,Germany,German
540,Von Carlo,Germany,German
541,Von Paolo,Germany,German
542,Von Vanni,Germany,German
543,Von Piero,Germany,German
544,Von Stasi,Germany,German
545,Von Blasi,Germany,German
546,Von Lando,Germany,German
547,Von Zanni,Germany,German
548,Von Rico,Germany,German
549,Von Dijk,Germany,German
550,Von Beek,Germany,German
551,Von Berg,Germany,German
552,Von Camp,Germany,German
553,Von Hout,Germany,German
554,Von Dam,Germany,German
555,Von Meer,Germany,German
556,Von Waal,Germany,German
557,Von Veen,Germany,German
558,Von Rooy,Germany,German
559,Stone,British Isles,English
560,Foster,British Isles,English
561,Simmons,British Isles,English
562,Brooks,British Isles,English
563,Mendez,Global,Multicultural
564,Garza,Global,Multicultural
565,Douglas,British Isles,English
566,Gilbert,British Isles,English
567,Hubbard,British Isles,English
568,Glover,British Isles,English
569,Barker,British Isles,English
570,Guzman,Global,Multicultural
571,Bell,British Isles,English
572,Hardy,British Isles,English
573,Lawrence,British Isles,English
574,Jacobs,British Isles,English
575,McMahon,British Isles,English
576,Miles,British Isles,English
577,Richmond,British Isles,English
578,Palmer,British Isles,English
579,Barnett,British Isles,English
580,Barton,British Isles,English
581,Burgess,British Isles,English
582,Copeland,British Isles,English
583,Holland,British Isles,English
584,Jennings,British Isles,English
585,Norris,British Isles,English
586,Rowe,British Isles,English
587,Sharpe,British Isles,English
588,Thornton,British Isles,English
589,Vaughan,British Isles,English
590,Webster,British Isles,English
591,Winter,British Isles,English
592,Fitzgerald,British Isles,English
593,Hendrix,British Isles,English
594,Fleming,British Isles,English
595,Bowers,British Isles,English
596,Sutton,British Isles,English
597,Ahuja,India,Hindi/Punjabi/Marathi
598,Anand,India,Hindi/Punjabi/Marathi
599,Bakshi,India,Hindi/Punjabi/Marathi
600,Bhasin,India,Hindi/Punjabi/Marathi
601,Chawla,India,Hindi/Punjabi/Marathi
602,Dhawan,India,Hindi/Punjabi/Marathi
603,Grover,India,Hindi/Punjabi/Marathi
604,Khanna,India,Hindi/Punjabi/Marathi
605,Khurana,India,Hindi/Punjabi/Marathi
606,Mehra,India,Hindi/Punjabi/Marathi
607,Oberoi,India,Hindi/Punjabi/Marathi
608,Sarin,India,Hindi/Punjabi/Marathi
609,Seth,India,Hindi/Punjabi/Marathi
610,Soni,India,Hindi/Punjabi/Marathi
611,Suri,India,Hindi/Punjabi/Marathi
612,Tandon,India,Hindi/Punjabi/Marathi
613,Vohra,India,Hindi/Punjabi/Marathi
614,Wadhwa,India,Hindi/Punjabi/Marathi
615,Bajaj,India,Hindi/Punjabi/Marathi
616,Dalal,India,Hindi/Punjabi/Marathi
617,Patil,India,Hindi/Punjabi/Marathi
618,Deshmukh,India,Hindi/Punjabi/Marathi
619,Pradhan,India,Hindi/Punjabi/Marathi
620,Shinde,India,Hindi/Punjabi/Marathi
621,Tambe,India,Hindi/Punjabi/Marathi
622,Mahajan,India,Hindi/Punjabi/Marathi
623,Naik,India,Hindi/Punjabi/Marathi
624,Abebe,Africa,Amharic/Akan/Mandinka
625,Kebede,Africa,Amharic/Akan/Mandinka
626,Bekele,Africa,Amharic/Akan/Mandinka
627,Tadesse,Africa,Amharic/Akan/Mandinka
628,Alemu,Africa,Amharic/Akan/Mandinka
629,Ayele,Africa,Amharic/Akan/Mandinka
630,Mengistu,Africa,Amharic/Akan/Mandinka
631,Mekonnen,Africa,Amharic/Akan/Mandinka
632,Assefa,Africa,Amharic/Akan/Mandinka
633,Tesfaye,Africa,Amharic/Akan/Mandinka
634,Yeboah,Africa,Amharic/Akan/Mandinka
635,Appiah,Africa,Amharic/Akan/Mandinka
636,Boakye,Africa,Amharic/Akan/Mandinka
637,Agyemang,Africa,Amharic/Akan/Mandinka
638,Aidoo,Africa,Amharic/Akan/Mandinka
639,Baah,Africa,Amharic/Akan/Mandinka
640,Frimpong,Africa,Amharic/Akan/Mandinka
641,Kwarteng,Africa,Amharic/Akan/Mandinka
642,Owusu,Africa,Amharic/Akan/Mandinka
643,Annan,Africa,Amharic/Akan/Mandinka
644,Jalloh,Africa,Amharic/Akan/Mandinka
