ID,first_name,gender,origin,Language
149,Clara,Female,Germany,German
150,Charmaine,Female,Zimbabwean,Shona
151,Scarlett,Female,American,English
152,Aissatou,Female,Senegal,Wolof
153,Ethan,Male,American,English
154,Tetteh,Male,Ghana,Akan
155,Navya,Female,Hindi,Hindi
156,Marie,Female,Germany,German
157,Nathalie,Female,Cameroon,French
158,Evelyn,Female,British,English
159,Aulus,Male,Latin,Latin
160,Chipo,Male,Zimbabwean,Shona
161,Alice,Female,British,English
162,Henri,Male,Cameroon,French
163,Ivy,Female,British,English
164,Suzanne,Female,Cameroon,French
165,Ananya,Male,Hindi,Hindi
166,Bheki,Male,South African,Zulu
167,Safietou,Female,Senegal,Wolof
168,Moussa,Male,Senegal,Wolof
169,Hang,Male,Chinese,Mandarin
170,Lucia,Female,Latin,Latin
171,Eimear,Female,Irish,Irish
172,Ato,Male,Ghana,Akan
173,Rokhy,Female,Senegal,Wolof
174,Ira,Female,Hindi,Hindi
175,Swati,Female,Hindi,Hindi
176,Qiang,Male,Chinese,Mandarin
177,Lucie,Female,Cameroon,French
178,Pari,Female,Hindi,Hindi
179,Raj,Male,Hindi,Hindi
180,Kian,Male,Irish,Irish
181,Santiago,Male,Spanish,Spanish
182,Lydia,Female,Ghana,Akan
183,Arthur,Male,British,English
184,Krishna,Male,Hindi,Hindi
185,Shuai,Male,Chinese,Mandarin
186,Florence,Female,British,English
187,Kwabena,Male,Ghana,Akan
188,Juan,Male,Spanish,Spanish
189,Luca,Male,American,English
190,Leticia,Female,Spanish,Spanish
191,Kun,Male,Chinese,Mandarin
192,Tara,Female,Irish,Irish
193,Ruvimbo,Male,Zimbabwean,Shona
194,Victoria,Female,Latin,Latin
195,Gang,Male,Chinese,Mandarin
196,Oliver,Male,British,English
197,Panyin,Female,Ghana,Akan
198,Alejandro,Male,Spanish,Spanish
199,Elena,Female,Spanish,Spanish
200,Lerato,Female,South African,Zulu
201,Conor,Male,Irish,Irish
202,Willow,Female,British,English
203,Kiran,Female,Hindi,Hindi
204,Emma,Female,Spanish,Spanish
205,Niall,Male,Irish,Irish
206,Tapiwa,Male,Zimbabwean,Shona
207,Dolores,Female,Spanish,Spanish
208,Grainne,Female,Irish,Irish
209,Jack,Male,American,English
210,Chloe,Female,American,English
211,Alice,Female,Cameroon,French
212,Thabani,Male,South African,Zulu
213,Evelyne,Female,Cameroon,French
214,Sophie,Female,Germany,German
215,Jonah,Male,Germany,German
216,Diarmuid,Male,Irish,Irish
217,Guo,Male,Chinese,Mandarin
218,Leo,Male,British,English
219,Liam,Male,Irish,Irish
220,Eleanor,Female,British,English
221,Busisiwe,Female,South African,Zulu
222,Jeanne,Female,Cameroon,French
223,Paul,Male,Germany,German
224,Concepcion,Female,Spanish,Spanish
225,Coumba,Female,Senegal,Wolof
226,Trust,Male,Zimbabwean,Shona
227,Sebastian,Male,American,English
228,Aarti,Female,Hindi,Hindi
229,Pablo,Male,Spanish,Spanish
230,Marina,Female,Latin,Latin
231,Lara,Female,Germany,German
232,Mandla,Male,South African,Zulu
233,Gift,Male,Zimbabwean,Shona
234,Lungelo,Male,South African,Zulu
235,Penda,Female,Senegal,Wolof
236,Simon,Male,Germany,German
237,Binta,Female,Senegal,Wolof
238,Frances,Female,British,English
239,Emily,Female,American,English
240,Zandile,Female,South African,Zulu
241,Ruvimbo,Female,Zimbabwean,Shona
242,Dietou,Female,Senegal,Wolof
243,Helen,Female,British,English
244,David,Male,Germany,German
245,Fionn,Male,Irish,Irish
246,Edward,Male,British,English
247,Cecilia,Female,Latin,Latin
248,Rory,Male,Irish,Irish
249,Clement,Male,Latin,Latin
250,Sekai,Female,Zimbabwean,Shona
251,Seynabou,Female,Senegal,Wolof
252,Philip,Male,British,English
253,Rui,Male,Chinese,Mandarin
254,Sebastian,Male,Spanish,Spanish
255,Deepika,Female,Hindi,Hindi
256,Nyasha,Female,Zimbabwean,Shona
257,Julia,Female,Spanish,Spanish
258,William,Male,British,English
259,Nii,Male,Ghana,Akan
260,Javier,Male,Spanish,Spanish
261,Lily,Female,British,English
262,Rumbidzai,Female,Zimbabwean,Shona
263,Awa,Female,Senegal,Wolof
264,Yong,Male,Chinese,Mandarin
265,Regina,Female,Latin,Latin
266,Kakraba,Female,Ghana,Akan
267,Amelie,Female,Germany,German
268,Bo,Male,Chinese,Mandarin
269,Anton,Male,Germany,German
270,Khanyisile,Female,South African,Zulu
271,Dong,Male,Chinese,Mandarin
272,Yi,Male,Chinese,Mandarin
273,Elizabeth,Female,American,English
274,Vijay,Male,Hindi,Hindi
275,Nthabiseng,Female,South African,Zulu
276,Felix,Male,Latin,Latin
277,Mbali,Female,South African,Zulu
278,Thulani,Male,South African,Zulu
279,Aniket,Male,Hindi,Hindi
280,Baaba,Female,Ghana,Akan
281,Aanya,Female,Hindi,Hindi
282,Ming,Male,Chinese,Mandarin
283,Ataa,Female,Ghana,Akan
284,Akua,Female,Ghana,Akan
285,Germaine,Female,Cameroon,French
286,Hans,Male,Germany,German
287,Evelyn,Female,American,English
288,Blessing,Male,Zimbabwean,Shona
289,Matteo,Male,Germany,German
290,Chao,Male,Chinese,Mandarin
291,Martina,Female,Spanish,Spanish
292,Panashe,Female,Zimbabwean,Shona
293,Dan,Female,Chinese,Mandarin
294,Rosie,Female,British,English
295,Peng,Male,Chinese,Mandarin
296,Luis,Male,Germany,German
297,Sokhna,Female,Senegal,Wolof
298,Brighton,Male,Zimbabwean,Shona
299,Aryan,Male,Hindi,Hindi
300,Nora,Female,American,English
301,Nyasha,Male,Zimbabwean,Shona
302,Kabir,Male,Hindi,Hindi
303,William,Male,American,English
304,Therese,Female,Cameroon,French
305,Ping,Female,Chinese,Mandarin
306,Florence,Female,British,English
307,Precious,Female,Zimbabwean,Shona
308,Harper,Female,American,English
309,David,Male,American,English
310,Melusi,Male,South African,Zulu
311,Yaw,Male,Ghana,Akan
312,Josephine,Female,Cameroon,French
313,Jorge,Male,Spanish,Spanish
314,Francoise,Female,Cameroon,French
315,Patricia,Female,Latin,Latin
316,欣 (Xin),Female,Chinese,Mandarin
317,Sara,Female,Spanish,Spanish
318,Servius,Male,Latin,Latin
319,Jing,Female,Chinese,Mandarin
320,Dearbhla,Female,Irish,Irish
321,George,Male,British,English
322,Brigitte,Female,Germany,German
323,Aby,Female,Senegal,Wolof
324,Guy,Male,Cameroon,French
325,Francisco,Male,Spanish,Spanish
326,Pooja,Female,Hindi,Hindi
327,Samba,Male,Senegal,Wolof
328,Owen,Male,American,English
329,Walter,Male,Germany,German
330,Mathilda,Female,Germany,German
331,Simbarashe,Male,Zimbabwean,Shona
332,Kwadwo,Male,Ghana,Akan
333,Koudia,Female,Senegal,Wolof
334,Knowledge,Male,Zimbabwean,Shona
335,Augustus,Male,Latin,Latin
336,Anil,Male,Hindi,Hindi
337,Tafadzwa,Female,Zimbabwean,Shona
338,Leo,Male,Latin,Latin
339,Muzi,Male,South African,Zulu
340,Li,Female,Chinese,Mandarin
341,Shaurya,Male,Hindi,Hindi
342,Blessing,Female,Zimbabwean,Shona
343,Flavia,Female,Latin,Latin
344,婷 (Ting),Female,Chinese,Mandarin
345,Luke,Male,American,English
346,Reyansh,Male,Hindi,Hindi
347,Maguette,Female,Senegal,Wolof
348,Asher,Male,American,English
349,Rian,Male,Irish,Irish
350,Kavita,Female,Hindi,Hindi
351,Claudia,Female,Latin,Latin
352,Marcus,Male,Latin,Latin
353,Aine,Female,Irish,Irish
354,Julius,Male,Latin,Latin
355,Mia,Female,Germany,German
356,Khady,Female,Senegal,Wolof
357,Nompumelelo,Female,South African,Zulu
358,Antonio,Male,Spanish,Spanish
359,Benjamin,Male,American,English
360,Levi,Male,American,English
361,Puleng,Female,South African,Zulu
362,Oliver,Male,American,English
363,Marta,Female,Spanish,Spanish
364,Ismaila,Male,Senegal,Wolof
365,Ana,Female,Spanish,Spanish
366,Akefa,Female,Ghana,Akan
367,Ava,Female,American,English
368,Agathe,Female,Cameroon,French
369,Noah,Male,Germany,German
370,Isabella,Female,American,English
371,Alfred,Male,British,English
372,Sadio,Male,Senegal,Wolof
373,Ríona,Female,Irish,Irish
374,Rufaro,Female,Zimbabwean,Shona
375,Charlotte,Female,British,English
376,Rohan,Male,Hindi,Hindi
377,Sfiso,Male,South African,Zulu
378,Samuel,Male,Cameroon,French
379,Anne,Female,Cameroon,French
380,Bongani,Male,South African,Zulu
381,Lily,Female,British,English
382,Lucius,Male,Latin,Latin
383,Hardlife,Male,Zimbabwean,Shona
384,Tiberius,Male,Latin,Latin
385,Sofia,Female,American,English
386,Zhe,Male,Chinese,Mandarin
387,Nyarai,Female,Zimbabwean,Shona
388,Rufaro,Male,Zimbabwean,Shona
389,Joseph,Male,Cameroon,French
390,Arame,Female,Senegal,Wolof
391,Leon,Male,Germany,German
392,Ben,Male,Germany,German
393,Teddy,Male,British,English
394,Arthur,Male,British,English
395,Benedict,Male,Latin,Latin
396,Olivia,Female,American,English
397,Tendai,Male,Zimbabwean,Shona
398,Marthe,Female,Cameroon,French
399,Colm,Male,Irish,Irish
400,Lamine,Male,Senegal,Wolof
401,Afua,Female,Ghana,Akan
402,Noah,Male,American,English
403,Miguel,Male,Spanish,Spanish
404,Gisela,Female,Germany,German
405,Zandile,Male,South African,Zulu
406,Francisca,Female,Spanish,Spanish
407,Manius,Male,Latin,Latin
408,Diana,Female,Latin,Latin
409,Jyoti,Female,Hindi,Hindi
410,Meena,Female,Hindi,Hindi
411,Faith,Female,Zimbabwean,Shona
412,Niamh,Female,Irish,Irish
413,Tsitsi,Female,Zimbabwean,Shona
414,Harry,Male,British,English
415,Hua,Female,Chinese,Mandarin
416,Amelia,Female,American,English
417,Rong,Female,Chinese,Mandarin
418,Malick,Male,Senegal,Wolof
419,Darragh,Male,Irish,Irish
420,Harold,Male,British,English
421,Valentina,Female,Spanish,Spanish
422,Cheikh,Male,Senegal,Wolof
423,Charlotte,Female,American,English
424,Eleanor,Female,American,English
425,Deepak,Male,Hindi,Hindi
426,Vimbai,Female,Zimbabwean,Shona
427,Cathal,Male,Irish,Irish
428,Orla,Female,Irish,Irish
429,Vero,Male,Latin,Latin
430,Osei,Male,Ghana,Akan
431,Munashe,Male,Zimbabwean,Shona
432,Maidei,Female,Zimbabwean,Shona
433,Camila,Female,American,English
434,Simphiwe,Male,South African,Zulu
435,Anesu,Male,Zimbabwean,Shona
436,Andre,Male,Cameroon,French
437,Carlos,Male,Spanish,Spanish
438,John,Male,Ghana,Akan
439,Sandile,Male,South African,Zulu
440,Freya,Female,British,English
441,Anika,Female,Hindi,Hindi
442,Abenaa,Female,Ghana,Akan
443,Thandeka,Female,South African,Zulu
444,Farai,Male,Zimbabwean,Shona
445,Mubarak,Male,Ghana,Akan
446,Dado,Female,Senegal,Wolof
447,Busi,Female,South African,Zulu
448,Emma,Female,Germany,German
449,Evie,Female,British,English
450,Miranda,Female,Latin,Latin
451,Cherif,Male,Senegal,Wolof
452,Patrick,Male,Irish,Irish
453,Atharv,Male,Hindi,Hindi
454,Serigne,Male,Senegal,Wolof
455,Maximilian,Male,Germany,German
456,Sofia,Female,Spanish,Spanish
457,Kwamé,Male,Ghana,Akan
458,Muireann,Female,Irish,Irish
459,Sneha,Female,Hindi,Hindi
460,Tendai,Female,Zimbabwean,Shona
461,Marc,Male,Cameroon,French
462,Maja,Female,Germany,German
463,梦 (Meng),Female,Chinese,Mandarin
464,Kojo,Male,Ghana,Akan
465,Lovemore,Male,Zimbabwean,Shona
466,Jean,Male,Cameroon,French
467,Elsie,Female,British,English
468,Eoin,Male,Irish,Irish
469,Jonas,Male,Germany,German
470,Gladys,Female,American,English
471,Ciara,Female,Irish,Irish
472,Constantine,Male,Latin,Latin
473,Avani,Female,Hindi,Hindi
474,Sadhbh,Female,Irish,Irish
475,Decimus,Male,Latin,Latin
476,Themba,Male,South African,Zulu
477,Harriet,Female,British,English
478,Padraig,Male,Irish,Irish
479,Laura,Female,Germany,German
480,Kwame,Male,Ghana,Akan
481,Manso,Female,Ghana,Akan
482,Dorothy,Female,American,English
483,Tatenda,Male,Zimbabwean,Shona
484,Luisa,Female,Germany,German
485,Aurora,Female,Latin,Latin
486,Arthur,Male,British,English
487,Ying,Female,Chinese,Mandarin
488,Mlungisi,Male,South African,Zulu
489,Ibrahima,Male,Senegal,Wolof
490,Louis,Male,British,English
491,Aisha,Female,Hindi,Hindi
492,Min,Male,Chinese,Mandarin
493,Francois,Male,Cameroon,French
494,Xiu,Female,Chinese,Mandarin
495,Frederick,Male,British,English
496,Cecile,Female,Cameroon,French
497,Amelia,Female,British,English
498,Mateo,Male,American,English
499,Nokutenda,Female,Zimbabwean,Shona
500,Albert,Male,British,English
501,Ezra,Male,American,English
502,Yves,Male,Cameroon,French
503,Paapa,Male,Ghana,Akan
504,Martin,Male,Cameroon,French
505,Brendan,Male,Irish,Irish
506,Adrian,Male,Spanish,Spanish
507,Tullia,Female,Latin,Latin
508,Salimata,Female,Senegal,Wolof
509,Saoirse,Female,Irish,Irish
510,Lukas,Male,Germany,German
511,Kudakwashe,Female,Zimbabwean,Shona
512,Riya,Female,Hindi,Hindi
513,Grace,Female,Zimbabwean,Shona
514,Henry,Male,British,English
515,Yacine,Female,Senegal,Wolof
516,Aurora,Female,American,English
517,Cillian,Male,Irish,Irish
518,Emil,Male,Germany,German
519,Boulaye,Male,Senegal,Wolof
520,Ayush,Male,Hindi,Hindi
521,Kudzai,Female,Zimbabwean,Shona
522,Paul,Male,Latin,Latin
523,Jie,Female,Chinese,Mandarin
524,Sean,Male,Irish,Irish
525,Callum,Male,Irish,Irish
526,Quintus,Male,Latin,Latin
527,Idrissa,Male,Senegal,Wolof
528,Georges,Male,Cameroon,French
529,Alvaro,Male,Spanish,Spanish
530,Xolani,Male,South African,Zulu
531,Nomathemba,Female,South African,Zulu
532,Thierry,Male,Cameroon,French
533,Oscar,Male,British,English
534,Hao,Male,Chinese,Mandarin
535,Mae,Female,American,English
536,Olivia,Female,British,English
537,Zama,Female,South African,Zulu
538,Chen,Male,Chinese,Mandarin
539,Laura,Female,Spanish,Spanish
540,Nomvula,Female,South African,Zulu
541,Abba,Female,Ghana,Akan
542,Cliona,Female,Irish,Irish
543,Jackson,Male,American,English
544,Anna,Female,Germany,German
545,Pedro,Male,Spanish,Spanish
546,Augusta,Female,Latin,Latin
547,Sabina,Female,Latin,Latin
548,Ngoné,Female,Senegal,Wolof
549,Payal,Female,Hindi,Hindi
550,Fiifi,Male,Ghana,Akan
551,Ahana,Female,Hindi,Hindi
552,Na,Female,Chinese,Mandarin
553,Tariro,Male,Zimbabwean,Shona
554,Martin,Male,Spanish,Spanish
555,Tafadzwa,Male,Zimbabwean,Shona
556,Siobhan,Female,Irish,Irish
557,Jose,Male,Spanish,Spanish
558,Theo,Male,Germany,German
559,Sinead,Female,Irish,Irish
560,Jabulani,Male,South African,Zulu
561,Nokuthula,Female,South African,Zulu
562,Sizwe,Male,South African,Zulu
563,Vincent,Male,Cameroon,French
564,Publius,Male,Latin,Latin
565,Alexander,Male,American,English
566,Serena,Female,Latin,Latin
567,Charlie,Male,British,English
568,Assane,Male,Senegal,Wolof
569,Hannah,Female,Germany,German
570,Aria,Female,American,English
571,Daniela,Female,Spanish,Spanish
572,Sylvia,Female,Latin,Latin
573,Nonhlanhla,Female,South African,Zulu
574,Ling,Female,Chinese,Mandarin
575,Vikram,Male,Hindi,Hindi
576,雪 (Xue),Female,Chinese,Mandarin
577,Daniel,Male,American,English
578,Kwesi,Male,Ghana,Akan
579,Aminata,Female,Senegal,Wolof
580,Foriwaa,Female,Ghana,Akan
581,Lei,Male,Chinese,Mandarin
582,Kwasi,Male,Ghana,Akan
583,Aadhya,Female,Hindi,Hindi
584,Robert,Male,British,English
585,Luna,Female,American,English
586,Dede,Female,Ghana,Akan
587,Ama,Female,Ghana,Akan
588,Tao,Male,Chinese,Mandarin
589,Kai,Male,Chinese,Mandarin
590,Kudzaishe,Male,Zimbabwean,Shona
591,Catherine,Female,Cameroon,French
592,Florence,Female,Cameroon,French
593,Nana,Male,Ghana,Akan
594,倩 (Qian),Female,Chinese,Mandarin
595,Amit,Male,Hindi,Hindi
596,Melanie,Female,Germany,German
597,Godknows,Male,Zimbabwean,Shona
598,Myra,Female,Hindi,Hindi
599,Tatenda,Female,Zimbabwean,Shona
600,Cara,Female,Irish,Irish
601,Victoria,Female,British,English
602,Anta,Female,Senegal,Wolof
603,Mensah,Male,Ghana,Akan
604,Monika,Female,Germany,German
605,Aurelia,Female,Latin,Latin
606,Youssou,Male,Senegal,Wolof
607,Patrick,Male,Cameroon,French
608,Mia,Female,American,English
609,Nkosana,Male,South African,Zulu
610,Lindiwe,Female,South African,Zulu
611,Rigobert,Male,Cameroon,French
612,Aisling,Female,Irish,Irish
613,Mei,Female,Chinese,Mandarin
614,John,Male,British,English
615,Richard,Male,British,English
616,Claudius,Male,Latin,Latin
617,Ananya,Female,Hindi,Hindi
618,Alba,Female,Spanish,Spanish
619,Cormac,Male,Irish,Irish
620,Priya,Female,Hindi,Hindi
621,Serwaa,Female,Ghana,Akan
622,Marie,Female,Cameroon,French
623,Dev,Male,Hindi,Hindi
624,Marguerite,Female,Cameroon,French
625,Constance,Female,British,English
626,Liam,Male,American,English
627,Tinotenda,Female,Zimbabwean,Shona
628,Abhishek,Male,Hindi,Hindi
629,Lan,Female,Chinese,Mandarin
630,Christian,Male,Cameroon,French
631,Gabriela,Female,Spanish,Spanish
632,Asare,Male,Ghana,Akan
633,璐 (Lu),Female,Chinese,Mandarin
634,Adrian,Male,Latin,Latin
635,Louise,Female,Cameroon,French
636,Louis,Male,Germany,German
637,Gugu,Female,South African,Zulu
638,Lucas,Male,American,English
639,David,Male,Cameroon,French
640,Hudson,Male,American,English
641,Aoife,Female,Irish,Irish
642,Gifty,Female,Ghana,Akan
643,Emilia,Female,Germany,German
644,Emer,Female,Irish,Irish
645,Justin,Male,Latin,Latin
646,Louis,Male,Cameroon,French
647,Manish,Male,Hindi,Hindi
648,Barbara,Female,Latin,Latin
649,Isseu,Female,Senegal,Wolof
650,Livia,Female,Latin,Latin
651,Lucia,Female,Spanish,Spanish
652,Aziz,Male,Ghana,Akan
653,Anesu,Female,Zimbabwean,Shona
654,Korkor,Female,Ghana,Akan
655,Claudia,Female,Spanish,Spanish
656,娜 (Na),Female,Chinese,Mandarin
657,Michael,Male,American,English
658,Julian,Male,Germany,German
659,Cornelia,Female,Latin,Latin
660,Maximilian,Male,Latin,Latin
661,Shreya,Female,Hindi,Hindi
662,佳 (Jia),Female,Chinese,Mandarin
663,Arthur,Male,Cameroon,French
664,Henry,Male,American,English
665,Jun,Male,Chinese,Mandarin
666,Tinashe,Male,Zimbabwean,Shona
667,Ava,Female,British,English
668,Irene,Female,Spanish,Spanish
669,Gianna,Female,American,English
670,Paula,Female,Spanish,Spanish
671,Nhlanhla,Male,South African,Zulu
672,涵 (Han),Female,Chinese,Mandarin
673,Alain,Male,Cameroon,French
674,Ntombizodwa,Female,South African,Zulu
675,Tinotenda,Male,Zimbabwean,Shona
676,Mason,Male,American,English
677,Min,Female,Chinese,Mandarin
678,Frieda,Female,Germany,German
679,Mary,Female,Ghana,Akan
680,Emmanuel,Male,Cameroon,French
681,Vincent,Male,Latin,Latin
682,Noa,Female,Spanish,Spanish
683,Moustapha,Male,Senegal,Wolof
684,Hazel,Female,American,English
685,Xuan,Male,Chinese,Mandarin
686,Dorothy,Female,British,English
687,Maimouna,Female,Senegal,Wolof
688,Pokua,Female,Ghana,Akan
689,Yan,Female,Chinese,Mandarin
690,Diego,Male,Spanish,Spanish
691,Yu,Male,Chinese,Mandarin
692,Jian,Male,Chinese,Mandarin
693,Isla,Female,British,English
694,Jack,Male,British,English
695,Jojo,Male,Ghana,Akan
696,Carmen,Female,Spanish,Spanish
697,Una,Female,Irish,Irish
698,Theodore,Male,American,English
699,Maria,Female,Germany,German
700,Yao,Male,Ghana,Akan
701,Boubacar,Male,Senegal,Wolof
702,Andile,Male,South African,Zulu
703,Sabine,Female,Germany,German
704,Modou,Male,Senegal,Wolof
705,Dumisani,Male,South African,Zulu
706,Charlotte,Female,Germany,German
707,Valeria,Female,Spanish,Spanish
708,James,Male,British,English
709,Leo,Male,American,English
710,Jacqueline,Female,Cameroon,French
711,Agyei,Male,Ghana,Akan
712,Prudence,Female,South African,Zulu
713,Akosua,Female,Ghana,Akan
714,Gloria,Female,Latin,Latin
715,Beauty,Female,Zimbabwean,Shona
716,Octavia,Female,Latin,Latin
717,Rafael,Male,Spanish,Spanish
718,Ishaan,Male,Hindi,Hindi
719,Andile,Female,South African,Zulu
720,Mary,Female,British,English
721,Manuel,Male,Spanish,Spanish
722,Ting,Female,Chinese,Mandarin
723,John,Male,American,English
724,Panashe,Male,Zimbabwean,Shona
725,Mamadou,Male,Senegal,Wolof
726,Lungile,Female,South African,Zulu
727,Zodwa,Female,South African,Zulu
728,Nandi,Female,South African,Zulu
729,Roisin,Female,Irish,Irish
730,Mario,Male,Spanish,Spanish
731,Naledi,Female,South African,Zulu
732,Ellie,Female,American,English
733,Kofi,Male,Ghana,Akan
734,Chantal,Female,Cameroon,French
735,Brigitte,Female,Cameroon,French
736,Archie,Male,British,English
737,Claudine,Female,Cameroon,French
738,Advait,Male,Hindi,Hindi
739,媛 (Yuan),Female,Chinese,Mandarin
740,Sylvie,Female,Cameroon,French
741,Freddie,Male,British,English
742,Antoinette,Female,Cameroon,French
743,Oisin,Male,Irish,Irish
744,Hazvinei,Female,Zimbabwean,Shona
745,Tariro,Female,Zimbabwean,Shona
746,Sorcha,Female,Irish,Irish
747,Naoise,Male,Irish,Irish
748,Roger,Male,Cameroon,French
749,Enzo,Male,Spanish,Spanish
750,Baba,Male,Ghana,Akan
751,Alfie,Male,British,English
752,Fiona,Female,Irish,Irish
753,Adwoa,Female,Ghana,Akan
754,Sibongile,Female,South African,Zulu
755,Ousmane,Male,Senegal,Wolof
756,Matias,Male,Spanish,Spanish
757,Aavush,Male,Hindi,Hindi
758,Cornelius,Male,Latin,Latin
759,Clodagh,Female,Irish,Irish
760,Camila,Female,Spanish,Spanish
761,Marcos,Male,Spanish,Spanish
762,Matthias,Male,Germany,German
763,Anthony,Male,Latin,Latin
764,Prisha,Female,Hindi,Hindi
765,Aarav,Male,Hindi,Hindi
