road_id,road_class_code,region_code,geometry_status,topology_status,length_status,overall_status
NG-RD-000120,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000121,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000122,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000123,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000124,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000125,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000126,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000127,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000128,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000129,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000130,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000131,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000132,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000133,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000134,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000135,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000136,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000137,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000138,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000139,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000140,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000141,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000142,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000143,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000144,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000145,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000146,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000147,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000148,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000149,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000150,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000151,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000152,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000153,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000154,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000155,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000156,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000157,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000158,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000159,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000160,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000161,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000162,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000163,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000164,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000165,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000166,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000167,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000168,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000169,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000170,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000171,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000172,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000173,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000174,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000175,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000176,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000177,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000178,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000179,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000180,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000181,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000182,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000183,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000184,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000185,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000186,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000187,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000188,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000189,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000190,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000191,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000192,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000193,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000194,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000195,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000196,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000197,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000198,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000199,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000200,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000201,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000202,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000203,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000204,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000205,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000206,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000207,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000208,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000209,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000210,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000211,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000212,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000213,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000214,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000215,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000216,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000217,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000218,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000219,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000220,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000221,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000222,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000223,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000224,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000225,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000226,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000227,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000228,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000229,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000230,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000231,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000232,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000233,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000234,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000235,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000236,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000237,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000238,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000239,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000240,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000241,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000242,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000243,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000244,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000245,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000246,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000247,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000248,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000249,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000250,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000251,ACCESS,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000252,SERVICE,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000253,LOCAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000254,MUNICIPAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000255,DISTRICT,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000256,REGIONAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000257,RURAL,NGR-03,PASS,PASS,PASS,PASS
NG-RD-000258,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000259,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000260,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000261,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000262,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000263,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000264,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000265,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000266,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000267,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000268,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000269,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000270,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000271,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000272,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000273,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000274,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000275,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000276,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000277,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000278,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000279,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000280,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000281,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000282,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000283,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000284,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000285,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000286,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000287,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000288,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000289,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000290,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000291,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000292,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000293,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000294,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000295,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000296,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000297,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000298,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000299,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000300,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000301,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000302,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000303,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000304,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000305,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000306,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000307,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000308,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000309,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000310,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000311,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000312,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000313,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000314,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000315,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000316,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000317,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000318,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000319,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000320,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000321,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000322,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000323,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000324,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000325,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000326,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000327,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000328,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000329,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000330,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000331,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000332,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000333,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000334,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000335,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000336,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000337,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000338,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000339,DISTRICT,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000340,REGIONAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000341,RURAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000342,ACCESS,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000343,SERVICE,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000344,LOCAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000345,MUNICIPAL,NGR-04,PASS,PASS,PASS,PASS
NG-RD-000346,DISTRICT,NGR-05,PASS,PASS,PASS,PASS
NG-RD-000347,REGIONAL,NGR-05,PASS,PASS,PASS,PASS
NG-RD-000348,RURAL,NGR-05,PASS,PASS,PASS,PASS
NG-RD-000349,ACCESS,NGR-05,PASS,PASS,PASS,PASS
NG-RD-000350,SERVICE,NGR-05,PASS,PASS,PASS,PASS
