road_segment_id,road_id,source_road_candidate_id,segment_sequence,segment_role,start_node_id,end_node_id,length_m,geometry_reservation_key,geometry_id,geometry_status,addressing_scope_eligible,runtime_effect_scope
roadseg:nngla:073659e83b0b25eed6097c097aa409eb167097c5b23fa70a4e72f9ce40005f1b,NG-RD-000011,NG-RD-CAND-000011,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,roadnode:nngla:6895ab874b13b242781b53236f9f95030f6707b44b079c52f7367c2e7b0a29a8,5438.235,p006.7.11.12:road-alignment:NG-RD-000011,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:0d11b76cc2d589cb38254b765fc2b4349e9decbfb712bfe2652adf8c55085d49,NG-RD-000012,NG-RD-CAND-000012,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:860b767853192d8b6b8b2d474993e99b1bcbe383be55e0c2521755d7c864566f,roadnode:nngla:3f80ec51c47d8819850ccf58a52550a4196d1613d3114ea27c125c54e41bd985,5528.886,p006.7.11.12:road-alignment:NG-RD-000012,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:f29dd9b0c1fb853c60370b46eb49f668fd8c356c982c0ee45caece2066bb5ec3,NG-RD-000013,NG-RD-CAND-000013,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:79c219445bdcc93baa841cef0bc6e48235be6ae7d5987fd2d1be986cfe39dfde,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,5821.664,p006.7.11.12:road-alignment:NG-RD-000013,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:a6373dcc4cdaa6e52bbea9c94e3b6583fefeef4560f0fc14ea914045abc19e9d,NG-RD-000014,NG-RD-CAND-000014,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:983bcce4b7263c4a96b0d85f6c73a7527dd287ee07d3efc8f82482822a5cb5f8,roadnode:nngla:4bb200c56329defd70c85f84b32e94c4a671c6802c3ad974972df149cf553638,6019.692,p006.7.11.12:road-alignment:NG-RD-000014,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:30d1b7455cfd4063148783ff4a8c97dd02e0821f4adce1d62281d5eda426c17f,NG-RD-000015,NG-RD-CAND-000015,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:49741b41ebdebbec78ca50b522c7fbcce2ca278956be1ccb5d6b129c9e5cd9e6,roadnode:nngla:07b2898987e6ae7fe36e20c66d14ebd15fd43192add5945f1220f40a63cc64c7,6255.609,p006.7.11.12:road-alignment:NG-RD-000015,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:2428442311ff0aef8950866d88c4fe4add2f1fe44151df76b1c9cdcc1ab2fcbf,NG-RD-000016,NG-RD-CAND-000016,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:3326cea08e50cd7a1e04ea39b7b52405a591dee86257ce3aac86e1ce2978b95e,roadnode:nngla:03f604c47d8991a951e3df859a881653277f570cd02ee964205ff48a8acaad9c,6849.006,p006.7.11.12:road-alignment:NG-RD-000016,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:6fda6728e08ae402e7af35f93bb7b7f60644c8b1d746d88b677b925857feeac5,NG-RD-000017,NG-RD-CAND-000017,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,roadnode:nngla:50a6585d2c95eaf0240e99ac6bb07e328ca5c98600282ad587a85fd502f02a09,7131.002,p006.7.11.12:road-alignment:NG-RD-000017,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:8273887ae5dcd5a01d095c997ca5f88714f12e6d115f734c74c0964dd7a22b9e,NG-RD-000018,NG-RD-CAND-000018,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:bf37a0d8f50fa6c64a6c852b21a4e2e2eb1d2162bf25a3de03501a97c3d69b4e,roadnode:nngla:6531ff61c6d755138fc07d88b500a7fb26014aecebe4ea32f8c939dc9b01a8fa,7509.065,p006.7.11.12:road-alignment:NG-RD-000018,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:b332933abc250d9a265d6c9f62aa6b908ee9051ac98b329b9cea7690baac8f31,NG-RD-000019,NG-RD-CAND-000019,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:9d316ec9e945df6cc920040edbe8276edde5bab619316782efaee0cf340d5575,roadnode:nngla:bdbd5671d10683e0bc976d52fba95157a2e4278c7106eed301dd8ce2a07625d7,7860.770,p006.7.11.12:road-alignment:NG-RD-000019,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:5d5989449b41a423ef11fe78b68d4d47fe57045415233d0caf5e4686a1afabf8,NG-RD-000020,NG-RD-CAND-000020,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:49741b41ebdebbec78ca50b522c7fbcce2ca278956be1ccb5d6b129c9e5cd9e6,roadnode:nngla:618fabae0715441d721aebba09508077b76fa7ecff37f4eaef9d8710a802166d,7997.347,p006.7.11.12:road-alignment:NG-RD-000020,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:ffa4db4e3367a2dfbb18219c0ea7dfcda9cccdca4466f87fb5dfcb354bb43a78,NG-RD-000021,NG-RD-CAND-000021,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:46188d76713b7b9ac8733fa729d7a3e667ff4d837e7fcd03773efc6aacc1f247,roadnode:nngla:f9ac9e722e18902de17ef0a229e3c2273659a93076d60aad12189feebb2731f8,8078.685,p006.7.11.12:road-alignment:NG-RD-000021,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:e368f9e7fbfd997de0ca303648858eeaef33f558747ef6da218bb825efe2db6a,NG-RD-000022,NG-RD-CAND-000022,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:54856562979d2bb3226d249c4d14e0ae3b5eaaca2e387e71d35aef922b401dc3,roadnode:nngla:6bba7c1be284afb55d7423e42edb6e006e2252dea5580aec0358652fb5e29a0b,8319.118,p006.7.11.12:road-alignment:NG-RD-000022,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:0616337bb61454c4a29b5b302826f009845dae79dcb4c9567fff55220867a127,NG-RD-000023,NG-RD-CAND-000023,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:40c8bbdbed6d0d8a6419dd69a93f078416fa013da0228001bd3584961443b769,roadnode:nngla:1e77227a4137315809d3841ee7cacb96bf2287939d68bf06371529ba77a5ab45,8613.101,p006.7.11.12:road-alignment:NG-RD-000023,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:bb03e9d0048fbd3c016cadbfce5fcfca0a123bcd15bd5a81b675fd42d24765d8,NG-RD-000024,NG-RD-CAND-000024,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:fbfbae4b5696388e1002eef413b49abc5e02b59fcdb7949e2667169b0065bb8e,roadnode:nngla:6260fb562c3764656ff9b4ff5f99a787d14e5181cf1d785f5bfeff6e30a846ab,8667.930,p006.7.11.12:road-alignment:NG-RD-000024,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:d8281284ea3999eba8b6b99cfc5caea5eded2fb2831871501cce114df302f6a7,NG-RD-000025,NG-RD-CAND-000025,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:521a3d09949d74cad2ca16391d8fdd0fe61b3ef3de4ef5e91b34195baaebbe3d,roadnode:nngla:533759dde2a3f3792b160d36174bccd9d86bc5427c8eb5b327a86d9853ffafdc,9373.686,p006.7.11.12:road-alignment:NG-RD-000025,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:aaaacabd4cffc0713f12b3c0f28afe44fa8cdcce6607ad99f28122a605157c5a,NG-RD-000026,NG-RD-CAND-000026,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,roadnode:nngla:40c8bbdbed6d0d8a6419dd69a93f078416fa013da0228001bd3584961443b769,10000.016,p006.7.11.12:road-alignment:NG-RD-000026,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:e397464d20b46b6a8cdf9f7ec032d8d14802b29344f56d82f638910a8e127d75,NG-RD-000027,NG-RD-CAND-000027,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:d5c815b801cb4d2312b255b2e65b20b6d5a4abdfa00c3e466c3defc57edf2ded,roadnode:nngla:d3d91bcc8a5b48a338f7d63ea84d176d366503927212f4e7cfc59c7120a95c53,10102.620,p006.7.11.12:road-alignment:NG-RD-000027,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:1a0d4867fa9d3fc7869f061ad17cb3af0632f438a860913ef8aa56ebdab3f110,NG-RD-000028,NG-RD-CAND-000028,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:6bba7c1be284afb55d7423e42edb6e006e2252dea5580aec0358652fb5e29a0b,roadnode:nngla:d5c815b801cb4d2312b255b2e65b20b6d5a4abdfa00c3e466c3defc57edf2ded,10356.036,p006.7.11.12:road-alignment:NG-RD-000028,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:4fe5140023cd2db7e6567648b1b7427ba5697e7965ccafb45b5c3911e7600f18,NG-RD-000029,NG-RD-CAND-000029,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,roadnode:nngla:4bb200c56329defd70c85f84b32e94c4a671c6802c3ad974972df149cf553638,10782.893,p006.7.11.12:road-alignment:NG-RD-000029,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:4a1e842bed7ae69fec52dab29e834fa0dd3f7b1a202aaa8266a4fd7baa6bd8c3,NG-RD-000030,NG-RD-CAND-000030,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:c65c46749d37b898e2f00a8dc4264572a721e96081c0b76d7acac647aac17a9f,roadnode:nngla:8949a31f475fce42405664029c33d1e2c96c65796fda663123a72e7a6dc528b0,11115.170,p006.7.11.12:road-alignment:NG-RD-000030,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:47d7ffaca3a6d9695dc029415c236d3214fb133f9257424fd88bd7b85866a3ef,NG-RD-000031,NG-RD-CAND-000031,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:b9a888f396a9ae0d76c25f9afd8e549f1334a3c4216a5a9cc4b8328c77b64951,roadnode:nngla:4d3e096709f0dc8047bf4d27c6fa71a18a80f18c9f0eb94b8059673ad89fdd63,11364.188,p006.7.11.12:road-alignment:NG-RD-000031,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:21725dccef3fb131b7bf49778acf2d4cecac7a65bfa1615a5f9421172c169b6f,NG-RD-000032,NG-RD-CAND-000032,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:1e08c7d7db282ebe1a39903a3102ef0dc4e8a96bdd9ea12d0dac8fcd6954e9c8,roadnode:nngla:b9a888f396a9ae0d76c25f9afd8e549f1334a3c4216a5a9cc4b8328c77b64951,11642.616,p006.7.11.12:road-alignment:NG-RD-000032,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:2fc6ea38fad23f2af8d8805f324ca6c0a169959ca33b6df61bea870f610ead6f,NG-RD-000033,NG-RD-CAND-000033,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:4cbc7b579752dfa021717d1417e3fd54aaa78a3cd14d8a839cc5498f6fe5fa73,roadnode:nngla:fbfbae4b5696388e1002eef413b49abc5e02b59fcdb7949e2667169b0065bb8e,11820.911,p006.7.11.12:road-alignment:NG-RD-000033,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:8a9ff55a51389694c0363294cc7ed6c79ccd9ebb0bd5b257ebbbd48fe6a21985,NG-RD-000034,NG-RD-CAND-000034,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:d48a00e45ecd9397d58dc285733f40c6568517d98f029900f3d9d18f49ee6c37,roadnode:nngla:1916866053a8a4b6c91ccfc15b4f3bb43d043accfb3093400f54ca435da9bce2,11999.944,p006.7.11.12:road-alignment:NG-RD-000034,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:afdb7009024267e250cdffad0f2abf66e342a49ea88cecc43367ccbd32af3eca,NG-RD-000035,NG-RD-CAND-000035,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,roadnode:nngla:03f604c47d8991a951e3df859a881653277f570cd02ee964205ff48a8acaad9c,12082.857,p006.7.11.12:road-alignment:NG-RD-000035,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:88650795abde69969383e27126f3886a2b036fe85be01a7ac7b6cf7d29450b88,NG-RD-000036,NG-RD-CAND-000036,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:3c3ce5fb0750347d6379b4605dd3eb3e2f07147009e373e15b0680877d5b9c77,roadnode:nngla:1410c3ecec4a530acbc9f628464c0e7eaf11c03037a3cc296164b479e05be9f0,12398.241,p006.7.11.12:road-alignment:NG-RD-000036,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:6a604063976d72373fba139b355c400292c5bce155a939894a333c010b72a2bc,NG-RD-000037,NG-RD-CAND-000037,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:1f80dbdc45f869fab8e2d2a536183d012803cc777f72a75f217cb47fd4b5b40a,roadnode:nngla:6d8b36f2e363740c0372bd38b381aa21401d87b69e265b1655bcc73896b95708,12615.126,p006.7.11.12:road-alignment:NG-RD-000037,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:f894721e9dc499500dfd1f8d983fa612d6448703957aa9429f42f039b7977998,NG-RD-000038,NG-RD-CAND-000038,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,roadnode:nngla:521a3d09949d74cad2ca16391d8fdd0fe61b3ef3de4ef5e91b34195baaebbe3d,12857.722,p006.7.11.12:road-alignment:NG-RD-000038,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:dc5200d04c43c5d8b820fdb1c8a4e17d19c36cb51e5e88682acf2495bfb62e6d,NG-RD-000039,NG-RD-CAND-000039,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:a4d397eb2dbb143f58dbd18c347133cd0c6ea22e8821980be596f62377cf3a39,roadnode:nngla:f97a652cda8319a5c68059c7b4d4c01c2afe72be1586e7d32fd765db25a55204,13037.302,p006.7.11.12:road-alignment:NG-RD-000039,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:eb65ed95b3713115e31ccbff353203eb27130c607934d78f068527bc579bcf8b,NG-RD-000040,NG-RD-CAND-000040,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:1916866053a8a4b6c91ccfc15b4f3bb43d043accfb3093400f54ca435da9bce2,roadnode:nngla:e15cb02064fcabb33daa0c209759322f2f670f34ed0a97aaf040325064580fe7,13498.840,p006.7.11.12:road-alignment:NG-RD-000040,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:7f768983dc9d66c3a6b156721619a164b223b5a87fba9a65cf01b00fb8861805,NG-RD-000041,NG-RD-CAND-000041,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:aa9f999b1623465000be7a346a0dda0672d946cb4d4b4ceeaad35b6bea19ac39,roadnode:nngla:c65c46749d37b898e2f00a8dc4264572a721e96081c0b76d7acac647aac17a9f,13834.009,p006.7.11.12:road-alignment:NG-RD-000041,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:ef0af93e5d0105fd43a7534637ee4ce907957be37efd68e974252af907c44392,NG-RD-000042,NG-RD-CAND-000042,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:618fabae0715441d721aebba09508077b76fa7ecff37f4eaef9d8710a802166d,roadnode:nngla:abd06fb6ad3c4e3c661058c55cf6782ffa420d6da9d1de2ab3b7f4b3967d915e,14186.480,p006.7.11.12:road-alignment:NG-RD-000042,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:40626a15c6f943dc64eacd51ae75c21ec41aa339c95f9d8ab06590fb6e3846f0,NG-RD-000043,NG-RD-CAND-000043,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:daf75187140fee85f6ff35b11e17039698ac05a23690064fd7cf3c0b434443f8,roadnode:nngla:6c413e14071a2534e467045de7b45bd7b14140fb598b087cdb8c7fc521c315b7,14461.153,p006.7.11.12:road-alignment:NG-RD-000043,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:2ec67653c854a8219551ee6ece5a95ca84ad1156666da4076e89db24c7486a45,NG-RD-000044,NG-RD-CAND-000044,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:1bd35eb0fc850f581527abf1b621f46f97b1e204bd969e75e2c74c9747daf3bc,roadnode:nngla:106c2e51990fe7a34bae74b2f98d83e70702acc5cf3f969f300e07e9f1fad11a,14717.032,p006.7.11.12:road-alignment:NG-RD-000044,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:a3310de14e66bfcc2cb33fce267d2b7885ed6c417de6861767d98e79a0e9312d,NG-RD-000045,NG-RD-CAND-000045,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:6260fb562c3764656ff9b4ff5f99a787d14e5181cf1d785f5bfeff6e30a846ab,roadnode:nngla:1916866053a8a4b6c91ccfc15b4f3bb43d043accfb3093400f54ca435da9bce2,15095.494,p006.7.11.12:road-alignment:NG-RD-000045,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:f5fdb62470c16b0aa4457f17fa5c0e7400d26346643bf20c01ab384664ba9f1d,NG-RD-000046,NG-RD-CAND-000046,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:106c2e51990fe7a34bae74b2f98d83e70702acc5cf3f969f300e07e9f1fad11a,roadnode:nngla:0d8bb15620ec08a7a1f4825f8ba32b7dad73513b7365b05e62579a908a3a03c2,15275.652,p006.7.11.12:road-alignment:NG-RD-000046,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:b8f58ade1395646033aa1953da72204dd87a8a69905734e02b965f57d567b536,NG-RD-000047,NG-RD-CAND-000047,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:dae75f76f3752159f21976e8949f77c7db12a0cc6123e16338729c589d34b6ee,roadnode:nngla:daf75187140fee85f6ff35b11e17039698ac05a23690064fd7cf3c0b434443f8,15424.138,p006.7.11.12:road-alignment:NG-RD-000047,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:c68af369552ebfe34f86deceae567982f4ebd5ce8cc5be4e95ff3051704a005d,NG-RD-000048,NG-RD-CAND-000048,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:e6a06e2a717e3cac38faa9956ad512e0a043e67dda2bcb0fe28169b692e13690,roadnode:nngla:d5c815b801cb4d2312b255b2e65b20b6d5a4abdfa00c3e466c3defc57edf2ded,15578.599,p006.7.11.12:road-alignment:NG-RD-000048,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:99daf7d76618d77aff7a4feb21b709d2ab0f6ae9408b41ef353b85a2ca6e4430,NG-RD-000049,NG-RD-CAND-000049,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:6d8b36f2e363740c0372bd38b381aa21401d87b69e265b1655bcc73896b95708,roadnode:nngla:aa9f999b1623465000be7a346a0dda0672d946cb4d4b4ceeaad35b6bea19ac39,15799.228,p006.7.11.12:road-alignment:NG-RD-000049,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:88b88349d9dcf3a66677493fa350e88a21af70778a00b0a1f2040e80e06ab53d,NG-RD-000050,NG-RD-CAND-000050,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:d5c815b801cb4d2312b255b2e65b20b6d5a4abdfa00c3e466c3defc57edf2ded,roadnode:nngla:9d316ec9e945df6cc920040edbe8276edde5bab619316782efaee0cf340d5575,15897.382,p006.7.11.12:road-alignment:NG-RD-000050,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
