marine_interface_id,marine_waterbody_id,land_part_id,source_polygon_id,source_ring_id,interface_type,start_vertex_sequence,end_vertex_sequence,start_longitude,start_latitude,end_longitude,end_latitude,design_segment,future_geographic_feature_reserve,source_path_reference,source_sha256,runtime_effect_scope
NG-MAR-IF-000011,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,468,493,43.800000,-0.850000,43.367929,-1.523476,eastern_long_beach_sector,long_beach,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000012,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,494,519,43.350000,-1.550000,43.729495,-2.321791,southeastern_cape,cape,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000013,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,520,545,43.750000,-2.350000,44.035400,-3.168388,southeastern_cliff_sector,cliff,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000014,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,546,571,44.050000,-3.200000,43.476932,-4.163851,southeastern_coastal_plain_edge,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000015,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,572,597,43.450000,-4.200000,42.680670,-5.209540,southeastern_long_beach_sector,long_beach,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000016,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,598,623,42.650000,-5.250000,41.587563,-6.254644,southern_coast_transition_1,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000017,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,624,649,41.550000,-6.300000,40.154460,-7.115075,southern_coast_transition_2,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000018,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,650,675,40.100000,-7.150000,38.274402,-7.635806,southern_coast_transition_3,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000019,NG-MAR-WAT-000001,NG-SOV-PART-000002,polygon-02,ring-01,OFFSHORE_ISLAND_COASTLINE,0,71,44.789121,4.989436,44.778497,4.943284,offshore_island_01,island,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000020,NG-MAR-WAT-000001,NG-SOV-PART-000003,polygon-03,ring-01,OFFSHORE_ISLAND_COASTLINE,0,51,44.792122,3.923986,44.768152,3.899228,offshore_island_02,island,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000021,NG-MAR-WAT-000001,NG-SOV-PART-000004,polygon-04,ring-01,OFFSHORE_ISLAND_COASTLINE,0,63,44.780636,-1.724003,44.776057,-1.764559,offshore_island_03,island,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000022,NG-MAR-WAT-000001,NG-SOV-PART-000005,polygon-05,ring-01,OFFSHORE_ISLAND_COASTLINE,0,55,44.542192,-3.999075,44.514804,-4.023089,offshore_island_04,island,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000023,NG-MAR-WAT-000001,NG-SOV-PART-000006,polygon-06,ring-01,OFFSHORE_ISLAND_COASTLINE,0,59,43.829630,-5.516927,43.800188,-5.539930,offshore_island_05,island,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
