route_candidate_id,route_vertex_sequence,derivation_class,source_anchor_start_id,source_anchor_end_id,source_derivative_id,source_polygon_id,source_derivative_vertex_sequence,interpolation_fraction,derivation_algorithm,source_path_reference,source_sha256
NG-SEA-RT-CAND-000003,3,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000005,NG-MAR-ANCH-000006,derivative:novegeo:sovereign:v002:standard:v001,,,0.5,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000003,4,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000005,NG-MAR-ANCH-000006,derivative:novegeo:sovereign:v002:standard:v001,,,0.75,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000003,5,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000005,NG-MAR-ANCH-000006,derivative:novegeo:sovereign:v002:standard:v001,polygon-04,2,1.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000004,1,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000007,NG-MAR-ANCH-000008,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,123,0.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000004,2,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000007,NG-MAR-ANCH-000008,derivative:novegeo:sovereign:v002:standard:v001,,,0.25,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000004,3,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000007,NG-MAR-ANCH-000008,derivative:novegeo:sovereign:v002:standard:v001,,,0.5,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000004,4,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000007,NG-MAR-ANCH-000008,derivative:novegeo:sovereign:v002:standard:v001,,,0.75,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000004,5,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000007,NG-MAR-ANCH-000008,derivative:novegeo:sovereign:v002:standard:v001,polygon-05,23,1.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000005,1,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000009,NG-MAR-ANCH-000010,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,104,0.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000005,2,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000009,NG-MAR-ANCH-000010,derivative:novegeo:sovereign:v002:standard:v001,,,0.25,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000005,3,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000009,NG-MAR-ANCH-000010,derivative:novegeo:sovereign:v002:standard:v001,,,0.5,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000005,4,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000009,NG-MAR-ANCH-000010,derivative:novegeo:sovereign:v002:standard:v001,,,0.75,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000005,5,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000009,NG-MAR-ANCH-000010,derivative:novegeo:sovereign:v002:standard:v001,polygon-06,26,1.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
