road_segment_id,road_id,source_road_candidate_id,segment_sequence,segment_role,geometry_id,start_measure_m,end_measure_m,geometry_status,addressing_scope_eligible,runtime_effect_scope,source_reference
roadseg:nngla:18080b94ef5cacd3aa47257652eaca1073afa2ffa6941928fd175f9ce70d6e4d,NG-RD-000011,NG-RD-CAND-000011,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:40bc4f160e08a1c13a2ec18d0bf3fb2e230a5a7f26f3e34f35a52c552f495abc,NG-RD-000012,NG-RD-CAND-000012,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:e4d7e9430eef20cb6abc85028e7ed97e1a55d0d79101fd35dae0656c221c2e70,NG-RD-000013,NG-RD-CAND-000013,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:6078ed52d9c5db26a88151515c4104c8f6d1648ce54917ed5587d27d25b63b9d,NG-RD-000014,NG-RD-CAND-000014,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:bd58e17341091abe829086dc14cedd09f1ed8f2327d2c544caec46904341e915,NG-RD-000015,NG-RD-CAND-000015,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:9a0687c76e7d8cf63f0e6c6c291f6c6fcc0a0e7f2ed99e989e7a87e0833b4341,NG-RD-000016,NG-RD-CAND-000016,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:933e7131a2760e1e4937b985f1fbe198f90636374ab066e913cc09553a2a588e,NG-RD-000017,NG-RD-CAND-000017,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d556504e36f9069c856c476b6adc9531573d9a13dd862b8b8632b5bdffb973e0,NG-RD-000018,NG-RD-CAND-000018,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:dfc220bf59286eb95959a3da514e8bbff7638432751615c8374c244391473bbf,NG-RD-000019,NG-RD-CAND-000019,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:b711e65d4f8446ed0bb8208f8e0f5e80a2d0dbf13454f72cefe228eee358bedb,NG-RD-000020,NG-RD-CAND-000020,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:bfadc229d19728fd3468f05cd83dacc95055cbc4240b415e4bcdffae4b5e564f,NG-RD-000021,NG-RD-CAND-000021,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:1b24cbdd7e2ff2e35d378b30b10a2803eb30e83f5e599fc04c76e45a3799f954,NG-RD-000022,NG-RD-CAND-000022,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:12beb8b2dfe4942434e1dfc6b54082b82f59cddc2064ac503e4737e42fb427b7,NG-RD-000023,NG-RD-CAND-000023,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:8f2b5826b599fdb1becd6e6086a10b8f0c4cba8159f9edd8a64635e863c4b5fe,NG-RD-000024,NG-RD-CAND-000024,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:0074024f59d080c28d6cef320ec46bd5bfcfebd7f287a4f7b21c1a2d480f91d9,NG-RD-000025,NG-RD-CAND-000025,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:8053d8645622d7da241db3d69c7d6a3b3c11325dadf3f363ff09b593f4b8ff3f,NG-RD-000026,NG-RD-CAND-000026,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d6a667af4cbe9a757be9c0677d9f102af141686e9f0aaff1898626668245f7b6,NG-RD-000027,NG-RD-CAND-000027,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:c42450c03e5fa9bd2ef2b40b7481e5a4e77ff0496eaa269dbf177920237d70e9,NG-RD-000028,NG-RD-CAND-000028,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:c3662c0eda88cb0f943635241bc1ef93267c13fe1bc2f5b616cdfd599904034a,NG-RD-000029,NG-RD-CAND-000029,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:6833bd16dda222202dda13be64586052e6549ad49fd90fca52e8118cbda60519,NG-RD-000030,NG-RD-CAND-000030,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:1cf76575bb1d2faf0dd8cba7778ad4197b565c1f4876745c33bc7c34dbfcbde8,NG-RD-000031,NG-RD-CAND-000031,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:165ecf4cec3ed62ea1eb59e24164a29203f34286b3a4ad464dee81e59e03e46c,NG-RD-000032,NG-RD-CAND-000032,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:31ea36684324715c1362ef893067f0391d367768155b123be8622b5b5729f961,NG-RD-000033,NG-RD-CAND-000033,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:4e08294cf5a626c617e33773c280476d1eb771096eaecae7efd071496cf79d78,NG-RD-000034,NG-RD-CAND-000034,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:178785b14780ad493bbf59f72af627c8cad75ebca4d8d4872bb3a4308ad6af19,NG-RD-000035,NG-RD-CAND-000035,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:2e44e3ec10c37ee4b05b45fd47ab5150c30791901911178248fbdb71441b7cc4,NG-RD-000036,NG-RD-CAND-000036,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:2a6239ff8fc253e4f21a4f7112c6bdc78d300dd7ee58872cf811cb4eb7d6ac67,NG-RD-000037,NG-RD-CAND-000037,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:709436bb818b132f8e0b70fa6c7330d91e8d3ae6705f4844548a7081fbf52f95,NG-RD-000038,NG-RD-CAND-000038,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:8c16125f7a3c943965c8c287e2636988ba519ebcb9cd0e1a2dc05e22b58c6299,NG-RD-000039,NG-RD-CAND-000039,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:174ebede8e4ae30f45e0aaa0c996252377bd9b14e7456252e9fd8e39aa7bd019,NG-RD-000040,NG-RD-CAND-000040,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:cb31528711e67a3d333265c8f5ef36095a141cee68ff0c7fc679e95da66cf0b3,NG-RD-000041,NG-RD-CAND-000041,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:9a83b811d01111644b6f96cd8dde2ddd23dd480c0ff6372528cf32d72b440d7e,NG-RD-000042,NG-RD-CAND-000042,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:b84ca0da43072c32bf480379cadc375cf585bff5f1a8e6c4ba04ed97ed22dcf8,NG-RD-000043,NG-RD-CAND-000043,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:13a3b4ebcd93c6ea9f2689514feb93052b68d8eec8f8dbe2bb93b5631224e950,NG-RD-000044,NG-RD-CAND-000044,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:1ed8ef48b6a4c92f80dd25ae6b0e8cdfab094cb404452df159d651e0661ad29e,NG-RD-000045,NG-RD-CAND-000045,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:a65fbdbf403ebd06489857b4f4cf62557dcd4b7c62880989106c59f68780bf15,NG-RD-000046,NG-RD-CAND-000046,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d235b05efb547561ffe46949ea5a09cccb905442ad2bee3fae39b7df0095ebab,NG-RD-000047,NG-RD-CAND-000047,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:3b0f1aa92db7644c27760199ab65e25103fb2dad4e9d18d9544bb1306a60cabd,NG-RD-000048,NG-RD-CAND-000048,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:e61306b987987f686898748dd69d79c47763a6176e91344ccbf6085c09b3f3cc,NG-RD-000049,NG-RD-CAND-000049,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:5b165ef89812f9c119f18cdf2b0eb66ee9494b3f652cb81c03951f829801e7e6,NG-RD-000050,NG-RD-CAND-000050,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:1e4ef5d08fc72dee025b3ffa9de56074d9ee1cff0ccbf9911da55b6e913b4b23,NG-RD-000051,NG-RD-CAND-000051,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:bbb53e562b24fdbf12bc4f5e5a38d7c50dcb129e414aadf40b45a97e1507d2b1,NG-RD-000052,NG-RD-CAND-000052,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:5c0a924860309764664da9df1dd80bf512f3bbea3f911c885ce57bbfd62f9e5a,NG-RD-000053,NG-RD-CAND-000053,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:03a1d8512168fb69d0d7b2dd1c52441a13e0e9b181d1ea24ad6448ad5e21ac9f,NG-RD-000054,NG-RD-CAND-000054,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:9fae27d07e92984990e23dedce46eb4f8816727ecfc149196238b987ea3b23a1,NG-RD-000055,NG-RD-CAND-000055,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:b0f3a84e984f6914c6df7454144cce0ee6ccc18992278a4a07aefd100e1356eb,NG-RD-000056,NG-RD-CAND-000056,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:bcbcf453e042515ddb484277d6a76de687595314cedfcadf57f3ac2c70a6fe65,NG-RD-000057,NG-RD-CAND-000057,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:bb598b1c47463a55d9044d37f6e85649ee24a432af9a33bb0db1cd2b12a2c98d,NG-RD-000058,NG-RD-CAND-000058,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:7f3129ab611cb8580ace41400f0cb8edf67ff66269873e7afd4bddd21b821d6c,NG-RD-000059,NG-RD-CAND-000059,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:861725152d1f4e7817dc6298440d600054fbabdfba92b54dd72314f7cee8355a,NG-RD-000060,NG-RD-CAND-000060,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:9d8a93c915af71e71399150267bba14309cc40fe4077e43219eb26a7a4758715,NG-RD-000061,NG-RD-CAND-000061,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:c56e242772da3767d7a0bb0a37b8b0f5826f308e4a9b7943d9f691201330845d,NG-RD-000062,NG-RD-CAND-000062,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:2b6e8422e5acf1b35d512d0c99f3a9127a0997a9b8e42221ba398b902a3a6116,NG-RD-000063,NG-RD-CAND-000063,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d49186fcd45bc4b030342fdc67c6bc5223022c0eb455d402e07864ed79e8b87b,NG-RD-000064,NG-RD-CAND-000064,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:618319b1cb3f0e38ebef46bb0da3e1bfc7187cebee53bd3e07043edfd2b815e9,NG-RD-000065,NG-RD-CAND-000065,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:e953484e140f3cad77980c9ea41fcfc5e86ff6b083b46ed9cec81228b21aeb68,NG-RD-000066,NG-RD-CAND-000066,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:9bf88cf69fd2b73fff9b0e2bfa736084056e2ce88cd2f0ff42c97acead1cdb54,NG-RD-000067,NG-RD-CAND-000067,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d0236d241e9dc749a8e5843457dc1d7bc857f806d1c10e9bb7ff4160d59be2bd,NG-RD-000068,NG-RD-CAND-000068,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:80a2dd6756a29693d68193fe5a596a726806e7d6883277cd7f187e91e595f51d,NG-RD-000069,NG-RD-CAND-000069,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:aad7298dccade9d5b38ce31150fe30b698365f3a55cf755febff7da3c9870991,NG-RD-000070,NG-RD-CAND-000070,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:2ae957136e695bc850e684fd0e086b17dccc90e462a10fa3d37cc8213530fee7,NG-RD-000071,NG-RD-CAND-000071,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:4a28be7a09633d67792a195c4ca0450a27e5f11a4554d81861ee2abbfb08f229,NG-RD-000072,NG-RD-CAND-000072,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:e6ad467649868b671c0d5af187ff2dea83f5d44639a5ad8e9b5e963b65bd8cb9,NG-RD-000073,NG-RD-CAND-000073,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:8a1aef0fc6d34ae81203d1abde4bed4348964a91a58e9d149d8f4dbc7829d43e,NG-RD-000074,NG-RD-CAND-000074,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:2716181751844a7bd6cb80ed431aaec4477930db6419f7a269decab6962dc8e9,NG-RD-000075,NG-RD-CAND-000075,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:6769ef1fae92cfe39114d46aca3199d2a0b31eabf32c958fb9da8b9ba7eb874c,NG-RD-000076,NG-RD-CAND-000076,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:29a27f7af2427e723e9a7e24e759a372d9fc87bacc4ae58fd169a69718dcb17f,NG-RD-000077,NG-RD-CAND-000077,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d6567fcee32b0306b6f37de451d7e4034db48863d133e44bb072e512a61620d2,NG-RD-000078,NG-RD-CAND-000078,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
